ticker,company,sector
A,"Agilent Technologies, Inc.",Healthcare
AMR,nomatch,Misc
AAN,"Aaron's, Inc.",Services
AAP,"Advance Auto Parts, Inc.",Services
AAPL,Apple Inc.,Consumer Goods
ABBV,AbbVie Inc.,Healthcare
ABC,AmerisourceBergen Corporation,Services
ABI,nomatch,Misc
ABMD,"Abiomed, Inc.",Healthcare
ABT,Abbott Laboratories,Healthcare
ACAS,nomatch,Misc
ACC,"American Campus Communities, Inc.",Financial
ACIW,"ACI Worldwide, Inc.",Technology
ACM,AECOM,Services
ACN,Accenture plc,Technology
ACS,nomatch,Misc
ACV,nomatch,Misc
ADBE,Adobe Inc.,Technology
ADCT,nomatch,Misc
ADI,"Analog Devices, Inc.",Technology
ADM,Archer-Daniels-Midland Company,Consumer Goods
ADP,"Automatic Data Processing, Inc.",Technology
ADS,Alliance Data Systems Corporation,Services
ADSK,"Autodesk, Inc.",Technology
ADT,ADT Inc.,Services
AEE,Ameren Corporation,Utilities
AEO,"American Eagle Outfitters, Inc.",Services
AEP,"American Electric Power Company, Inc.",Utilities
AES,The AES Corporation,Utilities
AET,nomatch,Misc
AFG,"American Financial Group, Inc.",Financial
AFL,Aflac Incorporated,Financial
AGCO,AGCO Corporation,Industrial Goods
AGN,Allergan plc,Healthcare
WPI,nomatch,Misc
AHL,nomatch,Misc
AIG,"American International Group, Inc.",Financial
AIV,Apartment Investment and Management Company,Financial
AIZ,"Assurant, Inc.",Financial
AJG,Arthur J. Gallagher & Co.,Financial
AKAM,"Akamai Technologies, Inc.",Technology
AKRX,"Akorn, Inc.",Healthcare
ALB,Albemarle Corporation,Basic Materials
ALEX,"Alexander & Baldwin, Inc.",Financial
ALGN,"Align Technology, Inc.",Healthcare
ALK,"Alaska Air Group, Inc.",Services
ALL,The Allstate Corporation,Financial
ALLE,Allegion plc,Services
ALTR,Altair Engineering Inc.,Technology
ALXN,"Alexion Pharmaceuticals, Inc.",Healthcare
AMAT,"Applied Materials, Inc.",Technology
ABK,nomatch,Misc
AMCX,AMC Networks Inc.,Services
AMD,"Advanced Micro Devices, Inc.",Technology
AME,"AMETEK, Inc.",Industrial Goods
AMG,"Affiliated Managers Group, Inc.",Financial
AMGN,Amgen Inc.,Healthcare
AMP,"Ameriprise Financial, Inc.",Financial
AMSC,American Superconductor Corporation,Industrial Goods
AMT,American Tower Corporation (REIT),Financial
AMZN,"Amazon.com, Inc.",Services
AN,"AutoNation, Inc.",Services
TSO,nomatch,Misc
ANDW,nomatch,Misc
ANF,Abercrombie & Fitch Co.,Services
ANR,nomatch,Misc
ANSS,"ANSYS, Inc.",Technology
WLP,nomatch,Misc
AOC,nomatch,Misc
AOS,A. O. Smith Corporation,Industrial Goods
APA,Apache Corporation,Basic Materials
APC,nomatch,Misc
APD,"Air Products and Chemicals, Inc.",Basic Materials
APH,Amphenol Corporation,Technology
APOL,nomatch,Misc
APU,nomatch,Misc
ARE,"Alexandria Real Estate Equities, Inc.",Financial
ARG,nomatch,Misc
AA,Alcoa Corporation,Basic Materials
ARRS,ARRIS International plc,Technology
ARW,"Arrow Electronics, Inc.",Services
ASH,Ashland Global Holdings Inc.,Basic Materials
DV,nomatch,Misc
ATI,Allegheny Technologies Incorporated,Industrial Goods
ATVI,"Activision Blizzard, Inc.",Technology
AVB,"AvalonBay Communities, Inc.",Financial
AVGO,Broadcom Inc.,Technology
AVP,"Avon Products, Inc.",Consumer Goods
AVY,Avery Dennison Corporation,Consumer Goods
AW,nomatch,Misc
AWK,"American Water Works Company, Inc.",Utilities
AXP,American Express Company,Financial
AYE,nomatch,Misc
AYI,"Acuity Brands, Inc.",Technology
AZO,"AutoZone, Inc.",Services
BA,The Boeing Company,Industrial Goods
BAC,Bank of America Corporation,Financial
BAX,Baxter International Inc.,Healthcare
BBBY,Bed Bath & Beyond Inc.,Services
BBT,BB&T Corporation,Financial
BBY,"Best Buy Co., Inc.",Services
BC,Brunswick Corporation,Consumer Goods
BCR,nomatch,Misc
BDK,nomatch,Misc
BDX,"Becton, Dickinson and Company",Healthcare
FO,nomatch,Misc
BEN,"Franklin Resources, Inc.",Financial
BFB,nomatch,Misc
BHF,"Brighthouse Financial, Inc.",Financial
BHI,nomatch,Misc
BIG,"Big Lots, Inc.",Services
BIIB,Biogen Inc.,Healthcare
BJS,nomatch,Misc
BK,The Bank of New York Mellon Corporation,Financial
BKE,"The Buckle, Inc.",Services
PCLN,nomatch,Misc
BLK,"BlackRock, Inc.",Financial
BLL,Ball Corporation,Consumer Goods
BMC,nomatch,Misc
BMS,nomatch,Misc
BMY,Bristol-Myers Squibb Company,Healthcare
BNI,nomatch,Misc
BRCM,nomatch,Misc
BRK,nomatch,Misc
BRL,nomatch,Misc
BRLI,nomatch,Misc
BSC,nomatch,Misc
BSX,Boston Scientific Corporation,Healthcare
BTU,Peabody Energy Corporation,Basic Materials
BUD,Anheuser-Busch InBev SA/NV,Consumer Goods
BWA,BorgWarner Inc.,Consumer Goods
BXP,"Boston Properties, Inc.",Financial
C,Citigroup Inc.,Financial
CA,nomatch,Misc
CAG,"Conagra Brands, Inc.",Consumer Goods
CAH,"Cardinal Health, Inc.",Services
CAM,nomatch,Misc
CAT,Caterpillar Inc.,Industrial Goods
ACE,nomatch,Misc
CB,Chubb Limited,Financial
CBE,nomatch,Misc
CBOE,"Cboe Global Markets, Inc.",Financial
CBG,nomatch,Misc
CBS,CBS Corporation,Services
CCE,nomatch,Misc
CCE,nomatch,Misc
CCI,Crown Castle International Corp. (REIT),Technology
CCL,Carnival Corporation & Plc,Services
CCU,Compania Cervecerias Unidas S.A.,Consumer Goods
CDNS,"Cadence Design Systems, Inc.",Technology
CEG,nomatch,Misc
CELG,Celgene Corporation,Healthcare
CERN,Cerner Corporation,Technology
CF,"CF Industries Holdings, Inc.",Basic Materials
CFC,nomatch,Misc
CFG,"Citizens Financial Group, Inc.",Financial
CFN,nomatch,Misc
CHD,"Church & Dwight Co., Inc.",Consumer Goods
CHK,Chesapeake Energy Corporation,Basic Materials
CHRW,"C.H. Robinson Worldwide, Inc.",Services
CI,Cigna Corporation,Healthcare
CIEN,Ciena Corporation,Technology
CINF,Cincinnati Financial Corporation,Financial
CIT,CIT Group Inc.,Financial
CL,Colgate-Palmolive Company,Consumer Goods
CLF,Cleveland-Cliffs Inc.,Basic Materials
CLX,The Clorox Company,Consumer Goods
CMA,Comerica Incorporated,Financial
CMCS,nomatch,Misc
CME,CME Group Inc.,Financial
CMG,"Chipotle Mexican Grill, Inc.",Services
CMI,Cummins Inc.,Industrial Goods
CMS,CMS Energy Corporation,Utilities
CMVT,nomatch,Misc
CNC,Centene Corporation,Healthcare
CNO,"CNO Financial Group, Inc.",Financial
CNP,"CenterPoint Energy, Inc.",Utilities
CNX,CNX Resources Corporation,Basic Materials
COF,Capital One Financial Corporation,Financial
COG,Cabot Oil & Gas Corporation,Basic Materials
COL,nomatch,Misc
COO,"The Cooper Companies, Inc.",Healthcare
COP,ConocoPhillips,Basic Materials
COST,Costco Wholesale Corporation,Services
COTY,Coty Inc.,Consumer Goods
COV,nomatch,Misc
CPB,Campbell Soup Company,Consumer Goods
CPN,nomatch,Misc
KORS,nomatch,Misc
CPWR,nomatch,Misc
CR,Crane Co.,Industrial Goods
CRA,nomatch,Misc
CRM,"salesforce.com, inc.",Technology
CRVL,CorVel Corporation,Financial
CSCO,"Cisco Systems, Inc.",Technology
CSRA,nomatch,Misc
CSX,CSX Corporation,Services
CTAS,Cintas Corporation,Services
CTL,"CenturyLink, Inc.",Technology
CTSH,Cognizant Technology Solutions Corporation,Technology
CTX,nomatch,Misc
CTXS,"Citrix Systems, Inc.",Technology
CVC,nomatch,Misc
CVG,nomatch,Misc
CVH,nomatch,Misc
CVS,CVS Health Corporation,Healthcare
CVX,Chevron Corporation,Basic Materials
CXO,Concho Resources Inc.,Basic Materials
D,"Dominion Energy, Inc.",Utilities
DAL,"Delta Air Lines, Inc.",Services
DCI,"Donaldson Company, Inc.",Industrial Goods
DD,"DuPont de Nemours, Inc.",Basic Materials
DDS,"Dillard's, Inc.",Services
DE,Deere & Company,Industrial Goods
DELL,Dell Technologies Inc.,Technology
DF,Dean Foods Company,Consumer Goods
DFS,Discover Financial Services,Financial
DG,Dollar General Corporation,Services
DGX,Quest Diagnostics Incorporated,Healthcare
DHI,"D.R. Horton, Inc.",Industrial Goods
DHR,Danaher Corporation,Industrial Goods
DIS,The Walt Disney Company,Services
DISC,nomatch,Misc
DISH,DISH Network Corporation,Services
DLPH,Delphi Technologies PLC,Consumer Goods
DLR,"Digital Realty Trust, Inc.",Financial
DLTR,"Dollar Tree, Inc.",Services
