"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,1085546359,1085546359,1,5102000000,3754000000,3201000000,1804000000,1901000000,0,0,289000000,1031000000,1531000000,35000000,35000000,0.03,0.03,0,30000000,-7000000,-38000000,-15000000,968000000,58000000,30.06,34.3,25.83,0.1257,0.0403,1.75,18.22,125.25,0,0,0.5423,0.3726,0.0325,1.24,-0.03,2.0809
2019-03-30,1081600723,1081600723,1,4931000000,3677000000,3143000000,1764000000,1788000000,0,0,289000000,1024000000,1272000000,16000000,16000000,0.01,0.01,0,-213000000,-173000000,286000000,-100000000,983000000,62000000,22.52,28.11,16.94,0.2151,0.0607,1.65,17.87,72.65,0,0,0.5727,0.3626,0.0446,1.36,-0.25,2.0845
2018-12-29,1005298882,1005298882,1,4556000000,3540000000,3290000000,1984000000,1266000000,0,0,289000000,1114000000,1419000000,38000000,38000000,0.04,0.03,0,70000000,-38000000,0,32000000,1083000000,41000000,23.97,31.91,16.03,0.3383,0.0804,1.26,21.21,72.64,0,0,0.8799,0.2779,0.052,1.54,0.03,1.7843
2018-09-29,999407216,999407216,1,4347000000,3314000000,3222000000,1878000000,1125000000,0,0,289000000,1167000000,1653000000,102000000,102000000,0.1,0.09,0,95000000,-8000000,8000000,95000000,1051000000,33000000,24.44,34.14,14.74,0.4324,0.0914,1.13,27.16,78.84,0,0,1.0373,0.2588,0.0551,1.66,0.06,1.7646
2018-06-30,974872409,974872409,1,4103000000,3099000000,3224000000,1868000000,879000000,0,0,289000000,1170000000,1756000000,116000000,116000000,0.12,0.11,0,-45000000,-78000000,28000000,-95000000,956000000,43000000,13.19,17.34,9.04,0.4829,0.0878,0.9,17.82,73.28,0,0,1.3311,0.2142,0.0504,1.74,-0.09,1.659
2018-03-31,969343988,969343988,1,3763000000,2751000000,3048000000,1697000000,715000000,0,0,289000000,1165000000,1647000000,81000000,81000000,0.08,0.08,0,-86000000,-46000000,-8000000,-140000000,1051000000,46000000,11.82,13.85,9.79,0.3482,0.0553,0.74,18.76,591,0,0,1.6294,0.19,0.0329,1.68,-0.14,1.6211
2017-12-30,969110191,969110191,1,3540000000,2622000000,2929000000,1486000000,611000000,0,0,289000000,1325000000,1480000000,61000000,61000000,0.07,0.05,0,383000000,-43000000,-34000000,306000000,1185000000,44000000,12.05,14.41,9.7,0.0879,0.0125,0.63,22.31,None,0,0,2.1686,0.1726,0.0081,1.55,0.35,1.7645
2017-09-30,964798603,964798603,1,3586000000,2699000000,3066000000,1591000000,520000000,0,0,289000000,1356000000,1643000000,71000000,71000000,0.07,0.07,0,66000000,51000000,2000000,119000000,879000000,34000000,13.75,15.65,11.86,-0.1566,-0.0203,0.54,31.25,None,0,None,2.6077,0.145,None,1.46,0.03,1.6964
2017-07-01,946779039,946779039,1,3370000000,2511000000,2953000000,1449000000,417000000,0,0,289000000,1375000000,1222000000,-16000000,-16000000,-0.02,-0.02,0,-82000000,124000000,-4000000,38000000,760000000,12000000,12.29,14.74,9.85,None,-0.1605,0.44,28.58,None,0,None,3.2974,0.1237,None,1.36,-0.1,1.7329
2017-04-01,945016174,945016174,1,3299000000,2498000000,2890000000,1372000000,409000000,0,0,289000000,1408000000,984000000,-73000000,-73000000,-0.08,-0.08,0,-299000000,-246000000,3000000,-542000000,722000000,23000000,12.48,15.55,9.42,None,-0.1361,0.43,28.36,None,0,None,3.4425,0.124,None,1.31,-0.34,1.8207
2016-12-31,940758118,940758118,1,3321000000,2530000000,2905000000,1346000000,416000000,0,0,289000000,1435000000,1106000000,-51000000,-51000000,-0.06,-0.06,0,188000000,-26000000,-156000000,6000000,1264000000,21000000,9.32,12.42,6.22,None,-0.1502,0.44,22.19,None,0,None,3.4495,0.1253,None,1.29,0.18,1.8796
2016-09-24,926868716,926868716,1,3616000000,2824000000,3231000000,1473000000,385000000,0,0,289000000,1632000000,1307000000,-406000000,-406000000,-0.5,-0.5,0,29000000,-10000000,282000000,301000000,1258000000,9000000,6.33,8,4.65,None,-0.1683,0.42,None,None,0,None,4.239,0.1065,None,1.27,0.02,1.9172
2016-06-25,795557811,795557811,1,3316000000,2506000000,3729000000,1581000000,-413000000,0,0,289000000,2012000000,1027000000,69000000,69000000,0.09,0.08,0,-85000000,329000000,-3000000,241000000,957000000,21000000,4.06,5.52,2.6,None,-0.1073,-0.52,None,None,0,None,None,None,None,1.23,-0.13,1.5851
2016-03-26,793519835,793519835,1,2981000000,2226000000,3484000000,1328000000,-503000000,0,0,278000000,2006000000,832000000,-109000000,-109000000,-0.14,-0.14,0,-42000000,-26000000,-1000000,-69000000,716000000,26000000,2.41,3.06,1.75,None,-0.1855,-0.63,None,None,0,None,None,None,None,1.19,-0.09,1.6762
2015-12-26,793248190,793248190,1,3109000000,2320000000,3521000000,1403000000,-412000000,0,0,278000000,2032000000,958000000,-102000000,-102000000,-0.13,-0.13,0,64000000,-32000000,-2000000,30000000,785000000,32000000,2.33,3,1.65,None,-0.2008,-0.52,None,None,0,None,None,None,None,1.21,0.04,1.6536
2015-09-26,790189438,790189438,1,3229000000,2466000000,3565000000,1449000000,-336000000,0,0,283000000,2030000000,1061000000,-197000000,-197000000,-0.25,-0.25,0,-59000000,-17000000,2000000,-74000000,755000000,25000000,2.12,2.63,1.61,None,-0.2671,-0.43,None,None,0,None,None,None,None,1.24,-0.11,1.7019
