"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-30,290135955,290135955,1,6969900000,2662400000,3438700000,996600000,3531200000,0,0,3220900000,1617000000,1331400000,117400000,117400000,0.4,0.4,0.3375,3200000,-72200000,-99500000,-161700000,1075300000,67800000,35.16,39.63,30.69,0.2081,0.1028,12.17,2.92,14.01,11.05,0.5544,0.4579,0.5066,0.1178,0.87,-0.22,2.6715
2018-12-29,289978011,289978011,1,7119300000,2828500000,3630900000,1081100000,3488400000,0,0,3225300000,1617400000,1800800000,254800000,254800000,0.88,0.88,0.3375,618300000,-182500000,-93700000,332300000,1237000000,61200000,41.66,51.29,32.03,0.2213,0.1077,12.03,3.65,22.52,10.71,0.5359,0.4637,0.49,0.1218,0.88,1.92,2.6163
2018-09-29,289795992,289795992,1,6703300000,2467500000,3393700000,899400000,3309600000,0,0,3213500000,1617400000,1381200000,122300000,122300000,0.42,0.42,0.3375,-19300000,-223000000,-94100000,-338700000,904700000,55200000,49.26,54.35,44.17,0.1701,0.0783,11.42,4.37,35.96,10.37,0.7238,0.4887,0.4937,0.09,0.87,-0.26,2.7435
2018-06-30,288038993,288038993,1,6678300000,2432600000,3433700000,938200000,3244600000,0,0,3217200000,1627100000,1483700000,211700000,211700000,0.73,0.73,0.34,410200000,-83700000,-91500000,211700000,1243400000,80800000,49.52,55.5,43.54,0.1296,0.0564,11.26,4.54,42.32,10.03,0.9741,0.5015,0.4858,0.0676,0.83,1.14,2.5928
2018-03-31,287817710,287817710,1,6588000000,2288300000,3450000000,860100000,3138000000,0,0,3253800000,1617700000,1322400000,140300000,140300000,0.49,0.48,0.3375,155500000,-92600000,-1098400000,-1033300000,1031700000,60100000,48.9,53.57,44.23,0.1122,0.0494,10.9,4.72,43.66,9.69,1.1418,0.5155,0.4763,0.061,0.81,0.33,2.6605
2017-12-30,284882437,284882437,1,7481200000,3282300000,4531800000,1731400000,2949400000,0,0,3147700000,1906400000,1785000000,63200000,63200000,0.22,0.22,0.3375,534800000,233100000,-82400000,691700000,2065000000,77600000,39.83,40.95,38.7,0.1084,0.0502,10.35,3.85,24.74,9.36,1.1994,0.6464,0.3942,0.0614,0.82,1.6,1.8957
2017-09-30,284375237,284375237,1,7454400000,3022300000,4514400000,1734900000,2940000000,0,0,3163300000,1907800000,1288900000,-17700000,-17700000,-0.06,-0.06,0.3375,-103800000,-2221600000,1022400000,-1299600000,1373300000,48900000,43.98,48.85,39.11,0.1566,0.0806,10.34,4.14,21.04,9.02,0.8371,0.6489,0.3944,0.0962,0.84,-0.54,1.7421
2017-07-01,282584704,282584704,1,5831600000,3953300000,2829700000,753800000,3001900000,0,0,821300000,1600000000,1133800000,151700000,151700000,0.54,0.53,0.34,323800000,30500000,919700000,1278400000,2672900000,88300000,43.11,47.76,38.47,0.2068,0.1197,10.62,4.19,23.3,8.68,0.6435,0.533,0.5148,0.1317,0.91,0.83,5.2445
2017-04-01,281128639,281128639,1,4661000000,2769600000,1769100000,636300000,2891900000,0,0,824000000,600000000,995200000,122200000,122200000,0.44,0.43,0.3375,201900000,-37300000,-83200000,84800000,1394500000,-51100000,38.02,41.7,34.33,0.1874,0.1107,10.29,3.79,20.89,8.34,0.7278,0.2075,0.6204,0.1155,0.96,0.9,4.3527
2016-12-31,280616067,280616067,1,4678700000,2765700000,1867600000,715200000,2811100000,0,0,811900000,600000000,1321700000,199700000,199700000,0.71,0.71,0.3375,366200000,44200000,-89600000,309700000,1309700000,54100000,36.47,38.86,34.07,0.1885,0.1086,10.02,3.75,21.2,8,0.7396,0.2134,0.6008,0.1124,0.97,1.11,3.867
