"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,405246816,405246816,1,33148697000,None,16695891000,None,14994455000,1458351000,0,1657459000,13401538000,1320106000,137762000,137762000,0.34,0.34,0.87,510587000,-2728632000,2173009000,-47721000,359718000,2648457000,78.22,85.26,71.18,0.0422,0.0202,37,2.1,49.82,67.37,2.2522,0.8938,0.4523,0.1198,0.16,-5.28,None
2019-03-31,404940650,404940650,1,30637336000,None,14138960000,None,15078491000,1419885000,0,1607684000,12410495000,1272245000,280470000,280470000,0.72,0.71,0.87,343895000,197268000,-452205000,91310000,407439000,349936000,73.11,79.41,66.82,0.0444,0.0221,37.24,2.03,36.01,66.5,2.1457,0.8231,0.4922,0.128,0.16,-0.01,None
2018-12-31,386361193,386361193,1,30342072000,None,14331427000,None,14632334000,1378311000,718498000,1649480000,12256363000,1241243000,124696000,124696000,0.27,0.28,0.87,372796000,-253178000,-81191000,34844000,316129000,201565000,67.84,74.75,60.93,0.0568,0.0286,36.01,1.88,46.79,65.63,1.6772,0.8809,0.4586,0.1662,0.16,0.44,None
2018-09-30,375644415,375644415,1,30249119000,None,14579054000,None,14307685000,1362380000,718498000,440936000,12304828000,1236379000,84226000,64384000,0.17,0.17,0.87,372724000,-2263544000,1899849000,8902000,281285000,3016722000,64.22,67.7,60.74,0.0398,0.0217,36.18,1.75,43.39,64.76,2.3808,0.9055,0.4492,0.1194,0.16,-7.04,None
2018-06-30,372027784,372027784,1,27618982000,None,12420338000,None,14341923000,856721000,718498000,452680000,10995134000,1125912000,167273000,154432000,0.42,0.41,0.87,469780000,-290826000,-164941000,8264000,272383000,50019000,56.52,63.45,49.58,0.0402,0.0223,36.62,1.52,35.77,63.89,2.331,0.8071,0.4933,0.1255,0.16,1.13,None
2018-03-31,371981518,371981518,1,27746659000,None,12298458000,None,14558435000,889766000,718498000,2016340000,10577232000,1096965000,453555000,437671000,1.18,1.17,0.87,368644000,421077000,-835349000,-45184000,264119000,-822927000,58.45,64.68,52.22,0.0423,0.0235,37.21,1.59,46.02,63.02,2.1917,0.7643,0.4988,0.1353,0.16,3.2,None
2017-12-31,371669527,371669527,1,27944445000,None,12643799000,None,14423147000,877499000,718503000,1947826000,11108093000,1104258000,-89737000,-111516000,-0.3,-0.3,0.87,271713000,-374615000,-14420000,-114786000,309303000,-590076000,66.97,70.87,63.06,0.0333,0.0193,36.87,1.77,27,62.15,2.7719,0.8105,0.4904,0.1074,0.15,2.32,None
2017-09-30,370356835,370356835,1,28180379000,None,12548967000,None,14729925000,901487000,718503000,1954065000,11197079000,1091483000,89299000,74043000,0.2,0.2,0.87,318355000,-369929000,-167130000,-206037000,236247000,656642000,72.84,75.91,69.77,0.0651,0.0348,37.83,1.9,22.69,61.28,1.4023,0.7991,0.4972,0.2117,0.15,-0.91,None
2017-06-30,368878685,368878685,1,27975786000,None,12273387000,None,14828832000,873567000,718750000,1887050000,11090920000,1058602000,203441000,188429000,0.51,0.51,0.87,458583000,-166114000,-239351000,61924000,442284000,-88320000,73.41,78.17,68.66,0.0841,0.0436,38.25,1.93,22.66,60.41,1.0804,0.786,0.5044,0.2732,0.15,1.48,None
2017-03-31,366166605,366166605,1,27767277000,None,12271596000,None,14636203000,859478000,718750000,1900511000,10949744000,1062298000,337610000,312639000,0.86,0.86,0.87,385526000,1065239000,-1492626000,-39018000,380360000,-873269000,67.88,71.14,64.63,0.0857,0.0435,38.01,1.78,24.24,59.54,1.0628,0.7868,0.5012,0.2737,0.15,3.44,None
