"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-30,228685770,228685770,1,1809500000,909600000,1081200000,284700000,728300000,0,0,590400000,599400000,265200000,-4800000,-4800000,-0.02,-0.02,0,41200000,-7900000,400000,37700000,515800000,9300000,11.5,13.48,9.53,-0.0501,-0.0191,3.18,3.7,None,0,None,0.823,0.4025,None,0.59,0.14,3.1949
2018-12-29,227996418,227996418,1,1798200000,889900000,1088100000,297800000,710100000,0,0,594000000,594700000,306900000,13000000,13000000,0.06,0.06,0,41500000,-17100000,-155600000,-135200000,478100000,10700000,11,12.82,9.17,-0.0549,-0.0206,3.11,3.54,None,0,None,0.8375,0.3949,None,0.55,0.14,2.9882
2018-09-29,228422336,228422336,1,1888800000,1026200000,1179200000,429600000,709600000,0,0,557700000,589800000,268500000,-15300000,-15300000,-0.07,-0.07,0,27600000,107000000,-138400000,-11000000,613300000,10500000,10.74,11.55,9.93,-0.0768,-0.0287,3.11,3.38,None,0,None,0.8312,0.3757,None,0.48,0.07,2.3887
2018-06-30,226710621,226710621,1,2022600000,1152600000,1301900000,561200000,720700000,0,0,571400000,584700000,264000000,-28800000,-28800000,-0.12,-0.12,0,17500000,16500000,65800000,77100000,611400000,10600000,9.84,10.37,9.31,-0.0614,-0.0232,3.18,2.94,None,0,None,0.8113,0.3563,None,0.44,0.03,2.0538
2018-03-31,226315418,226315418,1,2007200000,1089500000,1248600000,690700000,758600000,0,0,609500000,393300000,219400000,-8700000,-8700000,-0.04,-0.04,0,13600000,-213100000,-33000000,-218800000,534300000,13500000,9.69,10.89,8.49,-0.0046,-0.0017,3.35,2.91,74.54,0,None,0.5185,0.3779,None,0.41,0,1.5774
2017-12-30,225924290,225924290,1,1958400000,1479700000,1205000000,680000000,753400000,0,0,214000000,389700000,201800000,-3700000,-3700000,-0.02,-0.02,0,23900000,-27800000,-38700000,-39600000,753100000,5100000,9.04,9.73,8.34,0.0406,0.0153,3.33,2.68,25.11,0,0,0.5173,0.3847,0.0394,0.39,0.08,2.176
2017-09-30,227421473,227421473,1,1957900000,1469100000,1191600000,667000000,766300000,0,0,220200000,524600000,195200000,-4800000,-4800000,-0.02,-0.02,0,11000000,-57200000,-174600000,-211700000,792700000,7500000,10.34,11.54,9.14,0.1109,0.0424,3.37,2.99,14.56,0,0,0.6846,0.3914,0.1057,0.4,0.02,2.2025
2017-07-01,227547102,227547102,1,2110500000,1667000000,1324100000,228800000,786400000,0,0,182700000,959200000,198100000,13700000,13700000,0.07,0.06,0,33800000,38800000,-43700000,40200000,1004400000,6700000,10.68,11.89,9.46,0.2209,0.0863,3.46,3.14,30.51,0,0,1.2197,0.3726,0.2057,0.42,0.12,7.2858
2017-04-01,226977290,226977290,1,2140700000,1697500000,1369500000,247000000,771200000,0,0,188300000,985900000,196000000,26000000,26000000,0.11,0.11,0,17300000,28800000,405100000,458500000,964200000,8700000,9.64,11.15,8.13,0.1167,0.0467,3.4,3.13,25.37,0,0,1.2784,0.3603,0.1019,0.46,0.04,6.8725
2016-12-31,230314179,230314179,1,1718800000,1274900000,1009400000,245000000,709400000,0,0,194100000,626300000,206500000,49200000,49200000,0.21,0.21,0,18600000,44500000,-13700000,31400000,505700000,7100000,7.88,8.76,6.99,0.1246,0.0533,3.08,2.4,41.47,0,0,0.8829,0.4127,0.108,0.49,0.05,5.2037
