"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,246300000,246300000,1,10185000000,3694000000,7725000000,2699000000,512000000,1948000000,0,4972000000,3664000000,1704000000,555000000,555000000,2.25,2.24,0.57,717000000,-32000000,-179000000,484000000,1920000000,26000000,220.75,235.58,205.93,None,0.2035,2.08,165.98,29.63,21.4,0.2691,7.1563,0.0503,0.3101,0.66,2.81,1.3687
2019-03-31,246200000,246200000,1,9720000000,3182000000,7685000000,2655000000,327000000,1708000000,0,5025000000,3663000000,1571000000,410000000,410000000,1.66,1.65,0.57,293000000,-21000000,-829000000,-522000000,1436000000,20000000,187.63,211.27,163.99,None,0.1987,1.33,74.16,24.27,20.83,0.2748,11.2018,0.0336,0.2997,0.66,1.11,1.1985
2018-12-31,248600000,248600000,1,9458000000,3604000000,7154000000,2629000000,628000000,1676000000,0,5059000000,3662000000,1536000000,511000000,511000000,2.06,2.03,0.5,663000000,-167000000,-709000000,-245000000,1958000000,19000000,178.11,199.54,156.68,None,0.2143,2.53,49.34,26.5,20.26,0.2559,5.8312,0.0664,0.3129,0.68,2.59,1.3709
2018-09-30,250900000,250900000,1,9383000000,3628000000,6940000000,2517000000,905000000,1538000000,0,4964000000,3661000000,1546000000,495000000,495000000,1.97,1.95,0.5,498000000,-41000000,-175000000,268000000,2203000000,28000000,206.32,217.31,195.34,None,0.1872,3.61,88.93,32.34,19.76,0.2814,4.0453,0.0965,0.2708,0.69,1.87,1.4414
2018-06-30,251500000,251500000,1,9217000000,3468000000,7150000000,2724000000,583000000,1484000000,0,4991000000,3660000000,1609000000,461000000,461000000,1.83,1.82,0.5,543000000,-218000000,-88000000,179000000,1935000000,27000000,196.37,208.98,183.75,None,0.1816,2.32,6545.67,31.78,19.26,0.2826,6.2779,0.0633,0.2594,0.7,2.05,1.2731
2018-03-31,251300000,251300000,1,8497000000,3284000000,7079000000,3135000000,7000000,1411000000,0,4435000000,3170000000,1567000000,491000000,491000000,1.94,1.93,0.5,360000000,-87000000,-1316000000,-1023000000,1756000000,33000000,181.38,197.76,164.99,None,0.1793,0.03,64.78,31.38,18.76,0.2769,452.8571,0.0008,0.2571,0.7,1.3,1.0475
2017-12-31,253900000,253900000,1,9425000000,4324000000,7307000000,3214000000,711000000,1407000000,0,4377000000,3170000000,1588000000,262000000,262000000,1.05,1.02,0.41,813000000,-54000000,-296000000,467000000,2779000000,46000000,163.66,174.07,153.25,None,0.1682,2.8,49.74,24.03,18.26,0.2806,4.4585,0.0754,0.2467,0.68,3.02,1.3454
2017-09-30,255000000,255000000,1,8714000000,3653000000,6660000000,2408000000,839000000,1215000000,0,4413000000,3568000000,1513000000,414000000,414000000,1.62,1.61,0.41,529000000,-31000000,-593000000,-72000000,2312000000,21000000,152.03,158.35,145.72,None,0.2034,3.29,38.39,17.76,17.85,0.2307,4.2527,0.0963,0.3015,0.67,1.99,1.517
2017-06-30,257000000,257000000,1,8791000000,3723000000,6611000000,2362000000,1019000000,1161000000,0,4424000000,3566000000,1509000000,421000000,421000000,1.63,1.62,0.41,321000000,-102000000,-272000000,-27000000,2384000000,33000000,139,150.4,127.6,None,0.2586,3.96,45.42,16.59,17.44,0.1767,3.4995,0.1159,0.3878,0.67,1.12,1.5762
2017-03-31,257800000,257800000,1,8654000000,3663000000,6730000000,2469000000,789000000,1135000000,0,4434000000,3565000000,1453000000,399000000,399000000,1.54,1.53,0.41,353000000,-22000000,-346000000,19000000,2411000000,21000000,120.48,133.08,107.87,None,0.2579,3.06,47.81,15.15,17.03,0.1751,4.5184,0.0912,0.383,0.67,1.29,1.4836
2016-12-31,258399999,258399999,1,8669000000,3671000000,6888000000,2611000000,650000000,1131000000,0,4455000000,3564000000,1399000000,537000000,537000000,2.08,2.05,0.36,293000000,347000000,-582000000,-7000000,2392000000,-379000000,117.44,127.68,107.21,None,0.2485,2.52,65.98,17.25,16.62,0.1788,5.4831,0.075,0.372,0.67,2.6,1.406
2016-09-30,259100000,259100000,1,8676000000,3704000000,7245000000,3051000000,462000000,969000000,0,4476000000,3563000000,1439000000,892000000,892000000,3.39,3.36,0.36,600000000,946000000,-647000000,832000000,2399000000,-1040000000,116.58,128.4,104.75,None,0.2175,1.78,82.1,26.68,16.26,0.2042,7.7121,0.0533,0.3224,0.67,6.33,1.214
2016-06-30,264000000,264000000,1,8291000000,3459000000,6946000000,2845000000,376000000,969000000,0,4365000000,3470000000,1482000000,383000000,383000000,1.45,1.44,0.36,438000000,-64000000,-382000000,-33000000,1567000000,20000000,104.29,112.75,95.83,None,0.1431,1.42,124.15,24.77,15.9,0.3118,9.2287,0.0454,0.2132,0.67,1.58,1.2158
2016-03-31,264600000,264600000,1,8261000000,3448000000,7071000000,2982000000,222000000,968000000,0,4357000000,3469000000,1341000000,294000000,294000000,1.11,1.1,0.36,133000000,-24000000,11000000,119000000,1600000000,16000000,89.2,99.85,78.55,None,0.1498,0.84,122.19,21.19,15.54,0.3155,15.6261,0.0269,0.2132,0.7,0.44,1.1563
2015-12-31,265300000,265300000,1,8183000000,3296000000,7020000000,2908000000,194000000,969000000,0,4404000000,3468000000,1374000000,248000000,248000000,0.93,0.91,0.33,551000000,-69000000,-417000000,40000000,1481000000,65000000,93.69,101.27,86.1,None,0.1663,0.73,38.56,493.11,15.18,0.3088,17.8763,0.0237,0.2176,0.76,1.83,1.1334
2015-09-30,270300000,270300000,1,8163000000,2836000000,6649000000,2505000000,658000000,856000000,0,4849000000,3489000000,1324000000,252000000,252000000,0.93,0.92,0.33,541000000,-2419000000,1634000000,-279000000,1441000000,32000000,96.07,107.5,84.64,0.1029,0.0095,2.43,34.31,None,14.85,5.5793,5.3024,0.0806,0.0122,0.78,1.88,1.1321
2015-06-30,272500000,272500000,1,6013000000,3213000000,4388000000,2240000000,763000000,862000000,0,2360000000,1494000000,1342000000,353000000,353000000,1.29,1.28,0.33,452000000,-18000000,73000000,544000000,1720000000,12000000,104.29,108.14,100.44,0.0012,0.0002,2.8,52.94,None,14.52,343.746,1.9581,0.1269,0.0002,0.83,1.61,1.4344
2015-03-31,273700000,273700000,1,5448000000,2688000000,4049000000,2579000000,539000000,860000000,0,2351000000,799000000,1273000000,303000000,303000000,1.11,1.1,0.33,-1478000000,-19000000,220000000,-1321000000,1176000000,16000000,97.09,109.13,85.06,-0.0599,-0.0098,1.97,54.54,None,14.19,None,1.4824,0.0989,None,0.83,-5.46,1.0423
2014-12-31,273500000,273500000,1,6771000000,3966000000,5422000000,3967000000,488000000,861000000,0,2391000000,799000000,1206000000,-845000000,-845000000,-3.11,-3.11,0.3,391000000,290000000,-61000000,579000000,2497000000,40000000,83.95,93.94,73.96,-0.0952,-0.0183,1.78,14.78,25.83,13.86,None,1.6373,0.0721,None,0.8,1.28,0.9997
2014-09-30,271500000,271500000,1,6270000000,3188000000,3870000000,2384000000,1541000000,859000000,0,2447000000,799000000,1263000000,190000000,190000000,0.7,0.69,0.3,377000000,17000000,-50000000,301000000,1918000000,-68000000,82.49,87.28,77.7,0.6389,0.1479,5.68,15.51,24.77,13.56,0.3551,0.5185,0.2458,0.177,0.84,1.64,1.3372
2014-06-30,270900000,270900000,1,6057000000,2993000000,3758000000,2252000000,1442000000,857000000,0,2440000000,799000000,1346000000,292000000,292000000,1.08,1.06,0.3,339000000,-17000000,-255000000,86000000,1617000000,17000000,78.37,84.81,71.93,0.7295,0.1546,5.32,15.64,24.64,13.26,0.3394,0.5541,0.2381,0.1844,0.84,1.19,1.329
2014-03-31,272200000,272200000,1,6011000000,2864000000,3794000000,2254000000,1363000000,854000000,0,2449000000,799000000,1236000000,248000000,248000000,0.91,0.89,0.3,120000000,-35000000,-96000000,-11000000,1531000000,20000000,77.61,82.39,72.83,0.7311,0.1477,5.01,16.17,15.9,12.96,0.3492,0.5862,0.2268,0.1803,0.82,0.37,1.2706
2013-12-31,271000000,271000000,1,6061000000,2936000000,3907000000,2372000000,1301000000,853000000,0,2445000000,799000000,1250000000,172000000,172000000,0.63,0.61,0.28,244000000,-142000000,-143000000,-35000000,1542000000,63000000,72.08,78.81,65.34,None,0.2261,4.8,19.97,20.59,12.66,0.222,0.6141,0.2147,0.2823,0.8,0.67,1.2378
2013-09-30,270800000,270800000,1,5848000000,2828000000,4023000000,2359000000,977000000,848000000,0,2429000000,799000000,1194000000,215000000,215000000,0.79,0.77,0.28,179000000,25000000,-556000000,-323000000,1577000000,-40000000,60.2,66.96,53.45,0.9887,0.156,3.61,13.56,15.72,12.38,0.3063,0.8178,0.1671,0.2037,0.77,0.81,1.1988
2013-06-30,275200000,275200000,1,6160000000,3107000000,4079000000,2395000000,1223000000,858000000,0,2469000000,799000000,1250000000,254000000,254000000,0.93,0.91,0.28,102000000,-21000000,-73000000,-5000000,1900000000,21000000,53.53,56.55,50.51,0.9047,0.1585,4.44,14.24,14.55,12.1,0.2738,0.6533,0.1985,0.1938,0.82,0.29,1.2973
2013-03-31,274100000,274100000,1,6270000000,3181000000,4378000000,2688000000,1030000000,862000000,0,2483000000,799000000,1181000000,735000000,735000000,2.62,2.59,0.28,26000000,2137000000,-996000000,1145000000,1905000000,22000000,50.34,58.62,42.07,0.7998,0.1468,3.76,18.44,33.12,11.82,0.2784,0.7757,0.1643,0.1776,0.83,0.01,1.1834
2012-12-31,280800000,280800000,1,7052000000,3899000000,5402000000,3667000000,767000000,883000000,0,2519000000,799000000,1226000000,-216000000,-216000000,-0.77,-0.77,0.26,420000000,-112000000,-690000000,-386000000,760000000,-100000000,53.5,57.44,49.56,0.2952,0.061,2.73,8.32,17.72,11.54,0.6558,1.0417,0.1088,0.0721,0.85,1.85,1.0633
2012-09-30,277700000,277700000,1,7943000000,3259000000,5271000000,3358000000,1786000000,886000000,0,3604000000,799000000,1953000000,314000000,314000000,1.13,1.1,0.255,692000000,-90000000,-212000000,407000000,1243000000,77000000,49.69,55.19,44.19,0.5207,0.1238,6.43,8.37,15.88,11.28,0.3264,0.4474,0.2249,0.1375,0.9,2.21,0.9705
2012-06-30,280200000,280200000,1,7310000000,2640000000,4788000000,2879000000,1663000000,859000000,0,3563000000,799000000,1547000000,216000000,216000000,0.77,0.76,0.255,180000000,-179000000,-57000000,-72000000,836000000,67000000,46.01,50,42.02,0.5188,0.1349,5.94,7.54,15.09,11.03,0.3108,0.4805,0.2275,0.1468,0.92,0.4,0.917
2012-03-31,279700000,279700000,1,6352000000,2578000000,4566000000,2858000000,1706000000,80000000,0,2659000000,798000000,1331000000,123000000,123000000,0.44,0.43,0.255,-25000000,-64000000,42000000,-36000000,908000000,53000000,46.64,48.6,44.67,0.4762,0.136,6.1,8.61,15.5,10.77,0.3167,0.4678,0.2686,0.1452,0.94,-0.28,0.902
2011-12-31,278000000,278000000,1,6427000000,2679000000,4843000000,3130000000,1508000000,76000000,0,2656000000,798000000,1475300000,214300000,214300000,0.74,0.73,0.25,306400000,120200000,-912100000,-494000000,944000000,102300000,42.23,45.77,38.68,0.4444,0.1334,5.42,5.61,15.25,10.52,0.3231,0.5292,0.2346,0.1459,0.91,0.73,0.8559
2011-09-30,293400000,293400000,1,7153700000,3389500000,4865600000,2760200000,2208200000,79900000,0,2659100000,1198000000,1908000000,365600000,365600000,1.23,1.21,0.25,699200000,-152600000,-373900000,137400000,1437600000,69900000,40.97,46.99,34.95,0.3822,0.1218,7.53,5.48,14.68,10.27,0.3473,0.5425,0.3087,0.1351,0.9,2.14,1.228
2011-06-30,301300000,301300000,1,6944000000,3126400000,4608200000,2523200000,2255000000,80800000,0,2651500000,1198000000,1580800000,211100000,211100000,0.7,0.68,0.25,289100000,-34600000,-228100000,30600000,1300200000,58300000,40.8,43.5,38.09,0.392,0.125,7.48,5.57,15,10.02,0.3402,0.5313,0.3247,0.1358,0.92,0.77,1.2391
2011-03-31,304700000,304700000,1,6789700000,2924000000,4474000000,2380000000,2229200000,86500000,0,2666500000,1198000000,1281900000,120000000,120000000,0.39,0.39,0.25,49300000,-179000000,-150900000,-256000000,1269600000,46500000,38.38,40.56,36.2,0.4017,0.1248,7.32,5.32,14.43,9.77,0.3451,0.5374,0.3283,0.135,0.92,0.01,1.2286
2010-12-31,306674766,306674766,1,7046561000,3294611000,4755170000,2680874000,2210296000,81095000,0,2550845000,1197965000,1524079000,153843000,153843000,0.51,0.49,0.23,404836000,-130301000,-69421000,202755000,1525596000,108739000,36.08,39.45,32.7,0.4097,0.1246,7.21,5.2,13.31,9.52,0.3496,0.542,0.3137,0.1342,0.93,0.97,1.2289
2010-09-30,307000000,307000000,1,6884288000,3178724000,4669802000,2587697000,2130065000,84421000,0,2521961000,1197922000,1979806000,379850000,379850000,1.24,1.23,0.235,693809000,-366344000,-142530000,205014000,1322841000,63835000,30.44,33.8,27.08,0.436,0.1294,6.94,5.11,11.94,9.29,0.3427,0.5624,0.3094,0.1378,0.94,2.05,1.2284
2010-06-30,309100000,309100000,1,6364026000,2907953000,4444100000,2359777000,1842946000,76980000,0,1890711000,1197879000,1474056000,191084000,191084000,0.61,0.61,0.235,256710000,-63904000,-270700000,-91543000,1117827000,57248000,31.95,36.94,26.95,0.4391,0.1249,5.96,5.31,12.99,9.05,0.3599,0.65,0.2896,0.1329,0.94,0.65,1.2323
2010-03-31,315500000,315500000,1,6289236000,2774993000,4304251000,2206367000,1900796000,84189000,0,1891692000,1197835000,1190390000,103286000,103286000,0.33,0.33,0.235,102824000,-37001000,-50758000,-557000,1209370000,36463000,34.67,36.67,32.68,0.4522,0.1222,6.02,5.93,14.88,8.82,0.3701,0.6302,0.3022,0.1286,0.95,0.21,1.2577
2009-12-31,315689313,315689313,1,6475250000,2936396000,4546073000,2451954000,1847287000,81890000,0,1892572000,1197791000,1462492000,167294000,167294000,0.53,0.54,0.22,424385000,-111328000,-56228000,252662000,1209927000,101922000,29.85,35.24,24.46,0.4749,0.1178,5.85,5.6,13.82,8.58,0.3859,0.6484,0.2853,0.1227,0.96,1.02,1.1976
2009-09-30,314900000,314900000,1,6415467000,2856939000,4662227000,2516070000,1677006000,76234000,0,1691837000,1197747000,1875903000,336111000,336111000,1.08,1.07,0.225,607342000,-67533000,-154790000,401134000,957265000,57742000,28.83,34.1,23.55,0.4861,0.1113,5.33,6.51,12.43,8.36,0.4147,0.7142,0.2614,0.115,0.97,1.75,1.1355
2009-06-30,314800000,314800000,1,6058016000,2397222000,4591998000,2417593000,1393440000,72578000,0,1688748000,1197701000,1465180000,164093000,164093000,0.53,0.52,0.225,221921000,-47403000,-134081000,59332000,556131000,57194000,28.28,34.09,22.46,0.529,0.1196,4.43,7.2,11.5,8.14,0.3818,0.8595,0.23,0.1206,0.99,0.52,0.9916
2009-03-31,314500000,314500000,1,5849418000,2127925000,4543434000,2354018000,1235206000,70778000,0,2120719000,1197656000,1148207000,63004000,63004000,0.2,0.2,0.225,67131000,-52428000,19049000,25128000,496799000,52428000,21.55,25.89,17.22,0.5521,0.1249,3.93,5.28,8.59,7.91,0.3571,0.9696,0.2112,0.1243,1,0.05,0.904
2008-12-31,314412208,314412208,1,6080142000,2302723000,4797806000,2530703000,1282336000,0,0,2132063000,1197611000,1415418000,115921000,115921000,0.37,0.37,0.22,454806000,-111796000,-319430000,-13555000,471671000,102996000,24.86,31.13,18.59,0.5378,0.1257,4.08,4.79,9.71,7.69,0.3489,0.9339,0.2109,0.1258,1,1.12,0.9099
2008-09-30,314500000,314500000,1,6533178000,2584855000,4899818000,2817971000,1633360000,0,0,2158177000,1197565000,2048541000,390166000,390166000,1.25,1.23,0.22,676535000,-96164000,-433448000,129922000,485226000,91369000,37.93,45.86,30,0.5257,0.1282,5.19,7.99,14.21,7.47,0.3328,0.7332,0.25,0.1266,1.01,1.86,0.9173
2008-06-30,317600000,317600000,1,6558887000,2509664000,5048713000,2969065000,1510174000,0,0,2173523000,1197519000,1673225000,212294000,212294000,0.67,0.66,0.22,149669000,-117235000,-72814000,-41405000,355304000,94445000,40.78,45.1,36.46,0.5566,0.1379,4.75,8.62,14.56,7.25,0.3076,0.793,0.2302,0.1333,1.03,0.17,0.8453
2008-03-31,321300000,321300000,1,6266851000,2204083000,4746265000,2666424000,1520586000,0,0,2159585000,1197472000,1217871000,81110000,81110000,0.25,0.25,0.22,-112257000,-108063000,213405000,613000,396709000,96187000,39.63,44.06,35.2,0.5636,0.1498,4.73,7.96,13.43,7.03,0.2862,0.7875,0.2426,0.142,1.05,-0.65,0.8266
2007-12-31,322785554,322785554,1,6357336000,2333035000,4750686000,2656860000,1606650000,0,0,2157243000,1197425000,1569688000,140625000,140625000,0.43,0.42,0.2,640050000,-179431000,-515075000,-56435000,396096000,176975000,49.3,55.14,43.46,0.5628,0.1622,4.98,9.37,15.95,6.81,0.2682,0.7453,0.2527,0.1497,1.08,1.43,0.8781
2007-09-30,329000000,329000000,1,6524696000,2691847000,4794791000,3935871000,1729905000,0,0,2167374000,292000,2187996000,452018000,452018000,1.37,1.34,0.205,688370000,-181510000,-423461000,94449000,452531000,137329000,57.98,68.81,47.15,0.5208,0.1746,5.26,10.39,20.63,6.61,0.2516,0.0002,0.2651,0.1586,1.1,1.67,0.6839
2007-06-30,338900000,338900000,1,6239445000,2446314000,4347753000,3502092000,1891692000,0,0,2119536000,300000,1718179000,277078000,277078000,0.81,0.79,0.205,259805000,-181390000,-156597000,-71549000,358082000,141320000,66.33,72.5,60.16,0.4405,0.166,5.58,11.52,25.32,6.4,0.2661,0.0002,0.3032,0.1527,1.09,0.35,0.6985
2007-03-31,343200000,343200000,1,5877804000,2141679000,3902226000,3024613000,1975578000,0,0,2078406000,307000,1296418000,143838000,143838000,0.41,0.4,0.205,128726000,-27362000,-26094000,76133000,429631000,27362000,65.52,69.98,61.06,0.4042,0.1587,5.76,8.68,27.07,6.2,0.276,0.0002,0.3361,0.1485,1.07,0.3,0.7081
2006-12-31,354936282,354936282,1,6042890000,2257938000,3363272000,2468016000,2679618000,0,0,2130558000,314000,1594346000,204777000,204777000,0.58,0.56,0.18,558527000,-168392000,-354059000,43787000,353498000,164696000,63.27,69.25,57.28,0.3611,0.1485,7.55,8.6,26.81,5.99,0.2919,0.0001,0.4434,0.141,1.05,1.11,0.9149
2006-09-30,354200000,354200000,1,6131883000,2379909000,3526057000,2543345000,2605826000,0,0,2131378000,318000,1992570000,382273000,382273000,1.09,1.06,0.182,657513000,-102528000,-454206000,98658000,309711000,93637000,53.35,58.3,48.4,0.3397,0.1438,7.36,8.69,23.2,5.81,0.2912,0.0001,0.425,0.1398,1.03,1.59,0.9357
2006-06-30,351900000,351900000,1,5935430000,2137188000,3776344000,2789439000,2159086000,0,0,2128156000,327000,1527543000,220961000,220961000,0.62,0.6,0.182,313529000,-92646000,-186416000,31315000,211053000,91753000,53.27,58.75,47.8,0.3217,0.1423,6.14,8.18,24.1,5.63,0.2885,0.0002,0.3638,0.1399,1.02,0.63,0.7662
2006-03-31,357800000,357800000,1,5653489000,1848966000,3324143000,2343682000,2329346000,0,0,2130881000,333000,1140679000,74220000,74220000,0.2,0.2,0.182,-20265000,-63914000,-485263000,-569049000,179738000,63914000,52.97,59.57,46.37,0.2942,0.1367,6.51,6.25,23.91,5.45,0.2581,0.0001,0.412,0.1373,1,-0.24,0.7889
2005-12-31,367181996,367181996,1,6395808000,2590939000,3282660000,2224826000,3113148000,0,0,2141584000,339000,1541318000,189312000,189312000,0.5,0.5,0.16,662620000,-136996000,-235910000,282152000,748787000,130371000,49.78,53.97,45.6,0.2854,0.1386,8.48,5.9,22.52,5.27,0.2528,0.0001,0.4867,0.1406,0.99,1.45,1.1646
2005-09-30,374900000,374900000,1,6357162000,2582082000,3193575000,2175920000,3163587000,0,0,2144078000,345000,1977041000,381289000,381289000,1.02,1,0.165,668181000,3632000,-452363000,220740000,466635000,-8884000,45.88,48.75,43.01,0.2888,0.1418,8.44,6.1,22.33,5.11,0.2506,0.0001,0.4976,0.1438,0.99,1.81,1.1867
2005-06-30,373800000,373800000,1,6164786000,2216826000,3352958000,2345764000,2811828000,0,0,2237053000,350000,1456277000,194970000,194970000,0.52,0.51,0.083,213235000,-528602000,213656000,-115204000,245895000,91966000,43.09,45.67,40.51,0.2763,0.1361,7.52,5.89,21.82,4.94,0.2625,0.0001,0.4561,0.1409,0.97,0.32,0.945
2005-03-31,187300000,374600000,2,5454592000,2016053000,2711420000,1811250000,2743172000,0,0,1734868000,357000,1029006000,78735000,78735000,0.42,0.41,0.33,15854000,-63024000,-269172000,-319524000,361099000,49695000,45.41,48,42.81,0.2709,0.1373,7.32,5.79,23.11,4.86,0.3069,0.0001,0.5029,0.1414,0.97,-0.09,1.1131
2004-12-31,190283170,380566340,2,5862989000,2447830000,2878476000,1968662000,2984513000,0,0,1724983000,513000,1412755000,190037000,190037000,1.01,0.99,0.3,510266000,-132360000,-134280000,256860000,680623000,125024000,42.73,46.05,39.42,0.2748,0.1402,7.84,5.65,22.67,4.7,0.3019,0.0002,0.509,0.144,0.97,1.01,1.2434
2004-09-30,189900000,379800000,2,5682080000,2323505000,2812077000,1978401000,2870003000,0,0,1726272000,375000,1695911000,324481000,324481000,1.71,1.69,0.3,524991000,-404717000,-80451000,40185000,423763000,110574000,38.14,39.88,36.41,0.2745,0.1376,7.56,5.56,21.25,4.55,0.307,0.0001,0.5051,0.145,0.95,1.09,1.1744
2004-06-30,190000000,380000000,2,5115741000,2038725000,2509965000,1700856000,2605776000,0,0,1418359000,380000,1230297000,165626000,165626000,0.87,0.86,0.3,181113000,-97704000,-101026000,-20371000,383578000,92951000,39.25,40.67,37.83,0.2707,0.1339,6.86,5.88,22.62,4.4,0.3146,0.0001,0.5094,0.1402,0.95,0.23,1.1986
2004-03-31,190500000,381000000,2,4901964000,1808687000,2359389000,1551065000,2542575000,0,0,1419758000,385000,911575000,75679000,75679000,0.4,0.39,0.3,-152898000,-11933000,-125988000,-291642000,403949000,11933000,37.37,40.19,34.55,0.2706,0.1294,6.67,5.59,20.88,4.25,0.3177,0.0002,0.5187,0.1365,0.95,-0.43,1.1661
2003-12-31,191394741,382789482,2,5394068000,2256152000,2837017000,1993734000,2557051000,0,0,1458108000,389000,1168230000,159924000,159924000,0.84,0.83,0.27,562438000,241419000,-314017000,496478000,695591000,-243219000,33,35,31,0.291,0.1337,6.68,5.03,19.19,4.09,0.3003,0.0002,0.474,0.1424,0.94,2.1,1.1316
2003-09-30,191600000,383200000,2,5252927000,1973472000,2739007000,1931779000,2513920000,0,0,1517698000,168553000,1622606000,290296000,290296000,1.52,1.51,0.27,544231000,-79329000,-360416000,104293000,199113000,79329000,30.78,32.26,29.3,0.2925,0.1311,6.56,5.21,18.38,3.96,0.3089,0.067,0.4786,0.1371,0.96,1.21,1.0216
2003-06-30,191200000,382400000,2,5091764000,1734122000,2832519000,1784994000,2259245000,0,0,1520382000,421277000,1190478000,142035000,142035000,0.75,0.74,0.27,167549000,-86622000,-88717000,-1233000,94820000,84744000,30.41,33.08,27.73,0.2976,0.1281,5.91,5.47,18.37,3.83,0.3121,0.1865,0.4437,0.1355,0.95,0.22,0.9715
2003-03-31,190700000,381400000,2,4833274000,1485358000,2712021000,1629190000,2121253000,0,0,1514353000,469842000,846543000,95395000,95395000,0.5,0.5,0.27,108127000,62341000,-133714000,37867000,96053000,-62341000,28.58,31.29,25.87,0.3068,0.1262,5.56,5.06,19.31,3.69,0.3112,0.2215,0.4389,0.1343,0.94,0.45,0.9117
2002-12-31,191693589,383387178,2,5032182000,1674307000,2866360000,1775291000,2165822000,0,0,1533409000,458923000,1172281000,134869000,134869000,0.7,0.69,0.26,415800000,-110073000,-362246000,-49950000,58186000,85103000,30.45,33.15,27.75,0.2841,0.1122,5.65,5.44,27.07,3.56,0.3436,0.2119,0.4304,0.1205,0.93,0.86,0.9431
2002-09-30,193800000,387600000,2,5295727000,1970255000,3125622000,1903860000,2170105000,0,0,1476715000,622244000,1577334000,276219000,276219000,1.43,1.42,0.255,554848000,-87251000,-409562000,57618000,108136000,89859000,29.18,32.99,25.36,0.2249,0.0849,5.6,5.86,28.47,3.43,0.4435,0.2867,0.4098,0.0928,0.91,1.2,1.0349
2002-06-30,193500000,387000000,2,5224578000,1843836000,3299154000,1787671000,1925424000,0,0,1472102000,919367000,1191401000,136470000,136470000,0.71,0.7,0.255,146285000,-106676000,-14758000,29736000,50518000,109728000,31.26,34.37,28.15,0.2119,0.0771,4.98,6.54,31.9,3.3,0.4789,0.4775,0.3685,0.0858,0.9,0.09,1.0314
