"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2015-04-30,106829801,106829801,1,3740373000,2182730000,2105816000,1292549000,1634557000,0,0,699359000,373472000,681145000,96177000,96177000,0.9,0.89,0.305,122231000,-29350000,-29824000,64831000,1094504000,14090000,101.22,106.19,96.24,0.2331,0.1035,15.3,6.96,29.25,12.89,0.3278,0.2285,0.437,0.1364,0.76,1.01,1.6887
2015-01-31,106645105,106645105,1,3667908000,2088627000,2117776000,1297213000,1550132000,0,0,688419000,375342000,673794000,84399000,84399000,0.79,0.78,0.305,123629000,-16664000,-29958000,28192000,1029673000,14832000,97.24,103.29,91.18,0.2224,0.1021,14.54,6.5,28.35,12.58,0.407,0.2421,0.4226,0.1337,0.76,1.02,1.6101
2014-10-31,106534159,106534159,1,3775534000,2120873000,2180693000,1338819000,1594841000,0,0,717611000,375593000,696492000,88273000,88273000,0.82,0.81,0.305,114537000,-10275000,-29719000,37371000,1001481000,10408000,84.38,92.17,76.59,0.2158,0.1033,14.97,4.75,25.96,12.28,0.3223,0.2355,0.4224,0.1333,0.77,0.98,1.5841
2014-07-31,106804232,106804232,1,3852513000,2137223000,1957156000,1097646000,1895357000,0,0,733885000,375826000,799954000,120086000,120086000,1.09,1.07,0.28,161748000,-150899000,90023000,93236000,964110000,24436000,82.42,87.39,77.46,0.2006,0.1006,17.75,4.97,28.03,11.97,0.3316,0.1983,0.492,0.1305,0.77,1.29,1.9471
2014-04-30,109681236,109681236,1,3646265000,2027348000,1825095000,860512000,1821170000,0,0,656616000,463666000,682445000,88691000,88691000,0.8,0.8,0.55,136569000,-206957000,-21762000,-80960000,870874000,15638000,85.09,91.83,78.34,0.1836,0.0935,16.6,5.35,30.61,11.69,0.3604,0.2546,0.4995,0.1218,0.77,1.1,2.356
2014-01-31,109775816,109775816,1,3473514000,2038849000,1726486000,777264000,1747028000,0,0,485465000,463674000,676969000,83666000,83666000,0.76,0.75,0,119698000,-18398000,-112484000,-16142000,951834000,15748000,81.99,85.58,78.4,0.177,0.0903,15.91,5.06,30.37,11.14,0.275,0.2654,0.503,0.1178,0.77,0.95,2.6231
2013-10-31,110790224,110790224,1,3504266000,2053755000,1710067000,767498000,1794199000,0,0,485844000,467562000,629779000,71513000,71513000,0.64,0.63,0.275,85897000,-17255000,-48689000,31090000,967976000,18915000,74.94,81.44,68.43,0.1742,0.0885,16.19,4.62,15.02,11.14,0.3718,0.2606,0.512,0.1158,0.76,0.6,2.6759
2013-07-31,111835283,111835283,1,3472839000,2050029000,1657883000,729071000,1814956000,0,0,479735000,467319000,716818000,85628000,85628000,0.77,0.76,0.25,177569000,-70921000,-63735000,32919000,936886000,43795000,68.59,73.19,64,0.3259,0.1655,16.23,4.41,13.83,10.87,0.1938,0.2575,0.5226,0.2171,0.76,1.2,2.8118
2013-04-30,111573016,111573016,1,3447241000,2051730000,1712257000,768283000,1734984000,0,0,483335000,467616000,641190000,73065000,73065000,0.65,0.64,0.25,117508000,-30526000,-40945000,33735000,903967000,23984000,65.94,69.17,62.72,0.341,0.1672,15.55,4.31,13.21,10.62,0.1868,0.2695,0.5033,0.2265,0.74,0.84,2.6705
2013-01-31,111292279,111292279,1,3453093000,2040156000,1749520000,803478000,1703573000,0,0,487852000,474492000,662455000,76770000,76770000,0.68,0.67,0.25,50424000,-10312000,-84079000,-39448000,870232000,18926000,63.61,69.05,58.18,0.3481,0.1695,15.31,3.92,12.62,10.37,0.1789,0.2785,0.4933,0.2273,0.75,0.28,2.5392
2012-10-31,111091438,111091438,1,3520428000,2096832000,1717619000,710110000,1802809000,0,0,488986000,488683000,627600000,339472000,339472000,2.96,2.92,0.25,38958000,511059000,-155706000,409406000,909680000,23477000,58.91,65.82,52,0.3599,0.175,16.23,4.46,21.74,10.12,0.1706,0.2711,0.5121,0.2272,0.77,0.14,2.9528
2012-07-31,114436725,114436725,1,3347892000,1852457000,1837857000,852128000,1510035000,0,0,490085000,490706000,610058000,86207000,86207000,0.74,0.73,0.21,148431000,-30819000,-132400000,-35617000,500274000,31986000,54.97,59.97,49.97,0.2033,0.0969,13.2,3.84,19.63,9.87,0.2911,0.325,0.451,0.1195,0.81,1.02,2.1739
2012-04-30,116202448,116202448,1,3394854000,1887392000,1731060000,824005000,1663794000,0,0,500041000,487936000,657976000,78918000,78918000,0.68,0.67,0.21,122434000,-169288000,55902000,7987000,535891000,32638000,60.73,64.55,56.91,0.2111,0.1012,14.32,4.47,22.25,9.66,0.2642,0.2933,0.4901,0.1163,0.87,0.77,2.2905
2012-01-31,115798588,115798588,1,3206186000,1760300000,1632352000,738506000,1573834000,0,0,371742000,493737000,697981000,84729000,84729000,0.73,0.72,0.21,125627000,-40542000,-16793000,52510000,527904000,57473000,54.8,60.75,48.86,0.2125,0.1001,13.59,4.12,20.68,9.45,0.2581,0.3137,0.4909,0.1115,0.9,0.59,2.3836
2011-10-31,115411001,115411001,1,3232973000,1768710000,1697923000,723533000,1535050000,0,0,376371000,494771000,705641000,69455000,69455000,0.6,0.59,0.175,78356000,-69176000,-79931000,-82372000,475394000,36812000,46.95,54.08,39.81,0.2142,0.0988,13.3,3.63,17.58,9.24,0.2528,0.3223,0.4748,0.1104,0.89,0.36,2.4445
2011-07-31,115029938,115029938,1,3232416000,1809208000,1742595000,790007000,1489821000,0,0,352341000,491954000,780399000,97354000,97354000,0.84,0.82,0.16,149031000,-57698000,-33082000,66270000,557766000,55658000,54.16,58.83,49.49,0.2252,0.1006,12.95,4.27,23.34,9.06,0.2458,0.3302,0.4609,0.1151,0.87,0.81,2.2901
2011-04-30,116318787,116318787,1,3217832000,1823980000,1743182000,781594000,1474650000,0,0,358427000,486632000,709808000,71069000,71069000,0.61,0.6,0.175,125433000,-44893000,-45304000,56235000,491496000,43197000,55.92,59.5,52.35,0.2062,0.0887,12.68,4.79,24.31,8.9,0.2843,0.33,0.4583,0.1035,0.86,0.71,2.3337
2011-01-31,116120230,116120230,1,3016404000,1670820000,1660997000,731120000,1355407000,0,0,353425000,485637000,645232000,75664000,75664000,0.65,0.64,0.175,96837000,-36562000,-101274000,-44116000,435261000,34587000,48.94,55.47,42.4,0.2154,0.0907,11.67,4.4,23.53,8.73,0.2795,0.3583,0.4493,0.1068,0.85,0.54,2.2853
