"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,1555839852,1555839852,1,39923000000,17163000000,49332000000,18046000000,-11199000000,1790000000,0,0,24858000000,7699000000,2319000000,2319000000,1.49,1.49,1.14,3442000000,-153000000,-2404000000,927000000,4013000000,178000000,82.34,89.09,75.58,None,0.1993,-7.2,None,16.63,38.89,0.9057,None,None,0.2658,0.75,2.1,0.9511
2019-03-31,1555802811,1555802811,1,38042000000,15741000000,48227000000,18486000000,-11968000000,1783000000,0,7904000000,23131000000,6751000000,1354000000,1354000000,0.87,0.87,1.14,1241000000,-1596000000,-3151000000,-3534000000,3086000000,324000000,79.23,92.74,65.73,None,0.1952,-7.69,None,15.6,37.75,0.9197,None,None,0.2615,0.75,0.59,0.8515
2018-12-31,1554584344,1554584344,1,39801000000,19442000000,50540000000,17191000000,-12459000000,1720000000,0,9467000000,26975000000,7499000000,1910000000,1910000000,1.23,1.23,1.14,2422000000,166000000,-1747000000,707000000,6620000000,334000000,78.68,92.69,64.67,None,0.1942,-8.01,None,18.3,36.61,0.8823,None,None,0.267,0.73,1.34,1.1309
2018-09-30,1554523901,1554523901,1,39380000000,18538000000,49322000000,15599000000,-11720000000,1778000000,0,9588000000,28179000000,7504000000,2247000000,2247000000,1.44,1.44,1.14,1683000000,-481000000,-1889000000,-709000000,5913000000,328000000,81.98,87.44,76.52,None,0.1612,-7.54,None,19.9,35.47,1.0261,None,None,0.1532,1.05,0.87,1.1884
2018-06-30,1554506845,1554506845,1,40721000000,20028000000,50889000000,17441000000,-11915000000,1747000000,0,9648000000,28048000000,7726000000,2198000000,2198000000,1.41,1.41,1.14,3993000000,335000000,-4277000000,-609000000,6622000000,409000000,89.88,103.55,76.21,None,0.1522,-7.66,None,23.28,34.33,1.0532,None,None,0.1129,1.35,2.31,1.1483
2018-03-31,1554473725,1554473725,1,43070000000,20593000000,53552000000,17688000000,-12350000000,1868000000,0,10122000000,29578000000,6896000000,1556000000,1556000000,1,1,1.07,1380000000,-1018000000,-1738000000,-1245000000,7231000000,365000000,103.38,111.25,95.51,None,0.144,-7.94,None,26.64,33.19,1.1002,None,None,0.0877,1.64,0.65,1.1642
2017-12-31,1553229898,1553229898,1,42968000000,21594000000,53198000000,15962000000,-12086000000,1856000000,0,10098000000,31334000000,21585000000,694000000,694000000,0.45,0.45,1.07,2921000000,-722000000,-1537000000,780000000,8447000000,553000000,108.43,115.28,101.58,None,0.1507,-7.78,None,23.94,32.12,1.0861,None,None,0.0773,1.95,1.52,1.3528
2017-09-30,1553202587,1553202587,1,41951000000,20859000000,51584000000,18514000000,-11407000000,1774000000,0,10182000000,28065000000,20638000000,1970000000,1970000000,1.26,1.26,1.07,1920000000,-1053000000,359000000,1470000000,7667000000,435000000,115.5,121.69,109.31,None,0.1831,-7.34,None,25.55,31.05,0.9226,None,None,0.0932,1.97,0.96,1.1267
2017-06-30,1553188111,1553188111,1,38660000000,18432000000,48937000000,17243000000,-12008000000,1731000000,0,10141000000,26595000000,19319000000,1781000000,1781000000,1.15,1.15,1.04,3228000000,-660000000,-1932000000,1121000000,6197000000,268000000,116.06,123.55,108.56,None,0.1901,-7.73,None,25.68,29.98,0.9199,None,None,0.0936,2.03,1.91,1.069
2017-03-31,1553143195,1553143195,1,36627000000,16884000000,47184000000,13355000000,-12392000000,1835000000,0,10002000000,28588000000,16556000000,1590000000,1590000000,1.02,1.02,1.04,843000000,-579000000,341000000,837000000,5076000000,292000000,102.31,114.65,89.97,None,0.1954,-7.98,None,22.84,28.94,0.9143,None,None,0.094,2.08,0.35,1.2642
2016-12-31,1551385884,1551385884,1,36851000000,17608000000,47751000000,16467000000,-12688000000,1788000000,0,9794000000,25851000000,19189000000,1711000000,1711000000,1.1,1.1,1.04,2149000000,-25000000,-1853000000,-645000000,4239000000,438000000,92.5,98.21,86.78,None,0.1965,-8.18,None,22.13,27.9,0.9174,None,None,0.093,2.11,1.1,1.0693
2016-09-30,1551349890,1551349890,1,35577000000,16574000000,45894000000,14258000000,-12142000000,1825000000,0,10224000000,26960000000,19935000000,1938000000,1938000000,1.25,1.25,1.04,3092000000,-506000000,-1566000000,1070000000,4884000000,254000000,100.58,104.2,96.95,None,0.1873,-7.83,None,24.06,26.86,0.9775,None,None,0.0877,2.13,1.83,1.1624
2016-06-30,1551326987,1551326987,1,34802000000,16046000000,45601000000,12672000000,-12556000000,1757000000,0,10225000000,28098000000,19041000000,1788000000,1788000000,1.15,1.15,1.02,2374000000,-18000000,-1401000000,870000000,3814000000,254000000,99.23,102.55,95.91,None,0.1923,-8.09,None,23.4,25.82,0.9718,None,None,0.0884,2.18,1.37,1.2663
2016-03-31,1551264326,1551264326,1,34621000000,15928000000,45515000000,14091000000,-12753000000,1859000000,0,10347000000,26683000000,16788000000,1530000000,1530000000,0.98,0.98,1.02,462000000,-419000000,-593000000,-473000000,2944000000,226000000,92,99.53,84.46,None,0.1983,-8.22,None,20.81,24.8,0.9522,None,None,0.0901,2.2,0.15,1.1304
2015-12-31,1549347456,1549347456,1,33956000000,15804000000,45432000000,15386000000,-13244000000,1768000000,0,10038000000,25250000000,18371000000,1249000000,1249000000,0.8,0.8,1.02,1872000000,-320000000,-275000000,1024000000,3417000000,324000000,84.34,90.27,78.41,None,0.2084,-8.55,None,18.14,23.78,0.9107,None,None,0.093,2.24,1,1.0272
2015-09-30,1549295695,1549295695,1,32011000000,14112000000,44237000000,14102000000,-13582000000,1356000000,0,10025000000,25800000000,19422000000,1942000000,1942000000,1.25,1.25,1.02,2693000000,-164000000,-1821000000,555000000,2393000000,223000000,81.53,86.51,76.54,None,0.2174,-8.77,None,17.06,22.76,0.8604,None,None,0.0959,2.27,1.59,1.0007
2015-06-30,1549185692,1549185692,1,32713000000,13772000000,44511000000,15386000000,-13151000000,1353000000,0,10721000000,24566000000,18763000000,1887000000,1887000000,1.21,1.21,1,3675000000,-292000000,-3165000000,314000000,1838000000,210000000,81.09,86.91,75.27,None,0.2182,-8.49,None,17.11,21.74,0.8322,None,None,0.0963,2.27,2.24,0.8951
2015-03-31,1549145097,1549145097,1,33255000000,14275000000,45501000000,14980000000,-13616000000,1370000000,0,10775000000,25572000000,17352000000,1795000000,1795000000,1.16,1.16,1,-375000000,68000000,525000000,-158000000,1524000000,203000000,80.3,85.29,75.3,None,0.2115,-8.79,None,16.87,20.74,0.8253,None,None,0.093,2.27,-0.37,0.9529
2014-12-31,1546930958,1546930958,1,35187000000,15484000000,46390000000,15112000000,-12629000000,1426000000,0,11373000000,26929000000,19941000000,1612000000,1612000000,1.03,1.03,1,1354000000,-223000000,-1277000000,-361000000,1682000000,349000000,85.7,90.25,81.16,None,0.2095,-8.16,None,17.21,19.74,0.8071,None,None,0.0935,2.24,0.65,1.0246
2014-09-30,1553715140,1553715140,1,35401000000,14761000000,44078000000,15117000000,-10112000000,1435000000,0,11841000000,25395000000,21335000000,2155000000,2155000000,1.38,1.38,1,2965000000,-229000000,-2075000000,502000000,2043000000,296000000,84.02,86.85,81.19,None,0.2155,-6.51,None,16.67,18.74,0.7614,None,None,0.0977,2.21,1.72,0.9765
2014-06-30,1562131077,1562131077,1,36325000000,14710000000,44172000000,13580000000,-9292000000,1445000000,0,12294000000,27161000000,21051000000,1851000000,1851000000,1.17,1.17,0.94,2705000000,-336000000,-2682000000,-282000000,1541000000,252000000,86.66,91.63,81.7,None,0.2185,-5.95,None,16.76,17.74,0.738,None,None,0.1009,2.17,1.57,1.0832
2014-03-31,1572877291,1572877291,1,36137000000,14825000000,43294000000,13971000000,-8613000000,1456000000,0,12243000000,25989000000,17779000000,1875000000,1875000000,1.18,1.18,0.94,715000000,-208000000,-805000000,-331000000,1823000000,256000000,81.24,87.2,75.28,None,0.2247,-5.48,None,15.42,16.8,0.7027,None,None,0.105,2.14,0.29,1.0611
2013-12-31,1585195173,1585195173,1,38168000000,16852000000,44442000000,17066000000,-7766000000,1492000000,0,12086000000,24023000000,20390000000,1987000000,1987000000,1.25,1.25,0.94,2320000000,-1209000000,-2312000000,-1228000000,2154000000,379000000,87.81,91.81,83.81,None,0.2294,-4.9,None,16.69,15.86,0.6719,None,None,0.1072,2.14,1.22,0.9875
2013-09-30,1602166187,1602166187,1,36795000000,16016000000,42703000000,16018000000,-7429000000,1521000000,0,12467000000,21877000000,20629000000,2340000000,2340000000,1.44,1.44,0.94,3315000000,-980000000,-2604000000,-204000000,3382000000,301000000,87.13,91.4,82.86,None,0.2331,-4.64,None,16.95,14.92,0.6532,None,None,0.1094,2.13,1.88,0.9999
2013-06-30,1618547859,1618547859,1,37140000000,16755000000,41069000000,14706000000,-5466000000,1537000000,0,13001000000,21559000000,20483000000,2124000000,2124000000,1.3,1.3,0.85,3137000000,-269000000,-3246000000,-395000000,3586000000,280000000,91.39,96.73,86.05,None,0.2277,-3.38,None,17.57,13.98,0.6518,None,None,0.1094,2.08,1.77,1.1393
2013-03-31,1635507185,1635507185,1,37418000000,16661000000,40150000000,14509000000,-4314000000,1582000000,0,13362000000,20796000000,18527000000,2125000000,2125000000,1.28,1.28,0.85,1363000000,-222000000,-53000000,998000000,3981000000,240000000,88.97,93.61,84.33,None,0.235,-2.64,None,17.21,13.13,0.6286,None,None,0.1125,2.09,0.69,1.1483
2012-12-31,1647788932,1647788932,1,37670000000,16590000000,39523000000,17016000000,-3476000000,1623000000,0,13519000000,17639000000,19742000000,2095000000,2095000000,1.24,1.24,0.85,1650000000,-301000000,-3212000000,-1834000000,2983000000,337000000,88.11,94.13,82.1,None,0.2376,-2.11,None,17.55,12.28,0.6173,None,None,0.1137,2.09,0.8,0.975
2012-09-30,1670552937,1670552937,1,38309000000,17600000000,38193000000,16726000000,-1481000000,1597000000,0,13554000000,17520000000,19592000000,2227000000,2227000000,1.32,1.32,0.85,2393000000,-179000000,-1400000000,971000000,4817000000,243000000,89.85,93.6,86.11,None,0.2354,-0.89,None,17.79,11.43,0.6236,None,None,0.1123,2.1,1.29,1.0523
2012-06-30,1685722302,1685722302,1,35798000000,15561000000,35652000000,16830000000,-1366000000,1512000000,0,13351000000,14824000000,20037000000,2317000000,2317000000,1.36,1.36,0.77,3480000000,-288000000,-2705000000,270000000,3846000000,249000000,86.07,91.05,81.1,None,0.243,-0.81,1229.57,17.08,10.58,0.6034,None,None,0.1126,2.16,1.92,0.9246
2012-03-31,1705563303,1705563303,1,36399000000,15338000000,34784000000,15283000000,112000000,1503000000,0,13840000000,15418000000,18022000000,2161000000,2161000000,1.25,1.25,0.77,1898000000,-224000000,-783000000,1026000000,3576000000,227000000,80.85,88.86,72.85,None,0.2438,0.07,621.92,16.67,9.81,0.5775,137.6607,0.0031,0.1135,2.15,0.98,1.0036
2011-12-31,1721873303,1721873303,1,35488000000,14859000000,33725000000,14794000000,229000000,1534000000,0,13625000000,14913000000,18876000000,1886000000,1886000000,1.09,1.09,0.77,961000000,-350000000,-1284000000,-841000000,2550000000,329000000,69.94,79.42,60.45,None,0.2385,0.13,56.86,14.79,9.04,0.5734,65.1223,0.0065,0.1125,2.12,0.37,1.0044
2011-09-30,1736982437,1736982437,1,36220000000,15090000000,32566000000,16050000000,2130000000,1524000000,0,13861000000,12967000000,20706000000,2377000000,2377000000,1.35,1.35,0.77,3053000000,-261000000,-1356000000,1213000000,3391000000,223000000,67.53,72.74,62.32,None,0.2355,1.23,32.31,15.45,8.27,0.5617,6.0878,0.0588,0.1123,2.1,1.63,0.9402
2011-06-30,1756501150,1756501150,1,36794000000,14333000000,31614000000,14763000000,3669000000,1511000000,0,14672000000,13147000000,20234000000,2409000000,2409000000,1.35,1.35,0.64,4120000000,-246000000,-3039000000,856000000,2178000000,186000000,68.12,71.75,64.49,None,0.2191,2.09,30.41,16.66,7.5,0.5794,3.5833,0.0997,0.1104,1.98,2.24,0.9709
2011-03-31,1778409015,1778409015,1,35554000000,13393000000,30042000000,14343000000,3992000000,1520000000,0,14514000000,12006000000,16530000000,1919000000,1919000000,1.06,1.06,0.64,2395000000,-175000000,-2659000000,-381000000,1322000000,159000000,60.89,65.92,55.85,None,0.2123,2.24,31.23,15.49,6.86,0.6051,3.0075,0.1123,0.1086,1.95,1.26,0.9338
2010-12-31,1797131522,1797131522,1,35050000000,13756000000,29929000000,12804000000,3506000000,1615000000,0,14034000000,13507000000,17807000000,1752000000,1752000000,0.98,0.97,0.64,1581000000,-264000000,-3071000000,-1804000000,1703000000,230000000,57.98,60.87,55.1,None,0.2083,1.95,23.19,15.5,6.22,0.6143,3.8525,0.1,0.107,1.94,0.75,1.0744
2010-09-30,1814393563,1814393563,1,36879000000,15482000000,30757000000,13713000000,4532000000,1590000000,0,14063000000,13748000000,16936000000,1822000000,1814000000,0.99,0.99,0.64,2417000000,-195000000,-503000000,1923000000,3507000000,164000000,51.33,57.11,45.55,None,0.2024,2.5,23.12,13.95,5.58,0.626,3.0335,0.1229,0.1048,1.93,1.24,1.129
2010-06-30,1832869718,1832869718,1,33324000000,12924000000,27774000000,9989000000,4065000000,1485000000,0,13569000000,14460000000,17383000000,1982000000,1973000000,1.07,1.07,0.58,3465000000,-147000000,-2492000000,734000000,1584000000,169000000,48.42,53.91,42.94,None,0.2064,2.22,18.41,14.24,4.94,0.6193,3.5572,0.122,0.1051,1.96,1.8,1.2938
2010-03-31,1851875537,1851875537,1,34173000000,13078000000,27808000000,9580000000,4876000000,1489000000,0,13851000000,14809000000,15587000000,1703000000,1703000000,0.9,0.9,0.58,1974000000,-104000000,-2512000000,-690000000,850000000,150000000,49.04,53.07,45.01,None,0.1938,2.63,16.13,15.14,4.36,0.6568,3.0371,0.1427,0.102,1.9,0.98,1.3651
2009-12-31,1880963027,1880963027,1,34552000000,14682000000,28407000000,11178000000,5716000000,429000000,0,12658000000,13672000000,17008000000,1522000000,1522000000,0.79,0.78,0.58,1465000000,-330000000,-1201000000,-62000000,1540000000,232000000,49.71,52.35,47.07,None,0.192,3.04,14.93,16.14,3.78,0.6779,2.3919,0.1654,0.1022,1.88,0.66,1.3135
2009-09-30,1904684732,1904684732,1,33705000000,14277000000,26991000000,9838000000,6340000000,374000000,0,12486000000,13741000000,16573000000,1798000000,1798000000,0.93,0.93,0.58,1846000000,-373000000,-2565000000,-1000000000,1602000000,160000000,45.98,49.95,42.02,0.9296,0.186,3.33,13.93,14.64,3.2,0.7068,2.1674,0.1881,0.1028,1.81,0.89,1.4512
2009-06-30,1934458475,1934458475,1,33127000000,14731000000,26440000000,9666000000,6377000000,310000000,0,11735000000,13480000000,15213000000,1546000000,1546000000,0.79,0.79,0.54,3146000000,-207000000,-2863000000,241000000,2602000000,178000000,40.3,45.44,35.15,0.8089,None,3.3,13.39,12.83,2.62,0.6735,2.1138,0.1925,0.1062,1.81,1.53,1.524
2009-03-31,1961577064,1961577064,1,30744000000,13640000000,24592000000,8135000000,5906000000,246000000,0,10815000000,13144000000,13286000000,1476000000,1476000000,0.74,0.74,0.54,1427000000,-188000000,-282000000,830000000,2361000000,145000000,38.53,45.02,32.04,0.6682,None,3.01,10.3,11.71,2.08,0.6435,2.2255,0.1921,0.106,1.84,0.65,1.6767
