"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-30,115041840,115041840,1,2715819000,790602000,1468111000,598383000,1247708000,0,0,1421913000,738700000,290451000,-43513000,-43513000,-0.37,-0.37,0,141130000,-27128000,-96899000,17299000,295432000,20936000,86.13,94.99,77.26,0.0072,0.003,10.85,7.73,172.26,0,0,0.592,0.4594,0.0061,0.5,1.04,1.3212
2018-12-29,118627720,118627720,1,2752969000,799985000,1431800000,540969000,1321169000,0,0,1435985000,778484000,334689000,20985000,20985000,0.18,0.18,0,21214000,-101212000,94997000,17040000,278133000,30332000,92.06,107.44,76.67,0.0597,0.0245,11.14,12.24,209.23,0,0,0.5892,0.4799,0.0465,0.53,-0.08,1.4788
2018-09-30,116337920,116337920,1,2329022000,633784000,1454433000,735279000,874589000,0,0,1382659000,643268000,312520000,13191000,13191000,0.11,0.11,0,62489000,-19123000,-45771000,-6606000,259946000,17375000,98.92,107.39,90.46,0.059,0.0226,7.52,13.97,210.47,0,0,0.7355,0.3755,0.0419,0.54,0.39,0.862
2018-06-30,117829713,117829713,1,2255631000,588212000,1421246000,665110000,834385000,0,0,1397119000,693053000,314777000,16997000,16997000,0.15,0.14,0,49047000,-7396000,-65429000,-33224000,266552000,7527000,87.78,100.79,74.77,0.0636,0.0243,7.08,10.92,274.31,0,0,0.8306,0.3699,0.0455,0.53,0.35,0.8844
2018-03-31,115386106,115386106,1,2328814000,649160000,1401090000,689326000,927724000,0,0,1421633000,642837000,307883000,7922000,7922000,0.07,0.07,0,111148000,-13308000,-92982000,8097000,299776000,5262000,71.09,81.72,60.45,0.0433,0.0165,8.04,9.29,296.21,0,0,0.6929,0.3984,0.0316,0.52,0.92,0.9417
2017-12-30,116284430,116284430,1,2305942000,619459000,1416843000,604336000,889099000,0,0,1427988000,742622000,306644000,13877000,13877000,0.12,0.12,0,25127000,-9385000,-6664000,11676000,291679000,8877000,61.43,67.12,55.74,0.0338,0.0126,7.65,8.06,1535.75,0,0,0.8353,0.3856,0.0247,0.51,0.14,1.025
2017-09-30,116125277,116125277,1,2360384000,666556000,1474948000,678909000,885436000,0,0,1440680000,712406000,306379000,17435000,17435000,0.15,0.14,0,32524000,-6319000,-9360000,19308000,280003000,6111000,55.75,59.29,52.2,0.0074,0.0027,7.62,7.71,None,0,0,0.8046,0.3751,0.0054,0.51,0.23,0.9818
2017-07-01,115607536,115607536,1,2291761000,609459000,1456381000,650940000,835380000,0,0,1445453000,712191000,291293000,-951000,-951000,-0.01,-0.01,0,73655000,-11517000,-50157000,17379000,260695000,4544000,55.61,60.22,51,-0.0474,-0.0173,7.23,7.59,None,0,None,0.8525,0.3645,None,0.5,0.6,0.9363
2017-04-01,115521649,115521649,1,2333748000,671723000,1486404000,683945000,847344000,0,0,1441577000,711976000,280040000,-1104000,-1104000,-0.01,-0.01,0,76389000,7307000,-16712000,69949000,243316000,7689000,51.33,56.73,45.93,-0.0423,-0.0155,7.33,7.25,None,0,None,0.8402,0.3631,None,0.5,0.59,0.9821
2016-12-31,115721488,115721488,1,2196941000,513188000,1377976000,556730000,818965000,0,0,1453219000,731762000,286327000,-9141000,-9141000,-0.08,-0.08,0,-47978000,-5598000,-41232000,-104568000,173367000,7100000,46.52,49.93,43.1,-0.047,-0.0171,7.08,6.38,None,0,None,0.8935,0.3728,None,0.49,-0.48,0.9218
2016-09-30,115604111,115604111,1,2352253000,642589000,1509587000,654519000,842666000,0,0,1480118000,758125000,288237000,-28473000,-28473000,-0.25,-0.25,0,13572000,-11728000,-20398000,-16691000,277935000,9557000,40.66,44.75,36.57,-0.0642,-0.0234,7.29,5.42,None,0,None,0.8997,0.3582,None,0.49,0.03,0.9818
2016-07-02,114956077,114956077,1,2339146000,635286000,1476485000,603894000,862661000,0,0,1493042000,778125000,288652000,3073000,3073000,0.03,0.03,0,59457000,-52371000,-80189000,-73830000,294626000,7766000,35.51,39.44,31.58,-0.037,-0.0138,7.5,4.77,None,0,None,0.902,0.3688,None,0.51,0.45,1.052
2016-04-02,114622526,114622526,1,2411502000,741390000,1557398000,618806000,854104000,0,0,1511416000,838125000,272627000,-5173000,-5173000,-0.05,-0.05,0,48885000,-104092000,119362000,71659000,368456000,4681000,30.63,34.2,27.06,-0.0203,-0.0077,7.45,4.2,None,0,None,0.9813,0.3542,None,0.53,0.39,1.1981
2016-01-02,114531686,114531686,1,2215893000,659588000,1379956000,579387000,835937000,0,0,1403900000,718125000,291017000,-23892000,-23892000,-0.21,-0.21,0,61254000,-68965000,32924000,23380000,296797000,4185000,33.81,37.09,30.53,-0.0078,-0.003,7.3,4.48,82.46,0,None,0.8591,0.3772,None,0.56,0.5,1.1384
2015-09-30,113933336,113933336,1,2209913000,704679000,1349742000,617260000,860171000,0,0,1360342000,618125000,312568000,-5554000,-5554000,-0.05,-0.05,0,-12560000,-9991000,24457000,-1643000,273417000,9991000,36.22,41.48,30.97,0.0559,0.0221,7.55,4.98,45.85,0,0,0.7186,0.3892,0.0379,0.58,-0.2,1.1416
2015-07-04,114168760,114168760,1,2146601000,635205000,1316278000,638193000,830323000,0,0,1377323000,580625000,303113000,17435000,17435000,0.15,0.15,0,86839000,-115121000,36333000,7245000,275060000,6530000,39.42,42.75,36.09,0.1083,0.0428,7.27,5.31,41.06,0,0,0.6993,0.3868,0.0702,0.61,0.7,0.9953
2015-04-04,114986644,114986644,1,2108630000,706252000,1254410000,660736000,854220000,0,0,1286396000,493125000,314119000,5392000,5392000,0.05,0.05,0,91992000,-6160000,-75192000,6763000,267815000,6160000,34.11,37.06,31.15,0.1272,0.0535,7.43,4.58,26.86,0,0,0.5773,0.4051,0.0837,0.64,0.75,1.0689
2015-01-03,114926977,114926977,1,2137223000,696065000,1281770000,588982000,855453000,0,0,1320013000,574375000,325442000,30284000,30284000,0.26,0.26,0,13632000,-8767000,-27753000,-32602000,261052000,7947000,36.5,39.38,33.61,0.1646,0.0731,7.44,5.07,27.24,0,0,0.6714,0.4003,0.1111,0.66,0.05,1.1818
2014-09-30,118617712,118617712,1,2199954000,732167000,1346065000,626667000,853889000,0,0,1349400000,586875000,366708000,38755000,38755000,0.34,0.33,0,51165000,-220560000,168885000,-10519000,293654000,8554000,37.78,40.06,35.49,0.1696,0.0799,7.2,4.56,25.53,0,0,0.6873,0.3881,0.1181,0.68,0.36,1.1684
2014-06-28,117308872,117308872,1,1958206000,711229000,985737000,548351000,972469000,0,0,1138784000,299375000,336634000,38026000,38026000,0.32,0.32,0,106423000,-6379000,-66618000,33703000,304173000,6379000,35.87,38.95,32.79,0.1848,0.093,8.29,4.33,24.74,0,0,0.3079,0.4966,0.1333,0.7,0.85,1.297
2014-03-29,118618612,118618612,1,1959126000,703444000,976705000,525815000,982421000,0,0,1149225000,305625000,328700000,43756000,43756000,0.37,0.36,0,110722000,-116087000,-94704000,-100907000,270470000,4568000,36.93,40.4,33.46,0.187,0.0936,8.28,4.55,30.02,0,0,0.3111,0.5015,0.1327,0.71,0.89,1.3378
2013-12-28,119283329,119283329,1,1904742000,769100000,936094000,455937000,968648000,0,0,1029422000,353125000,324925000,39657000,39657000,0.33,0.33,0,36242000,-5774000,97790000,129464000,371377000,5774000,30.79,34.4,27.18,0.1652,0.0812,8.12,3.97,25.87,0,0,0.3646,0.5085,0.1137,0.71,0.26,1.6869
2013-09-30,119585470,119585470,1,1828906000,680216000,902426000,528613000,926480000,0,0,1042216000,243125000,344845000,56466000,56466000,0.47,0.47,0,43661000,-34505000,-28346000,-15118000,241913000,10200000,26.99,28.84,25.15,0.1676,0.0802,7.75,3.78,2699,0,0,0.2624,0.5066,0.1111,0.72,0.28,1.2868
2013-06-29,119070239,119070239,1,1756777000,639948000,906072000,494028000,850705000,0,0,1013581000,258750000,314996000,34455000,34455000,0.29,0.29,0,84590000,-5096000,-61478000,16222000,257031000,6702000,23.58,25.32,21.84,0.004,0.0019,7.14,3.41,None,0,0,0.3042,0.4842,0.0026,0.71,0.65,1.2954
2013-03-30,119620521,119620521,1,1784819000,645238000,957020000,499069000,827799000,0,0,1026999000,300625000,313949000,17037000,17037000,0.14,0.14,0,82796000,-5033000,-80358000,-7583000,240809000,5033000,24.29,26.06,22.51,-0.0099,-0.0047,6.92,3.53,None,0,None,0.3632,0.4638,None,0.73,0.65,1.2929
2012-12-29,119857129,119857129,1,1802646000,633498000,976688000,453320000,825958000,0,0,1048000000,362500000,319751000,35811000,35811000,0.3,0.29,0,13636000,-229816000,-26342000,-241151000,248392000,7393000,21.05,23.1,19,-0.026,-0.0127,6.89,3.16,None,0,None,0.4389,0.4582,None,0.73,0.05,1.3975
2012-09-30,119486980,119486980,1,1791634000,879152000,994375000,481744000,797259000,0,0,796232000,362500000,325295000,-83985000,-83985000,-0.71,-0.71,0,20931000,-7957000,234741000,251496000,489543000,8907000,21.13,24.3,17.96,-0.0421,-0.0212,6.67,2.91,29.76,0,None,0.4547,0.445,None,0.75,0.1,1.8249
2012-06-30,119050170,119050170,1,1611461000,607971000,748458000,482295000,863003000,0,0,799741000,140000000,310983000,22895000,22895000,0.19,0.19,0,64010000,-5882000,-40206000,13940000,238047000,5882000,23.73,28.5,18.95,0.1017,0.0529,7.25,3.31,36.51,0,0,0.1622,0.5355,0.0679,0.78,0.49,1.2606
2012-03-31,119575472,119575472,1,1658616000,631260000,800623000,506532000,857993000,0,0,821727000,160000000,301125000,3569000,3569000,0.03,0.03,0,96549000,-9344000,-54557000,36756000,224107000,9054000,23.24,28.5,17.98,0.0947,0.0479,7.18,3.26,29.79,0,0,0.1865,0.5173,0.063,0.76,0.73,1.2462
2011-12-31,119103630,119103630,1,1613385000,588288000,765656000,428393000,847729000,0,0,822070000,200000000,318276000,22123000,22123000,0.19,0.18,0,36485000,-8450000,-5315000,19473000,187351000,7570000,18.26,22,14.52,0.1151,0.0601,7.12,2.63,25.72,0,0,0.2359,0.5254,0.0774,0.78,0.24,1.3732
2011-09-30,118783023,118783023,1,1629682000,592264000,806992000,469391000,822690000,0,0,835411000,200000000,339425000,37621000,37621000,0.33,0.31,0,27000,-24395000,-62149000,-92873000,167878000,9522000,19.35,24,14.7,0.1071,0.0577,6.93,2.84,66.72,0,0,0.2431,0.5048,0.0732,0.79,-0.08,1.2618
2011-07-02,117565519,117565519,1,1681513000,618258000,879369000,485230000,802144000,0,0,851882000,250000000,291783000,15526000,15526000,0.13,0.13,0,48433000,-271888000,218021000,1247000,260751000,6735000,22.87,24.61,21.12,0.0444,0.0247,6.82,3.39,91.48,0,0,0.3117,0.477,0.0316,0.78,0.35,1.2742
2011-04-02,119106884,119106884,1,1347101000,625003000,544073000,437709000,803028000,0,0,541753000,0,269189000,19017000,19017000,0.16,0.16,0,78276000,-6148000,-778000,76589000,259504000,6148000,23.14,25.3,20.99,0.0391,0.0229,6.74,3.58,136.12,0,0,0,0.5961,0.0284,0.81,0.61,1.4279
2011-01-01,118119026,118119026,1,1267511000,538835000,503471000,398128000,764040000,0,0,534565000,0,266552000,13260000,13260000,0.11,0.11,0,-48038000,-5412000,-4674000,-57338000,182915000,5412000,21.27,23.36,19.19,0.0265,0.0153,6.47,3.3,101.29,0,0,0,0.6028,0.0194,0.79,-0.45,1.3534
2010-09-30,115974041,115974041,1,1307064000,568257000,559760000,452994000,747304000,0,0,546440000,0,268066000,-13215000,-13215000,-0.11,-0.11,0,15568000,-5679000,1643000,21234000,240253000,5045000,15.12,16.85,13.39,0.0325,0.0186,6.44,2.37,32.87,0,0,0,0.5717,0.0241,0.77,0.09,1.2544
2010-07-03,115354999,115354999,1,1269040000,534231000,534445000,439032000,734595000,0,0,534009000,0,242998000,10718000,10718000,0.09,0.09,0,50368000,-4582000,-44685000,-3673000,219019000,4582000,17.05,18.36,15.73,0.0711,0.0405,6.37,2.67,42.63,0,0,0,0.5789,0.0541,0.75,0.4,1.2168
2010-04-03,116084081,116084081,1,1311825000,550701000,570066000,473771000,741759000,0,0,559439000,0,240556000,9002000,9002000,0.08,0.08,0,67948000,-10730000,-61180000,-8452000,222692000,9225000,17.64,19.97,15.32,0.0617,0.0351,6.39,2.68,46.42,0,0,0,0.5654,0.0479,0.73,0.51,1.1624
2010-01-02,117164838,117164838,1,1347686000,566254000,575772000,474927000,771914000,0,0,582422000,0,258429000,17863000,17863000,0.15,0.15,0,22760000,-8459000,-16513000,-3978000,231144000,7877000,17.55,19.54,15.56,0.0599,0.034,6.59,2.67,65,0,0,0,0.5728,0.0468,0.73,0.13,1.1923
2009-09-30,115864021,115864021,1,1350212000,546466000,588631000,491431000,761581000,0,0,596517000,0,246343000,15900000,15900000,0.14,0.14,0,-7621000,-6278000,10774000,3777000,235122000,6278000,13.92,18.36,9.48,0.0432,0.0242,6.57,2.17,30.93,0,0,0,0.564,0.0336,0.72,-0.12,1.112
2009-07-04,116180536,116180536,1,1296522000,512889000,551487000,483407000,745035000,0,0,593280000,0,226159000,3788000,3788000,0.03,0.03,0,-11353000,-32858000,716000,-36373000,231345000,8543000,10.22,13.23,7.21,0.073,0.04,6.41,1.67,18.93,0,0,0,0.5746,0.0526,0.76,-0.17,1.061
2009-04-04,115874521,115874521,1,1266862000,540924000,557344000,489159000,709518000,0,0,565754000,0,225292000,7175000,7175000,0.06,0.06,0,74226000,-7207000,-20605000,40785000,267718000,7094000,11.53,12.84,10.22,0.0909,0.0479,6.12,1.9,18.02,0,0,0,0.5601,0.0606,0.79,0.58,1.1058
2009-01-03,115586023,115586023,1,1302692000,539273000,602456000,529111000,700236000,0,0,581305000,0,240391000,4659000,4659000,0.04,0.04,0,14424000,-16534000,-23337000,-30008000,226933000,8172000,12.43,14.16,10.69,0.1113,0.0557,6.06,2.03,18.28,0,0,0,0.5375,0.0696,0.8,0.05,1.0192
2008-09-30,115055589,115055589,1,1349573000,597494000,647048000,566353000,702525000,0,0,587537000,0,299547000,36504000,36504000,0.31,0.32,0,41134000,-4947000,-5932000,14921000,256941000,4947000,17.81,19.51,16.11,0.1236,0.0593,6.11,3.15,28.73,0,0,0,0.5206,0.0745,0.8,0.31,1.055
2008-06-28,115360211,115360211,1,1323038000,543978000,670615000,583567000,652423000,0,0,617574000,0,271748000,14470000,14470000,0.13,0.12,0,53302000,-9785000,-55002000,-16926000,242020000,9785000,15.95,18.22,13.68,0.1195,0.0578,5.66,2.95,13.52,0,0,0,0.4931,0.0712,0.81,0.38,0.9322
2008-03-29,115147267,115147267,1,1377055000,584238000,754793000,660718000,622262000,0,0,630643000,0,257793000,18848000,18848000,0.17,0.16,0,107249000,-5184000,-74663000,44158000,258946000,5877000,16.91,19.2,14.61,0.236,0.1155,5.4,3.26,14.45,0,0,0,0.4519,0.1412,0.82,0.88,0.8842
2007-12-29,115985169,115985169,1,1323699000,543425000,721264000,626720000,602435000,0,0,613434000,0,241242000,9880000,9880000,0.09,0.08,0,20555000,-267115000,198054000,-48483000,214788000,4830000,18.98,21.54,16.42,0.2505,0.1244,5.19,3.66,15.56,0,0,0,0.4551,0.144,0.86,0.14,0.8671
2007-09-30,114798585,114798585,1,1090313000,594631000,495806000,430342000,594507000,0,0,325052000,0,266652000,30639000,30639000,0.27,0.26,0,12302000,-9492000,-6517000,3315000,263271000,6918000,18.7,20.27,17.13,0.2814,0.1426,5.18,3.9,15.85,0,0,0,0.5453,0.1526,0.93,0.05,1.3818
2007-06-30,114848255,114848255,1,1051190000,534958000,500423000,396133000,550767000,0,0,327365000,0,224864000,80465000,80465000,0.71,0.68,0,38949000,-15625000,1140000,21929000,259956000,4746000,18.88,20.56,17.21,0.2943,0.1447,4.8,4.68,29.05,0,0,0,0.5239,0.1508,0.96,0.3,1.3505
2007-03-31,114859675,114859675,1,986135000,515443000,523764000,417192000,462371000,0,0,342192000,0,228096000,17399000,17399000,0.15,0.15,0,92461000,-6048000,2141000,90686000,238027000,6048000,19.68,21.81,17.56,0.174,0.0827,4.03,5.17,33.36,0,0,0,0.4689,0.0824,1,0.75,1.2355
2006-12-30,114063113,114063113,1,902562000,423740000,468384000,361848000,434178000,0,0,343381000,0,221667000,15153000,15153000,0.14,0.13,0,-16338000,-23984000,2212000,-36107000,147341000,6345000,18.68,21.7,15.65,0.1682,0.0788,3.81,4.74,34.92,0,0,0,0.4811,0.0775,1.02,-0.2,1.171
2006-09-30,111329930,111329930,1,895444000,438116000,457345000,346704000,438099000,0,0,327122000,0,245502000,25723000,25723000,0.22,0.22,0,11803000,-6407000,3712000,9555000,183448000,6407000,15.94,17.67,14.2,0.1585,0.0727,3.94,4.53,34.28,0,0,0,0.4893,0.0712,1.02,0.05,1.2637
2006-07-01,111647286,111647286,1,851954000,408659000,458906000,346244000,393048000,0,0,328622000,0,216704000,16876000,16876000,0.15,0.15,0,13989000,-69320000,1031000,-50272000,173893000,4911000,15.91,17.42,14.4,0.1475,0.0647,3.52,4.88,28.16,0,0,0,0.4613,0.0652,0.99,0.08,1.1803
2006-04-01,111399377,111399377,1,829301000,457192000,465845000,351743000,363456000,0,0,265504000,0,200194000,10751000,10751000,0.1,0.09,0,60941000,-4804000,1063000,57013000,224165000,4804000,14.13,16.54,11.73,0.1849,0.0792,3.26,4.6,21.74,0,0,0,0.4383,0.081,0.98,0.5,1.2998
2005-12-31,277700549,111080219,0.4,772058000,395428000,430556000,315178000,341502000,0,0,267993000,0,192518000,7516000,7516000,0.03,0.03,0,-21569000,-14025000,738000,-37271000,167152000,3350000,15.11,17.77,12.45,0.2257,0.0939,3.07,5.07,20.15,0,0,0,0.4423,0.0967,0.97,-0.22,1.2546
