"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,112277359,112277359,1,17854107000,876389000,12472382000,1591304000,5251062000,130663000,0,267998000,5136108000,740530000,17918000,17918000,0.16,0.16,0.73,173432000,-254513000,81424000,343000,6109000,259792000,89.45,97.27,81.63,0.0989,0.0295,46.77,1.92,19.75,47.54,0.6323,0.9781,0.2941,0.138,0.21,-0.77,0.5507
2018-12-31,112146511,112146511,1,17664202000,924991000,12315497000,1648964000,5222915000,125790000,0,262902000,4189436000,756376000,16329000,16329000,0.23,0.22,0.79,317381000,-279508000,-97098000,-59225000,5766000,279714000,85.38,92.64,78.11,0.0972,0.0292,46.57,1.79,18.97,46.81,0.6425,0.8021,0.2957,0.1358,0.21,0.34,0.561
2018-09-30,112079739,112079739,1,17671955000,1207190000,12186094000,1734788000,5353572000,132289000,0,268630000,5087364000,1268034000,315012000,315012000,2.81,2.8,0.695,563961000,-234220000,-268589000,61152000,64991000,218506000,80.12,83.05,77.19,0.0993,0.0301,47.77,1.78,19.26,46.02,0.6242,0.9503,0.3029,0.1371,0.21,3.08,0.6959
2018-06-30,111974139,111974139,1,17492173000,1118711000,12332739000,2238885000,5032019000,127415000,0,257040000,4791525000,974123000,171612000,166738000,1.49,1.48,0.695,228930000,-318003000,77472000,-11601000,3839000,318912000,77.63,81.85,73.41,0.0926,0.0284,44.94,1.73,18.62,45.32,0.6661,0.9522,0.2877,0.1296,0.21,-0.8,0.4997
2018-03-31,111933168,111933168,1,17148306000,957404000,11994635000,1874391000,5019757000,133914000,0,262523000,3992207000,692714000,8094000,3221000,0.03,0.03,0.695,166872000,-361093000,195769000,1548000,15440000,361037000,79.68,85.55,73.81,0.0935,0.0288,44.85,1.78,18.32,44.63,0.6551,0.7953,0.2927,0.1308,0.21,-1.73,0.5108
2017-12-31,111799789,111799789,1,17019082000,1016288000,11883352000,1197852000,5006690000,129040000,0,257189000,4491292000,759659000,26502000,21629000,0.19,0.19,0.74,346112000,-388898000,46004000,3218000,13892000,381021000,88.31,92.48,84.14,0.0985,0.0304,44.78,1.92,19.03,43.93,0.6185,0.8971,0.2942,0.137,0.21,-0.31,0.8484
2017-09-30,111729775,111729775,1,16977867000,1174205000,11700260000,1303143000,5142068000,135539000,0,256198000,4491048000,1183322000,280945000,276072000,2.47,2.46,0.655,481362000,-351399000,-124242000,5721000,10674000,334127000,87.44,90.92,83.95,0.106,0.0328,46.02,2.01,19.3,43.19,0.5695,0.8734,0.3029,0.1467,0.22,1.32,0.9011
2017-06-30,111624528,111624528,1,16669727000,1068204000,11679650000,1638594000,4859412000,130665000,0,265926000,4192520000,944587000,172317000,167443000,1.5,1.49,0.655,150511000,-339556000,190970000,1925000,4953000,344802000,86.09,89.56,82.61,0.1048,0.0326,43.53,1.99,20.9,42.54,0.4398,0.8628,0.2915,0.1437,0.22,-1.74,0.6519
2017-03-31,111560427,111560427,1,16192825000,794996000,11226885000,1193813000,4828776000,137164000,0,251208000,4273890000,677728000,28185000,23312000,0.21,0.21,0.655,140051000,-348684000,202780000,-5853000,3028000,348824000,80.25,84.72,75.79,0.0967,0.0302,43.28,1.86,20.32,41.88,0.6268,0.8851,0.2982,0.1317,0.22,-1.87,0.6659
2016-12-31,111340169,111340169,1,16004253000,822219000,11068341000,1292946000,4803622000,132290000,0,90022000,4021785000,739199000,58119000,53246000,0.48,0.48,0.69,258340000,-241612000,-56114000,-39386000,8881000,279019000,74.91,78.97,70.86,0.0938,0.0295,43.14,1.72,19.51,41.23,0.6453,0.8372,0.3001,0.1263,0.22,-0.19,0.6359
2016-09-30,111306107,111306107,1,15805726000,977492000,10813591000,1109718000,4853346000,138789000,0,96789000,4020366000,1166922000,267900000,263027000,2.36,2.35,0,342575000,-295009000,-42339000,5227000,48267000,283301000,78.36,82.78,73.94,0.0923,0.0292,43.6,1.9,20.62,40.54,0.8076,0.8284,0.3071,0.123,0.23,0.53,0.8808
2016-06-30,111174772,111174772,1,15538565000,963387000,10819382000,1478544000,4585268000,133915000,0,108751000,3772835000,915394000,126182000,121308000,1.09,1.08,1.25,278266000,-343152000,93442000,28556000,43040000,353109000,75.59,81.08,70.11,0.0921,0.0293,41.24,1.83,19.79,40.54,0.8188,0.8228,0.2951,0.1202,0.23,-0.67,0.6516
2016-03-31,111139995,111139995,1,15185101000,826025000,10444688000,1585902000,4599999000,140414000,0,116014000,3338032000,677167000,9326000,4453000,0.04,0.04,0.625,144209000,-372305000,203092000,-25004000,14484000,378500000,68.67,74.84,62.51,0.0934,0.0298,41.39,1.66,17.52,39.29,0.7991,0.7257,0.3029,0.1215,0.23,-2.11,0.5209
2015-12-31,111004916,111004916,1,15028258000,890516000,10308801000,1442317000,4583917000,135540000,0,123975000,3337391000,734430000,45978000,41117000,0.37,0.37,1.25,272954000,-293445000,46972000,26481000,39488000,300849000,63.86,67.02,60.7,0.097,0.0309,41.29,1.52,17.69,38.66,0.6189,0.7281,0.305,0.1251,0.24,-0.25,0.6174
2015-09-30,110849752,110849752,1,14875018000,1061979000,10083699000,1523362000,4653651000,137668000,0,134937000,3132347000,1199146000,261978000,257116000,2.31,2.31,0,427079000,-263285000,-164344000,-550000,13007000,247665000,61,65.23,56.77,0.0902,0.0288,41.98,1.54,17.43,37.41,0.6561,0.6731,0.3129,0.1151,0.24,1.62,0.6971
2015-06-30,110813659,110813659,1,14701483000,1031756000,10175840000,1339859000,4392836000,132807000,0,127742000,3440857000,890648000,127507000,122902000,1.11,1.1,1.19,250146000,-276686000,28433000,1893000,13557000,279994000,60.48,64.95,56.01,0.088,0.0283,39.64,1.52,16.85,37.41,0.6783,0.7833,0.2988,0.1122,0.24,-0.27,0.77
2015-03-31,110748842,110748842,1,14435703000,935442000,9882696000,1373976000,4396793000,156214000,0,127620000,3156319000,671219000,20727000,16122000,0.15,0.14,0,144148000,-232817000,92729000,4060000,11664000,251041000,67.42,73.31,61.53,0.091,0.0298,39.7,1.71,18.78,36.22,0.6469,0.7179,0.3046,0.1145,0.25,-0.97,0.6808
2014-12-31,110575187,110575187,1,14313532000,973435000,9794430000,1559143000,4367493000,151609000,0,119755000,2906215000,726450000,9535000,5410000,0.04,0.06,1.19,212709000,-288911000,73335000,-2867000,7604000,291976000,62.85,71.11,54.59,0.0918,0.0306,39.5,1.55,16.8,36.22,0.6475,0.6654,0.3051,0.1139,0.25,-0.72,0.6243
