"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2015-12-31,254340724,254340724,1,16326000000,1202000000,11730000000,2308000000,4413000000,183000000,0,1406000000,4695000000,1150000000,130000000,130000000,0.51,0.51,0.27,338000000,-326000000,-258000000,-246000000,25000000,321000000,25.55,26.97,24.13,0.0752,0.0201,17.35,1.49,27.77,13.97,0.8377,1.0639,0.2703,0.0651,0.31,0.07,0.5208
2015-09-30,253617191,253617191,1,16557000000,1546000000,12209000000,2340000000,4348000000,0,0,1406000000,4890000000,1362000000,91000000,91000000,0.36,0.36,0.27,262000000,-283000000,258000000,237000000,271000000,293000000,24.48,27.34,21.61,0.0536,0.0144,17.14,1.44,28.14,13.7,1.1789,1.1247,0.2626,0.0465,0.31,-0.12,0.6607
2015-06-30,253466203,253466203,1,16132000000,1291000000,11814000000,2033000000,4318000000,0,0,1406000000,4893000000,1140000000,53000000,53000000,0.21,0.21,0.27,182000000,-317000000,28000000,-107000000,34000000,316000000,25.65,27.3,24,0.0508,0.0139,17.04,1.5,29.48,13.43,1.2411,1.1332,0.2677,0.0445,0.31,-0.53,0.635
2015-03-31,253072175,253072175,1,16027000000,1411000000,11710000000,2157000000,4317000000,0,0,1406000000,4699000000,1371000000,53000000,53000000,0.21,0.21,0.27,157000000,-235000000,205000000,127000000,141000000,246000000,27.13,27.5,26.75,0.0508,0.0142,17.06,1.59,28.26,13.16,1.2387,1.0885,0.2694,0.0447,0.32,-0.35,0.6541
2014-12-31,252815448,252815448,1,15667000000,1084000000,11345000000,2065000000,4322000000,0,0,1407000000,4491000000,1118000000,35000000,35000000,0.14,0.14,0.27,105000000,-382000000,34000000,-243000000,14000000,382000000,27,27.65,26.35,0.0558,0.0159,17.1,1.56,25.23,12.89,1.1238,1.0391,0.2759,0.0496,0.32,-1.1,0.5249
2014-09-30,251907108,251907108,1,15298000000,1369000000,10936000000,1809000000,4362000000,0,0,1407000000,4746000000,1313000000,79000000,79000000,0.31,0.31,0.27,330000000,-298000000,41000000,73000000,257000000,287000000,27.34,27.92,26.76,0.0611,0.0176,17.32,1.59,22.05,12.62,1.0239,1.088,0.2851,0.0512,0.34,0.17,0.7568
2014-06-30,251524386,251524386,1,15070000000,1316000000,10735000000,1767000000,4335000000,0,0,1407000000,4612000000,1117000000,53000000,53000000,0.21,0.21,0.27,135000000,-261000000,188000000,62000000,184000000,266000000,23.99,27.9,20.09,0.0703,0.0203,17.23,1.39,19.99,12.35,0.8907,1.0639,0.2877,0.0584,0.35,-0.52,0.7448
2014-03-31,251025051,251025051,1,15004000000,1464000000,10668000000,1912000000,4336000000,0,0,1407000000,4512000000,1330000000,75000000,75000000,0.3,0.3,0.27,284000000,-285000000,100000000,99000000,122000000,275000000,19.73,20.93,18.53,0.0682,0.0196,17.27,1.15,None,12.08,0.9219,1.0406,0.289,0.057,0.34,0.04,0.7657
2013-12-31,250517109,250517109,1,14848000000,1398000000,10533000000,2313000000,4315000000,0,0,1407000000,4113000000,1417000000,58000000,58000000,0.25,0.25,0.27,230000000,-356000000,91000000,-35000000,23000000,362000000,18.91,19.62,18.19,-0.0495,-0.014,17.22,1.1,None,11.81,None,0.9532,0.2906,None,0.31,-0.53,0.6044
2013-09-30,249756730,249756730,1,14912000000,1465000000,10610000000,2378000000,4302000000,0,0,1407000000,3870000000,1344000000,118000000,118000000,0.48,0.48,0.27,302000000,-138000000,-121000000,43000000,58000000,322000000,19.47,20.9,18.04,-0.0526,-0.0148,17.22,1.15,None,11.54,None,0.8996,0.2885,None,0.29,-0.08,0.6161
2013-06-30,249142538,249142538,1,14989000000,1396000000,10753000000,2424000000,4236000000,0,0,1407000000,3876000000,1053000000,42000000,42000000,0.17,0.17,0.27,111000000,379000000,-600000000,-110000000,15000000,309000000,21.04,22.72,19.35,-0.0535,-0.015,17,1.22,None,11.27,None,0.915,0.2826,None,0.29,-0.79,0.5759
2013-03-31,248581877,248581877,1,15655000000,1521000000,11377000000,2883000000,4278000000,0,0,1407000000,3967000000,852000000,-430000000,-430000000,-1.82,-1.82,0.27,-146000000,-296000000,542000000,100000000,125000000,295000000,20.13,21.43,18.82,-0.0485,-0.0136,17.21,1.04,16.23,11,None,0.9273,0.2733,None,0.3,-1.77,0.5276
