"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,721742302,721742302,1,44567000000,2429000000,32395000000,4061000000,12172000000,0,0,3988000000,21114000000,2079000000,466000000,466000000,0.65,0.64,0.4125,474000000,-722000000,142000000,-103000000,540000000,729000000,30.34,32.88,27.8,0.1572,0.0424,16.86,1.88,11.76,28.99,0.6385,1.7346,0.2731,0.2379,0.18,-0.35,0.5981
2018-12-31,720936897,720936897,1,43396000000,2432000000,31739000000,4563000000,11657000000,0,0,3878000000,20069000000,1939000000,415000000,415000000,0.57,0.58,0.41,611000000,-895000000,72000000,-221000000,643000000,898000000,29.88,32.46,27.31,0.1594,0.0426,16.17,1.83,14.16,28.58,0.6373,1.7216,0.2686,0.2347,0.18,-0.4,0.533
2018-09-30,720199922,720199922,1,43042000000,2545000000,31259000000,4383000000,11783000000,0,0,3942000000,19924000000,1872000000,445000000,445000000,0.63,0.62,0.41,885000000,-817000000,-77000000,-11000000,864000000,817000000,29.37,31.1,27.64,0.1326,0.0351,16.36,1.83,14.69,28.17,0.7694,1.6909,0.2738,0.1917,0.18,0.09,0.5807
2018-06-30,699570660,699570660,1,42830000000,2600000000,31590000000,4448000000,11240000000,0,0,4002000000,20217000000,1848000000,515000000,515000000,0.74,0.73,0.41,759000000,-896000000,364000000,222000000,875000000,770000000,27.51,29.71,25.3,0.1277,0.0334,16.07,1.72,16.18,27.76,0.8021,1.7987,0.2624,0.1808,0.19,-0.02,0.5845
2018-03-31,699042874,699042874,1,42388000000,2490000000,31212000000,4238000000,11176000000,0,0,4005000000,20214000000,2126000000,452000000,452000000,0.65,0.65,0.41,566000000,-753000000,331000000,142000000,653000000,757000000,29.77,32.45,27.08,0.1092,0.0286,15.99,1.92,18.15,27.35,0.9406,1.8087,0.2637,0.1544,0.19,-0.27,0.5875
2017-12-31,694049792,694049792,1,41479000000,2294000000,30718000000,4023000000,10761000000,0,0,3955000000,19847000000,1926000000,78000000,78000000,0.1,0.11,0.4,707000000,-992000000,86000000,-191000000,485000000,994000000,34.64,38.55,30.74,0.1073,0.028,15.5,2.23,15.67,26.94,0.9666,1.8443,0.2594,0.1515,0.18,-0.41,0.5702
2017-09-30,688464316,688464316,1,40758000000,2331000000,30066000000,4149000000,10692000000,0,0,3800000000,19110000000,1845000000,355000000,355000000,0.52,0.51,0.395,964000000,-782000000,27000000,209000000,676000000,789000000,38.55,39.9,37.19,0.1471,0.0383,15.53,2.52,16.13,26.54,0.7072,1.7873,0.2623,0.206,0.19,0.25,0.5618
2017-06-30,685855683,685855683,1,39964000000,2166000000,29474000000,4350000000,10490000000,0,0,3795000000,18397000000,1725000000,292000000,292000000,0.43,0.43,0.395,655000000,-705000000,104000000,58000000,467000000,708000000,38.55,40.2,36.91,0.1614,0.042,15.29,2.6,14.44,26.14,0.6477,1.7538,0.2625,0.2208,0.19,-0.08,0.4979
2017-03-31,683174778,683174778,1,39034000000,2227000000,28925000000,4256000000,10109000000,0,0,3694000000,17958000000,1951000000,403000000,403000000,0.59,0.59,0.395,135000000,-677000000,607000000,68000000,409000000,680000000,35.84,37.95,33.72,0.181,0.0471,14.8,2.46,12.85,25.75,0.5726,1.7764,0.259,0.2446,0.19,-0.8,0.5233
2016-12-31,680602000,680602000,1,38315000000,2067000000,28416000000,3837000000,9899000000,0,0,3760000000,17808000000,1832000000,465000000,465000000,0.68,0.68,0.38,660000000,-852000000,119000000,-75000000,341000000,861000000,33.47,34.74,32.19,0.1904,0.0492,14.54,2.28,12.35,25.35,0.5425,1.799,0.2584,0.253,0.19,-0.3,0.5387
