"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,174597753,174597753,1,11113291000,None,2318781000,None,8768934000,25576000,3737500000,210178000,0,710950000,370056000,306411000,1.76,1.76,2,541610000,-219898000,-179280000,142428000,383831000,219948000,230.14,247.63,212.65,0.2916,0.1558,28.82,7.96,26.7,61.65,0.9555,0,0.4527,0.522,0.26,1.84,None
2019-03-31,174521922,174521922,1,10875016000,None,1780395000,None,9069821000,24800000,4025000000,210459000,1406150000,689038000,366521000,301743000,1.73,1.73,2,473584000,-193245000,-423005000,-142616000,241403000,193199000,209.97,226.06,193.89,0.3024,0.1604,28.91,7.19,24.59,59.65,0.9284,0.2787,0.4639,0.5419,0.26,1.61,None
2018-12-31,174498758,174498758,1,10928270000,None,1783542000,None,9119478000,25250000,4025000000,209856000,1412283000,692460000,586205000,530102000,3.05,3.04,2,483167000,-152198000,-402034000,-71093000,384019000,152198000,205.39,216.7,194.09,0.3023,0.159,29.19,7.35,27.72,57.65,0.9367,0.2772,0.4662,0.5406,0.26,1.9,None
2018-09-30,174364490,174364490,1,10747940000,None,1827918000,None,8895091000,24931000,4025000000,209317000,1417945000,706368000,378027000,322679000,1.85,1.85,2,600426000,-106915000,-399673000,93682000,455112000,198842000,217.03,234.9,199.15,0.2649,0.1413,27.93,7.76,30.27,55.65,1.0783,0.2912,0.4531,0.4729,0.26,2.3,None
2018-06-30,174240424,174240424,1,10692962000,None,1772170000,None,8895806000,24986000,4025000000,207390000,1420834000,685528000,403802000,348300000,2,2,2,519391000,-139765000,-404235000,-24571000,361430000,139765000,211.06,230.09,192.02,0.2556,0.1393,27.95,7.56,31.22,53.65,1.1148,0.2917,0.4555,0.4605,0.25,2.18,None
2018-03-31,174229383,174229383,1,10685520000,None,1769730000,None,8891003000,24787000,4025000000,210733000,1442911000,669924000,342997000,287819000,1.66,1.65,2,458519000,-114900000,-413646000,-70052000,386001000,114900000,195.32,210.17,180.48,0.2399,0.1356,27.93,6.92,29.02,51.65,1.1822,0.2965,0.4554,0.4376,0.25,1.97,None
2017-12-31,174215770,174215770,1,10732892000,None,1768523000,None,8940009000,24360000,4025000000,214957000,1431322000,672308000,389399000,334080000,1.93,1.91,2,473160000,-342657000,-397607000,-267065000,456053000,338495000,208.75,219.37,198.12,0.237,0.1375,28.21,7.4,30.47,49.65,1.1883,0.2912,0.4579,0.439,0.25,0.77,None
2017-09-30,174041219,174041219,1,10765694000,None,1806274000,None,8936190000,23230000,4025000000,205868000,1425854000,686361000,356674000,279717000,1.61,1.61,2,537192000,-151775000,-49389000,335967000,694233000,155909000,206,219.86,192.15,0.2392,0.1419,28.22,7.24,29.34,47.65,1.1686,0.2903,0.4562,0.4496,0.26,2.19,None
2017-06-30,174002754,174002754,1,10365727000,None,1203701000,None,9139087000,22939000,4187500000,207203000,420778000,664312000,353702000,276681000,1.59,1.59,2,506244000,-127281000,-141435000,237407000,358266000,127329000,217.11,232.21,202,0.2435,0.1461,28.46,7.55,30.84,45.65,1.1112,0.085,0.4777,0.4647,0.26,2.18,None
2017-03-31,173845894,173845894,1,10083911000,None,690404000,None,9363514000,29993000,4367500000,209593000,395862000,645547000,342442000,281131000,1.62,1.62,2,459083000,-118141000,-403788000,-62829000,120859000,118121000,221.88,231.25,212.5,0.2432,0.1477,28.74,7.64,32.58,43.65,1.0781,0.0792,0.4954,0.4717,0.26,1.96,None
2016-12-31,173638361,173638361,1,10130338000,None,688684000,None,9411910000,29744000,4367500000,212719000,390749000,651427000,413739000,352812000,2.04,2.03,2,465296000,-261167000,-77472000,126475000,183688000,257435000,212.53,224.4,200.65,0.2344,0.1451,29.05,7.31,32.6,41.65,1.0697,0.0775,0.498,0.4624,0.26,1.2,None
2016-09-30,173440267,173440267,1,9865769000,None,776626000,None,9059656000,29487000,4017500000,212548000,430892000,663148000,367305000,308957000,1.78,1.78,1.8,515326000,-167764000,-550543000,-202911000,57213000,152598000,236.76,260.83,212.69,0.2238,0.1414,29.07,8.14,37.46,39.65,1.0701,0.0855,0.5111,0.4518,0.25,2.09,None
2016-06-30,173401388,173401388,1,9997137000,None,1230104000,None,8737753000,29280000,3692500000,213396000,436835000,634188000,356659000,280775000,1.62,1.61,1.8,523734000,-125117000,-444545000,-45581000,260124000,192537000,256.29,277.6,234.98,0.2162,0.1393,29.1,8.77,41.14,37.85,1.0885,0.0866,0.5047,0.4456,0.25,1.91,None
2016-03-31,173382028,173382028,1,10064347000,None,986834000,None,9048766000,28747000,3980000000,212506000,611478000,611786000,315873000,241335000,1.4,1.39,1.7,440980000,-162678000,-76266000,201420000,305705000,163961000,250.77,276.83,224.71,0.2123,0.1375,29.23,8.49,41.31,36.05,1.0887,0.1206,0.5036,0.4463,0.25,1.6,None
2015-12-31,173269371,173269371,1,9778232000,None,580594000,None,9170641000,26997000,4055000000,193400000,0,600799000,363490000,303003000,1.76,1.74,1.7,434532000,-154019000,-212506000,68617000,104285000,153767000,232.4,253.93,210.87,0.2064,0.135,29.52,7.89,38.93,34.35,1.0683,0,0.5232,0.4421,0.25,1.62,None
2015-09-30,173155582,173155582,1,9654815000,None,476207000,None,9152118000,26490000,4055000000,193400000,0,618872000,339568000,273508000,1.58,1.58,1.7,472035000,-98112000,-358481000,15412000,35668000,95968000,200.04,217.99,182.08,0.2022,0.1332,29.44,6.79,34.91,32.65,1.0371,0,0.5279,0.4406,0.24,2.17,None
2015-06-30,172967347,172967347,1,9634758000,None,329097000,None,9279369000,26292000,4180000000,193400000,0,592631000,326405000,263926000,1.53,1.52,1.7,456843000,-93827000,-495105000,-132541000,20256000,112791000,191.75,200.6,182.91,0.1938,0.1285,29.48,6.5,35.05,30.95,1.0277,0,0.5293,0.4315,0.24,1.99,None
2015-03-31,172895881,172895881,1,9772017000,None,468096000,None,9277895000,26026000,4180000000,193400000,0,569394000,281781000,212613000,1.23,1.23,1.4,369191000,-94147000,-309513000,-34915000,152797000,93609000,195.99,206.92,185.05,0.1844,0.1224,29.49,6.57,37.33,29.25,1.0219,0,0.5217,0.4217,0.23,1.59,None
2014-12-31,172808464,172808464,1,9818676000,None,311505000,None,9480796000,26375000,4325000000,193400000,0,566147000,346715000,283957000,1.65,1.64,1.4,453609000,-222778000,-142447000,89460000,187712000,225545000,177.62,190.19,165.05,0.1762,0.1171,29.84,5.98,35.38,27.85,1.0648,0,0.5251,0.4137,0.22,1.32,None
2014-09-30,172725666,172725666,1,9624468000,None,332093000,None,9266430000,25945000,4135000000,193400000,0,571596000,293459000,231815000,1.34,1.34,1.4,427103000,-91939000,-624374000,-289731000,98252000,300126000,170.3,178.26,162.34,0.1678,0.1118,29.71,5.71,33.92,26.45,1.113,0,0.5332,0.4051,0.22,0.74,None
2014-06-30,172640278,172640278,1,9946457000,None,634972000,None,9285238000,26247000,4135000000,193400000,0,538037000,276834000,218352000,1.27,1.26,1.4,395337000,-71348000,-36685000,286871000,387983000,73488000,172.06,176.72,167.41,0.1671,0.1123,29.83,5.74,34.69,25.05,1.0828,0,0.5178,0.4164,0.22,1.86,None
2014-03-31,172539982,172539982,1,9682582000,None,682758000,None,8973401000,26423000,3797500000,193400000,0,519624000,227196000,174052000,1.01,1.01,1.4,330709000,173069000,-421909000,81943000,101112000,38653000,160.07,172.11,148.04,0.1648,0.1131,30,5.27,32.73,23.65,1.0651,0,0.5346,0.422,0.21,1.69,None
