"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,448541697,448541697,1,57781000000,14295000000,30475000000,11171000000,24752000000,2554000000,0,0,3174000000,28518000000,1424000000,1422000000,3.13,3.12,0.9,1930000000,-574000000,-787000000,566000000,1819000000,513000000,89.98,99.73,80.24,0.2209,0.0949,55.18,1.69,7.98,15.83,0.28,0.1282,0.4284,0.0474,2,3.16,1.2797
2019-03-31,453551166,453551166,1,57855000000,14815000000,31110000000,11328000000,24217000000,2528000000,0,4134000000,11268000000,23658000000,204000000,203000000,0.44,0.44,0.8,-478000000,-1012000000,-284000000,-1766000000,1253000000,1097000000,92.7,100.41,85,0.2225,0.0947,53.39,1.71,7.79,14.93,0.2784,0.4653,0.4186,0.0461,2.05,-3.47,1.3078
2018-12-31,454913087,454913087,1,54302000000,13209000000,27149000000,8935000000,24653000000,2500000000,0,4139000000,11093000000,30294000000,2240000000,2238000000,4.85,4.81,0.8,4139000000,-931000000,-1098000000,2095000000,3019000000,994000000,98.79,119.14,78.44,0.2419,0.1031,54.19,1.95,7.42,14.13,0.2559,0.45,0.454,0.0489,2.1,6.91,1.4783
2018-09-30,461125321,461125321,1,55884000000,15314000000,30089000000,11974000000,23319000000,2476000000,0,4144000000,11021000000,30592000000,1492000000,1491000000,3.2,3.18,0.8,582000000,-719000000,-819000000,-960000000,924000000,779000000,116.41,123.97,108.85,0.282,0.1207,50.57,2.4,9.92,13.33,0.2165,0.4726,0.4173,0.0576,2.09,-0.43,1.2789
2018-06-30,464262410,464262410,1,54826000000,14579000000,29866000000,11732000000,22536000000,2424000000,0,4136000000,11023000000,29736000000,1339000000,1338000000,2.86,2.84,0.8,2364000000,-464000000,-841000000,1042000000,1884000000,538000000,107.53,122.38,92.68,0.2554,0.11,48.54,2.28,10.81,12.53,0.2387,0.4891,0.411,0.0541,2.03,3.93,1.2427
2018-03-31,465836946,465836946,1,52132000000,12125000000,27832000000,9236000000,21923000000,2377000000,0,4141000000,11579000000,23595000000,524000000,522000000,1.07,1.07,0.7,488000000,-357000000,-2409000000,-2277000000,842000000,328000000,98.31,107.47,89.14,0.2215,0.0966,47.06,1.96,9.93,11.73,0.2731,0.5282,0.4205,0.0494,1.95,0.34,1.3128
2017-12-31,501237339,501237339,1,54371000000,14390000000,26943000000,10107000000,25085000000,2343000000,0,4146000000,10069000000,29746000000,3198000000,3196000000,6.29,6.22,0.7,1931000000,-470000000,91000000,1572000000,3119000000,537000000,95.84,102.43,89.26,0.2209,0.0971,50.05,2.16,24.02,11.03,0.2723,0.4014,0.4614,0.0498,1.95,2.78,1.4238
2017-09-30,506740487,506740487,1,52712000000,12935000000,28753000000,9905000000,22523000000,1436000000,0,4154000000,9495000000,25627000000,823000000,822000000,1.6,1.6,0.7,401000000,-381000000,-612000000,-614000000,1547000000,367000000,86.46,92.19,80.73,0.0922,0.0399,44.45,1.98,25.81,10.33,0.6603,0.4216,0.4273,0.0215,1.85,0.07,1.3059
2017-06-30,511510782,511510782,1,51828000000,12456000000,28022000000,8874000000,22368000000,1438000000,0,4159000000,9472000000,24087000000,550000000,548000000,1.06,1.06,0.7,1865000000,-453000000,-904000000,525000000,2161000000,458000000,79.13,83.11,75.14,0.0779,0.0343,43.73,1.83,24.57,9.63,0.763,0.4235,0.4316,0.0191,1.79,2.75,1.4037
2017-03-31,516098240,516098240,1,51405000000,12170000000,27680000000,8730000000,22364000000,1361000000,0,4165000000,9601000000,22894000000,535000000,534000000,1.02,1.02,0.63,-549000000,158000000,-686000000,-1075000000,1636000000,470000000,82.27,88.26,76.28,0.0751,0.0335,43.33,1.9,28.17,8.93,0.7704,0.4293,0.4351,0.0189,1.76,-1.97,1.394
2016-12-31,517816429,517816429,1,51653000000,12680000000,27928000000,9463000000,22390000000,1335000000,0,4158000000,9588000000,23397000000,163000000,162000000,0.31,0.31,0.63,667000000,-995000000,703000000,374000000,2711000000,813000000,83.27,88.87,77.66,0.0681,0.031,43.24,1.89,21.86,8.3,0.8251,0.4282,0.4335,0.0184,1.68,-0.28,1.34
