"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-05,74913188,74913188,1,13355000000,3253400000,7593700000,2206600000,5761500000,-200000,0,7149700000,2759400000,2356300000,82000000,82000000,1.09,1.08,0.075,-73200000,-76700000,198300000,42300000,494300000,76700000,120.22,134.24,106.19,0.1137,0.0533,76.91,1.55,12.46,3.88,0.0175,0.4789,0.4314,0.0669,0.8,-2,1.4744
2019-02-03,75146409,75146409,1,11863700000,3238600000,6035700000,1893900000,5827800000,200000,0,7945200000,2819400000,2484000000,158700000,158700000,2.09,2.09,0,547600000,-109700000,-385200000,53500000,452000000,109700000,107,127.55,86.46,0.1319,0.0634,77.55,1.43,11.97,3.8,0.0154,0.4838,0.4912,0.0773,0.82,5.83,1.71
2018-11-04,75735222,75735222,1,11830900000,3307800000,6149200000,1898600000,5681200000,500000,0,7230200000,2878300000,2524500000,243100000,243100000,3.18,3.15,0.0375,-6000000,-104900000,78900000,-32600000,398500000,104900000,137.07,157.63,116.52,0.1246,0.0591,75.01,1.89,15.51,3.8,0.0209,0.5066,0.4802,0.072,0.82,-1.46,1.7422
2018-08-05,76715454,76715454,1,11697700000,3166000000,6131300000,1835700000,5565400000,1000000,0,7284600000,2893500000,2333700000,165200000,165200000,2.15,2.12,0.0375,436600000,-88200000,-338200000,-3400000,431100000,88200000,156.84,169.22,144.47,0.1264,0.059,72.55,2.17,19.03,3.77,0.0211,0.5199,0.4758,0.0728,0.81,4.54,1.7247
2018-05-06,77085742,77085742,1,11714600000,3041600000,6148500000,1727100000,5564600000,1500000,0,7434900000,3013200000,2314600000,179400000,179400000,2.33,2.29,0.075,-125700000,-92600000,166000000,-59400000,434500000,76700000,151.44,163.78,139.1,0.1206,0.0554,72.19,2.11,22.14,3.73,0.0226,0.5415,0.475,0.07,0.79,-2.63,1.7611
2018-02-04,76991793,76991793,1,11885700000,3030800000,6347300000,1871600000,5536400000,2000000,0,8359500000,3061300000,2498900000,108500000,108500000,1.41,1.38,0.04,456700000,-147100000,-443900000,-118400000,493900000,119500000,139.44,157.96,120.91,0.1036,0.0469,71.91,2.04,20.72,3.65,0.0219,0.5529,0.4658,0.0603,0.78,4.38,1.6194
2017-10-29,76929334,76929334,1,11658200000,3144100000,6405800000,1726300000,5249800000,2600000,0,7336000000,3182700000,2357000000,239200000,239200000,3.09,3.05,0.0375,40200000,-106600000,119500000,52900000,612300000,79200000,125.71,133.24,118.17,0.1059,0.047,68.24,1.91,23.99,3.61,0.0223,0.6063,0.4503,0.0622,0.76,-0.51,1.8213
2017-07-30,77424422,77424422,1,11453900000,2935500000,6355600000,1633200000,5095200000,3100000,0,7348700000,3185700000,2069900000,119700000,119700000,1.54,1.52,0.0375,247800000,-101500000,-89500000,68500000,559400000,87600000,108.67,120.49,96.85,0.0852,0.0375,65.81,1.74,22.5,3.58,0.0286,0.6252,0.4448,0.0496,0.76,2.07,1.7974
2017-04-30,77845986,77845986,1,10912300000,2655200000,6033900000,1378200000,4875000000,3400000,0,7163400000,3157100000,1989000000,70400000,70400000,0.9,0.89,0.0375,-44900000,-103900000,-94300000,-239200000,490900000,68400000,94.63,104.72,84.53,0.0805,0.0351,62.62,1.54,13.98,3.54,0.031,0.6476,0.4467,0.0469,0.75,-1.46,1.9266
2017-01-29,78203197,78203197,1,11067900000,2879600000,6261400000,1564800000,4804500000,2000000,0,7079900000,3197300000,2107700000,100700000,100700000,1.27,1.27,0.04,378400000,-115200000,-192800000,67700000,730100000,83600000,101.79,114.88,88.71,0.114,0.0497,61.44,1.68,14.28,3.5,0.0221,0.6655,0.4341,0.0669,0.74,3.77,1.8402
