"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,142218236,142218236,1,8021817000,3751932000,4245558000,1906233000,3774923000,1336000,0,2028729000,1551319000,2839199000,27344000,27344000,0.19,0.19,0.04,-108664000,-68171000,165378000,-11375000,78117000,64267000,37.64,41,34.28,0.0879,0.0438,26.54,1.44,14.82,0.08,0.0347,0.411,0.4706,0.0279,1.57,-1.22,1.9682
2019-03-31,142117690,142117690,1,7652516000,3554544000,3927459000,1778737000,3723744000,1313000,0,2023594000,1378080000,2807259000,120488000,120488000,0.83,0.82,0.04,-82750000,-147156000,236260000,6236000,89492000,57808000,33.67,37.95,29.39,0.101,0.0523,26.2,1.32,17.18,0.04,0.0152,0.3701,0.4866,0.0324,1.61,-0.99,1.9984
2018-12-31,141392596,141392596,1,7075787000,3326104000,3470334000,1806127000,3604159000,1294000,0,1996362000,1073690000,3112218000,55478000,55478000,0.35,0.43,0,137172000,-80987000,-89430000,-34918000,83256000,69163000,31.95,36,27.9,0.0791,0.0423,25.49,1.22,14.26,0,0,0.2979,0.5094,0.0261,1.61,0.48,1.8416
2018-09-30,146516834,146516834,1,7191174000,3378122000,3366940000,1816184000,3822818000,1416000,0,1912139000,956541000,2985281000,124551000,124551000,0.82,0.81,0,39104000,-136431000,90963000,-6563000,118174000,68502000,34.1,35.59,32.61,0.0937,0.0521,26.09,1.38,17.14,0,0,0.2502,0.5316,0.0332,1.55,-0.2,1.86
2018-06-30,149293665,149293665,1,6790382000,3074836000,3096917000,1690565000,3690660000,2805000,0,2159484000,842206000,2656348000,74706000,74365000,0.49,0.48,0,156520000,-93354000,-44822000,19457000,124737000,77560000,34.81,37.44,32.19,0.0848,0.048,24.72,1.43,18.13,0,0,0.2282,0.5435,0.031,1.53,0.53,1.8188
2018-03-31,150095299,150095299,1,6653402000,2957069000,3006437000,1549639000,3643352000,3613000,0,2173697000,884630000,2417576000,38611000,37614000,0.24,0.24,0,25993000,-91898000,26719000,-38495000,105280000,61038000,36.4,40.1,32.7,0.083,0.0483,24.27,1.48,18.29,0,0,0.2428,0.5476,0.0314,1.52,-0.23,1.9082
2017-12-31,154230841,154230841,1,6480154000,2869907000,2684525000,1492067000,3791571000,4058000,0,2131779000,672425000,2478627000,115576000,113561000,0.73,0.71,0,197638000,-8750000,-142270000,46753000,138285000,69449000,37.42,39.5,35.35,0.0874,0.0521,24.58,1.55,20.45,0,0,0.1773,0.5851,0.0333,1.55,0.83,1.9234
2017-09-30,154720790,154720790,1,6640246000,2948239000,2910015000,1592492000,3727530000,2701000,0,2212063000,763495000,2609307000,89849000,89313000,0.57,0.56,0,173703000,-452344000,270133000,-8033000,91532000,58917000,35.13,37.59,32.67,0.0827,0.05,24.09,1.51,20.07,0,0,0.2048,0.5614,0.0412,1.2,0.74,1.8513
2017-06-30,151184065,151184065,1,5753344000,2617199000,2244013000,1286016000,3506723000,2608000,0,1800692000,486130000,2200374000,64360000,63837000,0.41,0.41,0,4945000,-67467000,55590000,-6949000,99565000,50714000,33.57,36.48,30.66,0.0809,0.0498,23.2,1.46,23.15,0,0,0.1386,0.6095,0.0618,0.8,-0.3,2.0351
2017-03-31,148111606,148111606,1,5543053000,2474913000,2144242000,1264738000,3396343000,2468000,0,1790318000,419310000,2178170000,48440000,48267000,0.31,0.31,0,-3811000,-47264000,44311000,-5669000,106514000,42223000,36.3,38.47,34.14,0.0685,0.042,22.93,1.58,28.58,0,0,0.1235,0.6127,0.1009,0.41,-0.31,1.9569
