"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-07-03,84625000,84625000,1,850948000,489556000,81565000,67565000,769383000,0,0,225787000,0,116404000,18283000,18283000,0.22,0.22,0,17695000,-22451000,-1034000,-5790000,119618000,7842000,13.37,15,11.73,0.0839,0.0758,9.09,1.49,24.31,0,0,0,0.9041,0.1346,0.56,0.12,7.2457
2016-04-03,83186000,83186000,1,823868000,463406000,76490000,61076000,747378000,0,0,230230000,0,119424000,18239000,18239000,0.22,0.21,0,58198000,-20922000,1063000,38339000,125408000,4770000,12.25,13.52,10.97,0.0631,0.0568,8.98,1.4,26.06,0,0,0,0.9072,0.1013,0.56,0.64,7.5874
2015-12-27,82840000,82840000,1,797392000,426509000,74970000,55417000,722422000,0,0,233753000,0,122730000,23433000,23433000,0.28,0.28,0,27208000,-11010000,-30999000,-14801000,87069000,3213000,11.61,13.53,9.7,0.0535,0.0477,8.72,1.34,26.39,0,0,0,0.906,0.0833,0.57,0.29,7.6964
2015-09-27,83836000,83836000,1,811822000,446237000,87613000,64809000,724209000,0,0,237408000,0,103354000,2238000,2238000,0.03,0.03,0,26648000,10219000,-27196000,9671000,101870000,443000,11.5,14.64,8.37,0.0519,0.046,8.64,1.35,21.7,0,0,0,0.8921,0.0783,0.59,0.31,6.8854
2015-06-28,87643000,87643000,1,842029000,467641000,92753000,70208000,749276000,0,0,241206000,0,113405000,2556000,2556000,0.03,0.03,0,9467000,-27212000,-5297000,-23042000,92199000,10782000,14.64,15.93,13.35,0.0639,0.0565,8.55,1.71,25.68,0,0,0,0.8898,0.0917,0.62,-0.02,6.6608
2015-03-29,87259000,87259000,1,848655000,468176000,101639000,77402000,747016000,0,0,244891000,0,133043000,11148000,11148000,0.12,0.13,0,45156000,-19831000,-5592000,19733000,115241000,10698000,13.98,15.41,12.55,0.0696,0.0616,8.56,1.66,None,0,0,0,0.8802,0.0973,0.63,0.39,6.0486
2014-12-28,87346000,87346000,1,831501000,453457000,94686000,71238000,736815000,0,0,249323000,0,140203000,22435000,22435000,0.26,0.25,0,25571000,-6581000,-10412000,8578000,95508000,3352000,11,13.17,8.83,-0.0103,-0.0091,8.44,1.35,None,0,None,0,0.8861,None,0.62,0.25,6.3654
2014-09-28,88144000,88144000,1,813578000,425218000,93013000,71709000,720565000,0,0,253723000,0,127503000,11010000,11010000,0.13,0.12,0,28391000,-4194000,1851000,26048000,86930000,3079000,9.7,10.7,8.7,-0.0129,-0.0114,8.17,1.21,None,0,None,0,0.8857,None,0.6,0.29,5.9298
2014-06-29,87820000,87820000,1,791668000,394783000,88240000,65054000,703428000,0,0,258694000,0,119449000,6000000,6000000,0.07,0.07,0,-16622000,-11816000,-1938000,-30376000,60882000,8989000,11.3,13.07,9.54,-0.013,-0.0115,8.01,1.42,None,0,None,0,0.8885,None,0.58,-0.29,6.0685
2014-03-30,87201000,87201000,1,798263000,392960000,104837000,78671000,693426000,0,0,264010000,0,115720000,-46779000,-46779000,-0.55,-0.55,0,-21242000,1791000,1711000,-17740000,91258000,6507000,11.86,12.9,10.82,-0.0257,-0.0227,7.95,1.41,17.97,0,None,0,0.8687,None,0.57,-0.32,4.995
2013-12-29,86956000,86956000,1,822118000,583119000,88364000,62736000,733754000,0,0,114362000,0,119449000,20586000,20586000,0.24,0.24,0,37368000,-13365000,-1512000,22491000,108998000,5654000,11.5,12.67,10.32,0.0806,0.0718,8.44,1.41,20.54,0,0,0,0.8925,0.1258,0.57,0.36,9.2948
2013-09-29,86744000,86744000,1,794495000,559192000,85364000,61579000,709131000,0,0,114668000,0,112622000,10977000,10977000,0.13,0.13,0,24074000,-14613000,-17506000,-8045000,86507000,5278000,10.65,11.73,9.57,0.0708,0.0619,8.17,1.32,19.02,0,0,0,0.8926,0.11,0.56,0.22,9.0809
