"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2017-06-30,1426125631,1426125631,1,50463000000,3636000000,28577000000,5542000000,21886000000,0,0,45424000000,11390000000,3318000000,919000000,919000000,0.64,0.64,0.51,-584000000,-33000000,-794000000,-1396000000,1758000000,33000000,65.31,67.81,62.8,0.1571,0.0665,15.35,4.29,28.27,13.76,0.8111,0.5204,0.4337,0.2695,0.25,-0.43,0.6561
2017-03-31,1426711959,1426711959,1,51959000000,5103000000,30253000000,5891000000,21706000000,0,0,45430000000,12651000000,2949000000,780000000,780000000,0.55,0.55,0.51,1861000000,-32000000,-729000000,1103000000,3154000000,33000000,58.87,63.18,54.56,0.1523,0.0637,15.21,3.87,13.85,13.25,0.8026,0.5828,0.4178,0.2623,0.24,1.28,0.8662
2016-12-31,1425934305,1425934305,1,51095000000,4238000000,29384000000,4985000000,21711000000,0,0,45436000000,12664000000,3186000000,851000000,851000000,0.6,0.6,0.46,823000000,6000000,-659000000,153000000,2051000000,69000000,50.02,56.65,43.38,0.2831,0.1162,15.23,3.31,12.99,12.74,0.4134,0.5833,0.4249,0.4857,0.24,0.53,0.8502
2016-09-30,1425788368,1425788368,1,51792000000,4962000000,30248000000,5069000000,21544000000,0,0,45442000000,12677000000,3205000000,861000000,861000000,0.6,0.6,0.46,1182000000,-31000000,-1173000000,-20000000,1898000000,43000000,50.58,54.48,46.69,0.2672,0.1042,15.11,3.37,13.63,12.28,0.4306,0.5884,0.416,0.4447,0.23,0.8,0.9789
2016-06-30,1427341241,1427341241,1,51772000000,4905000000,30372000000,4778000000,21400000000,0,0,45448000000,13192000000,3195000000,796000000,796000000,0.56,0.56,0.42,-1858000000,-28000000,-632000000,-2523000000,1918000000,51000000,50.42,53.99,46.85,0.2672,0.0994,14.99,3.4,10.42,11.82,0.4205,0.6164,0.4134,0.4297,0.23,-1.34,1.0266
2016-03-31,1427341241,1427341241,1,54408000000,7529000000,33245000000,7604000000,21163000000,0,0,45454000000,13213000000,2917000000,3565000000,3565000000,2.5,2.49,0.42,1133000000,5131000000,-4402000000,1874000000,4441000000,43000000,48.56,52.54,44.58,0.3374,0.1191,14.83,3.8,17.89,11.4,0.3277,0.6243,0.389,0.5573,0.21,0.76,0.9901
2015-12-31,1427341341,1427341341,1,53224000000,6187000000,34972000000,5291000000,18252000000,0,0,45460000000,16941000000,3054000000,279000000,279000000,0.19,0.2,0.36,665000000,38000000,-1050000000,-353000000,2567000000,76000000,46.29,49.56,43.02,0.2184,0.0733,12.79,3.58,17.44,10.98,0.5729,0.9282,0.3429,0.3047,0.24,0.41,1.1693
2015-09-30,1429101406,1429101406,1,53774000000,6423000000,35297000000,5678000000,18477000000,0,0,45696000000,16972000000,3161000000,657000000,657000000,0.46,0.46,0.36,-917000000,183000000,-359000000,-1093000000,2920000000,34000000,40.07,44.44,35.7,0.2724,0.0896,12.93,3.13,15.21,10.62,0.5463,0.9185,0.3436,0.32,0.28,-0.67,1.1312
2015-06-30,714550703,1429101406,2,54558000000,7451000000,36232000000,6442000000,18326000000,0,0,45320000000,17550000000,2403000000,1928000000,1928000000,3.39,3.38,0.67,-632000000,-10201000000,13221000000,2398000000,4013000000,38000000,36.66,38.98,34.33,0.3624,0.1162,12.82,8.63,26.09,10.26,0.5277,0.9577,0.3359,0.3319,0.35,-0.47,1.1566
2015-03-31,532013134,1064026268,2,15850000000,3989000000,11331000000,4225000000,4519000000,0,0,10433000000,4629000000,2057000000,389000000,389000000,0.73,0.73,0.67,1080000000,-25000000,-374000000,649000000,1615000000,26000000,34.73,38.12,31.35,0.3161,0.097,4.25,8.15,25.26,9.92,0.9521,1.0243,0.2851,0.1741,0.56,0.99,0.9441
2014-12-31,531283513,1062567026,2,15196000000,3323000000,10674000000,3544000000,4522000000,0,0,10437000000,4633000000,2134000000,148000000,148000000,0.28,0.28,0.67,499000000,-30000000,-783000000,-323000000,966000000,31000000,30.97,33.8,28.14,0.3027,0.0954,4.26,6.59,20.58,9.59,0.9708,1.0245,0.2976,0.1735,0.55,0.44,0.9376
2014-09-30,531283513,1062567026,2,15332000000,3456000000,10339000000,3286000000,4993000000,0,0,10441000000,5087000000,2240000000,467000000,467000000,0.88,0.88,0.67,869000000,-63000000,-806000000,-24000000,1289000000,50000000,29.66,31.7,27.61,0.3217,0.1044,4.7,6.43,19.97,9.25,0.8732,1.0188,0.3257,0.1927,0.54,0.77,1.0517
2014-06-30,531283513,1062567026,2,15301000000,3458000000,10406000000,3323000000,4895000000,0,0,10430000000,5091000000,2162000000,492000000,492000000,0.92,0.92,0.67,-657000000,-27000000,173000000,-513000000,1313000000,68000000,28.93,31.32,26.53,0.3183,0.1017,4.61,6.18,20.02,8.92,0.869,1.04,0.3199,0.1939,0.52,-0.68,1.0406
