"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-04-30,36026302,36026302,1,374150000,194467000,61467000,38455000,312681000,2000,0,15978000,0,98178000,13210000,13210000,0.37,0.36,0.13,8762000,-2441000,-10665000,-4417000,61370000,1570000,37.2,41.39,33,0.1391,0.1181,8.68,4.33,26.57,7.54,0.4362,0,0.8357,0.1089,1.08,0.2,5.057
2019-01-31,35960588,35960588,1,360245000,183071000,51288000,33053000,308955000,2000,0,78732000,284000,88022000,2906000,2906000,0.08,0.05,0.13,13644000,-11645000,-4975000,-2906000,65787000,2874000,39.84,46.54,33.15,0.1707,0.1456,8.59,4.63,25.38,7.41,0.3607,0.0009,0.8576,0.1274,1.14,0.3,5.5387
2018-10-31,35956251,35956251,1,361726000,194562000,52217000,35126000,309427000,82000,0,11407000,0,104833000,13032000,13032000,0.36,0.36,0.13,13656000,-3311000,-6923000,3254000,68693000,3568000,43.7,49.8,37.6,0.1942,0.165,8.61,5.2,28.38,7.28,0.3255,0,0.8554,0.1383,1.19,0.28,5.539
2018-07-31,35902427,35902427,1,355915000,188152000,53805000,37490000,302052000,58000,0,11772000,0,102684000,13721000,13721000,0.38,0.38,0.13,25049000,-4673000,-6082000,14122000,65439000,2689000,39.2,42.4,36,0.1971,0.167,8.41,4.8,28.2,7.15,0.331,0,0.8487,0.137,1.22,0.62,5.0187
2018-04-30,35885868,35885868,1,345102000,177774000,52016000,35963000,293072000,14000,0,9815000,0,111129000,22135000,22135000,0.62,0.61,0.13,13603000,3185000,-5775000,10782000,51317000,4164000,35.65,39.84,31.45,0.1825,0.1552,8.17,4.62,31.83,7.02,0.3673,0,0.8492,0.1287,1.21,0.26,4.9432
2018-01-31,35796857,35796857,1,326803000,160279000,50737000,36942000,276064000,2000,0,68791000,448000,95823000,8442000,8442000,0.24,0.22,0.13,14127000,-5598000,-5017000,3662000,40535000,-6670000,36.45,40.85,32.06,0.1508,0.128,7.71,4.81,35.39,6.89,0.4555,0.0016,0.8447,0.1087,1.18,0.58,4.3387
2017-10-31,35755646,35755646,1,320541000,153837000,49392000,35936000,271146000,3000,0,11375000,0,101349000,11997000,11997000,0.33,0.33,0.13,10973000,-14488000,-14701000,-18324000,36873000,1780000,31.25,35.8,26.7,0.1382,0.1179,7.58,4.13,36.34,6.76,0.5058,0,0.8459,0.1056,1.12,0.26,4.2809
2017-07-31,36103017,36103017,1,317196000,156109000,44125000,31777000,273067000,4000,0,11228000,0,86610000,8235000,8235000,0.23,0.23,0.13,12159000,-2753000,-5010000,4720000,55197000,2433000,33.6,37.4,29.8,0.1161,0.0998,7.56,4.53,44.8,6.63,0.61,0,0.8609,0.0957,1.04,0.27,4.9126
2017-04-30,36090556,36090556,1,316994000,155217000,49250000,36524000,267739000,5000,0,52141000,0,93535000,12348000,12348000,0.34,0.34,0.13,7702000,-2836000,-4993000,-171000,50477000,2790000,27.68,31.6,23.75,0.1034,0.0891,7.42,3.85,49.43,6.5,0.6943,0,0.8446,0.0893,1,0.14,4.2497
2017-01-31,36076259,36076259,1,301509000,138816000,42078000,28382000,259426000,5000,0,52697000,0,68915000,4438000,4438000,0.13,0.13,0.13,9951000,-888000,-4727000,4335000,50648000,895000,23.85,26.9,20.8,0.0778,0.0677,7.19,3.31,49.69,6.37,0.9296,0,0.8604,0.0728,0.93,0.25,4.891
2016-10-31,36076259,36076259,1,297335000,131427000,37373000,25239000,259957000,5000,0,53214000,0,72522000,5741000,5741000,0.16,0.16,0.13,13127000,-2114000,-4756000,6190000,46313000,1733000,22.84,25.47,20.21,0.0678,0.0594,7.21,3.19,152.27,6.24,1.0637,0,0.8743,0.0676,0.88,0.32,5.2073
2016-07-31,36076259,36076259,1,297357000,129228000,38901000,25074000,258421000,35000,0,53640000,0,67598000,4495000,4495000,0.12,0.12,0.13,14454000,-205000,-6871000,7333000,40123000,1377000,18.29,21.58,15.01,0.0219,0.0192,7.16,2.55,130.64,6.11,3.2833,0,0.8691,0.0224,0.86,0.36,5.1539
2016-04-30,36158806,36158806,1,297170000,125593000,37307000,22868000,259787000,76000,0,53958000,0,68360000,5517000,5517000,0.15,0.15,0.13,11104000,-1435000,-10797000,-992000,32790000,791000,14.87,16.86,12.88,0.02,0.0176,7.18,2.04,123.92,5.98,3.4962,0,0.8742,0.0212,0.83,0.29,5.4921
2016-01-31,36279928,36279928,1,298688000,125229000,34459000,18819000,264155000,74000,0,53628000,0,52827000,1918000,1918000,0.06,0.05,0.13,8827000,-2108000,-4819000,1495000,33782000,2275000,16.74,19.61,13.87,0.0169,0.0147,7.28,2.28,72.78,5.85,4.0255,0,0.8844,0.0185,0.8,0.18,6.6544
2015-10-31,36505845,36505845,1,301781000,126677000,34175000,19664000,267514000,92000,0,54039000,0,67611000,-6188000,-6188000,-0.17,-0.17,0.13,11480000,-3135000,-23365000,-15015000,32287000,3438000,17.65,19.53,15.77,0.031,0.0266,7.33,2.24,29.92,5.72,2.1496,0,0.8865,0.0307,0.87,0.22,6.4421
2015-07-31,37303276,37303276,1,340630000,148854000,46294000,22050000,294216000,120000,0,69346000,0,67518000,4191000,4191000,0.11,0.11,0.13,14678000,-1398000,-13456000,-150000,47302000,2333000,20.44,22.36,18.52,0.0754,0.064,7.89,2.56,29.62,5.59,0.8926,0,0.8637,0.069,0.93,0.33,6.7507
2015-04-30,37800845,37800845,1,354597000,161858000,52447000,26866000,302060000,90000,0,69951000,0,70273000,4855000,4855000,0.13,0.13,0.13,9023000,-4433000,-9044000,-4497000,47452000,5000000,19.88,22.85,16.91,0.0898,0.0759,7.99,2.48,23.12,5.46,0.7509,0,0.8518,0.0739,1.03,0.11,6.0246
2015-01-31,38049802,38049802,1,362873000,170979000,57636000,31843000,305153000,84000,0,70638000,0,89866000,6193000,6193000,0.16,0.16,0.13,14388000,-11874000,-16619000,-14409000,51949000,4244000,23.66,26.56,20.75,0.1159,0.0973,8.02,3.37,25.72,5.33,0.5875,0,0.8409,0.0839,1.16,0.27,5.3694
2014-10-31,38044464,38044464,1,317463000,179121000,50508000,30076000,266897000,58000,0,34239000,0,91292000,6783000,6783000,0.19,0.19,0.13,14657000,-5672000,-4639000,4197000,66358000,5500000,26.43,30.74,22.13,0.1299,0.1088,7.02,3.65,24.7,5.2,0.5343,0,0.8407,0.0888,1.23,0.24,5.9556
2014-07-31,36493698,36493698,1,311875000,175277000,47594000,26456000,264236000,45000,0,34934000,0,94485000,7719000,7719000,0.21,0.21,0.12,12860000,-9428000,-4612000,-1241000,62161000,4397000,31.16,34.56,27.75,0.1541,0.1283,7.24,4.38,28.59,5.07,0.4448,0,0.8472,0.0997,1.29,0.23,6.6252
2014-04-30,36430220,36430220,1,312077000,181498000,52833000,33434000,259148000,96000,0,30082000,0,102510000,11038000,11038000,0.3,0.3,0.12,18178000,-3012000,-4795000,10415000,63402000,2900000,35.17,40.06,30.29,0.1607,0.1325,7.11,5.1,30.06,4.95,0.4376,0,0.8304,0.1015,1.31,0.42,5.4285
2014-01-31,36427627,36427627,1,301819000,169405000,50357000,29819000,251362000,100000,0,30430000,0,92638000,8278000,8278000,0.23,0.22,0.12,15633000,-7096000,-4052000,4339000,52987000,6795000,37.81,42.99,32.64,0.1775,0.1454,6.9,5.59,30.25,4.83,0.4072,0,0.8328,0.1087,1.34,0.24,5.6811
2013-10-31,36407560,36407560,1,300564000,170274000,54234000,35577000,246230000,100000,0,30707000,0,104938000,12289000,12289000,0.34,0.34,0.12,7466000,-10239000,-4267000,-7069000,48648000,10160000,31.6,34.83,28.38,0.1953,0.1588,6.76,4.85,26.12,4.71,0.366,0,0.8192,0.1168,1.36,-0.07,4.7861
2013-07-31,36387282,36387282,1,290806000,165762000,53492000,34529000,237218000,96000,0,30634000,0,93421000,8333000,8333000,0.23,0.23,0.12,14838000,-5868000,-4328000,4612000,55717000,5597000,32.25,35.68,28.82,0.196,0.1577,6.52,5.06,24.81,4.59,0.3652,0,0.8157,0.1154,1.37,0.25,4.8007
2013-04-30,36361827,36361827,1,287334000,166211000,55442000,36655000,231800000,92000,0,30880000,0,103680000,14003000,14003000,0.38,0.38,0.12,14899000,-8412000,-4707000,1752000,51105000,8149000,29.75,34.04,25.46,0.2179,0.1738,6.37,4.89,20.66,4.47,0.3288,0,0.8067,0.1212,1.43,0.19,4.5345
