"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,117561004,117561004,1,2239419000,1564919000,1130192000,909510000,1109227000,0,0,2452000,350000,1516385000,114612000,114612000,0.98,0.98,0.31,120748000,-24649000,-97396000,-205000,269440000,23819000,61.27,69.08,53.46,0.415,0.2163,9.44,6.75,16.47,9.52,0.3101,0.0003,0.4953,0.0764,2.83,0.82,1.7206
2019-03-31,118557548,118557548,1,2204607000,1532017000,1127578000,900730000,1077029000,0,0,212900000,404000,1468530000,109798000,109798000,0.94,0.93,0.31,127079000,-23080000,-110279000,-6934000,269645000,17706000,60.9,69.01,52.79,0.4101,0.2218,9.08,6.82,17.06,9.21,0.309,0.0004,0.4885,0.0763,2.91,0.92,1.7009
2018-12-31,119078490,119078490,1,1903097000,1473610000,839899000,819536000,1063198000,0,0,213107000,457000,1481658000,113564000,113564000,0.95,0.95,0.28,123045000,-33339000,-170882000,-85161000,276579000,18585000,62.05,71.28,52.83,0.3942,0.2237,8.93,6.74,20.61,8.9,0.3137,0.0004,0.5587,0.0749,2.99,0.88,1.7981
2018-09-30,121475032,121475032,1,2034907000,1612400000,915665000,896280000,1119242000,0,0,214028000,509000,1466226000,115242000,115242000,0.96,0.95,0.28,185313000,-18082000,-112156000,53084000,361740000,9925000,72.1,79.91,64.3,0.3307,0.1903,9.21,7.96,26.31,8.62,0.3609,0.0005,0.55,0.0649,2.93,1.44,1.799
2018-06-30,122445184,122445184,1,1933583000,1504129000,824085000,808876000,1109498000,0,0,214377000,559000,1457054000,109315000,109315000,0.9,0.89,0.28,147746000,-18538000,-103625000,16669000,308656000,9296000,63.41,70.35,56.46,0.3018,0.1768,9.06,7.03,25.47,8.34,0.3819,0.0005,0.5738,0.0611,2.9,1.13,1.8595
2018-03-31,123562570,123562570,1,1893860000,1468456000,779063000,764440000,1114797000,0,0,215385000,608000,1395333000,96167000,96167000,0.79,0.78,0.28,116218000,-18550000,-103452000,-2766000,291987000,7965000,55.97,60.59,51.35,0.2762,0.1637,9.02,6.3,24.02,8.06,0.4049,0.0005,0.5886,0.0573,2.85,0.88,1.921
2017-12-31,124261548,124261548,1,1867454000,1431869000,762189000,747896000,1105265000,0,0,215831000,657000,1346282000,47047000,47047000,0.38,0.39,0.24,64528000,-24421000,-94347000,-53583000,294753000,21243000,52.94,57.67,48.21,0.2624,0.1568,8.89,5.82,20.76,7.78,0.4154,0.0006,0.5919,0.0552,2.84,0.35,1.9145
2017-09-30,125349795,125349795,1,1932852000,1437323000,793034000,778348000,1139818000,0,0,216762000,704000,1324709000,84700000,84700000,0.69,0.68,0.24,130403000,-16002000,-67771000,50538000,348336000,7354000,46.82,50.72,42.92,0.2913,0.1755,9.09,5.35,18.15,7.54,0.3704,0.0006,0.5897,0.062,2.83,0.98,1.8466
2017-06-30,126184289,126184289,1,1836138000,1347106000,731754000,719443000,1104384000,0,0,216648000,750000,1308428000,80316000,80316000,0.64,0.64,0.24,134560000,-22800000,-79448000,37655000,297798000,10851000,46.56,49.03,44.09,0.2997,0.1802,8.75,5.48,17.57,7.3,0.3584,0.0007,0.6015,0.0629,2.86,0.98,1.8724
2017-03-31,127179472,127179472,1,1775210000,1295922000,694267000,682600000,1080943000,0,0,213295000,795000,1287370000,78521000,78521000,0.63,0.62,0.24,123500000,-15274000,-111325000,-58000,260143000,10335000,47.99,50.98,45,0.3126,0.1878,8.5,5.65,17.97,7.06,0.3416,0.0007,0.6089,0.0647,2.91,0.89,1.8985
