"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-31,178093007,178093007,1,5573939000,3289450000,3816003000,2663753000,1757936000,0,0,1472408000,0,934111000,141120000,141120000,0.8,0.76,0,459954000,147559000,-175541000,412300000,2295396000,27647000,183.33,186.36,180.3,0.3036,0.0877,9.87,20.19,81.12,0,0,0,0.3154,0.1326,0.66,2.43,1.2349
2019-02-28,177755763,177755763,1,5588289000,3463656000,3974357000,2722574000,1613932000,0,0,1482936000,231540000,878997000,139494000,139494000,0.79,0.7,0,397103000,123168000,-181934000,343824000,1883096000,19837000,178.14,183.54,172.74,0.3014,0.0839,9.08,22.13,119.56,0,0,0.1435,0.2888,0.1291,0.65,2.12,1.2722
2018-11-30,176760468,176760468,1,5103014000,2970491000,3679383000,2363585000,1423631000,0,0,1489116000,324153000,846795000,94450000,94450000,0.54,0.51,0,136728000,-64266000,-34725000,35757000,1539272000,19232000,147.4,179.49,115.31,0.2008,0.0548,8.05,20.11,96.97,0,0,0.2277,0.279,0.0866,0.63,0.66,1.2568
2018-08-31,175973678,175973678,1,4806868000,2577753000,3517064000,2094452000,1289804000,0,0,1491738000,512095000,822747000,86854000,86854000,0.49,0.46,0,132792000,87380000,-466039000,-264965000,1503515000,16911000,154.2,177.7,130.71,0.2054,0.0571,7.33,19.11,96.98,0,0,0.397,0.2683,0.0915,0.62,0.66,1.2308
2018-05-31,177373891,177373891,1,5191561000,2905614000,3759617000,2276235000,1431944000,0,0,1498884000,554503000,813530000,113190000,113190000,0.64,0.59,0,346159000,-36322000,-237228000,44348000,1768480000,15829000,158.44,173.58,143.31,0.2084,0.0596,8.07,19.16,113.17,0,0,0.3872,0.2758,0.0977,0.61,1.86,1.2765
2018-02-28,177672967,177672967,1,5466546000,3134992000,3996316000,2305454000,1470230000,0,0,1513783000,744194000,772332000,-12552000,-12552000,-0.07,-0.07,0,362063000,6226000,13517000,392960000,1724132000,20548000,134.03,150.3,117.76,0.1846,0.0534,8.27,16.55,72.84,0,0,0.5062,0.269,0.0886,0.6,1.92,1.3598
2017-11-30,177004300,177004300,1,4759484000,2504710000,3326344000,1825046000,1433140000,0,0,1272407000,762367000,747978000,101306000,101306000,0.57,0.54,0,160307000,89725000,-126873000,120864000,1331172000,20013000,117.06,129.61,104.51,0.2504,0.0731,8.1,14.8,70.1,0,0,0.532,0.3011,0.1214,0.6,0.79,1.3724
2017-08-31,176947183,176947183,1,4639384000,2332363000,3239037000,1795826000,1400347000,0,0,1278261000,756743000,723355000,96859000,96859000,0.55,0.53,0,142896000,-121972000,-71032000,-20149000,1210308000,33452000,97.02,107.77,86.26,0.2326,0.0684,7.91,13.18,66.45,0,0,0.5404,0.3018,0.1149,0.6,0.62,1.2988
2017-05-31,177459657,177459657,1,4512436000,2301649000,3206892000,1791380000,1305544000,0,0,1180403000,751173000,676796000,73190000,73190000,0.41,0.4,0,257872000,-50833000,-88711000,139649000,1230457000,27674000,85.47,90.01,80.93,0.2067,0.0617,7.36,12.18,61.49,0,0,0.5754,0.2893,0.1054,0.59,1.3,1.2848
2017-02-28,177776853,177776853,1,4535185000,2315702000,3287865000,1891073000,1247320000,0,0,1178476000,745633000,628839000,65804000,65804000,0.36,0.37,0,318259000,-14788000,-131655000,174130000,1090808000,21749000,76.78,85.01,68.54,0.1957,0.0603,7.02,10.77,59.06,0,0,0.5978,0.275,0.1052,0.57,1.67,1.2245
2016-11-30,178287993,178287993,1,4085093000,1880572000,2813291000,1497938000,1271802000,0,0,1184821000,740153000,615260000,67943000,67943000,0.38,0.37,0,136359000,-24052000,-143273000,-53891000,916678000,19567000,77.13,82.73,71.52,0.1827,0.0586,7.13,10.51,65.36,0,0,0.582,0.3113,0.1036,0.57,0.66,1.2554
2016-08-31,179596072,179596072,1,4100756000,1848220000,2782360000,1509280000,1318396000,0,0,1196666000,734700000,599805000,58772000,58772000,0.33,0.32,0,96802000,-33242000,-133143000,-60996000,970569000,19060000,75.95,81.81,70.09,0.1645,0.0541,7.34,10.19,66.62,0,0,0.5573,0.3215,0.0984,0.55,0.43,1.2246
2016-05-31,181096136,181096136,1,4112281000,1883953000,2762946000,1504477000,1349335000,0,0,1170340000,729307000,567899000,61184000,61184000,0.34,0.33,0,232297000,-38051000,-96122000,103787000,1031565000,20521000,71.5,77.56,65.43,0.1575,0.0532,7.45,9.73,66.82,0,0,0.5405,0.3281,0.0993,0.54,1.17,1.2522
2016-02-29,181436066,181436066,1,4155099000,1872433000,2820667000,1559177000,1334432000,0,0,1173348000,723942000,543501000,53036000,53036000,0.29,0.28,0,247454000,-150158000,-118447000,-14259000,927778000,17964000,72.02,84.44,59.59,0.1478,0.0511,7.35,9.79,69.92,0,0,0.5425,0.3212,0.0971,0.53,1.26,1.2009
2015-11-30,182625154,182625154,1,3899205000,1773941000,2554412000,1311534000,1344793000,0,0,1177336000,729285000,523580000,46848000,46848000,0.26,0.25,0,139603000,-80497000,-97187000,-49570000,942037000,10583000,75.68,83,68.36,0.1451,0.0508,7.36,10.12,72.77,0,0,0.5423,0.3449,0.0984,0.52,0.71,1.3526
2015-08-31,182803302,182803302,1,3801471000,1705961000,2433421000,1262399000,1368050000,0,0,1056066000,724621000,504148000,51395000,51395000,0.28,0.28,0,120277000,-41200000,-74898000,685000,991607000,12345000,74.25,81.49,67.01,0.149,0.0523,7.48,10.1,73.51,0,0,0.5297,0.3599,0.1024,0.51,0.59,1.3514
2015-05-31,183483355,183483355,1,3760280000,1700914000,2410857000,1244986000,1349423000,0,0,1055457000,720001000,481001000,48086000,48086000,0.26,0.26,0,208758000,-240253000,-17034000,-56551000,990922000,14625000,72.17,79.35,65,0.1415,0.0538,7.35,10.27,75.97,0,0,0.5336,0.3589,0.1032,0.52,1.06,1.3662
2015-02-28,183318650,183318650,1,3802985000,1970239000,2514647000,1334692000,1288338000,0,0,1061336000,715402000,463941000,47700000,47700000,0.26,0.24,0,217384000,-34843000,-3174000,163484000,1047473000,12775000,64.82,71.77,57.87,0.1296,0.0534,7.03,9.63,68.23,0,0,0.5553,0.3388,0.1007,0.53,1.12,1.4762
2014-11-30,183414508,183414508,1,3547871000,1705017000,2314064000,1172621000,1233807000,0,0,1083750000,710844000,455895000,47933000,47933000,0.26,0.26,0,132988000,-140546000,328927000,298608000,883989000,14361000,58.11,63.69,52.53,0.1219,0.0555,6.73,7.21,60.53,0,0,0.5761,0.3478,0.1029,0.54,0.65,1.454
2014-08-31,187822319,187822319,1,3067304000,1325564000,1552648000,1134009000,1514656000,0,0,1016967000,0,445899000,46823000,46823000,0.25,0.25,0,107737000,6825000,-84427000,21233000,585381000,15488000,56.14,62.69,49.59,0.1199,0.0601,8.06,6.97,61.02,0,0,0,0.4938,0.109,0.55,0.49,1.1689
2014-05-31,189096335,189096335,1,3070010000,1308901000,1545207000,1135114000,1524803000,0,0,958605000,0,423754000,37745000,37745000,0.2,0.2,0,164686000,-156439000,-93086000,-82594000,564148000,9147000,54.45,61.45,47.45,0.1173,0.0597,8.06,6.65,58.55,0,0,0,0.4967,0.1101,0.54,0.82,1.1531
2014-02-28,189344281,189344281,1,3106619000,1571182000,1555454000,1148086000,1551165000,0,0,820829000,0,400397000,45068000,45068000,0.24,0.24,0,184682000,-180281000,-27000,4631000,646742000,22523000,52.82,60.19,45.45,0.1218,0.0628,8.19,6.81,58.04,0,0,0,0.4993,0.1162,0.54,0.86,1.3685
2013-11-30,189538365,189538365,1,2851368000,1468600000,1380165000,1025546000,1471203000,0,0,823563000,0,396536000,52025000,52025000,0.27,0.27,0,95154000,2289000,-55036000,45317000,642111000,14009000,48.14,54.38,41.89,0.121,0.0637,7.76,6.33,58.71,0,0,0,0.516,0.1189,0.54,0.43,1.432
2013-08-31,189499438,189499438,1,2739581000,1281660000,1297977000,975941000,1441604000,0,0,832589000,0,374423000,40808000,40808000,0.22,0.21,0,118929000,-97648000,-20909000,-1204000,596794000,32006000,49.32,53.72,44.92,0.1089,0.0585,7.61,6.7,62.43,0,0,0,0.5262,0.1112,0.53,0.46,1.3133
2013-05-31,189304464,189304464,1,2654933000,1262533000,1261626000,943425000,1393307000,0,0,827843000,0,363259000,40391000,40391000,0.21,0.21,0,141815000,167378000,-187138000,110914000,597998000,29021000,51.17,55.59,46.75,0.1042,0.0571,7.36,6.38,66.45,0,0,0,0.5248,0.1112,0.51,0.6,1.3382
2013-02-28,189598561,189598561,1,2813660000,1368749000,1293499000,985712000,1520161000,0,0,833154000,0,347885000,42973000,42973000,0.23,0.22,0,136884000,-217517000,-33481000,-118827000,487084000,23046000,51.72,57.1,46.34,0.1018,0.0569,8.02,6.74,69.89,0,0,0,0.5403,0.113,0.5,0.6,1.3886
2012-11-30,193194373,193194373,1,2661899000,1290292000,1180677000,892430000,1481222000,0,0,738174000,0,343606000,34765000,34765000,0.18,0.18,0,100156000,-8715000,-62753000,34335000,605911000,33886000,53.38,60,46.76,0.0991,0.0559,7.67,6.96,71.17,0,0,0,0.5565,0.1121,0.5,0.34,1.4458
2012-08-31,193324891,193324891,1,2605641000,1244669000,1121958000,844596000,1483683000,0,0,718139000,0,322595000,35005000,35005000,0.18,0.18,0,103853000,-49670000,5286000,62960000,571576000,44685000,54.47,59.49,49.45,0.1028,0.0589,7.67,7.43,70.74,0,0,0,0.5694,0.1198,0.49,0.31,1.4737
2012-05-31,193026242,193026242,1,2484618000,1173961000,1068897000,807068000,1415721000,0,0,688091000,0,314731000,37461000,37461000,0.19,0.19,0,124404000,-113147000,-35017000,-40601000,508616000,18421000,55.5,62.75,48.25,0.1086,0.0628,7.33,7.66,74,0,0,0,0.5698,0.1282,0.49,0.55,1.4546
2012-02-29,192858422,192858422,1,2491099000,1221355000,1092282000,826305000,1398817000,0,0,692201000,0,297011000,35968000,35968000,0.18,0.19,0,128014000,-34085000,-73873000,22552000,549217000,16078000,45.85,51.8,39.9,0.1067,0.0622,7.25,6.29,61.96,0,0,0,0.5615,0.1294,0.48,0.58,1.4781
2011-11-30,193137311,193137311,1,2380274000,1153818000,972877000,733890000,1407397000,0,0,695627000,0,290026000,38240000,38240000,0.2,0.19,0,96556000,-281329000,-5423000,-210793000,526665000,11758000,44.84,52.72,36.95,0.107,0.0631,7.29,6.35,65.94,0,0,0,0.5913,0.1334,0.47,0.44,1.5722
2011-08-31,192839172,192839172,1,2308530000,1260789000,947359000,706962000,1361171000,0,0,567921000,0,281320000,39968000,39968000,0.21,0.2,0,77101000,-24644000,-29570000,27235000,737458000,12582000,39.27,46.67,31.87,0.1017,0.0601,7.06,5.7,65.45,0,0,0,0.5896,0.1286,0.47,0.33,1.7834
2011-05-31,193022425,193022425,1,2247841000,1208235000,917338000,686097000,1330503000,0,0,572024000,0,264746000,32450000,32450000,0.17,0.17,0,90212000,-18802000,-14970000,67593000,710223000,11200000,43.41,47.71,39.11,0.0923,0.0549,6.89,6.49,78.93,0,0,0,0.5919,0.1199,0.46,0.41,1.761
2011-02-28,193024423,193024423,1,2199322000,1184558000,908623000,679801000,1290699000,0,0,573605000,0,244796000,33534000,33534000,0.16,0.18,0,95000000,-59171000,415000,47716000,642630000,10875000,44.21,49,39.42,0.0897,0.0536,6.69,7.05,90.22,0,0,0,0.5869,0.118,0.45,0.44,1.7425
2010-11-30,192961296,192961296,1,2028713000,1088386000,818757000,614890000,1209956000,0,0,576532000,0,235576000,26017000,26017000,0.14,0.13,0,70820000,-172568000,20890000,-74313000,594914000,19560000,39.41,43.79,35.04,0.0844,0.0506,6.27,6.36,89.57,0,0,0,0.5964,0.1129,0.45,0.27,1.77
2010-08-31,190581328,190581328,1,1943595000,1219834000,761603000,567642000,1181992000,0,0,539788000,0,219761000,23656000,23656000,0.13,0.12,0,64284000,96704000,22074000,190857000,669227000,9695000,31.55,35.27,27.82,0.0778,0.0467,6.2,5.41,67.13,0,0,0,0.6081,0.1069,0.44,0.29,2.1489
2010-05-31,188935864,188935864,1,1831868000,1035451000,730576000,546268000,1101292000,0,0,542532000,23547000,209144000,24071000,24071000,0.13,0.12,0,60644000,80180000,-33599000,90252000,478370000,6722000,29.44,32.19,26.69,0.084,0.0505,5.83,5,65.42,0,0,0.0214,0.6012,0.1185,0.43,0.29,1.8955
2010-02-28,188643958,188643958,1,1870872000,1003119000,759820000,566267000,1111052000,0,0,546962000,24081000,195869000,23388000,23388000,0.12,0.12,0,77892000,-23905000,-44901000,-1591000,388118000,7102000,29.14,31.76,26.52,0.0792,0.0479,5.89,4.96,69.38,0,0,0.0217,0.5939,0.1166,0.41,0.38,1.7715
2009-11-30,188710217,188710217,1,1855829000,971718000,748629000,537933000,1107200000,0,0,551543000,34578000,194346000,16414000,16414000,0.09,0.08,0,54149000,-159257000,-4534000,-103343000,389709000,8655000,25.57,28.94,22.2,0.0725,0.0446,5.87,4.38,55.59,0,0,0.0312,0.5966,0.1111,0.4,0.24,1.8064
2009-08-31,187776158,187776158,1,1793072000,940823000,695548000,495354000,1097524000,0,0,554646000,34573000,183633000,28937000,28937000,0.15,0.15,0,62005000,-51660000,-29943000,-17564000,493052000,6635000,20.91,23.72,18.11,0.0802,0.0482,5.84,3.59,51,0,0,0.0315,0.6121,0.1272,0.38,0.29,1.8993
2009-05-31,188007091,188007091,1,1765823000,919533000,672303000,468835000,1093520000,0,0,558539000,34573000,174388000,18514000,18514000,0.1,0.1,0,61203000,-41381000,-30869000,-4932000,510616000,6028000,16.69,20.39,12.98,0.0736,0.0415,5.82,2.85,42.79,0,0,0.0316,0.6193,0.1193,0.35,0.29,1.9613
2009-02-28,188959364,188959364,1,1753636000,890832000,647583000,446649000,1106053000,0,0,560286000,35432000,166222000,15988000,15988000,0.08,0.09,0,59663000,214464000,-276921000,-4289000,515548000,6321000,12.37,16.44,8.3,0.0743,0.039,5.85,2.18,31.72,0,0,0.032,0.6307,0.1206,0.32,0.28,1.9945
2008-11-30,190094446,190094446,1,1964479000,949935000,884598000,708223000,1079881000,0,0,563973000,19329000,165332000,24305000,24305000,0.13,0.12,0,59148000,-28831000,-296087000,-267620000,519837000,4212000,14.35,21.2,7.5,0.083,0.0404,5.68,2.59,38.78,0,0,0.0179,0.5497,0.135,0.3,0.29,1.3413
2008-08-31,191753476,191753476,1,2215386000,1241824000,1152817000,978805000,1062569000,0,0,470551000,19349000,164383000,21138000,21138000,0.11,0.1,0,54266000,104582000,20546000,176917000,787457000,4430000,21.9,24.8,19,0.0815,0.0381,5.54,4.23,60.83,0,0,0.0182,0.4796,0.135,0.28,0.26,1.2687
2008-05-31,191333437,191333437,1,2137346000,1096758000,1145953000,981168000,991393000,0,0,471167000,19359000,156635000,17290000,17290000,0.09,0.08,0,63362000,-143999000,13299000,-67180000,610540000,9522000,20.48,24.42,16.54,0.0819,0.038,5.18,4.1,56.89,0,0,0.0195,0.4638,0.1386,0.27,0.28,1.1178
2008-02-29,190631015,190631015,1,2079982000,1192356000,1128791000,969748000,951191000,0,0,434137000,20261000,141492000,22006000,22006000,0.13,0.09,0,54512000,82012000,-47905000,90761000,677720000,16044000,19.07,21.32,16.82,0.0839,0.0388,4.99,3.87,51.54,0,0,0.0213,0.4573,0.1466,0.26,0.2,1.2296
