"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,611803445,611803445,1,25624000000,4208000000,12867000000,1461000000,12748000000,9000000,0,703000000,9727000000,758000000,-208000000,-208000000,-0.34,-0.34,0,153000000,-57000000,287000000,383000000,2853000000,58000000,7.54,9.79,5.28,-0.0812,-0.0411,20.84,0.36,None,55.67,None,0.763,0.4975,None,0.12,0.16,2.8802
2019-03-31,611631548,611631548,1,25450000000,3792000000,12497000000,1396000000,12946000000,7000000,0,750000000,9414000000,754000000,-171000000,-171000000,-0.28,-0.28,0,-51000000,23000000,-91000000,-119000000,2470000000,40000000,8.12,9.69,6.54,-0.1554,-0.0792,21.17,0.38,None,55.67,None,0.7272,0.5087,None,0.13,-0.15,2.7163
2018-12-31,610061503,610061503,1,25665000000,3948000000,12551000000,1458000000,13107000000,7000000,0,0,9978000000,748000000,-242000000,-242000000,-0.48,-0.48,0,238000000,-1168000000,644000000,-286000000,2589000000,38000000,10.33,14.47,6.19,-0.157,-0.0806,21.48,0.4,None,55.67,None,0.7613,0.5107,None,0.12,0.33,2.7078
2018-09-30,461906035,461906035,1,23462000000,4065000000,11501000000,1322000000,11962000000,-1000000,0,554000000,8955000000,816000000,-409000000,-409000000,-0.88,-0.88,0,214000000,-35000000,-311000000,-132000000,2875000000,34000000,12.37,14.34,10.4,-0.1477,-0.0779,25.9,0.46,None,55.67,None,0.7486,0.5098,None,0.12,0.39,3.0749
2018-06-30,461868183,461868183,1,24246000000,4217000000,11884000000,2826000000,12359000000,3000000,0,583000000,7814000000,790000000,-1135000000,-1135000000,-2.46,-2.46,0,3000000,30000000,-232000000,-199000000,3007000000,29000000,11.76,14.16,9.36,-0.2239,-0.1212,26.76,0.4,None,55.67,None,0.6323,0.5097,None,0.12,-0.06,1.4922
2018-03-31,461715265,461715265,1,25695000000,4543000000,12211000000,3022000000,13424000000,60000000,0,1073000000,7976000000,664000000,-210000000,-210000000,-0.48,-0.48,0,103000000,376000000,-248000000,231000000,3206000000,40000000,10.55,12.4,8.7,-0.2579,-0.1453,29.07,0.32,None,55.67,None,0.5942,0.5224,None,0.12,0.14,1.5033
2017-12-31,391181430,391181430,1,22410000000,4606000000,9641000000,1369000000,12707000000,62000000,0,0,7146000000,629000000,-111000000,-109000000,-0.29,-0.29,0,257000000,-541000000,86000000,-198000000,2519000000,91000000,10.55,11.78,9.33,-0.2249,-0.1311,32.48,0.32,None,55.67,None,0.5624,0.567,None,0.12,0.42,3.3645
2017-09-30,391213324,391213324,1,22441000000,4451000000,9590000000,1885000000,12799000000,52000000,0,0,6501000000,808000000,-1417000000,-1417000000,-3.62,-3.62,0,384000000,-102000000,-36000000,246000000,2717000000,127000000,9.02,10.84,7.2,-0.1909,-0.1118,32.72,0.25,None,55.67,None,0.5079,0.5703,None,0.13,0.66,2.3613
2017-06-30,391184607,391184607,1,23847000000,4286000000,9596000000,1858000000,14205000000,46000000,0,0,6525000000,751000000,-1690000000,-1690000000,-4.32,-4.32,0,319000000,174000000,-1115000000,-622000000,2471000000,-189000000,10.36,13.04,7.67,-0.076,-0.0443,36.31,0.25,6.36,55.67,None,0.4593,0.5957,None,0.13,1.3,2.3068
2017-03-31,391045417,391045417,1,26717000000,5071000000,10782000000,2547000000,15900000000,35000000,0,0,6937000000,785000000,91000000,89000000,0.23,0.23,0,184000000,-118000000,-25000000,41000000,3093000000,118000000,13.93,16.16,11.69,0.0393,0.0235,40.66,0.32,6.7,55.67,0,0.4363,0.5951,0.1681,0.14,0.17,1.991
