"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,77221531,77221531,1,7343700000,3654100000,4330900000,1591000000,3012800000,0,0,1083500000,692100000,1428800000,117100000,117100000,1.5,1.47,0.6875,197400000,107200000,-244800000,64900000,691400000,49400000,118.2,133.63,102.77,0.1339,0.0688,39.02,2.81,22.51,17.14,0.4594,0.2297,0.4103,0.0691,0.99,1.92,2.2967
2019-03-30,78073657,78073657,1,5942800000,3594800000,2655600000,1200100000,3287200000,0,0,1083300000,901700000,1505700000,31600000,31600000,0.41,0.39,0.63,100700000,-69200000,-124600000,-97000000,626500000,48500000,115.81,131.19,100.44,0.1274,0.0711,42.1,2.71,21.65,16.46,0.4625,0.2743,0.5531,0.0683,1.04,0.67,2.9954
2018-12-29,78621952,78621952,1,6092000000,3696400000,2738100000,1273700000,3353900000,0,0,1094300000,904700000,1725800000,120000000,120000000,1.5,1.48,0.625,470100000,-77300000,-262600000,127000000,723500000,36100000,117.56,139.5,95.63,0.1287,0.0722,42.66,2.73,40.96,15.83,0.4333,0.2697,0.5505,0.0695,1.04,5.52,2.9021
2018-09-29,80438149,80438149,1,6155500000,3693500000,2693500000,1241100000,3462000000,0,0,1103600000,906900000,1690900000,170300000,170300000,2.09,2.07,0.625,-17600000,94300000,-54100000,20700000,596500000,50800000,135.97,147.79,124.14,0.0695,0.0389,43.04,3.22,53.32,15.2,0.7638,0.262,0.5624,0.0382,1.02,-0.85,2.976
2018-06-30,81130116,81130116,1,6035300000,3550100000,2614300000,1563700000,3421000000,0,0,1110100000,517100000,1390600000,109000000,109000000,1.33,1.31,0.625,230600000,-827100000,-164400000,-779700000,575800000,42300000,124.96,145.94,103.98,0.0616,0.0348,42.17,2.95,63.76,14.58,0.8138,0.1512,0.5668,0.0341,1.02,2.32,2.2703
2018-03-31,81554627,81554627,1,6143300000,3548400000,2685900000,1587200000,3457400000,0,0,1138500000,524400000,1529200000,41300000,41300000,0.5,0.49,0.5,24000000,128700000,-38800000,132300000,1355500000,38600000,109.71,119.33,100.09,0.0474,0.0269,42.39,2.62,None,13.95,0.9993,0.1517,0.5628,0.0263,1.02,-0.18,2.2356
2017-12-30,81289728,81289728,1,6199000000,3533200000,2791500000,1710200000,3407500000,0,0,1136500000,528600000,1641800000,-81800000,-81800000,-1,-1,0.5,514100000,-404500000,-48900000,64300000,1223200000,48300000,94.39,105.52,83.26,-0.0244,-0.014,41.92,2.19,96.32,13.45,None,0.1551,0.5497,None,1.05,5.73,2.066
2017-09-30,81276049,81276049,1,6028300000,3324400000,2518700000,1590100000,3509600000,0,0,1140700000,534400000,1664200000,143800000,143800000,1.76,1.75,0.5,102800000,215200000,-48800000,282500000,1158900000,32800000,81.45,92.55,70.36,0.0235,0.0138,43.18,1.97,None,12.95,2.0108,0.1523,0.5822,0.0129,1.07,0.86,2.0907
2017-07-01,81262491,81262491,1,5814000000,3086700000,2453900000,1216900000,3360100000,0,0,1137900000,837100000,1347100000,59500000,59500000,0.73,0.72,0.5,334200000,-128500000,-61000000,164600000,876400000,41900000,75.27,84.47,66.06,-0.0051,-0.003,41.35,1.85,None,12.45,None,0.2491,0.5779,None,1.1,3.6,2.5365
2017-04-01,80995252,80995252,1,5652000000,2954500000,2352400000,1159900000,3299600000,0,0,1124400000,588200000,1565800000,-204300000,-204300000,-2.47,-2.47,0.5,102300000,-224800000,-149100000,-260000000,668300000,59000000,84.34,93.05,75.62,-0.0282,-0.0167,40.74,1.92,48.19,11.95,None,0.1783,0.5838,None,1.12,0.53,2.5472
