"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,117007640,117007640,1,6158800000,2945800000,5002300000,1952500000,1156500000,0,0,157200000,2239900000,1665100000,261400000,261400000,2.22,2.2,1.94,351200000,11200000,-354600000,8800000,788800000,27800000,169.79,191.48,148.1,0.7678,0.168,9.88,15.04,21.57,73.98,0.5503,1.9368,0.1878,0.1544,1.09,2.76,1.5087
2019-03-31,118362039,118362039,1,6254200000,2976800000,4917900000,1871900000,1336300000,0,0,164000000,2229800000,1657200000,346000000,346000000,2.91,2.88,0.97,143800000,-22800000,21700000,147700000,780000000,35700000,163.62,182.02,145.21,0.6846,0.1599,11.29,15.35,24.2,72.04,0.4688,1.6686,0.2137,0.1443,1.11,0.91,1.5903
2018-12-31,119543966,119543966,1,5935400000,2737900000,4661100000,2265500000,1274300000,0,0,164500000,1235400000,1642300000,80300000,80300000,0.67,0.66,0.97,212000000,140900000,-327700000,13500000,632300000,41900000,166.71,191.96,141.46,0.5425,0.1389,10.66,12.44,39.13,71.07,0.5224,0.9695,0.2147,0.1268,1.1,1.42,1.2085
2018-09-30,120684079,120684079,1,6262000000,2830700000,4644500000,2236900000,1617500000,0,0,1290700000,1225200000,1729500000,345900000,345900000,2.83,2.75,0.92,362800000,-732300000,51600000,-321300000,618800000,46900000,181.12,198.23,164,0.2989,0.0831,13.4,15.44,58.61,70.1,0.814,0.7575,0.2583,0.0803,1.03,2.62,1.2655
2018-06-30,123164853,123164853,1,5837600000,3375800000,4393400000,1753600000,1444200000,0,0,1301000000,1227100000,1698700000,198600000,198600000,1.6,1.58,0.92,343100000,58600000,-837100000,-493800000,940100000,22300000,170.55,185.29,155.81,0.192,0.0591,11.73,11,53.63,69.18,0.8241,0.8497,0.2474,0.0597,0.99,2.6,1.9251
2018-03-31,125580404,125580404,1,6513600000,3940900000,4566400000,1877800000,1947200000,0,0,1335200000,1229800000,1651200000,227400000,227400000,1.79,1.77,0.835,381400000,536300000,-1076800000,-113100000,1433900000,21900000,190,209.38,170.63,0.1845,0.0588,15.51,11.26,66.43,68.26,0.9859,0.6316,0.2989,0.0634,0.93,2.86,2.0987
2017-12-31,127784810,127784810,1,7158700000,4533900000,5002500000,2286600000,2156200000,0,0,1316300000,1239300000,1586600000,-236400000,-236400000,-1.84,-1.84,0.835,212700000,-33000000,-26600000,136100000,1547000000,33900000,194.36,210.72,178,0.1629,0.0524,16.87,9.38,30.61,67.43,1.0671,0.5748,0.3012,0.0585,0.9,1.4,1.9828
2017-09-30,128502915,128502915,1,7161700000,4420700000,4498100000,2145800000,2663600000,0,0,1315700000,1243400000,1667500000,204600000,204600000,1.59,1.58,0,106900000,-153000000,-111900000,-138500000,1410900000,43900000,168.75,179.5,158,0.3634,0.1157,20.73,9.94,27.26,66.59,0.4732,0.4668,0.3719,0.1308,0.88,0.49,2.0602
2017-06-30,128359188,128359188,1,7215500000,4456500000,5037500000,2196200000,2178000000,0,0,1301600000,1243800000,1599200000,216900000,216900000,1.69,1.67,1.52,315300000,-2200000,-219000000,108600000,1549400000,29700000,156.85,165.39,148.31,0.3832,0.1133,16.97,9.19,26.23,66.59,0.4846,0.5711,0.3019,0.1304,0.87,2.23,2.0292
2017-03-31,128835404,128835404,1,7065000000,4317400000,4867200000,2025400000,2197800000,0,0,1302500000,1240000000,1554300000,189500000,189500000,1.47,1.45,0.76,301000000,-323900000,-166800000,-153800000,1440800000,27900000,146.24,157.3,135.18,0.3734,0.111,17.06,9.17,25.17,65.07,0.4911,0.5642,0.3111,0.1288,0.86,2.12,2.1316
