"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,364695608,364695608,1,9049120000,3462705000,5781594000,2593511000,3267526000,0,0,0,312552000,3796642000,421142000,421142000,1.16,1.15,0.255,508987000,-95112000,-459437000,-45562000,1432517000,95629000,94.54,100.77,88.31,0.4914,0.2328,8.96,10.53,22.19,4.79,0.2147,0.0957,0.3611,0.1047,2.22,1.13,1.3351
2019-02-02,368247009,368247009,1,6073691000,3404019000,2767945000,2009484000,3305746000,0,0,0,312440000,4107388000,441693000,441693000,1.21,1.2,0.22,616605000,-117782000,-432333000,66490000,1478079000,120532000,90.13,104.35,75.91,0.4958,0.2614,8.98,10.48,21.21,4.53,0.2098,0.0945,0.5443,0.1059,2.47,1.35,1.694
2018-11-03,370588820,370588820,1,6235767000,3623307000,3048604000,2252294000,3187163000,0,0,0,312328000,3549608000,338108000,338108000,0.92,0.91,0.225,435888000,-114497000,-359333000,-37942000,1411589000,114731000,95.02,101.2,88.83,0.5088,0.2667,8.6,11.14,23.4,4.31,0.1959,0.098,0.5111,0.1068,2.5,0.87,1.6087
2018-08-04,373365687,373365687,1,5963756000,3379655000,2779146000,1978147000,3184610000,0,0,0,312217000,3737926000,389404000,389404000,1.05,1.04,0.225,542134000,-98842000,-358899000,84393000,1449531000,98842000,83.15,89.86,76.43,0.5016,0.2612,8.53,10.01,21.65,4.09,0.1895,0.098,0.534,0.1041,2.51,1.19,1.7085
2018-05-05,376540575,376540575,1,6020836000,3454079000,2890548000,2106625000,3130288000,0,0,0,312105000,3588619000,418252000,418252000,1.12,1.11,0.225,472050000,-79288000,-380896000,11866000,1365138000,79793000,78.28,82.81,73.76,0.4917,0.2536,8.31,9.72,22.05,3.86,0.1837,0.0997,0.5199,0.1013,2.5,1.04,1.6396
2018-02-03,378713373,378713373,1,5722051000,3151157000,2672743000,1926402000,3049308000,0,0,0,311994000,4067806000,450747000,450747000,1.2,1.19,0.16,515645000,-87095000,-282425000,146125000,1290294000,88579000,74.25,85.66,62.85,0.473,0.2417,8.05,9.93,23.72,3.64,0.1803,0.1023,0.5329,0.0964,2.51,1.13,1.6358
2017-10-28,382145997,382145997,1,5766978000,3235945000,2908459000,2056242000,2858519000,0,0,0,396848000,3328894000,274449000,274449000,0.72,0.72,0.16,367703000,-96453000,-278013000,-6763000,1144169000,97547000,59.5,66.16,52.85,0.4321,0.219,7.48,8.08,19.64,3.48,0.1979,0.1388,0.4957,0.0893,2.45,0.71,1.5737
2017-07-29,385592082,385592082,1,5514479000,3004417000,2674595000,1828961000,2839884000,0,0,0,396729000,3431603000,316539000,316539000,0.83,0.82,0.16,277092000,-93513000,-276866000,-93287000,1150932000,93345000,59.72,66.53,52.91,0.4295,0.2177,7.36,8.36,20.45,3.32,0.1962,0.1397,0.515,0.0887,2.46,0.48,1.6427
2017-04-29,389182128,389182128,1,5552975000,3064735000,2775229000,1937723000,2777746000,0,0,0,396611000,3306429000,321018000,321018000,0.83,0.82,0.16,520838000,-76031000,-312187000,132620000,1244219000,75971000,66,69.53,62.46,0.4256,0.2145,7.14,9.42,23.32,3.16,0.195,0.1428,0.5002,0.0877,2.44,1.14,1.5816
2017-01-28,391895145,391895145,1,5309351000,2813049000,2561334000,1752506000,2748017000,0,0,0,396493000,3510158000,300568000,300568000,0.77,0.77,0.14,529623000,-76731000,-220104000,232788000,1111599000,77438000,65.41,69.53,61.28,0.4237,0.2132,7.01,9.73,24.05,3,0.1929,0.1443,0.5176,0.0869,2.45,1.15,1.6052
