"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,251378410,251378410,1,9728308000,459099000,5546055000,613631000,4182253000,0,0,0,3792455000,851429000,115185000,113593000,0.46,0.46,0.02,184822000,-163954000,-20849000,19000,507000,199763000,8.92,11.42,6.42,-0.3533,-0.1563,16.64,0.55,None,2.09,None,0.9068,0.4299,None,0.34,-0.06,0.7482
2019-03-31,251148010,251148010,1,9635064000,388478000,5572401000,670800000,4062663000,0,0,0,3790649000,748137000,1419000,1405000,0.01,0.01,0.02,260694000,-211959000,-48792000,-57000,488000,213572000,10.68,12.14,9.22,-0.3642,-0.1668,16.18,0.66,None,2.07,None,0.933,0.4217,None,0.31,0.19,0.5791
2018-12-31,250161892,250161892,1,9708154000,602185000,5648723000,754811000,4059431000,0,0,0,3869329000,1072637000,-1764422000,-1763440000,-7.16,-7.16,0.02,215743000,111114000,-326669000,188000,545000,-111659000,13.91,18.59,9.23,-0.3253,-0.1548,16.23,0.6,14.49,2.05,None,0.9532,0.4181,None,0.29,1.31,0.7978
2018-09-30,249505145,249505145,1,11866136000,422484000,6048848000,753867000,5817288000,0,0,1641197000,4160900000,811225000,48539000,47949000,0.19,0.19,0.02,229432000,-180907000,-48583000,-58000,357000,185077000,16.18,18.04,14.32,0.0409,0.0203,23.32,0.7,64.72,2.03,0.0842,0.7153,0.4902,0.082,0.25,0.18,0.5604
2018-06-30,249454545,249454545,1,11826077000,384872000,6062042000,740009000,5764035000,0,0,1641197000,4207162000,656184000,-79836000,-79905000,-0.32,-0.32,0.02,174943000,-290221000,115166000,-112000,415000,289674000,15.3,17.43,13.18,0.0107,0.0054,23.11,0.65,18,2.01,0.3256,0.7299,0.4874,0.0239,0.22,-0.46,0.5201
2018-03-31,249237217,249237217,1,11730168000,337947000,5895576000,678846000,5834592000,0,0,1641197000,4081694000,742599000,49238000,48670000,0.2,0.2,0.02,370572000,-335420000,-35073000,79000,527000,334155000,15.16,18.39,11.93,0.0368,0.0182,23.41,0.65,11.31,1.99,0.0947,0.6996,0.4974,0.0814,0.22,0.15,0.4978
2017-12-31,248539169,248539169,1,11728841000,429234000,5954569000,755473000,5774272000,0,0,1641197000,4108806000,679032000,221185000,220125000,0.89,0.89,0.02,215722000,-347264000,131461000,-81000,448000,370930000,17.99,20.65,15.33,0.0584,0.0287,23.23,0.81,None,1.97,0.0603,0.7116,0.4923,0.1262,0.23,-0.62,0.5682
2017-09-30,248139327,248139327,1,11637739000,337250000,6100259000,671366000,5537480000,0,0,1641197000,3981962000,482232000,-127700000,-127758000,-0.52,-0.52,0.02,189204000,-310175000,120980000,9000,529000,311829000,19.8,23.59,16,-0.0097,-0.0044,22.32,0.87,282.86,1.95,None,0.7191,0.4758,None,0.19,-0.49,0.5023
2017-06-30,248132251,248132251,1,11621336000,360614000,5959445000,596992000,5661891000,0,0,1646710000,3848589000,673111000,69550000,68799000,0.28,0.28,0.02,185466000,-288497000,103006000,-25000,520000,266345000,25.63,30.3,20.95,0.0058,0.0031,22.82,1.14,None,1.93,0.6156,0.6797,0.4872,0.0152,0.19,-0.33,0.6041
2017-03-31,247590322,247590322,1,11421745000,297537000,5839269000,631080000,5582476000,0,0,1654292000,3738795000,776655000,170111000,168229000,0.69,0.69,0.02,225862000,-193121000,-32510000,231000,545000,190964000,31.5,36.4,26.61,-0.0553,-0.0257,22.55,1.44,None,1.91,None,0.6697,0.4888,None,0.15,0.14,0.4715
