"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,70800000,70800000,1,3561400000,1839900000,3832200000,1251700000,-284800000,14000000,0,654100000,2019700000,1508700000,-7000000,-7000000,-0.1,-0.1,0.03,12900000,-29400000,-53100000,-71900000,240900000,39000000,3.39,4.86,1.92,None,-0.0012,-4.02,None,None,85.19,None,None,None,None,1.77,-0.37,1.4699
2019-03-31,70800000,70800000,1,3667400000,1926200000,3917400000,1205800000,-264500000,14500000,0,659300000,2133700000,1521900000,-8800000,-8800000,-0.12,-0.12,0.03,-130000000,-38100000,74800000,-90800000,312800000,37400000,5.09,6.34,3.84,None,-0.0028,-3.74,None,None,85.16,None,None,None,None,1.8,-2.36,1.5974
2018-12-31,70444352,70444352,1,3640800000,2099700000,3886200000,1550900000,-260100000,14700000,0,666700000,1875300000,1763400000,-22700000,-22700000,-0.33,-0.33,0.03,267400000,-33300000,-123900000,107400000,403600000,31700000,5.12,6.75,3.49,None,-0.003,-3.69,None,None,85.13,None,None,None,None,1.85,3.35,1.3539
2018-09-30,70400000,70400000,1,3698000000,2145200000,3917500000,1510100000,-233900000,14400000,0,674500000,1955300000,1649500000,34300000,34300000,0.49,0.49,0.03,64100000,29000000,-79600000,9700000,296200000,24700000,5.36,6.23,4.48,None,-0.011,-3.32,None,None,85.1,None,None,None,None,1.85,0.56,1.4206
2018-06-30,70400000,70400000,1,3653800000,2085800000,3901300000,1412300000,-261800000,14300000,0,681400000,2034100000,1679500000,-13000000,-13000000,-0.18,-0.18,0.14,12300000,-30800000,60200000,27100000,281300000,26500000,7.53,9.56,5.49,None,-0.022,-3.72,None,94.12,85.07,None,None,None,None,1.84,-0.2,1.4769
2018-03-31,70300000,70300000,1,3680600000,2036300000,3868900000,1429100000,-202800000,14500000,0,727000000,1969400000,1707800000,-9600000,-9600000,-0.14,-0.14,0.14,-140300000,27700000,66100000,-42100000,259400000,21500000,8.15,9.79,6.51,None,0.0016,-2.88,None,None,84.93,6.4373,None,None,0.0009,1.81,-2.3,1.4249
2017-12-31,70083915,70083915,1,3904500000,2216900000,4107400000,1553000000,-217600000,14700000,0,731800000,2098900000,1882400000,-52800000,-52800000,-0.76,-0.76,0.14,230500000,-23300000,-155200000,57300000,301500000,31300000,0.14,0.14,0.14,None,-0.0088,-3.1,None,None,84.79,None,None,None,None,1.78,2.84,1.4275
2017-09-30,70100000,70100000,1,3956700000,2218600000,4119700000,1478300000,-176900000,13900000,0,738100000,2232200000,1734900000,-8000000,-8000000,-0.11,-0.11,0.14,39200000,-25200000,-16800000,1800000,225800000,23000000,10.7,12.74,8.66,None,-0.1241,-2.52,None,None,84.65,None,None,None,None,1.68,0.23,1.5008
2017-06-30,70000000,70000000,1,3831800000,2062500000,3993300000,1340400000,-175100000,13600000,0,764600000,2233400000,1646000000,76500000,76500000,1.09,1.09,0.14,-33200000,-22300000,29100000,-20300000,224000000,28100000,12.71,14.2,11.21,None,-0.1015,-2.5,None,None,84.51,None,None,None,None,1.59,-0.88,1.5387
2017-03-31,70000000,70000000,1,3907300000,2138000000,4081400000,1412300000,-188100000,14000000,0,767600000,2234900000,1676300000,-50100000,-50100000,-0.71,-0.71,0.14,-18600000,95500000,-151400000,-73200000,244300000,26100000,14.82,18.28,11.35,None,-0.103,-2.69,None,None,84.37,None,None,None,None,1.55,-0.64,1.5138
