"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2014-11-01,100702386,100702386,1,1200300000,961900000,1387000000,362300000,-186700000,0,0,0,841400000,650200000,-161100000,-161100000,-1.58,-1.58,0,-117900000,-11300000,142000000,12800000,43300000,11500000,1.16,1.77,0.55,None,-0.4467,-1.85,None,None,4.49,None,None,None,None,2.28,-1.28,2.655
2014-08-02,100687856,100687856,1,1149200000,929900000,1212200000,370700000,-63000000,0,0,12300000,656900000,673800000,-137400000,-137400000,-1.35,-1.35,0,-87200000,-15400000,71300000,-31300000,30500000,15400000,1.17,1.75,0.58,None,-0.3804,-0.63,1.63,None,4.49,None,None,None,None,2.22,-1.02,2.5085
2014-05-03,100615442,100615442,1,1326100000,1074700000,1253500000,455600000,72600000,0,0,0,613400000,736700000,-98300000,-98300000,-0.97,-0.97,0,-37800000,-10000000,0,-47800000,61800000,12900000,2.04,2.79,1.28,None,-0.2855,0.72,0.99,None,4.49,None,8.449,0.0547,None,2.08,-0.5,2.3589
2013-12-31,100346536,100346536,1,1591200000,1333000000,1384800000,584600000,206400000,0,0,12700000,613000000,935400000,-191400000,-191400000,-1.9,-1.9,0,-139800000,-48300000,51500000,-136600000,179800000,15700000,3.22,3.88,2.57,-0.9595,-0.2262,2.06,0.82,None,4.49,None,2.97,0.1297,None,1.94,-1.55,2.2802
2013-09-30,100161742,100161742,1,1607100000,1330900000,1213100000,500500000,394000000,0,0,36100000,498300000,805400000,-112400000,-112400000,-1.11,-1.11,0,112600000,-15500000,-212700000,-115600000,316400000,14900000,3.27,4.36,2.18,-0.5282,-0.1398,3.93,0.64,None,4.49,None,1.2647,0.2452,None,1.95,0.98,2.6591
2013-06-30,99703041,99703041,1,1853500000,1566700000,1346900000,627600000,506600000,0,0,36500000,499200000,844500000,-53100000,-53100000,-0.53,-0.53,0,46100000,-12600000,-36400000,-2900000,432000000,6300000,3.61,4.28,2.94,-0.3552,-0.0983,5.08,0.64,None,4.49,None,0.9854,0.2733,None,1.9,0.4,2.4963
2013-03-31,99683651,99683651,1,2025200000,1723000000,1463800000,744300000,561400000,0,0,38500000,499100000,849000000,-43300000,-43300000,-0.43,-0.43,0,16900000,-1800000,-115900000,-100800000,434900000,-1100000,2.98,3.87,2.08,-0.2765,-0.0808,5.63,0.5,None,4.49,None,0.889,0.2772,None,1.9,0.18,2.3149
2012-12-31,99611504,99611504,1,2299100000,1981900000,1700400000,978200000,598700000,0,0,36600000,499000000,1296100000,-63300000,-63300000,-0.63,-0.63,0,-75400000,-23300000,88300000,-10400000,535700000,23300000,2.3,2.71,1.9,-0.2061,-0.0645,6.01,0.35,None,4.49,None,0.8335,0.2604,None,1.97,-0.99,2.0261
2012-09-30,99561701,99561701,1,2237300000,1920400000,1574900000,947500000,662400000,0,0,36900000,474000000,1000200000,-47100000,-47100000,-0.47,-0.47,0,9500000,-16800000,35700000,28400000,546100000,16800000,3.26,4.17,2.36,-0.0898,-0.0301,6.65,0.46,None,4.49,None,0.7156,0.2961,None,2.02,-0.07,2.0268
2012-06-30,99441841,99441841,1,2087700000,1741200000,1383100000,975200000,704600000,0,0,38400000,323900000,953200000,-21000000,-21000000,-0.21,-0.21,0.125,-25600000,-14900000,-8200000,-48700000,517700000,16500000,5.08,6.38,3.78,-0.0224,-0.0079,7.09,0.68,18.14,4.49,None,0.4597,0.3375,None,2.04,-0.42,1.7855
2012-03-31,99427509,99427509,1,2018000000,1664500000,1278300000,516900000,739700000,0,0,40300000,674900000,1008300000,-8000000,-8000000,-0.08,-0.08,0.125,48500000,-39200000,-34600000,-25300000,566400000,11200000,8.62,11.1,6.14,0.0375,0.0138,7.44,1.14,12.49,4.37,2.1337,0.9124,0.3666,0.0067,2.04,0.38,3.2202
2011-12-31,99323569,99323569,1,2175100000,1812800000,1421800000,663600000,753300000,0,0,37000000,670600000,1341000000,11900000,11900000,0.12,0.12,0.5,-45100000,-17300000,-13600000,-76000000,591700000,19300000,11.54,13.94,9.15,0.0891,0.035,7.58,1.44,10.59,4.24,0.6878,0.8902,0.3463,0.0165,2.12,-0.65,2.7318
2011-09-30,99837330,99837330,1,2208000000,1814900000,1408500000,644100000,799500000,0,0,37400000,666400000,1031800000,300000,300000,0,0,0,161500000,-21300000,-24700000,115500000,667700000,21300000,13.82,16.25,11.38,0.1408,0.0568,8.01,1.71,9.47,3.74,0.2254,0.8335,0.3621,0.0266,2.13,1.4,2.8177
2011-06-30,99778637,99778637,1,2064300000,1662200000,1256300000,500200000,808000000,0,0,43300000,662200000,941900000,24900000,24900000,0.24,0.24,0,40700000,-27000000,212300000,226000000,552200000,27000000,14.49,16.7,12.28,0.1894,0.0787,8.1,1.74,8.89,3.74,0.1622,0.8196,0.3914,0.0368,2.14,0.14,3.3231
2011-03-31,106055732,106055732,1,1807400000,1415800000,925500000,500800000,881900000,0,0,42700000,335700000,1063300000,35100000,35100000,0.33,0.33,0,60800000,-14500000,-289500000,-243200000,326200000,14500000,16.17,18.74,13.61,0.2015,0.0887,8.32,2.03,9.57,3.74,0.1384,0.3807,0.4879,0.0425,2.09,0.44,2.8271
