"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,278534000,278534000,1,32186000000,11526000000,19547000000,7871000000,12204000000,435000000,0,15770000000,4257000000,7159000000,817000000,817000000,2.92,2.92,0.9425,823000000,-177000000,-565000000,81000000,2186000000,179000000,182.13,193.99,170.26,0.2633,0.0978,43.82,4.35,16.97,34.76,0.3314,0.3488,0.3792,0.1096,0.89,2.31,1.4644
2019-03-31,279871000,279871000,1,31576000000,10956000000,19436000000,7680000000,11708000000,432000000,0,14882000000,4256000000,6729000000,781000000,781000000,2.77,2.77,0.9425,-411000000,-292000000,-816000000,-1519000000,2105000000,284000000,168.8,188.34,149.26,0.2711,0.0984,41.83,4.15,16.63,33.82,0.3283,0.3635,0.3708,0.1111,0.89,-2.48,1.4266
2018-12-31,282239000,282239000,1,31864000000,12136000000,19981000000,8288000000,11472000000,411000000,0,14864000000,4755000000,7360000000,832000000,832000000,2.93,2.93,0.87,2432000000,-244000000,-649000000,1539000000,3624000000,231000000,176.73,209.18,144.27,0.2667,0.0944,40.65,4.45,20.62,32.87,0.34,0.4145,0.36,0.1075,0.88,7.8,1.4643
2018-09-30,284577000,284577000,1,30134000000,10635000000,18264000000,7156000000,11310000000,560000000,0,14865000000,4753000000,6806000000,644000000,644000000,2.25,2.25,0.8675,-444000000,-200000000,-373000000,-1017000000,2085000000,194000000,198.46,210.89,186.03,0.2346,0.0808,39.74,5.34,23.94,32,0.3942,0.4202,0.3753,0.0933,0.87,-2.24,1.4862
2018-07-01,285260000,285260000,1,30738000000,11315000000,19619000000,7017000000,10607000000,512000000,0,14865000000,4752000000,6625000000,800000000,800000000,2.78,2.78,0.8675,1156000000,-154000000,-669000000,333000000,3102000000,163000000,210.01,229.75,190.27,0.2302,0.0784,37.18,5.89,28.38,31.14,0.3992,0.448,0.3451,0.0924,0.85,3.48,1.6125
2018-04-01,287250000,287250000,1,30497000000,10960000000,19960000000,6779000000,10237000000,300000000,0,14871000000,4751000000,6267000000,633000000,633000000,2.2,2.19,0.8675,284000000,77000000,-707000000,-346000000,2769000000,231000000,203.93,222.82,185.03,0.2055,0.0706,35.64,5.91,29.34,30.27,0.4376,0.4641,0.3357,0.084,0.84,0.18,1.6168
2017-12-31,288506000,288506000,1,30860000000,11326000000,20588000000,7348000000,9963000000,309000000,0,15352000000,4750000000,6783000000,393000000,393000000,1.35,1.35,0.7975,1623000000,-499000000,-332000000,792000000,3115000000,224000000,185.85,192.41,179.29,0.1927,0.0668,34.53,4.95,24.98,29.4,0.4566,0.4768,0.3228,0.0798,0.84,4.85,1.5414
2017-10-01,289087000,289087000,1,30278000000,10778000000,19106000000,6492000000,10857000000,315000000,0,14878000000,4749000000,6284000000,572000000,572000000,1.97,1.97,0.7975,381000000,204000000,-437000000,148000000,2323000000,158000000,174.28,186.7,161.87,0.2065,0.0722,37.56,4.68,24.01,28.6,0.4178,0.4374,0.3586,0.0877,0.82,0.77,1.6602
2017-07-02,290249000,290249000,1,30229000000,10937000000,19093000000,6587000000,10815000000,321000000,0,14827000000,4747000000,6281000000,553000000,553000000,1.9,1.89,0.7975,782000000,-92000000,-702000000,-12000000,2175000000,92000000,157.51,165.32,149.7,0.2044,0.0713,37.26,4.42,20.32,27.81,0.42,0.4389,0.3578,0.0868,0.82,2.38,1.6604
2017-04-02,291074000,291074000,1,29869000000,10515000000,19158000000,6307000000,10384000000,327000000,0,14825000000,5086000000,6000000000,506000000,506000000,1.74,1.74,0.7975,-41000000,-430000000,-645000000,-1116000000,2187000000,91000000,149.44,157.59,141.28,0.222,0.0773,35.67,4.35,20.09,27.01,0.3843,0.4898,0.3477,0.0941,0.82,-0.45,1.6672
