"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2009-12-31,183222336,183222336,1,2222715000,897676000,2149050000,643410000,71825000,1840000,0,700250000,1244653000,452860000,71710000,71710000,0.4,0.4,0.03,195054000,-40104000,-82668000,78632000,380343000,40716000,18.09,21.68,14.51,None,0.1242,0.39,None,11.52,4.09,0.084,17.329,0.0323,0.1527,0.81,0.84,1.3952
2009-09-30,182441209,182441209,1,2110525000,796561000,2153203000,565705000,-44233000,1555000,0,699531000,1344850000,425197000,-9259000,-9259000,-0.05,-0.05,0.03,153225000,-28445000,-74963000,61931000,301711000,27498000,13.66,15.81,11.5,None,0.1392,-0.24,None,6.73,4.06,0.076,None,None,0.1705,0.82,0.69,1.4081
2009-06-30,182386850,182386850,1,2030817000,747400000,2053283000,428779000,-22466000,0,0,674888000,1359295000,408611000,63712000,63712000,0.34,0.34,0.03,177845000,-25710000,-91180000,65189000,239780000,26902000,12.96,14.11,11.8,None,0.1775,-0.12,None,6.14,4.03,0.0586,None,None,0.2184,0.81,0.83,1.7431
2009-03-31,181763123,181763123,1,2026779000,747909000,2021877000,418911000,-95098000,100000000,0,656714000,1329209000,420076000,134456000,134456000,0.73,0.73,0.03,16464000,-25498000,-26147000,-41091000,174591000,22275000,13.77,16.42,11.12,None,0.1772,-0.52,None,8.1,4,0.0564,None,None,0.2208,0.8,-0.03,1.7854
2008-12-31,181602553,181602553,1,2087137000,772557000,2240617000,541225000,-255864000,102384000,0,663532000,1404199000,431466000,98468000,98468000,0.53,0.55,0.03,168092000,-41907000,-128324000,-13506000,215682000,33324000,14.63,19.63,9.63,None,0.1369,-1.41,None,11.8,3.97,0.07,None,None,0.1742,0.79,0.74,1.4274
2008-09-30,181872716,181872716,1,2252990000,826534000,2246885000,515079000,-96109000,102214000,0,676210000,1398906000,445654000,75912000,75912000,0.42,0.41,0.03,140516000,-29918000,-92033000,8463000,229188000,23063000,20.73,23.74,17.73,None,0.0997,-0.53,None,18.51,3.94,0.0947,None,None,0.1275,0.78,0.65,1.6047
2008-06-30,181869442,181869442,1,2359765000,886575000,2369867000,562625000,-112014000,101912000,0,699337000,1472921000,453440000,77695000,77695000,0.43,0.42,0.03,112781000,-76349000,-30534000,4930000,220725000,35453000,23.27,25.46,21.09,None,0.0928,-0.62,None,21.95,3.91,0.1048,None,None,0.1187,0.78,0.43,1.5758
2008-03-31,181336798,181336798,1,2397317000,937164000,2558731000,655642000,-263394000,101980000,0,684108000,1567326000,456187000,59175000,59175000,0.32,0.32,0.03,-735000,-29940000,20313000,-2454000,215795000,22154000,22.45,24.88,20.01,None,0.0939,-1.45,None,19.19,3.88,0.1089,None,None,0.1183,0.79,-0.13,1.4294
2007-12-31,183340736,183340736,1,2244204000,840173000,2183075000,634544000,-40315000,101444000,0,651709000,1203209000,454565000,17952000,17952000,0.1,0.09,0.03,214596000,-125623000,-71572000,22264000,218249000,50222000,26.38,31.56,21.2,None,0.1108,-0.22,None,18.84,3.85,0.0985,None,None,0.1368,0.81,0.9,1.3241
2007-09-30,193991579,193991579,1,2129709000,813370000,2034939000,499548000,-6399000,101169000,0,579381000,1197642000,421589000,57125000,57125000,0.29,0.29,0.03,95492000,-48863000,-68225000,-14388000,195985000,45860000,30.24,33.12,27.36,None,0.1388,-0.03,None,20.86,3.82,0.0831,None,None,0.1956,0.71,0.26,1.6282
2007-06-30,194971605,194971605,1,2070165000,795478000,1986543000,485636000,-17314000,100936000,0,557223000,1171436000,422864000,73394000,73394000,0.37,0.36,0.03,137209000,-46443000,-46403000,47896000,210373000,35223000,30.87,32.97,28.76,None,0.1493,-0.09,None,22.21,3.79,0.0802,None,None,0.1957,0.76,0.52,1.638
2007-03-31,196238638,196238638,1,2008606000,753755000,1972065000,482749000,-64077000,100618000,0,545493000,1162587000,411187000,85569000,85569000,0.44,0.43,0.03,19591000,-51279000,34981000,5131000,162477000,33831000,28.16,30.07,26.26,None,0.1477,-0.33,165.65,18.53,3.76,0.0839,None,None,0.1809,0.82,-0.07,1.5614
2006-12-31,195144809,195144809,1,1906594000,693293000,1772275000,542874000,33909000,100410000,0,531610000,975406000,183983000,65467000,65467000,0.34,0.32,0.03,149338000,-41738000,-102155000,9634000,157346000,22144000,24.29,25.85,22.73,None,0.1689,0.17,None,15.37,3.73,0.0756,28.7654,0.0178,0.1973,0.86,0.65,1.2771
2006-09-30,198439909,198439909,1,1882996000,645141000,1861185000,486941000,-78418000,100229000,0,499952000,1105240000,482706000,69264000,69264000,0.34,0.34,0.03,98698000,-45535000,-56373000,-2652000,147712000,21166000,26.52,28.6,24.45,None,0.1802,-0.4,None,17.22,3.7,0.0647,None,None,0.1793,1,0.39,1.3249
2006-06-30,201497952,201497952,1,1864851000,652141000,1818692000,504654000,-53859000,100018000,0,482678000,1050533000,486220000,62683000,62683000,0.31,0.3,0.03,68307000,-38408000,-25617000,3940000,150364000,30897000,23.86,25,22.71,None,0.18,-0.27,None,14.46,3.67,0.0605,None,None,0.1852,0.97,0.19,1.2923
2006-03-31,199704803,199704803,1,1815638000,633861000,1887681000,508687000,-171992000,99949000,0,471962000,1112768000,446154000,118097000,118097000,0.56,0.56,0.03,39776000,-36938000,-220062000,-216519000,146424000,24663000,23.51,25,22.01,None,0.1951,-0.86,11.3,19.27,3.64,0.0514,None,None,0.2077,0.94,0.08,1.2461
2005-12-31,199243292,199243292,1,1973020000,821010000,1458100000,549048000,415055000,99865000,0,457006000,611431000,477729000,89429000,89429000,0.39,0.38,0.02,233379000,-56031000,-60020000,116744000,362943000,37341000,24.29,25.85,22.73,0.9102,0.1469,2.08,13.65,21.12,3.61,0.0622,1.4731,0.2104,0.1619,0.91,0.98,1.4953
2005-09-30,231696468,231696468,1,1932699000,837708000,1419757000,579656000,413110000,99832000,0,433500000,570478000,432796000,71140000,71140000,0.31,0.3,0.02,9860000,-124814000,-34270000,-153610000,246199000,26774000,26.52,28.6,24.45,0.9851,0.1402,1.78,26,23.47,3.59,0.068,1.3809,0.2137,0.1559,0.9,-0.07,1.4452
2005-06-30,225772045,225772045,1,1903886000,897583000,1573256000,549380000,230922000,99708000,0,350163000,710407000,433282000,93179000,93179000,0.41,0.41,0.02,104029000,-44736000,-57207000,-1518000,399809000,22112000,23.86,25,22.71,None,0.1413,1.02,28.4,24.1,3.57,0.0694,3.0764,0.1213,0.1571,0.9,0.36,1.6338
2005-03-31,226591694,226591694,1,1924220000,928921000,1635117000,584770000,189458000,99645000,0,342972000,731490000,410984000,30343000,30343000,0.13,0.13,0.02,-38116000,-42235000,42455000,-43576000,401327000,25222000,23.51,25,22.01,None,0.13,0.84,20.99,19.59,3.55,0.0784,3.861,0.0985,0.145,0.9,-0.28,1.5885
2004-12-31,227377856,227377856,1,1890706000,936519000,1533016000,554121000,255714000,101976000,0,302229000,626670000,443715000,73591000,73591000,0.31,0.31,0.02,125791000,-20063000,-77661000,41270000,444903000,34393000,22.26,24.35,20.16,None,0.1639,1.12,26.19,19.03,3.53,0.065,2.4507,0.1352,0.1819,0.9,0.4,1.6901
2004-09-30,231952786,231952786,1,1719766000,824481000,1420976000,701398000,197429000,101361000,0,265377000,392927000,384171000,65632000,65632000,0.28,0.28,0.02,113089000,-20753000,-61118000,31736000,403633000,24797000,24.05,26.36,21.75,None,0.1676,0.85,30.44,20.38,3.51,0.0665,1.9902,0.1148,0.1865,0.9,0.38,1.1755
2004-06-30,233858708,233858708,1,1688255000,805284000,1399671000,672431000,185563000,103021000,0,259677000,401187000,379583000,65121000,65121000,0.28,0.27,0.02,136351000,-36624000,-79586000,19491000,371897000,26028000,24.65,26.48,22.82,None,0.176,0.79,35.72,21.62,3.49,0.0662,2.162,0.1099,0.1938,0.91,0.47,1.1976
2004-03-31,234982943,234982943,1,1668307000,808536000,1403133000,741100000,162948000,102226000,0,249301000,353244000,361576000,81078000,81078000,0.35,0.34,0.02,25041000,-17142000,1033000,7974000,352406000,21705000,24.27,26.8,21.73,None,0.1761,0.69,29.96,9.67,3.47,0.0689,2.1678,0.0977,0.1926,0.91,0.01,1.091
2003-12-31,234743150,234743150,1,1644338000,778929000,1352908000,836625000,189577000,101853000,0,247958000,152050000,384090000,69703000,69703000,0.3,0.28,0.02,99476000,-22261000,-21368000,61539000,344432000,31281000,23.2,25.01,21.4,None,0.4234,0.81,41.43,9.43,3.45,0.0299,0.802,0.1153,0.4624,0.92,0.29,0.931
2003-09-30,239459616,239459616,1,1479138000,678374000,1242623000,649340000,135246000,101269000,0,231266000,342762000,345978000,69213000,69213000,0.29,0.29,0.02,115105000,-31261000,-64083000,20893000,307422000,22878000,19.52,21.34,17.69,None,0.4205,0.56,84.87,7.93,3.43,0.0306,2.5344,0.0914,0.458,0.92,0.39,1.0447
