"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,12103019,12103019,1,813330000,178756000,290529000,188266000,522801000,0,0,3683000,37500000,318407000,27856000,27856000,2.39,2.36,0,41887000,-180938000,39181000,-99870000,3017000,22320000,318.85,379.35,258.34,0.2335,0.1602,43.2,7.59,35.15,0,0,0.0717,0.6428,0.101,1.59,1.62,0.9495
2019-03-30,11666384,11666384,1,704020000,260860000,214202000,132002000,489818000,0,0,3683000,27161000,251651000,23694000,23694000,2.04,2.02,0,13643000,-22051000,2896000,-5512000,102887000,22079000,275.53,320.14,230.93,0.2343,0.1656,41.99,6.96,35.19,0,0,0.0555,0.6957,0.1013,1.63,-0.72,1.9762
2018-12-29,11624958,11624958,1,639851000,231571000,179534000,120514000,460317000,0,0,3683000,0,225222000,21811000,21811000,1.88,1.86,0,55392000,-16730000,850000,39512000,108399000,16683000,278.21,317.6,238.82,0.2089,0.1506,39.6,7.44,32.58,0,0,0,0.7194,0.0931,1.62,3.33,1.9215
2018-09-29,11620352,11620352,1,623704000,220644000,189158000,131646000,434546000,0,0,3683000,0,306870000,38007000,38007000,3.25,3.21,0,54314000,-13244000,-48362000,-7292000,68887000,13282000,296.73,329.95,263.5,0.2334,0.1696,37.4,7.88,36.59,0,0,0,0.6967,0.1038,1.63,3.53,1.676
2018-06-30,11751750,11751750,1,618497000,212020000,175825000,131510000,442672000,0,0,3683000,0,273100000,23535000,23535000,1.99,1.98,0,64156000,-14006000,-20616000,29534000,76179000,13993000,246.47,307,185.95,0.2261,0.1648,37.67,6.64,29.06,0,0,0,0.7157,0.1059,1.56,4.27,1.6122
2018-03-31,11768359,11768359,1,579887000,174903000,142961000,99923000,436926000,0,0,3683000,0,190457000,9310000,9310000,0.79,0.78,0,-10415000,-11364000,2787000,-18992000,46645000,11475000,181.38,202.35,160.4,0.242,0.1756,37.13,5.07,22.26,0,0,0,0.7535,0.1151,1.53,-1.86,1.7504
2017-12-30,11832833,11832833,1,569624000,168348000,146101000,101758000,423523000,0,0,3683000,0,206320000,30530000,30530000,2.6,2.57,0,27744000,-9526000,-22626000,-4408000,65637000,9563000,176.2,194.6,157.8,0.2338,0.1689,35.79,5,24.01,0,0,0,0.7435,0.1148,1.47,1.54,1.6544
2017-09-30,11761291,11761291,1,587114000,179143000,172825000,109394000,414289000,0,0,3683000,0,247047000,33683000,33683000,2.82,2.78,0,47196000,-6693000,-42109000,-1606000,70045000,6694000,146.2,161.9,130.5,0.2111,0.1512,35.22,4.17,20.77,0,0,0,0.7056,0.1035,1.46,3.44,1.6376
2017-07-01,12016230,12016230,1,601507000,190714000,179843000,112805000,421664000,0,0,3683000,0,247930000,29125000,29125000,2.38,2.35,0,66082000,-9752000,-44572000,11758000,71651000,9731000,139.25,148.6,129.9,0.2019,0.1452,35.09,3.95,20.63,0,0,0,0.701,0.1003,1.45,4.69,1.6907
2017-04-01,12341347,12341347,1,586955000,166073000,151544000,84478000,435411000,0,0,3683000,0,161695000,5711000,5711000,0.46,0.45,0,-5040000,-6958000,-19144000,-31142000,59893000,6974000,159.78,174.9,144.65,0.1973,0.1417,35.28,4.47,23.39,0,0,0,0.7418,0.0978,1.45,-0.97,1.9659
2016-12-31,12503826,12503826,1,623297000,201238000,176715000,101519000,446582000,0,0,3683000,411000,219370000,22166000,22166000,1.77,1.76,0,45827000,-8976000,-23082000,13769000,91035000,8954000,163.88,178,149.76,0.2003,0.1427,35.72,4.57,26.1,0,0,0.0009,0.7165,0.0964,1.48,2.95,1.9823
2016-09-24,12555142,12555142,1,627495000,204551000,177252000,106289000,450243000,0,0,3683000,411000,253433000,31530000,31530000,2.53,2.48,0,60043000,-11144000,787000,49686000,77266000,11150000,171.56,192.05,151.06,0.1849,0.1316,35.86,5.17,25.8,0,0,0.0009,0.7175,0.0901,1.46,3.89,1.9245
2016-06-25,12424156,12424156,1,590573000,168320000,178341000,111138000,412232000,0,0,3683000,411000,244816000,26621000,26621000,2.11,2.06,0,42052000,-12943000,-52657000,-23548000,27580000,12943000,169.06,191.71,146.42,0.196,0.1395,33.18,4.93,24.97,0,0,0.001,0.698,0.0938,1.49,2.34,1.5145
