"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,69598274,69598274,1,4019957000,3001642000,2392485000,1827674000,1627472000,0,0,0,385106000,2026995000,42921000,42921000,0.62,0.6,0,165466000,-26644000,-130364000,8779000,414273000,26145000,30.41,34.71,26.1,0.0789,0.0295,23.38,1.33,19.13,0,0,0.2366,0.4048,0.0149,1.98,2,1.6423
2019-03-30,69004604,69004604,1,4206687000,3175088000,2625968000,2418528000,1580719000,0,0,0,0,2126639000,40885000,40885000,0.59,0.57,0,105738000,-35232000,-74397000,-3796000,405494000,35232000,28.21,33.9,22.52,0.0749,0.0275,22.91,1.26,20.9,0,0,0,0.3758,0.0142,1.94,1.02,1.3128
2018-12-29,68429603,68429603,1,4316853000,3273772000,2784236000,2573135000,1532617000,0,0,0,14361000,2188018000,37952000,37952000,0.56,0.54,0,-78436000,-36591000,104723000,-10238000,409290000,36591000,25.19,28.07,22.3,0.0655,0.0242,22.4,1.17,None,0,0,0.0094,0.355,0.0129,1.88,-1.68,1.2723
2018-09-29,68264736,68264736,1,4085133000,3014427000,2612289000,2401895000,1472844000,0,0,31218000,14346000,1876335000,782000,782000,0.01,0.01,0,60544000,-20639000,-24946000,14751000,419528000,20639000,29.3,31.45,27.15,-0.0646,-0.0246,21.58,1.35,None,0,None,0.0097,0.3605,None,1.83,0.58,1.255
2018-06-30,67960751,67960751,1,3892528000,2793992000,2415772000,2215306000,1476756000,0,0,0,14562000,1813366000,33963000,33963000,0.49,0.47,0,61757000,-22647000,-40588000,-500000,404777000,22647000,29.97,34.3,25.65,-0.0463,-0.0184,21.73,1.41,None,0,None,0.0099,0.3794,None,1.83,0.58,1.2612
2018-03-31,68602374,68602374,1,3779355000,2670518000,2316365000,1717359000,1462990000,0,0,0,393236000,1675629000,24632000,24632000,0.35,0.33,0,25683000,-24501000,-842000,363000,405277000,22482000,30.07,35.55,24.6,-0.0428,-0.0179,21.33,1.43,None,0,None,0.2688,0.3871,None,1.81,0.05,1.555
2017-12-30,71246094,71246094,1,3758580000,2652697000,2256992000,1662655000,1501588000,0,0,0,392195000,1744800000,-154910000,-154910000,-2.16,-2.16,0,8440000,-48391000,38041000,-1747000,404914000,48391000,34.67,39.4,29.95,-0.0369,-0.0161,21.08,1.52,19.48,0,None,0.2612,0.3995,None,1.82,-0.56,1.5955
2017-09-30,72020778,72020778,1,3847363000,2616250000,2199679000,1616043000,1647684000,0,0,68344000,391447000,1755003000,25848000,25848000,0.35,0.32,0,49292000,-25032000,-52973000,-28839000,406661000,25032000,38.88,42.95,34.8,0.0821,0.0369,22.88,1.68,14.14,0,0,0.2376,0.4283,0.0202,1.83,0.34,1.6189
2017-07-01,75372063,75372063,1,3808856000,2564331000,2069309000,1495654000,1739547000,0,0,0,390957000,1711377000,36404000,36404000,0.48,0.47,0,59021000,-31411000,-24326000,2973000,435500000,31411000,38,40.8,35.2,0.1271,0.0577,23.08,1.67,14.29,0,0,0.2247,0.4567,0.0315,1.83,0.37,1.7145
2017-04-01,75534773,75534773,1,3720108000,2477407000,2003405000,1427201000,1716703000,0,0,0,393762000,1682262000,31717000,31717000,0.42,0.41,0,88721000,-33370000,-27952000,27287000,432527000,33370000,37.17,41.25,33.1,0.1269,0.0567,22.73,1.66,14.08,0,0,0.2294,0.4615,0.0307,1.85,0.73,1.7359
2016-12-31,74293480,74293480,1,3667987000,2417588000,2005221000,1435249000,1662766000,0,0,0,393298000,1719977000,44864000,44864000,0.61,0.58,0,53927000,-18085000,-30242000,6952000,405240000,18085000,31.95,37.2,26.7,0.1306,0.0568,22.38,1.46,13.37,0,0,0.2365,0.4533,0.0308,1.84,0.48,1.6844
2016-10-01,73420998,73420998,1,3625222000,2375652000,2015419000,1401263000,1609803000,0,0,75624000,434059000,1665819000,100805000,100805000,1.37,1.29,0,103334000,-35373000,-79458000,-11332000,398288000,35373000,26.34,29.17,23.5,0.1219,0.0528,21.93,1.27,5.4,0,0,0.2696,0.4441,0.029,1.82,0.93,1.6954
2016-07-02,73905570,73905570,1,3578386000,2380956000,2047769000,1447931000,1530617000,0,0,0,434129000,1669474000,29534000,29534000,0.4,0.38,0,81473000,-22606000,-57789000,2301000,409620000,22606000,24.75,28.45,21.05,0.265,0.1142,20.71,1.22,5.17,0,0,0.2836,0.4277,0.0624,1.83,0.8,1.6444
2016-04-02,73632621,73632621,1,3598334000,2392936000,2103240000,1495251000,1495094000,0,0,30800000,437566000,1611174000,30361000,30361000,0.4,0.39,0,142649000,-87851000,-45790000,8872000,407319000,28973000,19.86,23.41,16.31,0.2739,0.1162,20.3,1,4.35,0,0,0.2927,0.4155,0.0629,1.85,1.54,1.6004
2016-01-02,77183780,77183780,1,3431226000,2280439000,1903972000,1311871000,1527254000,0,0,0,424100000,1534714000,27138000,27138000,0.35,0.33,0,62660000,-28708000,-48384000,-13806000,398447000,28708000,22.75,25.64,19.86,0.2735,0.1157,19.79,1.17,5.06,0,0,0.2777,0.4451,0.0612,1.89,0.44,1.7383
2015-10-03,78404815,78404815,1,3493264000,2397915000,1972793000,1380557000,1520471000,0,0,900000,423949000,1636578000,315382000,315382000,3.94,3.78,0,-1334000,-41246000,38703000,-4218000,412253000,27359000,19.98,22.41,17.55,0.2827,0.1161,19.39,1.28,8.92,0,0,0.2788,0.4353,0.0592,1.96,-0.37,1.7369
2015-06-27,80455636,80455636,1,3156845000,2325371000,1897593000,1330264000,1259252000,0,0,0,423798000,1539271000,24475000,24475000,0.3,0.29,0,112674000,-16684000,-86627000,8754000,416471000,16684000,22.45,25.23,19.66,0.1535,0.0607,15.65,1.45,10.25,0,0,0.3365,0.3989,0.0303,2.01,1.19,1.7481
2015-03-28,82625672,82625672,1,3116453000,2290543000,1839603000,1271596000,1276850000,0,0,0,427051000,1527530000,14748000,14748000,0.18,0.17,0,69725000,-16717000,-37314000,16568000,407717000,16717000,22.74,25.27,20.22,0.1544,0.0589,15.45,1.48,10.06,0,0,0.3345,0.4097,0.0294,2.01,0.64,1.8013
2014-12-27,83176376,83176376,1,3225732000,2381506000,1944120000,1372318000,1281612000,0,0,0,426866000,1671162000,22656000,22656000,0.27,0.26,0,-6169000,-27776000,-41523000,-75458000,391149000,27776000,21.32,26.08,16.57,0.1652,0.0612,15.41,1.41,9.43,0,0,0.3331,0.3973,0.0306,2,-0.41,1.7354
2014-09-27,82474561,82474561,1,3313089000,2450974000,2066334000,1534137000,1246755000,0,0,0,386681000,1686169000,132503000,132503000,1.61,1.52,0,108889000,-19259000,-175392000,-85406000,466607000,21716000,23.34,25.25,21.43,0.1724,0.0623,15.12,1.7,19.78,0,0,0.3101,0.3763,0.0317,1.96,1.06,1.5976
