"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,113251125,113251125,1,9312759000,300569000,12615540000,1404654000,-3302781000,0,0,3258952000,8780606000,493293000,25989000,25989000,0.23,0.23,0,222665000,-84976000,-158047000,-34429000,143871000,128900000,179.06,200.04,158.07,None,0.0054,-29.16,None,447.65,0,0,None,None,0.022,0.25,0.83,0.214
2018-12-31,112589177,112589177,1,7213707000,373854000,10590530000,1206279000,-3376823000,0,0,3331465000,8997636000,483849000,57153000,57153000,0.5,0.49,0,226475000,-98030000,-117348000,14976000,178300000,137583000,160.16,174.19,146.13,None,0.0065,-29.99,None,None,0,0,None,None,0.0254,0.26,0.79,0.3099
2018-09-30,113321450,113321450,1,7213823000,327663000,10358906000,265512000,-3145083000,0,0,3387955000,9710145000,467221000,16144000,16144000,0.14,0.14,0,199087000,-150162000,-57906000,-13039000,163324000,191413000,160.33,167.41,153.26,None,-0.0003,-27.75,None,668.04,0,None,None,None,None,0.25,0.07,1.2341
2018-06-30,114844339,114844339,1,7289378000,326876000,10331513000,277810000,-3042135000,0,0,3459866000,9675738000,456323000,-57391000,-57391000,-0.5,-0.5,0,246479000,-218558000,-7332000,11543000,176363000,243422000,162.55,173.85,151.24,None,0.0042,-26.49,None,198.23,0,0,None,None,0.0173,0.24,0.03,1.1766
2018-03-31,115185962,115185962,1,7405082000,302780000,9993323000,250928000,-2588241000,0,0,3600640000,9363686000,458302000,31545000,31545000,0.27,0.27,0,178577000,-151597000,34049000,60525000,164820000,180074000,164.55,177.67,151.43,None,0.0133,-22.47,None,191.34,0,0,None,None,0.0554,0.24,-0.01,1.2066
2017-12-31,116507867,116507867,1,7320205000,259533000,9919319000,278905000,-2599114000,0,0,3598131000,9291536000,443072000,7662000,7662000,0.06,0.06,0,226998000,-314192000,23028000,-68167000,104295000,362008000,158.14,173.97,142.31,None,0.0142,-22.31,None,188.26,0,0,None,None,0.06,0.24,-1.16,0.9305
2017-09-30,117542678,117542678,1,7300470000,324066000,9558268000,1022715000,-2257798000,0,0,3550710000,8185512000,433945000,49161000,49161000,0.41,0.41,0,187273000,-122274000,-93492000,-24731000,172462000,152830000,143.99,154.71,133.27,None,0.0138,-19.21,None,464.48,0,0,None,None,0.0595,0.23,0.29,0.3169
2017-06-30,120357721,120357721,1,7308853000,336464000,9294534000,1046419000,-1985681000,0,0,3569045000,7906188000,427294000,9233000,9233000,0.08,0.08,0,231893000,-84364000,-111838000,31722000,197193000,106906000,129.49,140.38,118.59,None,0.0049,-16.5,None,264.27,0,0,None,None,0.0219,0.22,1.04,0.3215
2017-03-31,121301176,121301176,1,7297450000,301267000,9213944000,228593000,-1916494000,0,0,3605548000,8646174000,423363000,37598000,37598000,0.31,0.31,0,172306000,-84277000,-112272000,-20499000,165471000,114145000,111.28,120.51,102.06,None,0.008,-15.8,None,182.43,0,0,None,None,0.0363,0.22,0.48,1.3179
2016-12-31,120977227,120977227,1,7360945000,324571000,9356866000,873447000,-1995921000,0,0,3656924000,8149929000,416505000,5258000,5258000,0.04,0.04,0,228344000,-128022000,-108026000,-7835000,185970000,156757000,105.97,116.27,95.66,None,0.0101,-16.5,None,129.23,0,0,None,None,0.0467,0.22,0.59,0.3716
2016-09-30,124072843,124072843,1,7915722000,858199000,9584784000,738766000,-1669062000,0,0,3710817000,8515392000,411319000,-15370000,-15370000,-0.12,-0.12,0,159535000,-70786000,-56231000,31269000,165225000,110329000,112.97,118.57,107.36,None,0.0135,-13.45,None,None,0,0,None,None,0.0628,0.22,0.4,1.1617
2016-06-30,124615402,124615402,1,7436322000,291257000,9043899000,804906000,-1607577000,0,0,3788754000,7913879000,405532000,32711000,32711000,0.26,0.26,0,209782000,-97088000,-90977000,30690000,133956000,126874000,102.49,108.3,96.68,None,-0.0052,-12.9,None,None,0,None,None,None,None,0.22,0.67,0.3619
2016-03-31,125524099,125524099,1,7371644000,282552000,9002204000,233069000,-1630560000,0,0,3764036000,8452270000,399769000,53639000,53639000,0.43,0.43,0,144864000,-132339000,-33323000,-14773000,103266000,164225000,95.12,107.44,82.8,None,-0.0057,-12.99,None,None,0,None,None,None,None,0.22,-0.15,1.2123
2015-12-31,125257417,125257417,1,7403215000,293960000,9109359000,273371000,-1706144000,0,0,3735413000,8524132000,406941000,31015000,31015000,0.25,0.25,0,202436000,-167790000,10424000,44768000,118039000,293611000,110.78,121.45,100.12,None,-0.0234,-13.62,None,None,0,None,None,None,None,0.22,-0.73,1.0753
