"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,1335009396,1335009396,1,282815000000,None,261190000000,None,21625000000,0,2793000000,1227000000,6829000000,2723000000,964000000,925000000,0.69,0.69,0.17,-2595000000,18285000000,-12229000000,3461000000,41688000000,139000000,44.36,48.23,40.49,0.1947,0.0133,14.11,3.31,18.11,5.04,0.2026,0.3626,0.0666,0.3355,0.04,-2.05,None
2018-12-31,1332893531,1332893531,1,296482000000,None,275812000000,None,20670000000,0,2793000000,1378000000,6878000000,2669000000,935000000,885000000,0.66,0.65,0.13,7801000000,-14535000000,17867000000,11133000000,38227000000,170000000,45.15,52.47,37.83,0.1909,0.013,13.41,3.38,20.43,4.87,0.1859,0.3847,0.0603,0.3286,0.04,5.73,None
2018-09-30,1350452801,1350452801,1,272102000000,None,251268000000,None,20834000000,0,2793000000,1227000000,5790000000,2579000000,923000000,885000000,0.66,0.65,0.13,1275000000,-6366000000,13267000000,8176000000,27094000000,147000000,51.66,54.26,49.06,0.1771,0.0124,13.36,4.03,26.09,4.74,0.1848,0.3209,0.0663,0.3085,0.04,0.84,None
2018-06-30,1351062783,1351062783,1,261882000000,None,241785000000,None,20097000000,0,2793000000,1320000000,5789000000,2486000000,866000000,813000000,0.6,0.6,0.1,3132000000,-13115000000,11276000000,1293000000,18918000000,131000000,54.98,60.22,49.74,0.1656,0.0116,12.81,4.48,31.06,4.61,0.1807,0.3345,0.0661,0.2889,0.04,2.22,None
2018-03-31,1349185040,1349185040,1,248320000000,None,228990000000,None,19330000000,0,2793000000,1328000000,4128000000,2398000000,783000000,746000000,0.55,0.55,0.1,248000000,-6539000000,4756000000,-1535000000,17625000000,122000000,53.08,58.11,48.04,0.1544,0.0109,12.26,4.54,32.97,4.51,0.1903,0.2496,0.0666,0.2687,0.04,0.09,None
2017-12-31,1346473499,1346473499,1,243274000000,None,224749000000,None,18525000000,0,2793000000,1335000000,4753000000,2242000000,597000000,550000000,0.41,0.41,0.08,-565000000,-13242000000,15771000000,1964000000,14217000000,133000000,47.36,52.52,42.2,0.1456,0.0102,11.68,4.17,30.17,4.41,0.1968,0.3021,0.0647,0.253,0.04,-0.52,None
2017-09-30,1340576376,1340576376,1,230714000000,None,212687000000,None,18027000000,0,2783000000,1342000000,3268000000,2165000000,618000000,575000000,0.43,0.42,0.08,1319000000,-5914000000,7273000000,2678000000,12253000000,103000000,41.2,44.35,38.06,0.1459,0.0101,11.37,3.75,27.47,4.33,0.1968,0.2144,0.0661,0.2524,0.04,0.91,None
2017-06-30,1339119476,1339119476,1,220601000000,None,203112000000,None,17489000000,0,2783000000,1352000000,3518000000,2130000000,575000000,530000000,0.4,0.39,0.08,843000000,4270000000,-5013000000,100000000,9575000000,84000000,40.63,44.1,37.16,0.1435,0.0098,10.98,3.83,28.82,4.25,0.1999,0.2392,0.0667,0.2474,0.04,0.57,None
2017-03-31,1337132864,1337132864,1,227061000000,None,210079000000,None,16982000000,0,2783000000,1362000000,3518000000,2081000000,564000000,525000000,0.39,0.39,0.08,-334000000,-5587000000,4568000000,-1353000000,9475000000,80000000,40.63,43.65,37.62,0.1394,0.0095,10.62,3.98,31.02,4.17,0.2053,0.2478,0.0625,0.2411,0.04,-0.31,None
2016-12-31,1334969258,1334969258,1,223383000000,None,206962000000,None,16421000000,0,2783000000,1371000000,2876000000,1977000000,522000000,478000000,0.35,0.37,0.07,1688000000,-12731000000,11440000000,397000000,10828000000,74000000,35.62,40.58,30.66,0.1342,0.0092,10.22,3.55,29.2,4.09,0.2051,0.2109,0.0611,0.2335,0.04,1.21,None
2016-09-30,1325672135,1325672135,1,209337000000,None,193867000000,None,15470000000,0,2192000000,1381000000,2876000000,1909000000,503000000,470000000,0.36,0.35,0.07,-549000000,-12210000000,10214000000,-2545000000,10431000000,77000000,27.85,31.87,23.83,0.1308,0.0091,10.02,2.88,24.22,4.02,0.209,0.2166,0.0634,0.2289,0.04,-0.47,None
