"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-12-31,702293575,702293575,1,36842000000,1772000000,25303000000,3905000000,7157000000,4382000000,0,4181000000,13624000000,1298000000,115000000,115000000,0.16,0.16,0.41,427000000,-1235000000,646000000,-159000000,305000000,1216000000,41.23,43.71,38.76,0.0943,0.0195,10.19,3.87,93.7,11.73,1.6351,1.9036,0.1943,0.141,0.14,-1.12,0.4538
2016-09-30,701483324,701483324,1,35937000000,1750000000,24518000000,3687000000,7468000000,3951000000,0,4203000000,13094000000,1075000000,195000000,195000000,0.28,0.28,0.405,360000000,-851000000,716000000,224000000,464000000,927000000,39.64,44,35.28,0.0438,0.0091,10.65,3.66,94.38,11.32,3.4718,1.7533,0.2078,0.0638,0.14,-0.81,0.4746
2016-06-30,701100679,701100679,1,35047000000,1637000000,23824000000,2786000000,7598000000,3625000000,0,4217000000,13584000000,1159000000,149000000,149000000,0.21,0.21,0.405,682000000,-1028000000,306000000,-39000000,240000000,848000000,32.74,36.65,28.84,0.0413,0.0087,10.84,3.13,136.42,10.92,3.5984,1.7878,0.2168,0.0593,0.15,-0.24,0.5876
2016-03-31,684209559,684209559,1,34091000000,1475000000,23731000000,3163000000,7163000000,3197000000,0,4211000000,13190000000,1384000000,234000000,234000000,0.35,0.35,0.405,557000000,-716000000,222000000,66000000,279000000,712000000,27.25,31.22,23.29,0.0229,0.0049,10.47,2.8,93.97,10.51,6.2723,1.8414,0.2101,0.0326,0.15,-0.23,0.4663
2015-12-31,671500270,671500270,1,32923000000,1648000000,23391000000,3392000000,6526000000,3006000000,0,4154000000,12892000000,1316000000,-263000000,-263000000,-0.4,-0.4,0.37,424000000,-1279000000,731000000,-125000000,213000000,1031000000,25.99,30.55,21.43,0.027,0.0059,9.72,2.42,22.41,10.11,5.0698,1.9755,0.1982,0.0374,0.16,-0.9,0.4858
2015-09-30,671410743,671410743,1,33259000000,1839000000,23328000000,3407000000,7216000000,2715000000,0,4534000000,13698000000,1103000000,174000000,174000000,0.26,0.26,0.37,367000000,-527000000,215000000,51000000,338000000,828000000,29.03,32.84,25.22,0.101,0.0233,10.75,2.57,24.19,9.74,1.282,1.8983,0.217,0.1404,0.17,-0.69,0.5398
2015-06-30,671363087,671363087,1,33044000000,1737000000,22965000000,3137000000,7596000000,2483000000,0,4615000000,12783000000,1192000000,18000000,18000000,0.03,0.03,0.37,690000000,-572000000,-242000000,-122000000,287000000,601000000,35.33,38.47,32.19,0.1008,0.0239,11.31,3.08,25.42,9.37,1.2093,1.6829,0.2299,0.1427,0.17,0.13,0.5537
2015-03-31,671327206,671327206,1,32920000000,2063000000,22889000000,2717000000,7707000000,2324000000,0,4595000000,13178000000,1623000000,267000000,267000000,0.4,0.4,0.37,766000000,-404000000,-164000000,194000000,409000000,388000000,34.66,36.9,32.43,0.1132,0.0276,11.48,2.85,21.53,9,1.0175,1.7099,0.2341,0.1636,0.17,0.56,0.7593
2014-12-31,671089528,671089528,1,34040000000,2332000000,23642000000,3809000000,8160000000,2238000000,0,4714000000,12769000000,1600000000,316000000,316000000,0.46,0.47,0.37,675000000,-582000000,-97000000,-6000000,215000000,599000000,36.25,40,32.5,0.1287,0.032,12.16,2.91,24.33,8.63,0.8526,1.5648,0.2397,0.1833,0.17,0.11,0.6122
2014-09-30,671000273,671000273,1,34001000000,2252000000,23463000000,3491000000,8356000000,2182000000,0,4768000000,13072000000,1207000000,201000000,201000000,0.3,0.3,0.335,337000000,-809000000,397000000,-79000000,221000000,596000000,40.83,43.12,38.55,0.118,0.0297,12.45,3.17,25.84,8.26,0.8735,1.5644,0.2458,0.1708,0.17,-0.39,0.6451
2014-06-30,670893796,670893796,1,33946000000,2205000000,23201000000,3156000000,8652000000,2093000000,0,4841000000,13141000000,1253000000,146000000,146000000,0.22,0.22,0.335,523000000,-210000000,-209000000,107000000,300000000,459000000,39.89,42.61,37.17,0.1232,0.0312,12.9,3.16,24.03,7.92,0.8034,1.5188,0.2549,0.1833,0.17,0.1,0.6987
2014-03-31,670685199,670685199,1,33384000000,2172000000,23039000000,3687000000,8466000000,1879000000,0,4788000000,12600000000,1843000000,419000000,419000000,0.63,0.62,0.335,686000000,-402000000,-290000000,-8000000,193000000,374000000,36.48,38.73,34.23,0.129,0.0331,12.62,2.88,23.54,7.59,0.7469,1.4883,0.2536,0.1935,0.17,0.47,0.5891
2013-12-31,670171444,670171444,1,33533000000,2081000000,23210000000,4039000000,8494000000,1829000000,0,4810000000,12969000000,1565000000,236000000,236000000,0.35,0.35,0.3,630000000,1564000000,-2151000000,41000000,201000000,471000000,34.48,36.16,32.8,0.1183,0.031,12.67,2.59,22.68,7.25,0.7839,1.5268,0.2533,0.1881,0.16,0.24,0.5152
