"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,154526089,154526089,1,5216500000,1576600000,5557700000,1587400000,-341200000,0,0,2057700000,3588600000,1161000000,33200000,33200000,0.22,0.21,0.16,104200000,-67200000,-64200000,-13800000,222200000,46900000,43.88,47.13,40.62,None,0.0725,-2.21,None,15.4,6.97,0.2695,None,None,0.0632,1.15,0.37,0.9932
2019-03-31,155703682,155703682,1,5155000000,1555200000,5447400000,1481100000,-292400000,0,0,2053300000,3284600000,1112700000,57500000,57400000,0.37,0.37,0.16,65100000,-57200000,-34000000,-35700000,236000000,49900000,40.54,46.74,34.34,None,0.09,-1.88,None,31.92,6.81,0.2228,None,None,0.0771,1.17,0.1,1.05
2018-12-31,155632640,155632640,1,5050200000,1554800000,5398800000,1488600000,-348600000,0,0,2049300000,3236500000,2391200000,200300000,200600000,1.29,1.27,0.16,278000000,-55500000,-144100000,80400000,271700000,54200000,35.36,40.49,30.22,None,0.0387,-2.24,None,None,6.65,0.5266,None,None,0.0406,0.95,1.44,1.0445
2018-09-30,156925124,156925124,1,4997000000,1595400000,5442700000,1566600000,-445700000,0,0,2054200000,3242500000,1186200000,79000000,78600000,0.5,0.5,0.16,113400000,-130400000,28500000,11200000,191300000,41200000,41.42,44.36,38.49,None,-0.0048,-2.84,None,11.67,6.49,None,None,None,None,0.71,0.46,1.0184
2018-06-30,158812370,158812370,1,4859200000,1531000000,5231600000,1374100000,-372400000,0,0,2017600000,3217100000,1155200000,114400000,113800000,0.71,0.71,0.16,70300000,-44800000,-146500000,-146800000,180100000,30600000,43.76,46.2,41.31,None,0.1296,-2.34,None,13.3,6.33,0.1691,None,None,0.1932,0.67,0.25,1.1142
2018-03-31,161158938,161158938,1,5041100000,1665200000,5405900000,1422800000,-364800000,0,0,2030500000,3247900000,100000,-200600000,-200800000,-1.21,-1.21,0.16,-33700000,-36000000,-216200000,-267100000,326900000,43600000,45.31,49.86,40.76,None,0.1101,-2.26,49.79,10.59,6.17,0.1836,None,None,0.1902,0.57,-0.48,1.1704
2017-12-31,167374980,167374980,1,5280300000,1866400000,5128000000,1378200000,152300000,0,0,2023400000,3230500000,1227800000,-17100000,-16500000,-0.1,-0.1,0.16,91900000,-90800000,-617300000,-710700000,594000000,59600000,46.33,49.66,43.01,None,0.1241,0.91,14,8.74,6.01,0.1547,21.2114,0.0288,0.1815,0.68,0.19,1.3542
2017-09-30,229996518,229996518,1,5939400000,2575700000,5178800000,1516900000,760600000,0,0,1943100000,3219400000,1131300000,787400000,782400000,4.19,4.15,0.16,191200000,1986200000,-1108900000,1061700000,1304700000,36700000,None,None,None,None,0.1429,3.31,None,None,5.85,0.1286,4.2327,0.1281,0.2023,0.7,0.67,1.698
2017-06-30,190031346,190031346,1,7626900000,4446900000,7287400000,3070000000,339500000,0,0,1930100000,3790100000,1070300000,87800000,87200000,0.45,0.45,0.16,124100000,-26500000,-92400000,-15400000,243000000,46900000,44.35,46.41,42.3,0.7375,0.0519,1.79,14.59,24.92,5.69,0.3198,11.1638,0.0445,0.0695,0.74,0.41,1.4485
2017-03-31,195812519,195812519,1,7421200000,4287500000,6826400000,2661600000,594800000,0,0,1924000000,3762700000,1032200000,-43200000,-43100000,-0.22,-0.22,0.16,17200000,-55300000,-45700000,-75300000,258400000,60200000,46.76,50.22,43.3,0.5948,0.0469,3.04,14.84,19.01,5.53,0.3577,6.326,0.0801,0.056,0.83,-0.22,1.6109
2016-12-31,193477077,193477077,1,7389100000,2215300000,6779400000,2118900000,609700000,0,0,3565700000,3938300000,1744100000,181600000,180400000,0.94,0.92,0.16,436400000,-84100000,-291400000,37600000,363700000,112300000,45.65,48.84,42.45,0.8361,0.0647,3.15,15.96,21.13,5.37,0.2463,6.4594,0.0825,0.0713,0.9,1.68,1.0455
2016-09-30,193307520,193307520,1,7605800000,2376100000,7053000000,2283800000,552800000,0,0,3655300000,4000700000,1716600000,163300000,162100000,0.84,0.83,0.16,289300000,-94100000,-160300000,35300000,332800000,111900000,47.26,49.41,45.11,0.7637,0.0569,2.86,15.86,27.01,5.21,0.2668,7.2372,0.0727,0.0627,0.9,0.92,1.0404
2016-06-30,196702964,196702964,1,7526700000,2360000000,6939700000,1893400000,587000000,0,0,3671200000,4259100000,1727000000,49600000,49200000,0.25,0.25,0.16,177200000,-67900000,-122100000,-18200000,297500000,100500000,48.11,52.68,43.55,0.6599,0.0468,2.98,16.88,29.52,5.05,0.3099,7.2557,0.078,0.0512,0.91,0.39,1.2464
2016-03-31,197142884,197142884,1,7539300000,2319100000,6978200000,1899900000,561100000,0,0,3713000000,4280000000,1590600000,91900000,91300000,0.47,0.46,0.13,4000000,-68700000,32900000,-42700000,315700000,69600000,43.45,48.53,38.36,0.5035,0.0433,2.85,16.15,26.66,4.89,0.3157,7.6279,0.0744,0.0477,0.9,-0.33,1.2206
2015-12-31,195993330,195993330,1,7426000000,2215600000,6898900000,1807100000,527100000,0,0,3693800000,4302700000,1753900000,123500000,122800000,0.62,0.62,0.13,289100000,-66900000,-149200000,60300000,358400000,71200000,47.27,52.73,41.81,0.4173,0.0435,2.69,21.1,35.81,4.76,0.3158,8.163,0.071,0.0474,0.91,1.11,1.2261
2015-09-30,197423854,197423854,1,7586300000,2485600000,7144300000,1983200000,442000000,0,0,3729800000,4334900000,1746200000,86600000,86000000,0.43,0.42,0.13,215200000,-65900000,-374400000,-234900000,334300000,48700000,50.62,55.84,45.39,0.2889,0.0354,2.24,9.7,42.9,4.63,0.3871,9.8075,0.0583,0.0381,0.92,0.84,1.2533
2015-06-30,205842170,205842170,1,7955400000,2745000000,6880700000,1654000000,1074700000,0,0,3792100000,4369000000,1785000000,28100000,27800000,0.13,0.13,0.13,144400000,76700000,-109500000,32900000,569200000,35800000,48.05,52.68,43.43,0.2117,0.0312,5.22,8.78,36.13,4.5,0.4363,4.0653,0.1351,0.0334,0.93,0.53,1.6596
