"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2009-09-30,1639151392,1639151392,1,30547000000,13166000000,17647000000,5089000000,12900000000,0,2500000000,8860000000,8033000000,4499000000,515000000,477000000,0.29,0.29,0.065,1042000000,412000000,-165000000,1323000000,4312000000,145000000,None,None,None,0.2676,0.089,6.34,None,None,5.88,0.1781,0.7724,0.3405,0.1357,0.62,0.55,2.5871
2009-06-30,1633938697,1633938697,1,29545000000,12676000000,17510000000,5194000000,12035000000,0,2500000000,8749000000,7908000000,4647000000,671000000,633000000,0.38,0.38,0.065,1026000000,-860000000,-111000000,144000000,2989000000,169000000,None,None,None,0.2899,0.0932,5.84,None,None,5.81,0.1725,0.8294,0.3227,0.1393,0.63,0.52,2.4405
2009-03-31,1628335093,1628335093,1,27718000000,11344000000,16883000000,4961000000,10835000000,0,2500000000,8428000000,7685000000,4393000000,805000000,767000000,0.47,0.46,0.065,556000000,-861000000,-181000000,-528000000,2845000000,160000000,None,None,None,0.268,0.0845,5.12,None,None,5.75,0.1901,0.922,0.3007,0.1243,0.64,0.24,2.2866
2008-12-31,1626412285,1626412285,1,28117000000,10971000000,17588000000,5193000000,10529000000,0,2500000000,8932000000,7931000000,4348000000,587000000,551000000,0.32,0.34,0.07,789000000,-288000000,-244000000,214000000,3373000000,194000000,15.62,18.48,12.76,0.206,0.0651,4.94,2.95,None,5.68,0.2456,0.9878,0.2856,0.0947,0.63,0.37,2.1127
2008-09-30,1626234628,1626234628,1,28491000000,10969000000,17372000000,5416000000,11119000000,0,2500000000,9286000000,8166000000,4576000000,589000000,551000000,0.34,0.34,0.065,1191000000,85000000,-767000000,454000000,3159000000,170000000,19.91,22.32,17.51,-0.2552,-0.0682,5.3,3.65,None,5.61,None,0.9474,0.3025,None,0.61,0.63,2.0253
2008-06-30,1625591985,1625591985,1,30121000000,11366000000,18767000000,5758000000,11354000000,0,2500000000,10162000000,9015000000,4921000000,436000000,398000000,0.25,0.24,0.065,922000000,-206000000,-465000000,251000000,2705000000,191000000,17.29,20.72,13.86,-0.2202,-0.0655,5.45,3.29,None,5.55,None,1.0182,0.2939,None,0.57,0.45,1.9739
2008-03-31,1621414244,1621414244,1,30120000000,11224000000,19087000000,5823000000,11033000000,0,2500000000,10324000000,9349000000,4657000000,291000000,253000000,0.16,0.15,0.065,462000000,-123000000,-184000000,175000000,2454000000,148000000,21.07,27.73,14.41,-0.2155,-0.0699,5.26,4.34,None,5.48,None,1.0956,0.2833,None,0.57,0.19,1.9275
2007-12-31,1621353851,1621353851,1,29156000000,10846000000,18771000000,6043000000,10385000000,0,2500000000,9941000000,9019000000,3725000000,-3327000000,-3364000000,-2.09,-2.09,0.05,1382000000,-15793000000,4301000000,-10087000000,2279000000,204000000,29.57,32.94,26.2,-0.192,-0.0686,4.86,4.33,23.28,5.42,None,1.1438,0.2704,None,0.59,0.73,1.7948
2007-09-30,1619721867,1619721867,1,23652000000,17801000000,10093000000,3871000000,13559000000,0,2500000000,469000000,4403000000,2812000000,750000000,713000000,0.46,0.45,0.065,620000000,1039000000,5845000000,7513000000,12366000000,138000000,30.05,32.83,27.26,0.2466,0.1129,6.83,6.05,29.75,5.37,0.1911,0.3981,0.4676,0.1684,0.64,0.3,4.5986
2007-06-30,1496297204,1496297204,1,17061000000,11303000000,8191000000,3927000000,8870000000,0,1438000000,475000000,2414000000,3178000000,539000000,517000000,0.35,0.34,0.065,876000000,1485000000,-9000000,2368000000,4853000000,135000000,29.38,33.34,25.42,0.2227,0.0996,4.97,6.47,35.4,5.3,0.2288,0.3248,0.4356,0.1345,0.7,0.5,2.8783
