"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,92256348,92256348,1,21186136000,5089964000,17438654000,6342640000,3747482000,0,0,12005479000,7209481000,4877860000,471003000,471003000,5.13,5.03,1.13,793951000,-105039000,-635969000,51184000,145577000,76519000,448.31,479.14,417.49,0.3142,0.0577,40.62,11.96,38.45,34.98,0.3149,1.9238,0.1769,0.0661,0.87,7.78,0.8025
2019-03-31,92316202,92316202,1,20961641000,4815144000,17501580000,5000556000,3460061000,0,0,12083527000,8702630000,4040861000,245237000,245237000,2.67,2.62,1.13,-35950000,-72205000,51371000,-61112000,94393000,48610000,407.15,443.3,371,0.2961,0.055,37.48,10.12,34.92,33.85,0.3124,2.5152,0.1651,0.0627,0.88,-0.92,0.9629
2018-12-31,92718270,92718270,1,19134279000,4344487000,15403534000,4297747000,3730745000,0,0,12158281000,8708057000,4064221000,100988000,100988000,1.09,1.07,0.86,512485000,-136362000,-421167000,-26006000,155505000,84773000,408.88,462.47,355.28,0.2929,0.0557,40.24,9.63,20.41,32.72,0.2895,2.3341,0.195,0.0632,0.88,4.61,1.0109
2018-09-30,93626317,93626317,1,19980696000,5038032000,16005857000,4842065000,3974839000,0,0,12253184000,8710831000,4731470000,354027000,354027000,3.8,3.72,0.86,852119000,-8295000,-808773000,26538000,181511000,40358000,439.91,479.64,400.18,0.5045,0.0947,42.45,10.96,22.4,31.86,0.1686,2.1915,0.1989,0.1092,0.87,8.67,1.0405
2018-06-30,93381022,93381022,1,20154732000,5037205000,16407643000,4190087000,3747089000,0,0,12457724000,9722918000,4773796000,403604000,403604000,4.34,4.25,0.86,538347000,-66432000,-489264000,-3640000,154973000,52571000,387.64,412.93,362.36,0.5386,0.0919,40.13,9.83,20.67,31,0.1714,2.5948,0.1859,0.1084,0.85,5.2,1.2022
2018-03-31,93545689,93545689,1,20367686000,4886903000,16677640000,4327152000,3690046000,0,0,12776277000,9891017000,3965006000,250127000,250127000,2.68,2.62,0.86,40749000,-40551000,-27449000,-45600000,158613000,34901000,408.32,435.15,381.49,0.57,0.0872,39.45,10.4,21.88,30.14,0.179,2.6805,0.1812,0.1102,0.79,0.06,1.1294
2017-12-31,93993791,93993791,1,19958427000,4465840000,16266239000,3987180000,3692188000,0,0,12816706000,9885745000,3979776000,897393000,897393000,9.63,9.44,0.85,625136000,-136669000,-475964000,-3724000,204213000,71643000,385.63,415.75,355.5,0.651,0.1036,39.28,13.16,33.39,29.28,0.1794,2.6775,0.185,0.1183,0.88,5.89,1.12
2017-09-30,93513916,93513916,1,20779657000,4683904000,18038668000,4371661000,2740989000,0,0,13386555000,10083828000,4507020000,316606000,316606000,3.4,3.33,0.85,672699000,-46463000,-613709000,-2112000,207937000,57374000,345.33,363.98,326.68,0.4829,0.0793,29.31,13.49,28.08,28.43,0.2888,3.6789,0.1319,0.0795,1,6.58,1.0714
2017-06-30,93410169,93410169,1,20717398000,4854001000,18326138000,4151913000,2391260000,0,0,13180647000,10751284000,3735817000,319111000,319111000,3.44,3.36,0.85,354317000,-8834319000,7663905000,-807759000,210049000,39787000,334.31,362.57,306.05,0.5878,0.1127,25.6,15.07,25.86,27.58,0.2702,4.4961,0.1154,0.0928,1.21,3.37,1.1691
2017-03-31,93128304,93128304,1,6988903000,3876664000,4923553000,2939002000,2065350000,0,0,1382717000,1211512000,2761387000,239152000,239152000,2.58,2.53,0.85,231816000,-29911000,-60142000,128015000,1017808000,6717000,293.48,316.66,270.29,0.7217,0.1793,22.18,14.58,24.52,26.73,0.2556,0.5866,0.2955,0.1017,1.76,2.42,1.319
