"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2015-09-30,119992547,119992547,1,4426000000,2502000000,1068000000,505000000,3358000000,0,0,1026000000,300000000,703000000,114000000,114000000,0.95,0.94,0.23,196000000,-42000000,-13000000,125000000,1175000000,30000000,None,None,None,0.1521,0.1157,27.99,None,None,8.78,0.2234,0.0893,0.7587,0.1773,0.65,1.38,4.9545
2015-06-30,119803692,119803692,1,4306000000,2369000000,998000000,424000000,3308000000,0,0,1035000000,300000000,697000000,120000000,120000000,1,0.98,0.23,154000000,14000000,-18000000,163000000,1050000000,27000000,138.38,140.03,136.72,0.1533,0.1173,27.61,5.23,33.26,8.55,0.2257,0.0907,0.7682,0.1759,0.67,1.06,5.5873
2015-03-31,119658442,119658442,1,4110000000,2197000000,943000000,370000000,3167000000,0,0,1024000000,300000000,676000000,126000000,126000000,1.05,1.04,0.23,153000000,-37000000,-164000000,-71000000,887000000,28000000,137.79,138.83,136.75,0.1602,0.1228,26.47,5.26,33.04,8.32,0.2195,0.0947,0.7706,0.1804,0.68,1.04,5.9378
2014-12-31,119428462,119428462,1,4195000000,2247000000,1065000000,490000000,3130000000,0,0,1048000000,300000000,705000000,133000000,133000000,1.11,1.11,0.23,156000000,-205000000,140000000,72000000,958000000,29000000,135.04,137.64,132.45,0.1631,0.1248,26.21,5.18,32.54,8.09,0.2191,0.0958,0.7461,0.1795,0.69,1.06,4.5857
2014-09-30,119085357,119085357,1,3996000000,2182000000,894000000,375000000,3102000000,0,0,916000000,300000000,690000000,108000000,108000000,0.91,0.9,0.23,197000000,-33000000,-65000000,76000000,886000000,34000000,118.54,138.01,99.08,0.1656,0.1274,26.05,4.57,28.02,7.86,0.2152,0.0967,0.7763,0.1802,0.71,1.37,5.8187
2014-06-30,118974827,118974827,1,3985000000,2084000000,901000000,392000000,3084000000,0,0,945000000,300000000,701000000,133000000,133000000,1.12,1.11,0.23,115000000,-28000000,-8000000,83000000,810000000,26000000,96.76,101.91,91.61,0.1744,0.132,25.92,3.9,23.6,7.63,0.2085,0.0973,0.7739,0.1859,0.71,0.75,5.3163
2014-03-31,118841567,118841567,1,3853000000,1966000000,906000000,394000000,2947000000,0,0,942000000,300000000,689000000,126000000,126000000,1.06,1.05,0.23,172000000,-30000000,-138000000,5000000,727000000,29000000,93.54,96.87,90.21,0.1761,0.1311,24.8,3.86,23.04,7.4,0.2101,0.1018,0.7649,0.1821,0.72,1.2,4.9898
2013-12-31,119454220,119454220,1,3805000000,1921000000,910000000,383000000,2895000000,0,0,946000000,300000000,684000000,131000000,131000000,1.09,1.09,0.21,155000000,-20000000,-102000000,34000000,722000000,21000000,88.84,94.78,82.9,0.1803,0.1324,24.24,3.87,22.66,7.17,0.2101,0.1036,0.7608,0.1816,0.73,1.12,5.0157
2013-09-30,119665716,119665716,1,3779000000,1905000000,1031000000,462000000,2748000000,0,0,948000000,300000000,664000000,119000000,119000000,0.99,0.98,0.22,217000000,-16000000,-93000000,126000000,688000000,17000000,84.4,88.55,80.25,0.1806,0.1283,22.96,3.83,21.87,6.96,0.2146,0.1092,0.7272,0.1779,0.72,1.67,4.1234
2013-06-30,120239314,120239314,1,3666000000,1804000000,1013000000,446000000,2653000000,0,0,934000000,300000000,681000000,119000000,119000000,0.99,0.98,0.21,115000000,-13000000,-4000000,91000000,562000000,24000000,79.57,85.91,73.24,0.1833,0.1271,22.06,3.69,20.83,6.74,0.213,0.1131,0.7237,0.177,0.72,0.76,4.0448
2013-03-31,120334566,120334566,1,3581000000,1700000000,984000000,414000000,2597000000,0,0,945000000,300000000,675000000,122000000,122000000,1.02,1.01,0.22,154000000,-59000000,-334000000,-253000000,471000000,25000000,76.8,79.32,74.28,0.1872,0.1259,21.58,3.63,20.37,6.53,0.2124,0.1155,0.7252,0.1766,0.71,1.07,4.1063
2012-12-31,120444940,120444940,1,3820000000,1929000000,1274000000,701000000,2546000000,0,0,973000000,300000000,655000000,116000000,116000000,0.95,0.95,0.2,188000000,-31000000,-27000000,135000000,724000000,25000000,71.36,74.5,68.22,0.1905,0.1238,21.14,3.52,19.23,6.31,0.2097,0.1178,0.6665,0.1754,0.71,1.35,2.7518
