"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2010-06-30,248583517,248583517,1,10580731000,4563676000,3689028000,1552056000,5446139000,1445564000,0,3756100000,1481927000,2296063000,65074000,65074000,0.26,0.26,0.12,169083000,-187102000,-31992000,-50115000,497660000,111980000,None,None,None,0.0197,0.01,21.91,None,None,2.16,1.1027,0.2721,0.5147,0.0125,0.8,0.23,2.9404
2010-03-31,248507612,248507612,1,10402712000,4506159000,3569983000,1594922000,5416381000,1416348000,0,3667553000,1316589000,2137811000,11541000,11541000,0.05,0.05,0.12,52989000,-83240000,-400437000,-440571000,547775000,82842000,None,None,None,0.0124,0.0061,21.8,None,None,2.04,1.7607,0.2431,0.5207,0.0079,0.77,-0.12,2.8253
2009-12-31,236995440,236995440,1,10739415000,4815236000,3909485000,1410789000,5440567000,1389363000,0,3682914000,1814254000,1983767000,20113000,20113000,0.09,0.09,0.12,367243000,-126544000,466393000,706849000,988346000,93226000,29.91,33.81,26.01,0.0304,0.0143,22.96,1.39,20.21,1.92,0.7244,0.3335,0.5066,0.0181,0.79,1.16,3.4132
2009-09-30,219411172,219411172,1,9970883000,4171167000,3899629000,1224877000,4725508000,1345746000,0,3641802000,2049410000,1879024000,7035000,7035000,0.03,0.03,0.12,282645000,-70669000,-156322000,57313000,281497000,69844000,26.2,29.79,22.61,0.0703,0.0316,21.54,1.23,10.69,1.8,0.3215,0.4337,0.4739,0.0353,0.9,0.97,3.4054
2009-06-30,220536730,220536730,1,10108643000,4326404000,4058399000,1393192000,4707579000,1342665000,0,3633586000,2051474000,1944289000,24386000,24386000,0.11,0.11,0.12,453497000,-63357000,-372394000,22675000,224184000,56325000,26.94,31.91,21.97,0.1153,0.0502,21.35,1.27,8.29,1.68,0.1984,0.4358,0.4657,0.0517,0.97,1.8,3.1054
2009-03-31,219306478,219306478,1,10571142000,4822616000,4562764000,1569759000,4658335000,1350043000,0,3641650000,2375720000,2411479000,96935000,96935000,0.44,0.44,0.12,197757000,-16921000,-139521000,39001000,201509000,74704000,23.88,28.84,18.92,0.1657,0.0711,21.24,1.15,6.49,1.56,0.1493,0.51,0.4407,0.0638,1.12,0.56,3.0722
2008-12-31,218211825,218211825,1,10816224000,5086384000,4955915000,2933432000,4549339000,1310970000,0,3653875000,1440525000,3056371000,199177000,199177000,0.92,0.9,0.12,186148000,-150668000,-58336000,-29593000,162508000,147033000,37.8,55.93,19.67,0.2083,0.0888,20.85,1.84,10.53,1.44,0.1312,0.3166,0.4206,0.0712,1.25,0.18,1.7339
2008-09-30,218856479,218856479,1,10746207000,5082511000,4962681000,2892574000,4487724000,1295802000,0,3597601000,1442945000,2849311000,209843000,209843000,1,1,0.12,216231000,-1725342000,1562581000,50598000,192101000,85927000,70.44,85.52,55.36,0.2301,0.0986,20.51,4.82,20.6,1.32,0.1287,0.3215,0.4176,0.0734,1.34,0.6,1.7571
2008-06-30,201143019,201143019,1,6642025000,4191505000,2443774000,1305251000,2939577000,1258674000,0,1031135000,806408000,2494158000,183273000,183273000,0.91,0.91,0.12,105656000,-101734000,-11103000,-6871000,141503000,77158000,74.57,82.72,66.42,0.2581,0.1107,14.61,5.43,22.8,1.2,0.1277,0.2743,0.4426,0.0736,1.51,0.14,3.2113
2008-03-31,200897181,200897181,1,6372187000,3992998000,2414503000,1295633000,2757329000,1200355000,0,1022575000,794995000,2370998000,174991000,174991000,0.87,0.87,0.12,157108000,-63017000,-106310000,-9893000,148374000,59656000,64.09,74.68,53.49,0.2629,0.1105,13.73,4.96,20.03,1.08,0.1272,0.2883,0.4327,0.0733,1.51,0.49,3.0819
