"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,1383005073,1383005073,1,70591000000,16333000000,34318000000,11773000000,35852000000,421000000,0,24950000000,3200000000,8269000000,492000000,492000000,0.36,0.35,0.5,1108000000,-644000000,-234000000,236000000,1466000000,404000000,41.67,48.88,34.46,0.058,0.0298,25.92,1.6,28.74,24.66,1.3206,0.0893,0.5079,0.0638,0.47,0.51,1.3873
2019-03-31,1385122272,1385122272,1,70321000000,15773000000,33797000000,11697000000,36103000000,421000000,0,33556000000,16449000000,7879000000,421000000,421000000,0.3,0.3,0.5,326000000,-230000000,-297000000,-203000000,1230000000,413000000,40.84,46.35,35.34,0.056,0.029,26.06,1.56,26.69,24.16,1.3611,0.4556,0.5134,0.0619,0.47,-0.06,1.3485
2018-12-31,1382964324,1382964324,1,70507000000,15731000000,33921000000,13486000000,36162000000,424000000,0,33658000000,14644000000,8179000000,539000000,539000000,0.39,0.38,0.5,2331000000,-315000000,-2069000000,-60000000,1433000000,621000000,49.32,63.65,34.99,0.0585,0.0303,26.15,1.87,None,23.66,1.2949,0.405,0.5129,0.0652,0.47,1.24,1.1665
2018-09-30,1384801810,1384801810,1,70046000000,16483000000,33098000000,14600000000,36533000000,415000000,0,34064000000,14159000000,8504000000,644000000,644000000,0.46,0.46,0.5,1827000000,-895000000,-900000000,32000000,1493000000,565000000,64.43,69.61,59.25,-0.0179,-0.0093,26.38,2.44,None,23.16,None,0.3876,0.5216,None,0.46,0.91,1.129
2018-06-30,1384118911,1384118911,1,70156000000,16900000000,33259000000,15066000000,36484000000,413000000,0,34213000000,13865000000,8303000000,430000000,430000000,0.31,0.31,0.5,987000000,-112000000,-1264000000,-404000000,1461000000,520000000,68.73,75.43,62.02,-0.0202,-0.0105,26.36,2.58,None,22.66,None,0.38,0.52,None,0.45,0.34,1.1217
2018-03-31,1385133215,1385133215,1,71478000000,18055000000,34152000000,16195000000,36924000000,402000000,0,34337000000,13526000000,7829000000,525000000,525000000,0.38,0.38,0.5,568000000,282000000,-787000000,66000000,1865000000,454000000,71.51,80.35,62.67,-0.0329,-0.0173,26.66,2.69,None,22.16,None,0.3663,0.5166,None,0.43,0.08,1.1149
2017-12-31,1383932776,1383932776,1,71987000000,18497000000,34726000000,15282000000,36842000000,419000000,0,34472000000,14875000000,8179000000,-2255000000,-2255000000,-1.62,-1.62,0.5,2251000000,-2418000000,278000000,109000000,1799000000,625000000,65.3,69.57,61.02,-0.0385,-0.0203,26.62,2.29,163.25,21.66,None,0.4038,0.5118,None,0.41,1.17,1.2104
2017-09-30,1385261690,1385261690,1,73569000000,19914000000,33559000000,13014000000,39573000000,437000000,0,34653000000,15871000000,7905000000,545000000,545000000,0.39,0.39,0.5,1898000000,221000000,-2342000000,-213000000,1690000000,598000000,66.28,70.01,62.56,0.0136,0.0072,28.57,2.32,473.43,21.16,5.0831,0.4011,0.5379,0.0186,0.39,0.94,1.5302
2017-06-30,1384524170,1384524170,1,74862000000,21273000000,34910000000,13527000000,39520000000,432000000,0,34694000000,16600000000,7462000000,-74000000,-74000000,-0.05,-0.05,0.5,858000000,473000000,-1332000000,1000000,1903000000,503000000,73,80.89,65.1,0.0043,0.0023,28.54,2.5,None,20.66,15.6971,0.42,0.5279,0.0062,0.37,0.26,1.5726
2017-03-31,1389476854,1389476854,1,76175000000,21883000000,35121000000,13776000000,40606000000,448000000,0,34788000000,16538000000,6894000000,279000000,279000000,0.2,0.2,0.5,656000000,-55000000,-1637000000,-1027000000,1902000000,381000000,81.99,87.84,76.14,-0.0459,-0.0242,29.22,2.78,None,20.16,None,0.4073,0.5331,None,0.36,0.2,1.5885
2016-12-31,1391475510,1391475510,1,77956000000,23927000000,36427000000,15059000000,41078000000,451000000,0,34845000000,16463000000,7107000000,-204000000,-204000000,-0.14,-0.14,0.5,2013000000,-32000000,-2389000000,-512000000,2929000000,654000000,82.24,87,77.48,-0.0418,-0.0218,29.52,2.71,None,19.66,None,0.4008,0.5269,None,0.36,0.98,1.5889
2016-09-30,1391308399,1391308399,1,80594000000,26425000000,38020000000,14972000000,42234000000,340000000,0,34794000000,17538000000,7019000000,176000000,176000000,0.13,0.13,0.5,1406000000,186000000,-1116000000,494000000,3441000000,403000000,79.15,83.97,74.33,-0.0641,-0.0334,30.36,2.58,None,19.16,None,0.4153,0.524,None,0.38,0.72,1.765
2016-06-30,1390693530,1390693530,1,81171000000,27195000000,38192000000,14609000000,42610000000,369000000,0,34524000000,18252000000,7164000000,-2160000000,-2160000000,-1.56,-1.56,0.5,1632000000,2735000000,-3510000000,867000000,2947000000,449000000,76.82,81.96,71.69,-0.0445,-0.0239,30.64,2.72,61.46,18.66,None,0.4284,0.5249,None,0.42,0.85,1.8615
2016-03-31,1252334169,1252334169,1,69141000000,27700000000,33479000000,12880000000,35359000000,303000000,0,20200000000,17233000000,6520000000,501000000,501000000,0.4,0.4,0.5,1210000000,-3513000000,1587000000,-713000000,2080000000,549000000,67.88,76.16,59.6,0.0435,0.0241,28.23,2.39,42.16,18.16,1.5755,0.4874,0.5114,0.0503,0.48,0.53,2.1506
2015-12-31,1256367980,1256367980,1,68005000000,26912000000,32100000000,14121000000,35633000000,272000000,0,20174000000,14442000000,7744000000,-1016000000,-1016000000,-0.81,-0.81,0.5,2178000000,-8226000000,5677000000,-379000000,2793000000,627000000,74.5,82.43,66.57,0.0556,0.0317,28.36,2.48,28.11,17.66,1.2193,0.4053,0.524,0.0584,0.54,1.23,1.9058
2015-09-30,1261103708,1261103708,1,63342000000,21532000000,25163000000,14010000000,37941000000,238000000,0,20134000000,7487000000,8473000000,989000000,989000000,0.78,0.78,0.5,2543000000,-710000000,-2192000000,-369000000,3172000000,590000000,77.22,86.69,67.75,0.0896,0.0521,30.09,2.57,22.98,17.16,0.7104,0.1973,0.599,0.084,0.62,1.55,1.5369
2015-06-30,1265449047,1265449047,1,64753000000,22861000000,26568000000,13774000000,37965000000,220000000,0,20050000000,9110000000,9010000000,1124000000,1124000000,0.89,0.88,0.5,2081000000,-79000000,-586000000,1420000000,3541000000,587000000,89.36,95.13,83.6,0.113,0.0656,30,3.01,24.22,16.66,0.527,0.24,0.5863,0.0977,0.67,1.18,1.6597
2015-03-31,1269726824,1269726824,1,65411000000,23394000000,27545000000,14572000000,37656000000,210000000,0,20087000000,8898000000,10248000000,975000000,975000000,0.76,0.76,0.5,1770000000,-1237000000,-1525000000,-1009000000,2121000000,606000000,82.3,89,75.6,0.1232,0.0718,29.66,2.77,19.88,16.16,0.4518,0.2363,0.5757,0.1013,0.71,0.92,1.6054
2014-12-31,1275312404,1275312404,1,66904000000,24694000000,28855000000,14176000000,37850000000,199000000,0,20141000000,10565000000,12641000000,302000000,302000000,0.24,0.23,0.4,3913000000,-2627000000,-1223000000,12000000,3130000000,1210000000,90.44,102.4,78.47,0.1369,0.0806,29.68,2.87,17.49,15.66,0.3796,0.2791,0.5657,0.1119,0.72,2.12,1.742
2014-09-30,1286793905,1286793905,1,68320000000,25473000000,27633000000,12388000000,40505000000,182000000,0,19933000000,11626000000,12645000000,1949000000,1949000000,1.5,1.49,0.4,3087000000,-517000000,-1700000000,851000000,3118000000,980000000,109.53,118.76,100.3,0.1695,0.1007,31.48,3.5,22.08,15.26,0.2882,0.287,0.5929,0.1421,0.71,1.64,2.0563
2014-06-30,1296436308,1296436308,1,68086000000,25414000000,27384000000,12251000000,40536000000,166000000,0,19958000000,11740000000,12055000000,1595000000,1595000000,1.23,1.21,0.4,2584000000,-2810000000,-1265000000,-1485000000,2267000000,922000000,107.39,118.13,96.66,0.1663,0.0983,31.27,3.5,20.19,14.86,0.2823,0.2896,0.5954,0.1403,0.7,1.28,2.0744
2014-03-31,1302192028,1302192028,1,66717000000,25353000000,26537000000,11899000000,40004000000,176000000,0,19545000000,11120000000,11239000000,1592000000,1592000000,1.22,1.21,0.4,1635000000,374000000,-1708000000,280000000,3752000000,864000000,92.11,98.45,85.77,0.1832,0.1078,30.72,3.05,18.24,14.46,0.2469,0.278,0.5996,0.1541,0.7,0.59,2.1307
2013-12-31,1307330369,1307330369,1,67100000000,26225000000,27465000000,13525000000,39469000000,166000000,0,19415000000,10393000000,11906000000,1664000000,1664000000,1.27,1.26,0.31,3850000000,-2874000000,-645000000,323000000,3472000000,1190000000,89.91,94.91,84.91,0.1796,0.1048,30.19,3.13,18.69,14.06,0.2435,0.2633,0.5882,0.1487,0.7,2.03,1.939
2013-09-30,1316954935,1316954935,1,65123000000,25093000000,27092000000,12753000000,37885000000,146000000,0,19355000000,9916000000,11608000000,1714000000,1714000000,1.3,1.28,0.31,2541000000,-1305000000,-678000000,563000000,3149000000,953000000,80.78,89.72,71.84,0.1772,0.1023,28.77,2.9,17.6,13.75,0.2497,0.2617,0.5817,0.1444,0.71,1.21,1.9676
2013-06-30,1323183218,1323183218,1,63251000000,23799000000,26203000000,12454000000,36909000000,139000000,0,19080000000,9098000000,11084000000,2095000000,2095000000,1.57,1.57,0.31,2276000000,-1720000000,-91000000,457000000,2586000000,906000000,73.46,77.84,69.08,0.1736,0.1,27.89,2.74,18.05,13.44,0.2534,0.2465,0.5835,0.1411,0.71,1.04,1.911
2013-03-31,1329450082,1329450082,1,61428000000,23727000000,25647000000,12771000000,35660000000,121000000,0,19314000000,8138000000,10668000000,1259000000,1259000000,0.95,0.94,0.3125,1119000000,-106000000,-785000000,224000000,2129000000,894000000,76.06,82,70.12,0.1586,0.091,26.82,2.91,18.55,13.13,0.2785,0.2282,0.5805,0.1291,0.71,0.17,1.8579
2012-12-31,1328255773,1328255773,1,61547000000,24156000000,26689000000,12368000000,34751000000,107000000,0,19387000000,9509000000,11175000000,1363000000,1363000000,1.03,1.02,0.28,3176000000,-3136000000,6000000,53000000,1905000000,1533000000,71.28,75.7,66.85,0.1637,0.0937,26.16,2.77,17.26,12.82,0.2675,0.2736,0.5646,0.1303,0.72,1.24,1.9531
2012-09-30,1327570132,1327570132,1,59441000000,22951000000,25130000000,11532000000,34204000000,107000000,0,19382000000,9397000000,10608000000,1424000000,1424000000,1.07,1.06,0.27,2097000000,-2004000000,230000000,331000000,1852000000,1081000000,71.33,78.47,64.19,0.1696,0.0972,25.76,2.89,17.74,12.54,0.2582,0.2747,0.5754,0.1321,0.74,0.77,1.9902
2012-06-30,1327028158,1327028158,1,57013000000,21040000000,24046000000,11526000000,32810000000,157000000,0,19520000000,7953000000,9755000000,1402000000,1402000000,1.05,1.05,0.28,683000000,-277000000,-219000000,175000000,1521000000,1120000000,67.66,76.19,59.12,0.1694,0.0967,24.72,2.79,17.13,12.27,0.2598,0.2424,0.5755,0.1303,0.74,-0.33,1.8254
2012-03-31,1333554386,1333554386,1,56366000000,21292000000,23878000000,10802000000,32347000000,141000000,0,19004000000,8439000000,10611000000,1301000000,1301000000,0.98,0.97,0.275,732000000,-745000000,-356000000,-359000000,1346000000,961000000,73.95,80.78,67.12,0.1687,0.0968,24.26,3.15,20.15,11.99,0.2565,0.2609,0.5739,0.1292,0.75,-0.17,1.9711
2011-12-31,1333775406,1333775406,1,55201000000,20539000000,23809000000,10538000000,31263000000,129000000,0,19036000000,9456000000,10974000000,1413000000,1413000000,1.05,1.05,0.25,2425000000,-158000000,-2293000000,-27000000,1705000000,1253000000,66.22,77.65,54.79,0.1586,0.092,23.44,2.82,19.59,11.71,0.2693,0.3025,0.5663,0.1264,0.73,0.88,1.949
