"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,426594990,426594990,1,29585226000,None,26487910000,None,3097316000,0,400000000,0,0,416259000,150277000,150277000,0.34,0.34,0,-79759000,150228000,1759677000,1830146000,4139955000,0,9.77,10.51,9.04,0.2145,0.0204,6.32,1.6,8.5,23.17,0.0234,0,0.0912,0.37,0.05,-0.19,None
2019-03-31,432427285,432427285,1,27613625000,None,24566091000,None,3047534000,0,400000000,0,4476406000,418422000,158189000,153721000,0.35,0.35,0.03,16715000,-1193677000,804876000,-372086000,2309809000,0,9.82,11.53,8.11,0.2046,0.02,6.12,1.67,9.09,23.17,0.0254,1.6908,0.0959,0.3565,0.06,0.04,None
2018-12-31,436802555,436802555,1,26638173000,None,23665517000,None,2972656000,0,400000000,0,4284304000,395551000,147512000,147512000,0.33,0.33,0,-10341000,-39602000,777126000,727183000,2681895000,0,9.64,11.34,7.95,0.2011,0.0195,5.89,1.72,11.34,23.14,0,1.6653,0.0966,0.3528,0.05,-0.02,None
2018-09-30,435661454,435661454,1,25691183000,None,22850848000,None,2840335000,0,400000000,0,0,270982000,103878000,103878000,0.23,0.23,0,-12906000,-1626279000,1435449000,-203736000,1954712000,0,11.6,12.16,11.04,0.1664,0.0163,5.6,2.17,14.68,23.14,0,0,0.095,0.3005,0.05,-0.03,None
2018-06-30,435380601,435380601,1,24189176000,None,21460474000,None,2728702000,0,400000000,0,4217119000,348488000,109832000,105912000,0.24,0.24,0,-65336000,-48016000,716067000,602715000,2158448000,0,11.64,12.46,10.83,0.1603,0.0159,5.35,2.29,16.63,23.14,0,1.8109,0.0963,0.2724,0.06,-0.15,None
2018-03-31,435196223,435196223,1,23406322000,None,20796489000,None,2609833000,0,400000000,0,3744345000,346148000,126254000,122857000,0.28,0.28,0,-14158000,-1540966000,1474682000,-80442000,1555733000,0,11.2,12.06,10.33,0.1488,0.0149,5.08,2.34,18.06,23.14,0,1.6944,0.0944,0.2559,0.06,-0.03,None
2017-12-31,433549312,433549312,1,21779584000,None,19305328000,None,2474256000,0,400000000,0,3275270000,287185000,47003000,43866000,0.1,0.1,0,-45591000,-381423000,713589000,286575000,1534339000,0,10.79,11.92,9.65,0.1383,0.0142,4.78,2.31,16.1,23.14,0,1.579,0.0952,0.2426,0.06,-0.11,None
2017-09-30,431889664,431889664,1,21016170000,None,18594330000,None,2421840000,0,400000000,0,2738662000,288177000,76371000,73343000,0.17,0.17,0,-15695000,-1456461000,1401752000,-70404000,1247764000,0,10.88,11.83,9.94,0.1545,0.0159,4.68,2.42,17.55,23.14,0,1.3545,0.0962,0.2688,0.06,-0.04,None
2017-06-30,431548369,431548369,1,19513296000,None,17175586000,None,2337710000,0,400000000,0,2872231000,276913000,70617000,66643000,0.15,0.15,0,-102013000,53900000,288705000,240592000,1318168000,0,11.57,13.2,9.94,0.1388,0.0156,4.49,2.67,19.61,23.14,0,1.4823,0.0993,0.2589,0.06,-0.24,None
2017-03-31,431038789,431038789,1,19236501000,None,16801145000,None,2435356000,0,565000000,0,2837347000,274044000,94943000,89368000,0.21,0.2,0,-3613000,-1428532000,590928000,-841217000,1077576000,0,11.66,12.6,10.71,0.1271,0.0157,4.34,2.81,22,23.14,0,1.517,0.0972,0.2568,0.06,-0.01,None
