"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-04-30,149899115,149899115,1,6194223000,1643883000,2278788000,1732927000,3909572000,5863000,0,3450722000,126152000,836242000,118210000,118210000,0.79,0.77,0,352820000,-36533000,-275656000,38842000,633048000,39955000,107.14,121.37,92.9,0.1691,0.0989,26.08,4.24,28.19,0,0,0.0323,0.6312,0.1874,0.53,2.09,0.9486
2019-01-31,149675824,149675824,1,6344486000,1797630000,2559821000,2025638000,3778802000,5863000,0,3477887000,127140000,820401000,153514000,153514000,1.03,1.01,0,-144019000,-29744000,38086000,-130795000,594206000,29007000,86.79,94.44,79.14,0.1725,0.0983,25.25,3.73,31.33,0,0,0.0336,0.5956,0.1859,0.53,-1.16,0.8874
2018-10-31,149515012,149515012,1,6145974000,1543797000,2660959000,2102415000,3479152000,5863000,0,3503653000,125535000,795082000,254328000,254328000,1.7,1.6,0,130961000,-37615000,-104207000,-18121000,723115000,684100000,94.2,103.4,85,0.1328,0.0741,23.27,4.43,247.89,0,0,0.0361,0.5661,0.1386,0.53,-3.7,0.7343
2018-07-31,148588107,148588107,1,5795215000,1465583000,2631213000,2083405000,3158139000,5863000,0,3533151000,123750000,779714000,79409000,79409000,0.53,0.52,0,289206000,-26112000,-83060000,170435000,741236000,21857000,88.84,93.66,84.01,0.0181,0.0103,21.25,4.07,145.64,0,0,0.0392,0.545,0.0192,0.53,1.8,0.7035
2018-04-30,149010904,149010904,1,5699071000,1370186000,2438674000,1881922000,3256293000,4104000,0,3569319000,127500000,776836000,102472000,102472000,0.69,0.67,0,63430000,-54780000,-37959000,-35091000,570801000,18634000,86.53,92.94,80.13,0.0292,0.017,21.85,4.1,309.04,0,0,0.0392,0.5714,0.0325,0.52,0.3,0.7281
2018-01-31,148725114,148725114,1,5717549000,1332346000,2576916000,1950414000,3136529000,4104000,0,3565137000,131250000,769426000,-3691000,-3691000,-0.02,-0.02,0,-59365000,-625018000,230364000,-442464000,605892000,28316000,89.92,94.8,85.05,0.014,0.0083,21.09,4.08,104.56,0,0,0.0418,0.5486,0.0163,0.51,-0.59,0.6831
2017-10-31,148713662,148713662,1,5396414000,1682593000,2116690000,1614109000,3275620000,4104000,0,2960817000,134063000,696644000,-120082000,-120082000,-0.79,-0.79,0,184854000,55717000,-347230000,-106630000,1048356000,91775000,81.5,87.47,75.53,0.0408,0.0251,22.03,3.58,38.44,0,0,0.0409,0.607,0.0501,0.5,0.63,1.0424
2017-07-31,150247663,150247663,1,5678939000,1894632000,2255771000,1764398000,3423168000,0,0,2909015000,137813000,695381000,116751000,116751000,0.78,0.75,0,279854000,-26544000,-92729000,163661000,1154986000,20096000,73.92,77.29,70.55,0.0989,0.0608,22.78,3.29,41.3,0,0,0.0403,0.6028,0.1237,0.49,1.73,1.0738
2017-04-30,150310618,150310618,1,5466558000,1682012000,2089063000,1593347000,3377495000,0,0,2936147000,139688000,680069000,53306000,53306000,0.35,0.34,0,122975000,-15666000,50962000,163616000,991325000,14050000,68.23,74.22,62.24,0.0852,0.0526,22.47,3.09,35.91,0,0,0.0414,0.6178,0.1074,0.49,0.72,1.0556
2017-01-31,150497680,150497680,1,5264254000,1484043000,1939569000,1456555000,3324685000,0,0,2954179000,142500000,652786000,86588000,86588000,0.57,0.56,0,46882000,-202789000,15877000,-148911000,827709000,206835000,59.49,62.95,56.03,0.0917,0.057,22.09,2.79,34.39,0,0,0.0429,0.6316,0.117,0.49,-1.06,1.0189
2016-10-31,150101203,150101203,1,5240365000,1716938000,2045219000,1714946000,3195146000,0,0,2784906000,0,633719000,72697000,72697000,0.48,0.47,0,147662000,-17056000,-101316000,30303000,976620000,19832000,57.34,60.56,54.13,0.0857,0.0532,21.29,2.78,36.29,0,0,0,0.6097,0.1101,0.48,0.85,1.0012
2016-07-31,151338876,151338876,1,5108789000,1552038000,1988043000,1663596000,3120746000,0,0,2810527000,0,615204000,64718000,64718000,0.43,0.42,0,251709000,-46922000,-86854000,118371000,946317000,34291000,51.18,54.91,47.45,0.0787,0.0491,20.62,2.47,33.89,0,0,0,0.6109,0.1026,0.48,1.44,0.9329
2016-04-30,151826274,151826274,1,4965263000,1403197000,1815258000,1485212000,3150005000,0,0,2820880000,0,605005000,69376000,69376000,0.46,0.45,0,222434000,-49216000,63488000,244960000,827946000,41775000,45.12,49.28,40.96,0.0756,0.0476,20.75,2.29,32,0,0,0,0.6344,0.1013,0.47,1.19,0.9448
