"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,1045231646,1045231646,1,114867000000,8352000000,83445000000,10999000000,31131000000,291000000,291000000,475000000,39682000000,5098000000,899000000,899000000,0.86,0.85,0.62,1769000000,-1452000000,-295000000,22000000,1386000000,993000000,53.72,56.54,50.89,0.1597,0.039,29.51,1.84,16.58,56.17,0.5673,1.2867,0.2685,0.2011,0.19,0.74,0.7593
2019-03-31,1040295732,1040295732,1,114096000000,8709000000,83118000000,9919000000,30687000000,291000000,291000000,5869000000,40457000000,5412000000,2059000000,2084000000,2.01,1.99,0.6,744000000,2454000000,-3353000000,-155000000,1364000000,-2509000000,47.95,52.65,43.26,0.1302,0.0301,29.22,2.01,22.1,55.55,0.7327,1.331,0.2664,0.1496,0.2,3.13,0.878
2018-12-31,1034564279,1034564279,1,116914000000,9583000000,87584000000,14286000000,25014000000,4316000000,291000000,5928000000,40736000000,5337000000,278000000,278000000,0.26,0.27,0.6,1361000000,-2260000000,527000000,-372000000,1519000000,13184000000,45.24,47.98,42.5,0.0909,0.0204,23.9,1.87,18.93,54.95,1.0931,1.6477,0.2115,0.0947,0.21,-11.43,0.6708
2018-09-30,1028888684,1028888684,1,111717000000,9384000000,83328000000,12965000000,25201000000,3188000000,324000000,5989000000,41425000000,6159000000,1222000000,1164000000,1.14,1.13,0.6,2326000000,124000000,-2576000000,-126000000,1891000000,-184000000,46,49.43,42.57,0.1008,0.0226,24.18,1.97,19.83,54.35,0.9809,1.6652,0.2227,0.1027,0.21,2.44,0.7238
2018-06-30,1014136083,1014136083,1,112777000000,11619000000,85761000000,14366000000,23960000000,3056000000,324000000,6017000000,42483000000,5627000000,-127000000,-154000000,-0.15,-0.15,0.6,1749000000,-1629000000,-393000000,-273000000,2017000000,1731000000,44.64,46.85,42.42,0.098,0.0217,23.31,1.83,40.95,53.75,1.0056,1.7974,0.2096,0.0986,0.21,0.02,0.8088
2018-03-31,1011624620,1011624620,1,111567000000,9524000000,85218000000,13630000000,25000000000,1349000000,324000000,7074000000,44446000000,6372000000,936000000,938000000,0.93,0.92,0.58,1509000000,-1995000000,629000000,143000000,2290000000,1725000000,45.23,48.07,42.38,0.047,0.0108,24.39,1.91,54.49,53.15,2.0796,1.8012,0.2212,0.0475,0.21,-0.21,0.6988
2017-12-31,1008159482,1008159482,1,111005000000,10072000000,85153000000,13594000000,24167000000,1685000000,324000000,7141000000,44462000000,5629000000,500000000,496000000,0.49,0.49,0.58,1142000000,-504000000,-349000000,289000000,2130000000,8237000000,50.72,53.51,47.92,0.0352,0.0084,23.65,2.15,92.22,52.57,2.7358,1.8648,0.2148,0.0366,0.21,-7.04,0.7409
2017-09-30,1003627691,1003627691,1,110315000000,9202000000,83956000000,12603000000,24082000000,2277000000,407000000,7169000000,44042000000,6201000000,1109000000,1069000000,1.07,1.06,0.58,2511000000,-1798000000,-305000000,408000000,1841000000,1924000000,48.75,50.8,46.71,0.0235,0.0241,23.59,2.1,75,51.99,4.0102,1.8603,0.2146,0.0251,0.21,0.58,0.7301
2017-06-30,999474028,999474028,1,108684000000,8837000000,83274000000,12751000000,23372000000,2038000000,163000000,423000000,43885000000,5430000000,-1348000000,-1381000000,-1.38,-1.38,0.58,1845000000,-2086000000,580000000,339000000,1433000000,1977000000,49.92,51.97,47.87,0.0258,0.0157,23.22,1.99,18.63,51.41,3.5676,1.8909,0.2135,0.0277,0.21,-0.13,0.693
2017-03-31,994598783,994598783,1,109760000000,8427000000,82482000000,12284000000,25094000000,2184000000,163000000,7186000000,42786000000,5771000000,665000000,658000000,0.66,0.66,0.56,897000000,-2803000000,1025000000,-881000000,1094000000,1486000000,49.52,51.47,47.57,0.1092,0.0302,25.07,2,19.42,50.83,0.8348,1.7162,0.2271,0.1208,0.21,-0.59,0.686
2016-12-31,991051161,991051161,1,109697000000,9722000000,82803000000,12917000000,24758000000,2136000000,208000000,7221000000,42629000000,5208000000,2214000000,221000000,0.22,0.21,0.56,632000000,-3408000000,2082000000,-694000000,1975000000,9762000000,49.22,52.23,46.2,0.1065,0.0262,24.77,1.96,18.71,50.27,0.8698,1.7364,0.2238,0.123,0.21,-9.21,0.7527
2016-09-30,979999480,979999480,1,106362000000,9658000000,80015000000,10567000000,24547000000,1800000000,0,7165000000,41550000000,6264000000,176000000,1130000000,1.17,1.16,0.56,2147000000,-3965000000,2590000000,772000000,2669000000,1822000000,52.32,54.64,50,0.1118,0.029,25.05,2.24,20.76,49.71,0.8275,1.6927,0.2308,0.1368,0.21,0.33,0.914
