"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,80786179,80786179,1,2173916000,397499000,1256543000,197916000,917373000,0,0,1347802000,685317000,292163000,-6814000,-6814000,-0.08,-0.08,0.05,-13192000,-67637000,-11885000,-92712000,14402000,13844000,19.48,23.41,15.56,0.0437,0.0189,11.36,1.7,81.17,15.91,0.4049,0.747,0.422,0.0321,0.59,-0.33,2.0084
2018-12-31,80664685,80664685,1,2130061000,475601000,1203896000,198059000,926165000,0,0,1312966000,685764000,368113000,21979000,21979000,0.29,0.28,0.05,67123000,-83106000,-6631000,-22614000,107114000,13974000,16.7,18.44,14.96,0.0223,0.0094,11.48,1.49,417.5,15.86,0.7973,0.7404,0.4348,0.0169,0.58,0.66,2.4013
2018-09-30,80672505,80672505,1,2068030000,560932000,1162378000,210193000,905652000,0,0,1171517000,686212000,302726000,19131000,19131000,0.23,0.23,0.05,51232000,-14527000,-32681000,4024000,129743000,14762000,14.68,16.92,12.44,0.006,0.0035,11.23,1.32,None,15.81,2.2252,0.7577,0.4379,0.0052,0.5,0.45,2.6687
2018-06-30,81961648,81961648,1,2089925000,569556000,1178061000,201372000,911864000,0,0,1172864000,686659000,283395000,5720000,5720000,0.06,0.06,0.05,17541000,-18244000,-3963000,-4666000,125719000,20384000,12.52,14.34,10.69,-0.0438,-0.0193,11.13,1.13,None,15.76,None,0.753,0.4363,None,0.48,-0.03,2.8284
2018-03-31,81687400,81687400,1,2083982000,561043000,1179294000,194177000,904688000,0,0,1174602000,687106000,254191000,-27081000,-26449000,-0.33,-0.33,0.05,5015000,-11607000,-11722000,-18314000,130385000,11362000,14.34,16.95,11.74,-0.0404,-0.0187,11.08,1.25,None,15.71,None,0.7595,0.4341,None,0.48,-0.08,2.8893
2017-12-31,81515443,81515443,1,2129548000,605534000,1192063000,210788000,936853000,632000,0,1181924000,687619000,205563000,9567000,7088000,0.08,0.08,0,8018000,-275581000,289727000,22164000,148699000,2067000,16.57,19.26,13.88,-0.0139,-0.0058,11.49,1.46,78.9,15.66,None,0.734,0.4399,None,0.48,0.07,2.8727
2017-09-30,81900211,81900211,1,1686610000,354932000,757636000,108678000,926831000,2143000,0,1043775000,393179000,216450000,-26684000,-26684000,-0.32,-0.32,0,3839000,-16991000,-9962000,-23114000,126535000,16315000,18.64,20.35,16.92,0.0187,0.0106,11.32,1.6,27.41,15.66,0,0.4242,0.5495,0.0189,0.54,-0.15,3.2659
2017-06-30,82178523,82178523,1,1741381000,380057000,783832000,99027000,955406000,2143000,0,1073446000,395599000,231820000,8545000,8429000,0.1,0.1,0,19518000,-1911000,-226000,17381000,149649000,5192000,20.2,23.75,16.64,0.06,0.0335,11.63,1.76,28.45,15.66,0,0.4141,0.5486,0.0597,0.55,0.17,3.8379
2017-03-31,82360405,82360405,1,1714263000,341799000,766809000,90921000,947454000,0,0,1078941000,389719000,211001000,-1939000,-1939000,-0.02,-0.02,0,9477000,-4584000,-6977000,-2084000,132268000,4103000,21.06,24.15,17.97,0.0636,0.0355,11.5,1.82,26.66,15.66,0,0.4113,0.5527,0.063,0.55,0.07,3.7593
2016-12-31,81953732,81953732,1,1728373000,345895000,782438000,104131000,945935000,0,0,1084676000,386614000,272692000,38337000,37806000,0.45,0.45,0,65505000,-7926000,-18165000,39414000,134352000,6518000,16.02,19.41,12.62,0.0714,0.0397,11.54,1.43,160.2,15.66,0,0.4087,0.5473,0.0703,0.56,0.72,3.3217
