"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,443938108,443938108,1,222288000000,None,196426000000,None,25862000000,0,2025000000,6331000000,20200000000,2560000000,688000000,688000000,1.49,1.48,0.5,4000000,-1537000000,629000000,-904000000,5028000000,65000000,62.91,66.27,59.56,0.1131,0.0123,53.69,1.22,11.06,31.55,0.3388,0.8474,0.1072,0.3638,0.03,-0.14,None
2019-03-31,443825510,443825510,1,220425000000,None,195602000000,None,24823000000,0,2025000000,6331000000,17395000000,2328000,580000000,580000000,1.25,1.24,0.5,-823000000,-3628000000,2888000000,-1563000000,5932000000,81000000,58.52,67.25,49.78,0.1155,0.0127,51.37,1.07,10.2,31.05,0.3234,0.763,0.1034,0.3777,0.03,-2.04,None
2018-12-31,443255088,443255088,1,215543000000,None,191263000000,None,24280000000,0,0,67000000,0,2365000000,658000000,633000000,1.4,1.4,0.5,1677000000,-4850000000,3063000000,-110000000,7495000000,175000000,57.02,67.98,46.05,0.1178,0.0132,54.78,1.16,9.73,30.55,0.306,0,0.1126,0.2896,0.04,3.39,None
2018-09-30,449285214,449285214,1,211276000000,None,187137000000,None,24038000000,101000000,2025000000,8471000000,14289000000,2294000000,752000000,726000000,1.58,1.56,0.5,101000000,-2915000000,3171000000,357000000,7605000000,61000000,70.45,75.08,65.82,0.1235,0.0138,49,1.46,13.14,30.05,0.2848,0.6491,0.1042,0.3012,0.04,0.09,None
2018-06-30,460731345,460731345,1,207505000000,None,183189000000,None,24213000000,103000000,2025000000,8367000000,11995000000,2317000000,722000000,697000000,1.5,1.49,0.4,991000000,-2595000000,1548000000,-56000000,7248000000,42000000,68.11,71.14,65.08,0.1133,0.0128,48.16,1.43,13.9,29.55,0.2954,0.5406,0.1069,0.2783,0.04,2.06,None
2018-03-31,464826552,464826552,1,204885000000,None,180616000000,None,24168000000,101000000,2025000000,8327000000,10692000000,2237000000,643000000,612000000,1.31,1.29,0.4,-200000000,209000000,383000000,392000000,7304000000,67000000,68.84,73.37,64.32,0.1045,0.0119,47.64,1.43,15.23,29.15,0.2942,0.4829,0.1081,0.2597,0.04,-0.57,None
2017-12-31,468300176,468300176,1,205962000000,None,180808000000,None,25051000000,103000000,2475000000,8122000000,9785000000,2268000000,739000000,711000000,1.51,1.52,0.4,3419000000,-827000000,-3958000000,-1366000000,6912000000,177000000,61.46,66.62,56.3,0.0973,0.011,48.21,1.3,15.72,28.75,0.2883,0.4334,0.1096,0.2425,0.04,6.92,None
2017-09-30,476033241,476033241,1,208252000000,None,183730000000,None,24421000000,101000000,1975000000,8044000000,11280000000,2276000000,538000000,512000000,1.07,1.06,0.4,-929000000,-445000000,1411000000,37000000,8278000000,87000000,56,60.04,51.96,0.0859,0.0097,47.15,1.2,14.89,28.35,0.2966,0.5025,0.1078,0.216,0.04,-2.13,None
2017-06-30,479935870,479935870,1,207223000000,None,182746000000,None,24374000000,103000000,1975000000,8027000000,10511000000,2230000000,528000000,505000000,1.05,1.03,0.26,921000000,-794000000,-160000000,-33000000,8241000000,103000000,55.72,58.75,52.69,0.0828,0.0094,46.67,1.22,15.18,27.95,0.2717,0.4693,0.1081,0.2116,0.04,1.7,None
2017-03-31,483476213,483476213,1,205642000000,None,182158000000,None,23383000000,101000000,1225000000,8067000000,10496000000,2213000000,468000000,451000000,0.92,0.91,0.26,2098000000,-819000000,572000000,1851000000,8274000000,43000000,57.2,61.69,52.71,0.0808,0.0093,45.83,1.26,15.89,27.69,0.273,0.4737,0.1078,0.2093,0.04,4.25,None
