"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-10-01,285716462,285716462,1,12541000000,2816000000,8055000000,1457000000,4486000000,0,0,7786000000,5403000000,1499000000,212000000,212000000,0.74,0.73,0.31,442000000,-86000000,-362000000,-4000000,394000000,75000000,78.7,84,73.4,0.1557,0.0518,15.7,5.24,34.22,5.98,0.5278,1.2044,0.3577,0.1105,0.47,1.28,1.9327
2016-07-02,284929332,284929332,1,12658000000,2927000000,8377000000,1713000000,4281000000,0,0,7816000000,5431000000,1562000000,238000000,238000000,0.84,0.83,0.31,313000000,-58000000,-182000000,73000000,398000000,53000000,67.14,79.61,54.68,0.161,0.0535,15.02,4.66,26.96,5.67,0.5154,1.2686,0.3382,0.114,0.47,0.91,1.7087
2016-04-02,284277432,284277432,1,12552000000,2803000000,8453000000,1630000000,4099000000,0,0,7864000000,5591000000,1448000000,95000000,95000000,0.33,0.33,0.31,150000000,-71000000,-431000000,-342000000,325000000,61000000,52.41,56,48.83,0.1785,0.0615,14.42,3.68,17.07,5.36,0.4685,1.364,0.3266,0.1263,0.49,0.31,1.7196
2016-01-02,283616926,283616926,1,13064000000,3265000000,9022000000,2473000000,4042000000,0,0,7877000000,5229000000,1447000000,113000000,113000000,0.39,0.39,0.29,187000000,-3329000000,1296000000,-1868000000,667000000,62000000,64.42,68.97,59.88,0.2239,0.0814,14.25,4.56,18.25,5.05,0.3721,1.2937,0.3094,0.1588,0.51,0.44,1.3203
2015-10-03,282660279,282660279,1,11125000000,4991000000,7128000000,2858000000,3997000000,0,0,4297000000,3264000000,1339000000,215000000,215000000,0.76,0.75,0.29,411000000,-40000000,1254000000,1625000000,2535000000,44000000,70.92,80.84,61.01,0.2549,0.1002,14.14,5.2,19.7,4.76,0.3174,0.8166,0.3593,0.1829,0.55,1.3,1.7463
2015-07-04,281744682,281744682,1,9634000000,3426000000,5793000000,3014000000,3841000000,0,0,4321000000,1762000000,1410000000,290000000,290000000,1.03,1.02,0.29,207000000,-42000000,42000000,215000000,910000000,47000000,70.64,76.33,64.96,0.2591,0.1048,13.63,5.17,20.13,4.47,0.3057,0.4587,0.3987,0.186,0.56,0.57,1.1367
2015-04-04,281177315,281177315,1,9414000000,3193000000,5532000000,2766000000,3843000000,39000000,0,4334000000,1767000000,1345000000,262000000,262000000,0.93,0.91,0.29,234000000,-34000000,-900000000,-747000000,695000000,33000000,66.46,68.99,63.93,0.2519,0.1007,13.67,4.45,19.21,4.18,0.3069,0.4598,0.4082,0.1811,0.56,0.71,1.1544
2015-01-03,281281678,281281678,1,10207000000,3914000000,5963000000,2666000000,4199000000,45000000,0,4383000000,2273000000,1439000000,245000000,245000000,0.86,0.85,0.27,400000000,-60000000,-154000000,148000000,1442000000,51000000,62.52,70.24,54.8,0.2453,0.0973,14.93,4.37,20.7,3.89,0.3061,0.5413,0.4114,0.1782,0.55,1.24,1.4681
2014-09-27,285912859,285912859,1,10236000000,3836000000,6091000000,1988000000,4095000000,50000000,0,4483000000,3054000000,1372000000,238000000,238000000,0.83,0.82,0.27,340000000,-192000000,-404000000,-286000000,1294000000,48000000,66.45,71.9,61,0.215,0.0854,14.32,4.75,21.44,3.62,0.3429,0.7458,0.4001,0.157,0.54,1.02,1.9296
2014-06-28,284693423,284693423,1,10443000000,4220000000,6408000000,1827000000,3979000000,56000000,0,4352000000,3642000000,1448000000,270000000,270000000,0.95,0.93,0.27,291000000,-45000000,-110000000,134000000,1580000000,45000000,65.22,70.59,59.85,0.2187,0.0883,13.98,4.56,25.38,3.35,0.3291,0.9153,0.381,0.1623,0.54,0.86,2.3098
