"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2016-06-30,184629759,184629759,1,4140600000,162600000,2780300000,658200000,1360300000,0,0,0,997900000,174100000,33100000,33100000,0.19,0.19,0.22,111900000,-78200000,-34100000,-400000,0,78200000,25.05,25.38,24.73,0.1464,0.0462,7.37,3.4,21.78,41.49,0.8028,0.7336,0.3285,0.1715,0.27,0.18,0.247
2016-03-31,184586667,184586667,1,4179200000,234600000,2818500000,700500000,1360700000,0,0,0,992700000,456300000,78500000,78500000,0.45,0.45,0.22,333000000,-69100000,-288500000,-24600000,400000,69100000,21.87,25.35,18.38,0.1535,0.0482,7.37,3.06,18.53,41.27,0.7548,0.7296,0.3256,0.1743,0.28,1.43,0.3349
2015-12-31,184197810,184197810,1,4377800000,440100000,3062700000,940200000,1315100000,0,0,9800000,1004100000,364700000,50900000,50900000,0.29,0.29,0.21,47400000,-109600000,87200000,25000000,25000000,108800000,19.62,21.21,18.02,0.1601,0.0498,7.14,2.65,15.7,41.05,0.7149,0.7635,0.3004,0.1839,0.27,-0.33,0.4681
2015-09-30,174846306,174846306,1,4187400000,276300000,2894100000,816600000,1293300000,0,0,0,1004400000,142300000,32600000,32600000,0.18,0.18,0.21,62800000,-86500000,23700000,0,0,86500000,20.29,22.29,18.29,0.1712,0.053,7.4,2.72,15.73,40.84,0.653,0.7766,0.3089,0.1927,0.28,-0.14,0.3384
2015-06-30,175738477,175738477,1,4084900000,201800000,2776100000,711400000,1308800000,0,0,0,1004800000,199300000,40600000,40600000,0.23,0.23,0.21,77800000,-61500000,-21100000,-4800000,0,61500000,22.6,24.33,20.88,0.1764,0.0549,7.45,3.06,17.52,40.63,0.6206,0.7677,0.3204,0.1953,0.28,0.09,0.2837
2015-03-31,175712882,175712882,1,4105900000,251800000,2807600000,697500000,1298300000,0,0,0,1005100000,428600000,84600000,84600000,0.48,0.48,0.21,223400000,-77900000,-172700000,-27200000,4800000,66500000,24.45,26.44,22.47,0.1775,0.0553,7.39,3.44,18.95,40.42,0.6055,0.7742,0.3162,0.1947,0.28,0.89,0.361
2014-12-31,175494622,175494622,1,4249700000,414500000,3003500000,621400000,1246200000,0,0,9800000,1257500000,373200000,62500000,62500000,0.36,0.36,0.19,81100000,-138300000,81900000,24700000,32000000,85900000,23.75,26.44,21.06,0.1794,0.0559,7.1,3.25,17.86,40.21,0.5805,1.0091,0.2932,0.1904,0.29,-0.03,0.667
2014-09-30,175256549,175256549,1,4037900000,277100000,2758600000,471400000,1279300000,0,0,0,1283300000,157900000,38600000,38600000,0.22,0.22,0.19,78700000,-93200000,21800000,7300000,7300000,93200000,23.17,24.85,21.49,0.1855,0.058,7.3,3.2,23.17,40.02,0.5586,1.0031,0.3168,0.1912,0.3,-0.08,0.5878
2014-06-30,175279760,175279760,1,3951200000,225200000,2681700000,400900000,1269500000,0,0,0,1284000000,201300000,40300000,40300000,0.23,0.23,0.19,70900000,-64700000,-11800000,-5600000,0,64700000,23.86,24.89,22.83,0.1458,0.0442,7.24,3.33,24.1,39.83,0.7336,1.0114,0.3213,0.1446,0.31,0.04,0.5617
2014-03-31,175145913,175145913,1,3974400000,276200000,2718200000,405000000,1256200000,0,0,0,1284700000,456900000,85100000,85100000,0.48,0.48,0.18,212900000,-70600000,-152700000,-10400000,5600000,70600000,23.08,24.09,22.07,0.1503,0.0446,7.17,3.37,25.09,39.64,0.7271,1.0227,0.3161,0.1445,0.31,0.81,0.682
