"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-29,172693582,172693582,1,4765500000,2160100000,684600000,338300000,4080900000,0,0,1319700000,0,810400000,214000000,214000000,1.23,1.23,0.38,192100000,-268100000,-193400000,-269400000,816300000,109600000,73.8,87.48,60.12,0.2628,0.2241,23.63,3.18,11.81,5.19,0.2395,0,0.8563,0.2906,0.77,0.48,6.3852
2018-12-28,174064672,174064672,1,4738900000,2208500000,700600000,357300000,4038300000,0,0,1319900000,0,972000000,284900000,284900000,1.61,1.6,0.38,549000000,171500000,-368100000,352400000,1085700000,129500000,77.89,93.07,62.71,0.2782,0.2373,23.2,3.37,15.49,4.81,0.2199,0,0.8522,0.2991,0.79,2.41,6.1811
2018-09-28,177531995,177531995,1,4828900000,2262200000,731900000,389700000,4097000000,0,0,1333500000,0,1008400000,285500000,285500000,1.6,1.58,0.38,207600000,-341200000,-291200000,-424800000,733300000,112300000,93.5,103.95,83.05,0.2275,0.1938,23.08,4.1,18.85,4.43,0.2628,0,0.8484,0.2374,0.82,0.54,5.805
2018-06-29,178981545,178981545,1,4783300000,2631400000,700400000,358300000,4082900000,0,0,942900000,0,894300000,286500000,286500000,1.58,1.57,0.32,258000000,-684700000,-296500000,-723200000,1158100000,194100000,95.16,104.2,86.13,0.2269,0.1956,22.81,4.26,20.2,4.05,0.2544,0,0.8536,0.2378,0.82,0.36,7.3441
2018-03-30,182074657,182074657,1,4745100000,2810900000,674900000,318500000,4070200000,0,0,945700000,0,913400000,276000000,276000000,1.51,1.5,0.32,434200000,-90300000,-144100000,199800000,1881300000,90300000,105.16,115.98,94.33,0.2194,0.1918,22.35,4.92,23.85,3.73,0.2594,0,0.8578,0.2269,0.85,1.89,8.8254
2017-12-29,182482749,182482749,1,4594300000,2686600000,693800000,321500000,3900500000,0,0,951200000,0,1051900000,70400000,70400000,0.38,0.38,0.32,360800000,-34200000,-261900000,64700000,1681500000,34200000,105.35,117.65,93.05,0.2102,0.1865,21.37,4.75,19.47,3.41,0.2675,0,0.849,0.2172,0.86,1.79,8.3565
2017-09-29,183189590,183189590,1,4573600000,2633700000,507900000,387900000,4065700000,0,0,950800000,0,984600000,281300000,281300000,1.53,1.51,0.32,425400000,-97400000,-155200000,172800000,1616800000,97400000,102.44,109.55,95.34,0.2621,0.2361,22.19,4.83,19.7,3.09,0.2114,0,0.8889,0.2767,0.85,1.79,6.7896
2017-06-30,183740136,183740136,1,4310200000,2412000000,412400000,300800000,3897800000,0,0,942600000,0,900800000,246200000,246200000,1.34,1.32,0.28,314100000,-113000000,-164000000,37100000,1444000000,113000000,103.48,111.01,95.95,0.2621,0.238,21.21,5.04,21.34,2.77,0.2121,0,0.9043,0.2786,0.85,1.09,8.0186
2017-03-31,184524549,184524549,1,4166800000,2308100000,375000000,266900000,3791800000,0,0,949700000,0,851700000,224900000,224900000,1.22,1.2,0.28,235900000,-54900000,-124600000,56400000,1406900000,54900000,86.84,99.11,74.57,0.2521,0.228,20.55,4.39,18.36,2.49,0.2233,0,0.91,0.2727,0.84,0.98,8.6478
2016-12-30,184918356,184918356,1,4065700000,2198500000,405400000,303400000,3660300000,0,0,955300000,0,914300000,257800000,257800000,1.39,1.38,0.28,495900000,-60600000,-168600000,266700000,1350500000,50100000,75.97,80.15,71.78,0.2518,0.2268,19.79,3.99,14.69,2.21,0.225,0,0.9003,0.274,0.83,2.41,7.2462
2016-09-30,185813926,185813926,1,3855400000,2002100000,314000000,210200000,3541400000,0,0,940300000,0,835400000,246800000,246800000,1.33,1.3,0.28,455000000,-21800000,-323100000,110100000,1083800000,21200000,67.92,77.02,58.82,0.2827,0.2536,19.06,3.62,13.45,1.93,0.201,0,0.9186,0.3026,0.84,2.33,9.5247
2016-07-01,187496060,187496060,1,3955700000,2078100000,441400000,347000000,3514300000,0,0,934000000,0,751700000,185000000,185000000,0.98,0.97,0.26,140900000,-112200000,-232500000,-203800000,973700000,57200000,68.11,78.21,58.01,0.2854,0.2512,18.74,3.66,13.25,1.65,0.2023,0,0.8884,0.2932,0.86,0.45,5.9888
2016-04-01,190238136,190238136,1,3958200000,2127000000,414900000,324700000,3543300000,0,0,893700000,0,775100000,208100000,208100000,1.09,1.08,0.26,154500000,-37400000,-172800000,-55700000,1177500000,37400000,67.02,78.18,55.85,0.3024,0.2644,18.63,3.69,13.65,1.39,0.1738,0,0.8952,0.2948,0.9,0.62,6.5507
2016-01-01,191668400,191668400,1,3930500000,2114700000,447900000,367900000,3482600000,0,0,893300000,0,926800000,355300000,355300000,1.87,1.82,0.26,345300000,-79500000,-76200000,189600000,1233200000,79500000,81.28,87.92,74.63,0.3055,0.2647,18.17,4.92,19.82,1.13,0.1556,0,0.886,0.2836,0.93,1.39,5.748
2015-10-02,191151089,191151089,1,3719400000,1914700000,560200000,463900000,3159200000,0,0,901700000,0,880800000,229200000,229200000,1.21,1.18,0.26,232700000,-151200000,-143900000,-62400000,1043600000,150800000,91.52,103.97,79.07,0.2712,0.2324,16.53,5.74,23.9,0.87,0.1555,0,0.8494,0.245,0.95,0.43,4.1274
2015-07-03,190737961,190737961,1,3518300000,1818100000,476300000,319000000,3042000000,0,0,908000000,0,810000000,207400000,207400000,1.09,1.06,0.13,221900000,-114200000,-55900000,51800000,1106000000,108100000,101.59,110.92,92.25,0.267,0.229,15.95,6.78,30.33,0.61,0.1282,0,0.8646,0.2403,0.95,0.6,5.6994
2015-04-03,191098414,191098414,1,3313200000,1678900000,449700000,298600000,2863500000,0,0,909200000,0,762100000,166500000,166500000,0.88,0.85,0.13,155000000,-102100000,-48600000,4300000,1054200000,84000000,85.94,102.05,69.83,0.247,0.213,14.98,6.05,29.63,0.48,0.1412,0,0.8643,0.2256,0.94,0.37,5.6226
2015-01-02,190819868,190819868,1,3191000000,1590400000,480900000,332900000,2710100000,0,0,917500000,0,805500000,195200000,195200000,1.03,1.01,0.13,383200000,-87200000,-51900000,244100000,1049900000,87200000,59.91,74.49,45.32,0.2251,0.1961,14.2,4.51,25.17,0.35,0.1193,0,0.8493,0.2154,0.91,1.55,4.7774
2014-10-03,190653624,190653624,1,2973800000,1429200000,441400000,297600000,2532400000,0,0,926000000,0,718300000,174900000,174900000,0.93,0.91,0.11,200400000,-231400000,-56500000,-87500000,805800000,82900000,52.59,58.84,46.34,0.1942,0.1722,13.28,4.17,27.39,0.22,0.0914,0,0.8516,0.1997,0.86,0.62,4.8024
2014-06-27,189526242,189526242,1,2688900000,1387300000,299900000,234800000,2389000000,0,0,846800000,0,587000000,111400000,111400000,0.59,0.58,0.11,199000000,-67500000,-36000000,95500000,893300000,67500000,41.62,48.34,34.9,0.1632,0.1469,12.61,3.44,24.77,0.11,0.0568,0,0.8885,0.179,0.82,0.69,5.9084
