"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2014-09-06,230500000,230500000,1,12800800000,4539100000,7253200000,2897100000,5547600000,0,0,330900000,2742800000,8307900000,9500000,9000000,0.04,0.04,0.23,367100000,-68500000,-1178500000,-883800000,1348700000,133700000,34.44,34.99,33.89,0.5806,0.2262,24.07,1.42,2.52,4.43,0.0596,0.4944,0.4334,0.0975,2.29,1.01,1.5668
2014-06-14,230400000,230400000,1,13708600000,5358300000,8133200000,3019000000,5575400000,0,0,330900000,3500400000,8307200000,95600000,93900000,0.41,0.41,0.2,523600000,-120200000,-753000000,-458900000,2232500000,110600000,35.94,38.19,33.69,0.6588,0.2239,24.2,1.45,2.71,4.2,0.0575,0.6278,0.4067,0.0983,2.25,1.79,1.7749
2014-03-22,230300000,230300000,1,15023700000,6286100000,9259400000,3897500000,5708400000,55900000,0,464600000,3737500000,8260900000,-97600000,-98000000,-0.43,-0.43,0.2,-1986600000,-127200000,190400000,-1955900000,2691400000,151700000,35.03,40.25,29.82,0.7279,0.2151,24.79,1.39,2.47,4,0.0578,0.6547,0.38,0.0947,2.25,-9.28,1.6129
2013-12-28,230300000,230300000,1,17219500000,8463700000,11344400000,5856400000,5819500000,55600000,0,464500000,3890800000,8827000000,3314400000,3282600000,13.63,13.4,0.22,934800000,5292100000,-1987000000,4229000000,4647300000,146800000,31.38,36.9,25.85,0.915,0.2314,25.27,2.42,17.43,3.8,0.0531,0.6686,0.338,0.0961,2.38,3.42,1.4452
2013-09-07,246800000,246800000,1,14407600000,5650000000,11178800000,5338100000,3199200000,29600000,0,373600000,4228400000,8622000000,65800000,65100000,0.27,0.27,0.2,331500000,-192200000,-169200000,-28300000,418300000,183100000,24.62,26.89,22.35,0.1406,0.0301,12.96,1.87,11.24,3.58,0.426,1.3217,0.222,0.0105,2.83,0.6,1.0584
2013-06-15,241300000,241300000,1,14554700000,5672300000,11351500000,5131400000,3174200000,29000000,0,373600000,4605600000,8696100000,8400000,7900000,0.03,0.03,0.175,533000000,-118700000,-261100000,151600000,446600000,80400000,25.34,28.42,22.26,0.1762,0.0363,13.15,2.04,9.49,3.38,0.3379,1.4509,0.2181,0.0123,2.92,1.88,1.1054
2013-03-23,241100000,241100000,1,14443300000,4207700000,11447500000,4306300000,2990500000,5300000,0,468900000,5301600000,9994000000,118900000,117700000,0.5,0.49,0.175,-555200000,-71600000,571100000,-57200000,295000000,136800000,21.5,25.92,17.08,0.2257,0.044,12.4,1.76,8.78,3.2,0.2657,1.7728,0.2071,0.0144,3.02,-2.87,0.9771
2012-12-29,239600000,239600000,1,14657000000,4167900000,11723600000,4605600000,2927900000,5500000,0,471500000,5243500000,13767500000,243900000,241400000,1.02,1.01,0.21,1211200000,-136100000,-925200000,149400000,352200000,109700000,17.18,19.36,15,0.214,0.0406,12.22,1.48,8.1,3.03,0.2738,1.7909,0.1998,0.0134,3.01,4.6,0.905
2012-09-08,239600000,239600000,1,14499600000,3808600000,11712800000,3583900000,2780000000,6800000,0,473000000,6357100000,10049100000,157000000,155900000,0.66,0.66,0.175,449300000,29000000,-528600000,-49700000,202800000,62100000,16.52,18.31,14.73,0.1906,0.0384,11.6,1.53,8.98,2.82,0.2793,2.2867,0.1917,0.0128,2.97,1.62,1.0627
2012-06-16,239500000,239500000,1,14870600000,4106600000,12278200000,4461700000,2586000000,6400000,0,468600000,6065100000,10386900000,122700000,121600000,0.51,0.51,0.145,451000000,-191900000,-140600000,118000000,252500000,195400000,19.87,22.21,17.53,0.1577,0.0366,10.8,1.73,11.42,2.64,0.3069,2.3454,0.1739,0.0122,2.97,1.07,0.9204
2012-03-24,240400000,240400000,1,14779500000,3860700000,12018600000,4411400000,2754700000,6200000,0,471700000,5843400000,10003000000,72900000,72200000,0.27,0.27,0.145,-541800000,-273000000,220600000,-594900000,134500000,259600000,21.68,23.16,20.2,0.1429,0.0383,11.46,1.58,14.08,2.5,0.3066,2.1212,0.1864,0.0128,2.98,-3.33,0.8752
2011-12-31,268000000,268000000,1,15073600000,4186800000,11384500000,5038300000,3683100000,6000000,0,469800000,4569700000,13597500000,215600000,212700000,0.66,0.68,0.17,1312700000,-270100000,-494100000,548900000,729400000,233500000,18.65,21.37,15.93,0.1153,0.0352,13.74,1.39,12.69,2.35,0.3497,1.2407,0.2443,0.0118,2.97,4.03,0.831
2011-09-10,339900000,339900000,1,14514800000,3761400000,9944400000,4336900000,4565600000,4800000,0,431000000,4206000000,10064300000,130200000,129300000,0.38,0.38,0.145,523300000,-339100000,-153700000,29600000,180500000,285400000,20.4,24.28,16.51,0.1109,0.0361,13.43,1.53,14.37,2.18,0.3497,0.9212,0.3145,0.0124,2.91,0.7,0.8673
2011-06-18,350000000,350000000,1,14551200000,3814700000,9872500000,3556700000,4674100000,4600000,0,432300000,4927700000,10196400000,145800000,145800000,0.42,0.41,0.12,247600000,-216900000,-296700000,-260600000,150900000,208700000,23.66,25.43,21.9,0.1078,0.0354,13.35,1.72,17.14,2.04,0.3454,1.0543,0.3212,0.0124,2.85,0.11,1.0725
2011-03-26,354100000,354100000,1,14618100000,3860400000,9737000000,3403800000,4876700000,4400000,0,432600000,4824900000,9772000000,25100000,25100000,0.07,0.07,0.12,-60000000,-188400000,-132800000,-367300000,411500000,179100000,21.69,22.94,20.44,0.1053,0.0348,13.77,1.6,13.9,1.92,0.341,0.9894,0.3336,0.0125,2.78,-0.68,1.1341
2011-01-01,368200000,368200000,1,15148100000,4233000000,10150400000,4314200000,4993300000,4400000,0,430900000,4300000000,12803800000,229700000,229700000,0.62,0.61,0.14,1003100000,-248200000,-628500000,145900000,778800000,241500000,21.95,24,19.89,0.1189,0.0393,13.56,1.68,None,1.8,0.2938,0.8612,0.3296,0.0144,2.73,2.07,0.9812
2010-09-11,372800000,372800000,1,14856000000,3985700000,9979500000,3726900000,4873300000,3200000,0,427800000,4750500000,9399600000,122800000,122800000,0.33,0.33,0.12,537500000,-157000000,-295200000,85700000,632900000,142200000,20.32,21.91,18.73,-0.2523,-0.0834,13.07,1.56,None,1.66,None,0.9748,0.328,None,2.74,1.06,1.0694
