"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,374103607,374103607,1,26354000000,8185000000,14411000000,3946000000,11943000000,0,0,12946000000,7974000000,3650000000,480000000,480000000,1.29,1.26,0.52,514000000,-247000000,-188000000,80000000,1754000000,165000000,190.28,205.72,174.84,0.314,0.1398,31.92,6.08,20.53,14.08,0.2137,0.6677,0.4532,0.2499,0.56,0.93,2.0743
2019-03-31,373810085,373810085,1,25937000000,7888000000,14244000000,3713000000,11693000000,0,0,12950000000,7950000000,3516000000,412000000,412000000,1.1,1.09,0.52,313000000,-303000000,-1947000000,-1942000000,1674000000,122000000,175.19,198.75,151.63,0.3296,0.1455,31.28,5.57,18.76,13.56,0.2101,0.6799,0.4508,0.2538,0.57,0.51,2.1244
2018-12-31,372664636,372664636,1,27229000000,9733000000,15499000000,4807000000,11730000000,0,0,12726000000,8486000000,3796000000,2068000000,2068000000,5.53,5.44,0.52,1046000000,-1628000000,2280000000,1698000000,3616000000,154000000,161.82,178.9,144.75,0.353,0.1528,31.48,6.14,49.94,13.04,0.2029,0.7234,0.4308,0.2612,0.58,2.39,2.0248
2018-09-30,374187286,374187286,1,22084000000,7918000000,12224000000,4153000000,9860000000,0,0,11097000000,5928000000,3242000000,590000000,590000000,1.58,1.55,0.47,618000000,-156000000,-179000000,277000000,1918000000,140000000,170.46,177.76,163.16,0.1284,0.0562,26.35,6.74,60.23,12.52,0.5691,0.6012,0.4465,0.0931,0.6,1.28,1.9066
2018-06-30,373990494,373990494,1,21570000000,7413000000,12110000000,4046000000,9460000000,0,0,11203000000,5925000000,3322000000,452000000,452000000,1.21,1.19,0.47,649000000,-224000000,-917000000,-538000000,1641000000,157000000,166.8,179.84,153.76,0.1106,0.0494,25.29,6.76,62.47,12.05,0.634,0.6263,0.4386,0.0828,0.6,1.32,1.8322
2018-03-31,373710934,373710934,1,22133000000,7851000000,12910000000,4800000000,9214000000,9000000,0,11412000000,5920000000,3241000000,443000000,443000000,1.18,1.16,0.47,297000000,-849000000,145000000,-363000000,2179000000,121000000,158.4,170,146.8,0.1028,0.0468,24.66,5.95,59.1,11.58,0.6536,0.6425,0.4163,0.08,0.58,0.47,1.6356
2017-12-31,374642060,374642060,1,22197000000,7993000000,12217000000,3485000000,9966000000,14000000,0,10645000000,6590000000,3471000000,-249000000,-249000000,-0.66,-0.66,0.47,679000000,-460000000,-272000000,-50000000,2542000000,186000000,151.15,160.62,141.68,0.1017,0.0477,26.6,5.43,32.3,11.11,0.6365,0.6612,0.449,0.082,0.58,1.32,2.2935
2017-09-30,374237631,374237631,1,21485000000,7710000000,11060000000,3258000000,10425000000,0,0,10496000000,6593000000,3006000000,434000000,434000000,1.16,1.14,0.42,79000000,-815000000,-345000000,-1057000000,2592000000,142000000,143.27,148.84,137.7,0.1792,0.085,27.86,5.34,31.98,10.64,0.354,0.6324,0.4852,0.1467,0.58,-0.17,2.3665
2017-06-30,374063294,374063294,1,21292000000,8478000000,11257000000,3552000000,10035000000,0,0,9853000000,6592000000,3012000000,391000000,391000000,1.04,1.03,0.42,650000000,-192000000,-40000000,436000000,3649000000,131000000,137.72,145.62,129.82,0.1761,0.0825,26.83,5.31,30.95,10.22,0.3617,0.6569,0.4713,0.1422,0.58,1.39,2.3868
2017-03-31,373765028,373765028,1,20517000000,7889000000,10813000000,2554000000,9704000000,0,0,9839000000,7184000000,2955000000,444000000,444000000,1.19,1.17,0.425,151000000,-146000000,-137000000,-103000000,3213000000,139000000,125.05,133.59,116.5,0.1793,0.0827,25.96,4.88,28.75,9.8,0.3552,0.7403,0.473,0.1433,0.58,0.03,3.0889
2016-12-31,372878298,372878298,1,20435000000,7861000000,10885000000,3148000000,9550000000,0,0,9864000000,6686000000,3157000000,510000000,510000000,1.35,1.34,0.42,648000000,-177000000,-42000000,363000000,3316000000,143000000,114.16,121.84,106.48,0.1791,0.0815,25.61,4.58,25.95,9.38,0.3541,0.7001,0.4673,0.1454,0.56,1.35,2.4971
2016-09-30,374451718,374451718,1,20187000000,7366000000,10855000000,3026000000,9332000000,0,0,10083000000,6713000000,2833000000,355000000,355000000,0.95,0.94,0.38,493000000,-102000000,-939000000,-537000000,2953000000,118000000,116.65,123.55,109.75,0.1856,0.0866,24.92,4.8,27.45,8.96,0.3426,0.7194,0.4623,0.1524,0.57,1,2.4342
2016-06-30,374302065,374302065,1,20520000000,7824000000,11422000000,3605000000,9098000000,0,0,10100000000,6717000000,2840000000,380000000,380000000,1.02,1,0.38,468000000,-3969000000,24000000,-3486000000,3490000000,114000000,113.05,119.83,106.26,0.1839,0.0887,24.31,4.8,26.41,8.58,0.3462,0.7383,0.4434,0.1533,0.58,0.95,2.1703
2016-03-31,373981097,373981097,1,19668000000,11325000000,10860000000,3186000000,8808000000,0,0,5945000000,6706000000,2495000000,402000000,402000000,1.08,1.07,0.38,203000000,57000000,3318000000,3597000000,6976000000,115000000,97.31,107.95,86.68,0.1885,0.0942,23.55,4.26,25.68,8.2,0.336,0.7614,0.4478,0.1607,0.59,0.24,3.5546
2015-12-31,372982213,372982213,1,16247000000,7944000000,7736000000,3503000000,8511000000,0,0,5930000000,3253000000,2715000000,522000000,522000000,1.39,1.39,0.38,671000000,-585000000,161000000,216000000,3379000000,79000000,95.41,100.51,90.3,0.1702,0.0878,22.82,4.22,31.08,7.82,0.3695,0.3822,0.5239,0.1447,0.61,1.59,2.2678
2015-09-30,375522232,375522232,1,15917000000,8033000000,7433000000,3553000000,8484000000,0,0,6021000000,2511000000,2420000000,301000000,301000000,0.8,0.79,0.345,-509000000,315000000,-251000000,-463000000,3163000000,77000000,98.53,105.34,91.73,0.1389,0.0702,22.59,4.36,40.38,7.44,0.4408,0.296,0.533,0.1195,0.59,-1.56,2.2609
2015-06-30,376558214,376558214,1,16819000000,8936000000,8314000000,3723000000,8505000000,0,0,6050000000,3242000000,2432000000,392000000,392000000,1.04,1.03,0.345,357000000,1900000000,-317000000,1952000000,3626000000,68000000,94.06,97.94,90.19,0.1096,0.0544,22.59,4.28,54.06,7.09,0.5409,0.3812,0.5057,0.095,0.57,0.77,2.4002
2015-03-31,378409144,378409144,1,16580000000,8727000000,8259000000,3695000000,8321000000,0,0,6059000000,3257000000,2379000000,224000000,224000000,0.59,0.58,0.345,380000000,326000000,-734000000,-121000000,1674000000,46000000,93,96.18,89.81,0.0775,0.0388,21.99,4.1,69.4,6.75,0.7327,0.3914,0.5019,0.0686,0.56,0.88,2.3618
2014-12-31,378749951,378749951,1,17713000000,9673000000,9118000000,4464000000,8595000000,0,0,6204000000,3246000000,2618000000,260000000,260000000,0.67,0.67,0.34,675000000,-88000000,-78000000,439000000,1795000000,61000000,88.06,98.24,77.87,0.0584,0.03,22.69,3.86,52.42,6.4,0.9228,0.3777,0.4852,0.0532,0.56,1.62,2.1669
2014-09-30,378320513,378320513,1,17515000000,9326000000,8891000000,4211000000,8624000000,0,0,6365000000,3231000000,2389000000,57000000,57000000,0.16,0.16,0.305,535000000,-424000000,-67000000,37000000,1356000000,48000000,82.41,85.91,78.91,0.0717,0.0385,22.8,3.47,46.04,6.06,0.7233,0.3747,0.4924,0.0673,0.57,1.29,2.2147
2014-06-30,378582992,378582992,1,17229000000,9381000000,8227000000,3713000000,9002000000,0,0,6191000000,3237000000,2363000000,128000000,128000000,0.34,0.33,0.305,366000000,-1015000000,588000000,-62000000,1319000000,54000000,81.36,86.93,75.78,0.0767,0.0429,23.78,3.4,40.28,5.76,0.6529,0.3596,0.5225,0.074,0.58,0.82,2.5265
