"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-29,618193875,618193875,1,15938000000,3186000000,10200000000,3766000000,5738000000,0,0,10700000000,3961000000,1189000000,34000000,34000000,0.06,0.06,0.08,547000000,-180000000,-880000000,-518000000,1791000000,28000000,21.19,24.05,18.32,0.0053,0.0019,9.28,2.29,None,6.72,6.2332,0.6903,0.36,0.0066,0.29,0.84,0.846
2018-12-28,639217123,639217123,1,16456000000,3724000000,10550000000,3643000000,5906000000,0,0,10673000000,4447000000,1211000000,65000000,65000000,0.1,0.1,0.075,377000000,-41000000,-172000000,162000000,2309000000,32000000,20.55,23.66,17.43,-0.0109,-0.0038,9.24,2.21,11.35,6.64,None,0.753,0.3589,None,0.29,0.54,1.0222
2018-09-28,638888439,638888439,1,16234000000,3418000000,10284000000,3411000000,5950000000,0,0,10761000000,4442000000,1175000000,-8000000,-8000000,-0.01,-0.01,0.075,240000000,-30000000,-59000000,146000000,2147000000,51000000,19.98,22.15,17.81,0.2224,0.0757,9.31,2.16,11.1,6.56,0.1593,0.7466,0.3665,0.2558,0.3,0.3,1.0021
2018-06-29,638888439,638888439,1,16248000000,3328000000,10330000000,2875000000,5918000000,0,0,10854000000,5032000000,1156000000,-60000000,-60000000,-0.1,-0.1,0.075,331000000,10000000,-98000000,227000000,2001000000,44000000,24.02,29.2,18.85,0.2493,0.0757,9.26,3.06,14.3,6.49,0.1587,0.8503,0.3642,0.2515,0.3,0.45,1.1576
2018-03-30,638800147,638800147,1,15759000000,3493000000,10736000000,3170000000,5023000000,0,0,10962000000,5026000000,1210000000,-59000000,-59000000,-0.09,-0.09,0.08,266000000,-57000000,-590000000,-368000000,1774000000,37000000,27.34,29.73,24.94,0.2693,0.0716,7.86,3.43,17.75,6.41,0.1671,1.0006,0.3187,0.2354,0.3,0.36,1.1019
2017-12-29,621538648,621538648,1,15980000000,3567000000,11022000000,3101000000,4958000000,0,0,11072000000,5587000000,1209000000,1342000000,1342000000,2.17,2.01,0.075,294000000,670000000,-684000000,306000000,2142000000,33000000,30.55,33.92,27.18,0.2743,0.0639,7.98,5.36,None,6.33,0.1781,1.1269,0.3103,0.2224,0.29,0.42,1.1503
2017-09-29,619982061,619982061,1,15996000000,3687000000,12461000000,3287000000,3535000000,0,0,11148000000,6079000000,1240000000,-12000000,-12000000,-0.02,-0.02,0.075,177000000,-580000000,-75000000,-470000000,1826000000,25000000,30.76,34.2,27.31,-0.0674,-0.0145,5.7,5.56,None,6.26,None,1.7197,0.221,None,0.27,0.25,1.1217
2017-06-30,612800923,612800923,1,15868000000,3173000000,12479000000,3121000000,3389000000,0,0,11530000000,6202000000,1175000000,-133000000,-133000000,-0.22,-0.22,0.075,213000000,-54000000,-2126000000,-1941000000,2306000000,47000000,30.46,33.22,27.71,-0.1019,-0.0221,5.53,5.32,None,6.18,None,1.83,0.2136,None,0.25,0.27,1.0167
2017-03-31,608240301,608240301,1,18174000000,5324000000,14687000000,4622000000,3487000000,0,0,11631000000,6876000000,1115000000,-143000000,-143000000,-0.23,-0.23,0.08,353000000,-2216000000,511000000,-1328000000,4247000000,13000000,27.42,30.83,24.01,-0.0281,-0.0067,5.73,4.3,8.31,6.11,None,1.9719,0.1919,None,0.25,0.56,1.1519
2016-12-30,618834453,618834453,1,16760000000,6511000000,12811000000,3605000000,3949000000,0,0,9094000000,6358000000,1041000000,46000000,46000000,0.07,0.07,0.075,144000000,-16000000,-112000000,-35000000,5575000000,18000000,24.47,25.45,23.49,0.546,0.1463,6.38,3.95,7.03,6.03,1.2874,1.61,0.2356,None,None,0.2,1.8061
