"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-30,513975346,513975346,1,18200799000,8455549000,15803842000,6500158000,2361897000,35060000,0,4812487000,8300000000,14658074000,440083000,440083000,0.86,0.85,0.39,447435000,-362847000,-429083000,-347210000,549776000,149598000,64.44,67.89,60.98,0.6563,0.087,4.6,15.27,23.1,17.87,0.4882,3.5141,0.1298,0.0265,3.28,0.58,1.3008
2018-12-29,513462661,513462661,1,18194176000,8437783000,15991183000,6750170000,2167636000,35357000,0,4775912000,8019846000,14765707000,267380000,267380000,0.52,0.51,0.39,646645000,-117441000,-579120000,-56385000,896986000,116441000,66.67,73.91,59.44,0.6115,0.0805,4.22,13.12,23.64,17.48,0.5158,3.6998,0.1191,0.0248,3.25,1.03,1.25
2018-09-29,519787613,519787613,1,18542082000,8642256000,15866621000,6640952000,2638574000,36887000,0,4881486000,7914344000,15215279000,431042000,431042000,0.83,0.81,0.36,271145000,-99571000,68388000,237527000,953371000,100483000,70.88,75.98,65.78,0.612,0.0814,5.08,14.71,26.25,17.09,0.5017,2.9995,0.1423,0.0252,3.23,0.33,1.3014
2018-06-30,519774992,519774992,1,18070404000,8003453000,15525798000,6588746000,2506957000,37649000,0,4935297000,7540765000,15315906000,448928000,448928000,0.86,0.84,0.36,1034445000,-354355000,-998470000,-331281000,715844000,309858000,63.5,68.87,58.12,0.6113,0.078,4.82,14.08,26.24,16.73,0.5134,3.0079,0.1387,0.0244,3.2,1.39,1.2147
2018-03-31,520988380,520988380,1,18629142000,8715871000,16242020000,6046199000,2351213000,35909000,0,5122254000,8835156000,14349504000,330085000,330085000,0.63,0.63,0.36,190983000,-156967000,-102071000,-66820000,1047125000,101003000,60.14,64.27,56.01,0.5574,0.0705,4.51,13.83,26.97,16.37,0.5607,3.7577,0.1262,0.0223,3.17,0.17,1.4415
2017-12-30,521918747,521918747,1,18219370000,8272168000,15917244000,5982970000,2268602000,33524000,0,5057355000,8312489000,14411490000,284113000,284113000,0.55,0.54,0.36,850429000,-267804000,-382823000,204742000,1113945000,120160000,57.55,62.79,52.3,0.5188,0.0661,4.35,13.41,26.28,16.01,0.5946,3.6641,0.1245,0.021,3.15,1.4,1.3826
2017-09-30,521056320,521056320,1,18418590000,8597002000,16100228000,6140282000,2235254000,83108000,0,5023321000,8426359000,14650424000,367640000,367640000,0.7,0.69,0.33,82775000,-134539000,72895000,39701000,909203000,134539000,51.66,54.47,48.85,0.5035,0.0662,4.29,11.45,24.84,15.65,0.591,3.7698,0.1214,0.0212,3.13,-0.1,1.4001
2017-07-01,527881766,527881766,1,17756655000,8033438000,15292300000,6095886000,2381516000,82839000,0,4953639000,7660877000,14421045000,305171000,305171000,0.58,0.56,0.33,1151650000,-279315000,-912746000,14318000,869502000,267978000,52.66,56.1,49.22,0.4477,0.0641,4.51,12.11,27.86,15.32,0.6115,3.2168,0.1341,0.0206,3.1,1.67,1.3178
2017-04-01,535197556,535197556,1,17920900000,8325561000,15510128000,5729810000,2330528000,80244000,0,4853852000,8026617000,13524172000,238278000,238278000,0.44,0.44,0.33,419853000,-120632000,-225160000,7841000,855133000,120632000,52.92,55.95,49.9,0.3725,0.0599,4.35,11.55,28.92,14.99,0.6615,3.4441,0.13,0.0193,3.11,0.56,1.453
2016-12-31,540212068,540212068,1,17630066000,8011206000,15075122000,5052286000,2476039000,78905000,0,4809282000,8313651000,13457268000,275167000,275167000,0.5,0.5,0.33,356248000,-136059000,-92144000,87394000,847292000,136059000,52.11,57.07,47.14,0.3188,0.0628,4.58,9.44,28.79,14.66,0.6732,3.3576,0.1404,0.0194,3.23,0.41,1.5857
2016-10-01,546931309,546931309,1,18024810000,8135470000,14927161000,5366550000,3020786000,76863000,0,5019562000,7843517000,13968654000,323887000,323887000,0.58,0.58,0.31,248674000,-3048455000,-389659000,-3159402000,759898000,137994000,51.34,53.97,48.7,0.2856,0.0673,5.52,8.19,31.3,14.33,0.6718,2.5965,0.1676,0.0199,3.38,0.2,1.516
2016-07-02,555133162,555133162,1,16721804000,10053899000,13166810000,4434456000,3479608000,75386000,0,2329122000,7336930000,13647891000,215667000,215667000,0.39,0.37,0.31,944161000,-218493000,2695012000,3308462000,3919300000,155575000,48.06,50.94,45.19,0.2275,0.0672,6.27,6.83,34.83,14.02,0.7278,2.1086,0.2081,0.0189,3.56,1.42,2.2672
