"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,117100000,117100000,1,2286000000,1302000000,1819000000,914000000,467000000,0,0,14000000,472000000,468000000,-10000000,-10000000,-0.09,-0.09,0,49000000,-16000000,-26000000,8000000,724000000,15000000,42.95,49.42,36.48,0.0516,0.012,3.99,10.18,171.8,0,0,1.0107,0.2043,0.0127,0.95,0.29,1.4245
2018-12-31,117300000,117300000,1,2360000000,1428000000,1865000000,1009000000,495000000,0,0,395000000,508000000,588000000,15000000,15000000,0.13,0.13,0,107000000,-66000000,-90000000,-52000000,716000000,66000000,36.28,38.51,34.06,0.0528,0.0133,4.22,7.65,None,0,0,1.0263,0.2097,0.0139,0.96,0.35,1.4153
2018-09-30,118200000,118200000,1,2136000000,1284000000,1576000000,725000000,560000000,0,0,413000000,506000000,526000000,18000000,18000000,0.15,0.15,0,-33000000,-35000000,-45000000,-115000000,768000000,34000000,40.32,43.41,37.23,-0.0966,-0.0255,4.74,8.4,None,0,None,0.9036,0.2622,None,0.95,-0.57,1.771
2018-06-30,119100000,119100000,1,2203000000,1383000000,1631000000,774000000,572000000,0,0,416000000,491000000,544000000,4000000,4000000,0.03,0.03,0,106000000,-34000000,-114000000,-57000000,883000000,32000000,40.45,44.27,36.62,-0.0983,-0.0272,4.8,7.62,None,0,None,0.8584,0.2596,None,0.93,0.62,1.7868
2018-03-31,121300000,121300000,1,2355000000,1530000000,1711000000,913000000,644000000,0,0,422000000,456000000,506000000,-7000000,-7000000,-0.06,-0.06,0,184000000,-28000000,-305000000,-149000000,940000000,26000000,38.23,42.84,33.63,-0.0992,-0.0301,5.31,6.98,None,0,None,0.7081,0.2735,None,0.91,1.3,1.6758
2017-12-31,122000000,122000000,1,2556000000,1750000000,1888000000,1063000000,668000000,0,0,399000000,478000000,626000000,-74000000,-74000000,-0.61,-0.61,0,23000000,-24000000,65000000,64000000,1089000000,19000000,35.66,39.2,32.11,-0.0834,-0.0277,5.48,6,72.78,0,None,0.7156,0.2613,None,0.89,0.03,1.6463
2017-09-30,121000000,121000000,1,2307000000,1508000000,1588000000,936000000,719000000,0,0,421000000,493000000,526000000,13000000,13000000,0.11,0.1,0,-8000000,-32000000,-20000000,-60000000,1025000000,29000000,31.09,33.79,28.38,0.0739,0.0273,5.94,4.49,40.91,0,0,0.6857,0.3117,0.0301,0.9,-0.31,1.6111
2017-06-30,126000000,126000000,1,2338000000,1548000000,1466000000,792000000,872000000,0,0,422000000,508000000,513000000,-4000000,-4000000,-0.03,-0.03,0,61000000,-34000000,-110000000,-79000000,1085000000,14000000,29.63,32,27.26,0.1083,0.0423,6.92,4.01,23.15,0,0,0.5826,0.373,0.0463,0.91,0.37,1.9545
2017-03-31,129300000,129300000,1,2483000000,1704000000,1529000000,835000000,954000000,0,0,402000000,523000000,491000000,-2000000,-2000000,-0.02,-0.02,0,248000000,-18000000,-44000000,190000000,1164000000,16000000,30.16,32.74,27.58,0.1817,0.0705,7.38,4.06,32.09,0,0,0.5482,0.3842,0.0745,0.95,1.79,2.0407
2016-12-31,130699999,130699999,1,2413000000,1621000000,1442000000,729000000,971000000,0,0,390000000,538000000,626000000,58000000,58000000,0.45,0.44,0,51000000,-30000000,-18000000,-14000000,974000000,21000000,28.52,30.63,26.42,0.1404,0.0522,7.43,3.98,203.71,0,0,0.5541,0.4024,0.0538,0.97,0.23,2.2236
2016-09-30,129900000,129900000,1,2314000000,1517000000,1382000000,688000000,932000000,0,0,409000000,545000000,552000000,49000000,49000000,0.38,0.37,0,45000000,47000000,-16000000,79000000,988000000,15000000,28.7,32.62,24.78,0.0209,0.0074,7.17,4.33,89.69,0,0,0.5848,0.4028,0.0075,1,0.23,2.2049
2016-06-30,130400000,130400000,1,2382000000,1595000000,1518000000,819000000,864000000,0,0,399000000,552000000,599000000,64000000,64000000,0.49,0.49,0,99000000,-23000000,-82000000,-8000000,909000000,4000000,26.73,29.05,24.4,0.0537,0.0188,6.63,4.37,None,0,0,0.6389,0.3627,0.019,0.99,0.73,1.9475
2016-03-31,130000000,130000000,1,2464000000,1677000000,1670000000,968000000,794000000,0,0,401000000,560000000,545000000,-46000000,-46000000,-0.36,-0.36,0,251000000,-29000000,-146000000,78000000,917000000,8000000,25.04,27.48,22.6,-0.2949,-0.1091,6.11,3.82,None,0,None,0.7053,0.3222,None,0.96,1.87,1.7324
2015-12-31,129400000,129400000,1,2530000000,1734000000,1681000000,953000000,849000000,0,0,380000000,570000000,719000000,-49000000,-49000000,-0.36,-0.36,0,31000000,-18000000,-44000000,-35000000,839000000,9000000,28.1,30.63,25.58,-0.1913,-0.078,6.56,3.75,None,0,None,0.6714,0.3356,None,0.92,0.17,1.8195
2015-09-30,133000000,133000000,1,2609000000,1514000000,1613000000,838000000,996000000,0,0,701000000,577000000,606000000,78000000,78000000,0.56,0.55,0,68000000,11000000,-119000000,-47000000,874000000,14000000,32.41,37.11,27.7,-0.0353,-0.0162,7.49,3.87,None,0,None,0.5793,0.3818,None,0.89,0.41,1.8067
2015-06-30,141600000,141600000,1,2735000000,1577000000,1549000000,757000000,1186000000,0,0,703000000,585000000,623000000,-265000000,-265000000,-1.87,-1.87,0,80000000,-13000000,-31000000,40000000,921000000,12000000,41.42,45.89,36.95,-0.0201,-0.0103,8.38,4.07,19.54,0,None,0.4933,0.4336,None,0.88,0.48,2.0832
2015-03-31,142000000,142000000,1,3103000000,1591000000,1659000000,850000000,1444000000,0,0,1046000000,593000000,582000000,22000000,22000000,0.15,0.15,0,222000000,-32000000,-130000000,47000000,881000000,17000000,44.3,46.98,41.63,0.1926,0.1065,10.17,3.79,18.93,0,0,0.4107,0.4654,0.1229,0.87,1.44,1.8718
2014-12-31,146000000,146000000,1,3132000000,1572000000,1425000000,995000000,1707000000,0,0,948000000,195000000,761000000,118000000,118000000,0.78,0.77,0,97000000,-55000000,-47000000,-14000000,834000000,17000000,42.55,45.22,39.87,0.2022,0.1178,11.69,3.53,18.91,0,0,0.1142,0.545,0.1343,0.88,0.55,1.5799
2014-09-30,153000000,153000000,1,3018000000,1506000000,1176000000,771000000,1842000000,0,0,1088000000,210000000,667000000,94000000,94000000,0.61,0.6,0,102000000,-78000000,-99000000,-86000000,848000000,16000000,42.92,45.84,39.99,0.1949,0.1162,12.04,3.57,19.16,0,0,0.114,0.6103,0.1318,0.88,0.56,1.9533
2014-06-30,155000000,155000000,1,3136000000,1637000000,1274000000,846000000,1862000000,0,0,1076000000,225000000,676000000,96000000,96000000,0.61,0.6,0,138000000,-28000000,-98000000,12000000,934000000,9000000,44.36,49.18,39.54,0.195,0.1165,12.01,3.78,19.37,0,0,0.1208,0.5938,0.1333,0.87,0.83,1.935
2014-03-31,157700000,157700000,1,3178000000,1659000000,1329000000,882000000,1849000000,0,0,1084000000,240000000,628000000,59000000,59000000,0.37,0.37,0,343000000,-37000000,-82000000,227000000,922000000,12000000,44.59,49.19,40,0.2034,0.1213,11.72,3.82,19.64,0,0,0.1298,0.5818,0.1379,0.88,2.1,1.881
2013-12-31,159200000,159200000,1,3096000000,1563000000,1239000000,776000000,1857000000,0,0,946000000,248000000,769000000,112000000,112000000,0.69,0.68,0,63000000,-35000000,-194000000,-167000000,695000000,16000000,47.45,55.37,39.52,0.2061,0.1229,11.66,4.04,21.09,0,0,0.1335,0.5998,0.14,0.88,0.3,2.0142
2013-09-30,163400000,163400000,1,3118000000,1560000000,1200000000,722000000,1918000000,0,0,945000000,255000000,666000000,98000000,98000000,0.6,0.59,0,64000000,-35000000,5000000,36000000,862000000,13000000,57.39,64.77,50.02,0.2083,0.1232,11.74,5.23,25.39,0,0,0.133,0.6151,0.1416,0.87,0.31,2.1607
2013-06-30,163100000,163100000,1,3042000000,1493000000,1252000000,774000000,1790000000,0,0,934000000,263000000,670000000,108000000,108000000,0.66,0.65,0,140000000,-77000000,-86000000,-27000000,826000000,21000000,53.29,58.24,48.34,0.2128,0.1258,10.97,4.97,23.58,0,0,0.1469,0.5884,0.1449,0.87,0.73,1.9289
2013-03-31,163400000,163400000,1,3017000000,1509000000,1264000000,783000000,1753000000,0,0,921000000,271000000,587000000,59000000,59000000,0.36,0.35,0,243000000,-27000000,-87000000,124000000,853000000,10000000,62.81,69.34,56.28,0.2167,0.1285,10.73,5.85,25.74,0,0,0.1546,0.581,0.1466,0.88,1.43,1.9272
2012-12-31,165800000,165800000,1,3066000000,1534000000,1287000000,806000000,1779000000,0,0,932000000,274000000,740000000,112000000,112000000,0.67,0.66,0,124000000,-74000000,-230000000,-180000000,729000000,18000000,67,76.06,57.94,0.2383,0.1415,10.73,6.03,28.63,0,0,0.154,0.5802,0.1572,0.9,0.64,1.9032
2012-09-30,169100000,169100000,1,3051000000,1553000000,1173000000,694000000,1878000000,0,0,933000000,278000000,647000000,104000000,104000000,0.62,0.6,0,107000000,-41000000,15000000,88000000,909000000,18000000,71.7,80.62,62.79,0.2401,0.1422,11.11,6.97,31.87,0,0,0.148,0.6155,0.1559,0.91,0.53,2.2378
2012-06-30,168600000,168600000,1,2915000000,1440000000,1180000000,719000000,1735000000,0,0,925000000,282000000,665000000,112000000,112000000,0.66,0.65,0,152000000,-277000000,-22000000,-157000000,821000000,19000000,70.89,77.14,64.64,0.2475,0.1433,10.29,7.29,32.22,0,0,0.1625,0.5952,0.152,0.94,0.79,2.0028
2012-03-31,168700000,168700000,1,2812000000,1614000000,1172000000,745000000,1640000000,0,0,743000000,286000000,613000000,91000000,91000000,0.54,0.53,0,192000000,-30000000,41000000,206000000,978000000,12000000,58.38,69.38,47.37,0.2569,0.1461,9.72,6.54,28.48,0,0,0.1744,0.5832,0.1535,0.95,1.07,2.1664
2011-12-31,167400000,167400000,1,2616000000,1412000000,1122000000,695000000,1494000000,0,0,742000000,290000000,673000000,98000000,98000000,0.58,0.56,0,126000000,-23000000,-22000000,81000000,772000000,11000000,54.94,62.18,47.7,0.2551,0.1423,8.92,6.56,27.61,0,0,0.1941,0.5711,0.1494,0.95,0.69,2.0317
