"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2015-03-31,79963091,79963091,1,11169000000,1259300000,7806400000,1248800000,3362600000,0,51100000,687700000,2956300000,1163200000,130300000,129500000,1.61,1.6,0.68,524200000,-197500000,-258300000,68400000,86400000,208800000,77.03,83.72,70.34,0.0775,0.0227,41.41,1.9,22.46,46.89,0.8563,0.8927,0.2965,0.053,0.42,3.94,1.0084
2014-12-31,79963091,79963091,1,11282000000,1410700000,7982300000,1436100000,3299700000,0,51100000,688600000,2956300000,1012300000,34800000,34000000,0.42,0.43,0.68,-16500000,52200000,-33800000,1900000,18000000,1113000000,72.75,80.88,64.63,0.0845,0.0244,40.63,1.77,15.78,46.21,0.7855,0.91,0.2879,0.0422,0.57,-14.13,0.9823
2014-09-30,79963091,79963091,1,11384900000,1757000000,8041000000,1629300000,3343900000,0,51100000,707100000,2956300000,1187900000,84000000,83300000,1.04,1.02,0.68,25300000,41100000,-95300000,-28900000,16100000,242300000,67.34,71.1,63.59,0.1142,0.033,41.18,1.65,16.59,45.53,0.5808,0.8978,0.2892,0.0516,0.63,-2.71,1.0784
2014-06-30,79963091,79963091,1,11374400000,2038400000,8066000000,1672300000,3308300000,100000,51100000,708500000,2956200000,1432600000,8000000,7200000,0.09,0.09,0.68,322900000,-266500000,-68000000,-11600000,45000000,189000000,63.91,71.35,56.46,0.1019,0.0293,40.73,1.55,16.39,44.85,0.6602,0.9076,0.2864,0.0457,0.63,1.67,1.2189
2014-03-31,79963091,79963091,1,11802200000,2717100000,8447300000,2142900000,3354000000,900000,51100000,719800000,2956200000,2924900000,153100000,152400000,1.9,1.89,0.68,269700000,-163300000,-72100000,34300000,56600000,159600000,55.95,59.83,52.08,0.0992,0.0286,41.31,1.37,12.77,44.17,0.6856,0.895,0.2799,0.046,0.62,1.38,1.268
2013-12-31,79963091,79963091,1,11243500000,1972200000,7930100000,1622100000,3312400000,1000000,51100000,720700000,2956200000,1710700000,132400000,131600000,1.65,1.61,0.68,42700000,-202900000,156400000,-3800000,22300000,1259900000,56.22,59.74,52.7,0.1117,0.0325,40.79,1.44,15.53,43.49,0.6156,0.9064,0.2901,0.0624,0.52,-15.22,1.2158
2013-09-30,79807435,79807435,1,10921300000,1521700000,7760900000,1632600000,3159300000,1100000,51100000,717200000,2506200000,1129700000,38800000,38100000,0.48,0.47,0.68,63900000,-177000000,119000000,5900000,26100000,173100000,58.69,63.58,53.8,0.0937,0.0272,38.95,1.51,14.75,42.81,0.7478,0.8063,0.2846,0.0563,0.48,-1.37,0.9321
2013-06-30,79589528,79589528,1,10777000000,1488700000,7622300000,2128100000,3153600000,1100000,51100000,717300000,1886200000,1116000000,-4700000,-5400000,-0.07,-0.07,0.68,129300000,-171200000,-9900000,-51800000,20200000,151100000,59.07,62.75,55.39,0.1039,0.0306,38.98,1.5,12.65,42.13,0.6792,0.608,0.2879,0.0643,0.47,-0.27,0.6995
2013-03-31,79128089,79128089,1,10764400000,1600700000,7591400000,2106700000,3173100000,-100000,51100000,713800000,1931700000,1678200000,188300000,187500000,2.38,2.37,0.68,319000000,-471600000,197200000,44600000,72000000,145900000,55.41,58.27,52.55,0.1233,0.0367,39.46,1.46,15.61,41.45,0.5773,0.6187,0.29,0.0798,0.46,2.19,0.7598
2012-12-31,78400088,78400088,1,10327400000,1659100000,7301700000,1813300000,3025800000,-100000,51100000,687000000,1931700000,1191600000,68700000,68000000,0.86,0.85,0.68,22800000,-153700000,140200000,9300000,27400000,146100000,53.48,55.83,51.14,0.0952,0.0286,37.94,1.41,16.82,40.77,0.757,0.6494,0.288,0.0668,0.42,-1.57,0.915
