"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-28,335935258,335935258,1,19748000000,5422000000,9126000000,3694000000,10622000000,0,0,7464000000,0,3389000000,757000000,757000000,2.25,2.23,0.46,691000000,-454000000,-257000000,-19000000,546000000,166000000,89.41,96.78,82.03,0.3007,0.1595,31.62,3.01,11.07,12.5,0.1924,0,0.5379,0.2383,0.67,1.56,1.4678
2019-03-29,336866119,336866119,1,19262000000,5446000000,9268000000,3867000000,9994000000,0,0,7222000000,0,3412000000,439000000,439000000,1.3,1.29,0.44,556000000,-165000000,-333000000,60000000,565000000,178000000,78.34,84.43,72.24,0.2791,0.1454,29.67,2.59,9.59,12.04,0.2126,0,0.5188,0.2093,0.69,1.12,1.4083
2018-12-28,338854434,338854434,1,19188000000,5378000000,8952000000,3471000000,10236000000,0,0,7296000000,0,3347000000,276000000,276000000,0.81,0.8,0.44,297000000,80000000,-719000000,-343000000,505000000,210000000,78.81,87.78,69.84,0.2878,0.1481,30.21,2.5,10.86,11.6,0.206,0,0.5335,0.2079,0.71,0.26,1.5494
2018-09-28,343034000,343034000,1,20386000000,6199000000,9555000000,4410000000,10831000000,0,0,7388000000,3037000000,2999000000,1661000000,1661000000,4.77,4.7,0.44,924000000,-419000000,-420000000,78000000,848000000,245000000,91.58,95.79,87.37,0.2602,0.1325,31.57,3.36,24.29,11.16,0.228,0.2804,0.5313,0.1834,0.72,1.98,1.4057
2018-06-29,348458740,348458740,1,19013000000,5941000000,9521000000,4046000000,9492000000,0,0,7314000000,3294000000,3764000000,454000000,454000000,1.3,1.29,0.44,800000000,-233000000,-338000000,211000000,770000000,227000000,95.68,102.65,88.71,0.1395,0.07,27.24,3.53,25.86,10.72,0.4294,0.347,0.4992,0.0926,0.76,1.64,1.4684
2018-03-30,350139019,350139019,1,19247000000,5960000000,9767000000,4164000000,9480000000,0,0,7516000000,3335000000,3745000000,490000000,490000000,1.4,1.38,0.4,377000000,-201000000,-330000000,-145000000,559000000,199000000,100.36,108.23,92.48,0.1388,0.0694,27.07,3.66,29.09,10.28,0.4265,0.3518,0.4925,0.0939,0.74,0.51,1.4313
2017-12-29,351206368,351206368,1,18811000000,5733000000,9180000000,3635000000,9631000000,0,0,7478000000,3317000000,3480000000,-40000000,-40000000,-0.11,-0.11,0.4,350000000,-241000000,-634000000,-514000000,704000000,241000000,90.07,97.17,82.97,0.1324,0.066,27.42,3.25,19.16,9.88,0.4488,0.3444,0.512,0.0912,0.72,0.31,1.5772
2017-09-29,351637204,351637204,1,19403000000,5926000000,9652000000,3847000000,9751000000,0,0,7492000000,3634000000,3456000000,434000000,434000000,1.22,1.21,0.4,873000000,-394000000,-23000000,463000000,1218000000,243000000,80.41,83.22,77.61,0.1845,0.0915,27.73,3.11,17.07,9.48,0.3237,0.3727,0.5026,0.1283,0.71,1.79,1.5404
2017-06-30,353384098,353384098,1,18520000000,5354000000,9379000000,3872000000,9141000000,0,0,7306000000,3113000000,3367000000,435000000,435000000,1.23,1.22,0.4,523000000,-241000000,-299000000,-18000000,755000000,159000000,75.98,80.03,71.93,0.1915,0.0939,25.87,3.08,13.08,9.08,0.3177,0.3406,0.4936,0.1298,0.72,1.03,1.3827
2017-03-31,355027307,355027307,1,18056000000,5146000000,9303000000,3935000000,8753000000,0,0,7150000000,3073000000,3227000000,405000000,405000000,1.14,1.13,0.37,521000000,-143000000,-283000000,108000000,773000000,155000000,71.92,76.53,67.31,0.2434,0.1181,24.65,2.89,12.6,8.68,0.2516,0.3511,0.4848,0.164,0.72,1.03,1.3078
