"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-05-04,512334476,512334476,1,40619000000,11607000000,29502000000,13239000000,11117000000,0,0,0,11357000000,17627000000,795000000,795000000,1.54,1.53,0.64,323000000,-649000000,-57000000,-383000000,1173000000,650000000,76.36,83.65,69.07,0.2699,0.0729,21.7,3.49,13.86,22.18,0.441,1.0216,0.2737,0.0396,1.84,-0.64,0.8767
2019-02-02,516333213,516333213,1,41290000000,12519000000,29993000000,15014000000,11297000000,0,0,699000000,10223000000,23209000000,798000000,798000000,1.53,1.52,0.64,2349000000,-597000000,-1021000000,731000000,1556000000,597000000,74.04,87.93,60.15,0.2628,0.0717,21.88,3.49,12.36,21.54,0.4535,0.9049,0.2736,0.039,1.84,3.39,0.8338
2018-11-03,521833603,521833603,1,43572000000,14639000000,32492000000,17590000000,11080000000,0,0,0,10104000000,17590000000,622000000,622000000,1.18,1.17,0.64,900000000,-981000000,-274000000,-355000000,825000000,993000000,84.88,90.39,79.37,0.2873,0.0802,21.23,4,14.89,20.9,0.4122,0.9119,0.2543,0.0433,1.86,-0.18,0.8322
2018-08-04,526350987,526350987,1,39996000000,11503000000,28829000000,14038000000,11167000000,0,0,0,10108000000,17776000000,799000000,799000000,1.5,1.49,0.64,2210000000,-1020000000,-1070000000,120000000,1180000000,1018000000,75.14,81.95,68.33,0.2743,0.0781,21.22,3.59,13.84,20.26,0.432,0.9052,0.2792,0.0419,1.87,2.26,0.8194
2018-05-05,533134856,533134856,1,38929000000,10876000000,27771000000,12044000000,11158000000,0,0,0,11107000000,16781000000,718000000,718000000,1.34,1.33,0.62,514000000,-818000000,-1279000000,-1583000000,1060000000,823000000,72.94,78.43,67.44,0.2635,0.0762,20.93,3.36,13.68,19.62,0.4511,0.9954,0.2866,0.0409,1.86,-0.58,0.903
2018-02-03,538796010,538796010,1,38999000000,12564000000,27290000000,13201000000,11709000000,0,0,782000000,11317000000,22766000000,1101000000,1101000000,2.04,2,0.62,2434000000,-991000000,-1525000000,-82000000,2643000000,480000000,66.37,78.7,54.04,0.261,0.0761,21.73,3.24,13.91,19,0.457,0.9665,0.3002,0.0408,1.86,3.63,0.9517
2017-10-28,543572649,543572649,1,40708000000,14709000000,29571000000,15376000000,11137000000,0,0,0,11277000000,16667000000,480000000,480000000,0.88,0.88,0.62,1566000000,-823000000,-309000000,434000000,2725000000,841000000,58.76,63.62,53.9,0.2398,0.0694,20.49,2.89,11.87,18.38,0.505,1.0126,0.2736,0.038,1.83,1.33,0.9566
2017-07-29,546231798,546231798,1,37366000000,11620000000,26268000000,12729000000,11098000000,0,0,0,10892000000,16429000000,672000000,672000000,1.22,1.22,0.62,1620000000,-779000000,-1230000000,-389000000,2291000000,708000000,53.61,58.65,48.56,0.2517,0.0738,20.32,2.68,10.96,17.76,0.4818,0.9814,0.297,0.0399,1.85,1.67,0.9129
2017-04-29,551708283,551708283,1,37218000000,11739000000,26197000000,12392000000,11021000000,0,0,0,11086000000,16017000000,681000000,681000000,1.23,1.23,0.6,1303000000,-482000000,-653000000,168000000,2680000000,473000000,59.9,67.08,52.72,0.2498,0.074,19.98,3.02,12.72,17.14,0.4826,1.0059,0.2961,0.0402,1.84,1.5,0.9473
2017-01-28,552675341,552675341,1,37431000000,11990000000,26478000000,12708000000,10953000000,0,0,259000000,11031000000,20689000000,817000000,817000000,1.45,1.44,0.6,2555000000,-335000000,-939000000,1281000000,2512000000,340000000,71.16,78.61,63.7,0.2373,0.0714,19.82,3.61,12.73,16.54,0.4909,1.0071,0.2926,0.0394,1.81,4.01,0.9435
2016-10-29,561695464,561695464,1,38603000000,12842000000,27534000000,12642000000,11069000000,0,0,0,12097000000,16441000000,608000000,608000000,1.07,1.06,0.6,1393000000,-469000000,-1173000000,-249000000,1231000000,491000000,71.72,76.44,67.01,0.278,0.0858,19.71,3.56,13.28,15.94,0.4028,1.0929,0.2867,0.0475,1.81,1.61,1.0158
2016-07-30,574864718,574864718,1,37288000000,11503000000,25711000000,11003000000,11577000000,0,0,0,12063000000,16169000000,680000000,680000000,1.17,1.16,0.6,1241000000,-390000000,-3407000000,-2556000000,1480000000,388000000,73,80.51,65.5,0.2612,0.0826,20.14,3.43,13.47,15.34,0.4125,1.042,0.3105,0.0459,1.8,1.48,1.0454
2016-04-30,589274533,589274533,1,39908000000,13948000000,27363000000,12019000000,12545000000,0,0,0,12596000000,16196000000,632000000,632000000,1.06,1.05,0.56,247000000,-279000000,22000000,-10000000,4036000000,282000000,75.78,84.14,67.43,0.255,0.0828,21.29,3.51,14.16,14.74,0.4056,1.0041,0.3143,0.0461,1.8,-0.06,1.1605
2016-01-30,599982121,599982121,1,40262000000,14130000000,27305000000,12622000000,12957000000,0,0,278000000,11945000000,21626000000,1426000000,1426000000,2.33,2.32,0.56,2084000000,1577000000,-1592000000,2069000000,4046000000,302000000,72.91,78.23,67.59,0.2476,0.0826,21.6,3.39,None,14.18,0.4059,0.9219,0.3218,0.0456,1.81,2.97,1.1195
2015-10-31,616051610,616051610,1,41696000000,15204000000,28440000000,13858000000,13256000000,0,0,0,11951000000,17613000000,549000000,549000000,0.89,0.87,0.56,971000000,-437000000,-1299000000,-765000000,1977000000,411000000,78.27,84.62,71.91,-0.0508,-0.0172,21.52,3.53,None,13.62,None,0.9016,0.3179,None,1.77,0.91,1.0971
