"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,103131661,103131661,1,23158000000,4582000000,21045000000,3725000000,-134000000,2247000000,0,8281000000,14972000000,4545000000,-19000000,-19000000,-0.18,-0.18,0,10000000,-139000000,-30000000,-159000000,252000000,194000000,23.8,30.84,16.77,None,-0.0029,-1.3,None,22.04,0,None,None,None,None,0.81,-1.78,1.2301
2018-12-31,102667337,102667337,1,22409000000,4636000000,20302000000,3857000000,-119000000,2226000000,0,8334000000,14644000000,4619000000,-144963000,-144963000,-0.04,-0.04,0,250000000,-235000000,-104000000,-89000000,411000000,203000000,23.01,29.41,16.61,None,0.0064,-1.16,None,None,0,None,None,None,None,0.81,0.46,1.202
2018-09-30,102498300,102498300,1,22265000000,4492000000,20163000000,4224000000,-108000000,2210000000,0,8403000000,14850000000,4489000000,-9000000,-9000000,-0.09,-0.09,0,338000000,-105000000,-136000000,97000000,500000000,134000000,33.48,39.74,27.21,None,0.0084,-1.05,None,None,0,None,None,None,None,0.82,1.99,1.0634
2018-06-30,102397428,102397428,1,22343000000,4705000000,20338000000,4354000000,-154000000,2159000000,0,9011000000,14204000000,4506000000,108000000,26000000,0.25,0.25,0,348000000,-148000000,-771000000,-571000000,403000000,129000000,30.73,38.81,22.66,None,-0.0039,-1.5,None,None,0,None,None,None,None,0.81,2.14,1.0806
2018-03-31,102050769,102050769,1,23184000000,5634000000,20626000000,4561000000,-65000000,2623000000,0,8828000000,14223000000,4699000000,191000000,99000000,0.98,0.96,0,113000000,373000000,-123000000,363000000,974000000,136000000,19.87,25.24,14.5,None,-0.007,-0.64,None,None,0,None,None,None,None,0.81,-0.23,1.2353
2017-12-31,101107955,101107955,1,23385000000,5573000000,20980000000,4332000000,-147000000,2552000000,0,8784000000,14791000000,4978000000,-99000000,-229000000,-2.27,-2.27,0,491000000,-206000000,-103000000,182000000,611000000,-492328000,14.59,16.92,12.25,None,-0.0134,-1.45,60.79,None,0,None,None,None,None,0.8,9.73,1.2865
2017-09-30,100936869,100936869,1,23208000000,5309000000,20697000000,4139000000,24000000,2487000000,0,8786000000,14741000000,4586000000,-289000000,-367000000,-3.64,-3.64,0,308000000,535000000,-889000000,-46000000,429000000,148000000,16.87,21.19,12.54,None,-0.0082,0.24,4.56,None,0,None,614.2083,0.001,None,0.79,1.59,1.2827
2017-06-30,100820539,100820539,1,24341000000,5382000000,21505000000,4337000000,373000000,2463000000,0,8963000000,15012000000,4802000000,32000000,-55000000,-0.55,-0.55,0,215000000,-119000000,-193000000,-97000000,475000000,150000000,17.33,20,14.66,-0.4462,0.007,3.7,4.05,None,0,None,40.2466,0.0153,None,0.79,0.64,1.2409
2017-03-31,100530372,100530372,1,24510000000,5052000000,20986000000,3767000000,430000000,3094000000,0,9292000000,15071000000,4813000000,36000000,-53000000,-0.53,-0.53,0,186000000,-189000000,-141000000,-144000000,572000000,210000000,18.73,22.72,14.73,-0.392,0.0073,4.28,4.48,None,0,None,35.0488,0.0175,None,0.79,-0.24,1.3411
2016-12-31,99813435,99813435,1,24701000000,5257000000,21226000000,4034000000,417000000,3058000000,0,9270000000,15064000000,4860000000,23000000,-79000000,-0.79,-0.79,0,-293000000,-280000000,640000000,67000000,716000000,277000000,19.09,24.13,14.06,-0.3669,0.0072,4.18,3.6,None,0,None,36.1247,0.0169,None,0.81,-5.71,1.3032
