"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2012-09-30,175061774,175061774,1,1713100000,1086400000,464000000,180500000,1232400000,16700000,0,0,104800000,257700000,-39100000,-37200000,-0.21,-0.21,0.08,9600000,-7600000,-2200000,-1000000,10700000,26200000,12.36,13.93,10.79,0.0407,0.0287,7.04,1.78,19.94,0.89,1.0704,0.085,0.7194,0.0464,0.64,-0.09,6.0188
2012-06-30,175061774,175061774,1,1681700000,1066500000,448500000,171300000,1217800000,15400000,0,0,93900000,281800000,32900000,32900000,0.17,0.17,0.07,-44300000,-32200000,48300000,-27700000,11700000,18000000,12.73,15.05,10.42,0.0916,0.0686,6.96,1.81,20.21,0.81,0.4687,0.0771,0.7241,0.1038,0.66,-0.36,6.2259
2012-03-31,175179774,175179774,1,1672100000,1021100000,424100000,191500000,1232900000,15100000,0,0,31000000,276700000,25600000,25600000,0.15,0.15,0.075,-33500000,8500000,15900000,-7900000,39400000,9700000,14.92,16.53,13.3,0.0896,0.0687,7.04,2.15,23.31,0.74,0.4845,0.0251,0.7373,0.1035,0.66,-0.25,5.3321
2011-12-31,175179774,175179774,1,1622000000,959500000,390600000,182600000,1218300000,13100000,0,0,0,258700000,28600000,28600000,0.16,0.16,0.08,-27800000,4800000,-19000000,-41600000,47300000,21900000,15.73,17.95,13.52,0.0918,0.0718,6.95,2.24,25.79,0.66,0.3552,0,0.7511,0.1091,0.66,-0.28,5.2547
2011-09-30,175179774,175179774,1,1563900000,928000000,320700000,166200000,1228500000,14700000,0,0,0,262500000,25000000,25000000,0.14,0.14,0.075,11500000,36000000,-48900000,-4700000,88900000,14900000,16.23,19.19,13.28,0.0878,0.0698,7.01,2.29,27.51,0.58,0.2434,0,0.7855,0.1084,0.64,-0.02,5.5836
2011-06-30,177864873,177864873,1,1589200000,976100000,311100000,153100000,1263100000,15000000,0,0,0,272000000,31500000,31500000,0.18,0.18,0.075,-19500000,88000000,-58200000,10500000,93600000,9700000,18.21,20.39,16.03,0.0861,0.0686,7.1,2.62,35.02,0.51,0.1267,0,0.7948,0.1106,0.62,-0.16,6.3756
2011-03-31,180174253,180174253,1,1579200000,1016000000,306200000,152400000,1255500000,17500000,700000,0,0,252000000,28900000,28900000,0.16,0.16,0,-6200000,-196600000,0,-200300000,83100000,7600000,18.6,20.69,16.51,0.0781,0.0625,6.96,2.77,41.33,0.44,0,0,0.7946,0.1041,0.6,-0.08,6.6667
2010-12-31,180174253,180174253,1,1498000000,940700000,272300000,122800000,1209900000,15800000,700000,0,0,217400000,23300000,23400000,0.13,0.13,0,15200000,47200000,0,61500000,283400000,12200000,18.85,21.1,16.6,0.0699,0.056,6.71,2.91,55.44,0.44,0,0,0.8072,0.094,0.59,0.02,7.6604
2010-09-30,180174253,180174253,1,1465100000,901000000,283100000,115000000,1166500000,15500000,700000,0,0,210300000,21500000,21500000,0.12,0.12,0,26100000,6300000,-100000,35800000,221900000,5700000,19.9,22.93,16.87,0.0554,0.045,6.47,3.2,86.52,0.44,0,0,0.7957,0.0758,0.58,0.11,7.8348
2010-06-30,180174253,180174253,1,1398300000,844600000,262300000,100000000,1122100000,13900000,700000,0,0,212000000,19100000,19000000,0.11,0.11,0,28300000,-46400000,-4800000,-25400000,186100000,3200000,17.55,21.29,13.8,0.0376,0.031,6.22,2.83,103.24,0.44,0,0,0.802,0.0529,0.57,0.14,8.446
