"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2011-10-01,109635169,109635169,1,5967000000,1195000000,4910000000,543000000,965000000,92000000,0,394000000,657000000,974000000,6000000,6000000,0.05,0.05,0.13,120000000,-49000000,-63000000,4000000,47000000,33000000,25.3,31.58,19.03,0.0725,0.0116,8.8,2.85,14.88,22.34,0.7878,0.6808,0.1617,0.0175,0.66,0.79,2.2007
2011-07-02,108649374,108649374,1,6007000000,1208000000,4951000000,516000000,965000000,91000000,0,394000000,733000000,1016000000,19000000,19000000,0.18,0.17,0.13,121000000,-56000000,-46000000,19000000,43000000,67000000,25.68,30.38,20.98,0.1994,0.0317,8.88,2.94,15.02,22.21,0.2764,0.7596,0.1606,0.0478,0.66,0.5,2.3411
2011-04-02,108313386,108313386,1,5942000000,1157000000,4904000000,475000000,947000000,91000000,0,394000000,761000000,995000000,16000000,16000000,0.15,0.15,0.13,35000000,-75000000,35000000,-4000000,24000000,62000000,23.48,26.21,20.75,0.2091,0.0322,8.74,2.73,15.45,22.08,0.2629,0.8036,0.1594,0.0486,0.66,-0.25,2.4358
2011-01-01,108192461,108192461,1,5909000000,1136000000,4888000000,508000000,929000000,92000000,0,394000000,718000000,952000000,28000000,28000000,0.25,0.25,0.11,57000000,-80000000,-1000000,-24000000,28000000,88000000,20.48,22.94,18.02,0.1943,0.0289,8.59,2.37,12.72,21.95,0.2824,0.7729,0.1572,0.0442,0.65,-0.29,2.2362
2010-10-02,107812520,107812520,1,5879000000,1140000000,4857000000,503000000,930000000,92000000,0,394000000,709000000,966000000,125000000,125000000,1.15,1.13,0.11,109000000,-57000000,-48000000,4000000,52000000,59000000,19.23,22.98,15.48,0.2142,0.0308,8.63,2.56,17.64,21.84,0.2601,0.7624,0.1582,0.0482,0.64,0.46,2.2664
2010-07-03,107767236,107767236,1,5761000000,1060000000,4861000000,480000000,809000000,91000000,0,394000000,745000000,976000000,20000000,20000000,0.19,0.18,0.11,93000000,-44000000,-30000000,19000000,48000000,50000000,21.41,25.03,17.78,0.1487,0.0209,7.51,2.91,14.09,21.73,0.3761,0.9209,0.1404,0.0332,0.63,0.4,2.2083
2010-04-03,107577084,107577084,1,5733000000,1038000000,4851000000,454000000,791000000,91000000,0,394000000,764000000,905000000,-5000000,-5000000,-0.04,-0.04,0.11,1000000,-41000000,32000000,-7000000,29000000,33000000,19.63,23.32,15.95,0.2078,0.0288,7.35,2.66,10.39,21.62,0.2646,0.9659,0.138,0.0469,0.62,-0.3,2.2863
2010-01-02,107517197,107517197,1,5709000000,992000000,4823000000,471000000,794000000,92000000,0,394000000,710000000,845000000,38000000,38000000,0.34,0.34,0.1,200000000,-41000000,-166000000,-7000000,36000000,49000000,18.77,22.68,14.85,0.2653,0.0358,7.38,2.41,12.6,21.51,0.2065,0.8942,0.1391,0.0579,0.62,1.4,2.1062
2009-10-03,106898159,106898159,1,5783000000,1061000000,4857000000,443000000,834000000,92000000,0,394000000,878000000,885000000,67000000,67000000,0.62,0.61,0.1,188000000,-25000000,-151000000,12000000,42000000,29000000,14.9,18.9,10.9,0.2164,0.028,7.8,2.04,16.37,21.41,0.2616,1.0528,0.1442,0.044,0.64,1.49,2.395
2009-07-04,106508495,106508495,1,5802000000,1057000000,4934000000,405000000,776000000,92000000,0,394000000,1026000000,906000000,66000000,66000000,0.62,0.61,0.1,172000000,-40000000,-127000000,7000000,31000000,33000000,10.29,15.64,4.95,0.1345,0.0169,7.29,1.53,27.81,21.31,0.4303,1.3222,0.1337,0.0261,0.65,1.31,2.6099
2009-04-04,106503626,106503626,1,5835000000,1063000000,5026000000,397000000,717000000,92000000,0,394000000,1142000000,941000000,36000000,36000000,0.33,0.33,0.1,80000000,-20000000,-76000000,-17000000,24000000,19000000,4.42,6.47,2.37,0.0557,0.007,6.73,0.69,None,21.21,1.0386,1.5927,0.1229,0.0106,0.67,0.57,2.6776
2009-01-03,106503626,106503626,1,5869000000,1073000000,5092000000,446000000,686000000,91000000,0,394000000,1191000000,973000000,-6000000,-6000000,-0.06,-0.06,0.1,61000000,-48000000,-19000000,-6000000,41000000,48000000,8.88,15.42,2.34,-0.0107,-0.0014,6.44,1.24,0.83,21.11,None,1.7362,0.1169,None,0.67,0.12,2.4058
