"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-30,76041513,76041513,1,4674200000,1866700000,2890600000,696300000,1711300000,72300000,0,616400000,1651600000,1000000000,92500000,92500000,1.22,1.2,0.28,157600000,-100200000,-130300000,-72700000,167400000,25100000,47.78,52.31,43.25,0.1942,0.0691,22.5,2.22,11.95,18.7,0.2701,0.9651,0.3661,0.0838,0.82,1.74,2.6809
2019-03-31,76119662,76119662,1,4680700000,1919600000,2974800000,683600000,1638500000,67400000,0,612000000,1755500000,979700000,91900000,91900000,1.21,1.19,0.28,52300000,-19600000,73400000,107000000,240100000,14100000,40.45,44.63,36.26,0.1991,0.0733,21.53,1.94,10.56,18.42,0.2723,1.0714,0.3501,0.0855,0.86,0.5,2.8081
2018-12-31,75767695,75767695,1,4445200000,1737200000,2802500000,685600000,1579600000,63100000,0,724500000,1648000000,910100000,60000000,60000000,0.78,0.74,0.28,137500000,-54900000,-104200000,-21900000,133100000,162000000,42.2,50.42,33.98,0.1956,0.0756,20.85,2.05,12.23,18.14,0.2816,1.0433,0.3553,0.0846,0.89,-0.32,2.5338
2018-09-30,76860854,76860854,1,4499500000,1786300000,2859100000,656600000,1579900000,60500000,0,636300000,1693100000,881300000,71600000,71600000,0.93,0.91,0.28,137200000,-774300000,649400000,8400000,155000000,22300000,47.55,52.45,42.65,0.1797,0.0726,20.56,2.41,14.77,17.86,0.3128,1.0717,0.3511,0.0789,0.92,1.49,2.7205
2018-06-30,77107246,77107246,1,3528000000,1699800000,1975700000,711200000,1521800000,30500000,0,329300000,884100000,906300000,91000000,91000000,1.18,1.16,0.28,102100000,-22000000,-44400000,26300000,146600000,21700000,46.25,50.55,41.95,0.1722,0.0734,19.74,2.38,14.92,17.58,0.3329,0.581,0.4313,0.076,0.96,1.04,2.39
2018-03-31,77596991,77596991,1,3549500000,1645800000,2006700000,702300000,1510900000,31900000,0,353100000,899200000,883100000,80200000,80200000,1.03,1.02,0.27,-44300000,-14000000,52300000,-5100000,120300000,17700000,48.75,55.65,41.85,0.1703,0.0724,19.47,2.63,19.04,17.3,0.3421,0.5951,0.4257,0.0771,0.94,-0.8,2.3434
2017-12-31,77882884,77882884,1,3402400000,1500100000,1927500000,671700000,1442700000,32200000,0,359900000,856900000,778000000,29200000,29200000,0.38,0.36,0.27,93900000,-41300000,-69300000,-15600000,121600000,146600000,48.59,52.45,44.73,0.146,0.0635,18.52,2.65,19.51,17.03,0.4094,0.594,0.424,0.0677,0.94,-0.68,2.2333
2017-09-30,77617122,77617122,1,3363600000,1474300000,1907700000,568700000,1423000000,32900000,0,366400000,964800000,771400000,53500000,53500000,0.69,0.68,0.27,28400000,-298500000,-43600000,-307900000,137200000,18300000,46.25,49.95,42.55,0.1469,0.0652,18.33,2.6,22.34,16.76,0.415,0.678,0.4231,0.0689,0.95,0.13,2.5924
2017-06-30,77842980,77842980,1,3238500000,1659500000,1818900000,537900000,1387000000,32600000,0,260100000,952100000,750600000,82500000,82500000,1.06,1.04,0.27,67800000,-82000000,322900000,315600000,445100000,18200000,47.13,51.75,42.5,0.1245,0.057,17.82,2.78,29.46,16.49,0.6151,0.6864,0.4283,0.0599,0.95,0.64,3.0851
2017-03-31,77993462,77993462,1,2815600000,1270700000,1460800000,498400000,1321100000,33700000,0,236100000,605100000,703800000,38200000,38200000,0.49,0.48,0.26,46700000,-26900000,-43000000,-19300000,129500000,19200000,43.25,46.45,40.05,0.0972,0.0458,16.94,2.63,22.76,16.22,0.6316,0.458,0.4692,0.0476,0.96,0.35,2.5496
2016-12-31,77565732,77565732,1,2758300000,1204000000,1452300000,452700000,1274900000,31100000,0,628500000,635000000,654800000,24400000,24400000,0.31,0.29,0.26,124900000,-67700000,-31300000,19800000,148800000,53100000,36.38,41.15,31.6,0.1155,0.0545,16.44,2.11,31.09,15.96,0.5313,0.4981,0.4622,0.0573,0.95,0.93,2.6596
2016-09-30,77814737,77814737,1,2819200000,1226800000,1453000000,450500000,1339500000,26700000,0,633500000,641400000,657400000,20600000,20600000,0.26,0.26,0.52,74500000,-92300000,-9600000,-27000000,129000000,32600000,32.3,35.28,29.31,0.0694,0.033,17.21,1.9,19.34,15.7,0.8822,0.4788,0.4751,0.034,0.97,0.54,2.7232
2016-06-30,78284317,78284317,1,2794400000,1237100000,1435200000,475000000,1333400000,25800000,0,586700000,604200000,673600000,44900000,44900000,0.57,0.57,0,155500000,-26400000,-109100000,18700000,156000000,26100000,32.89,37.07,28.72,0.1015,0.0477,17.03,1.93,21.5,15.18,0.4645,0.4531,0.4772,0.0488,0.98,1.65,2.6044
2016-03-31,79222802,79222802,1,2850100000,1274900000,1474500000,442600000,1349700000,25900000,0,593800000,673400000,684000000,63000000,63000000,0.79,0.78,0.26,47100000,-24600000,-19400000,7700000,137300000,24200000,27.93,33.64,22.22,0.095,0.0444,17.04,1.69,None,15.18,0.6669,0.4989,0.4736,0.045,0.99,0.29,2.8805
2015-12-31,80030053,80030053,1,2785300000,1206400000,1440700000,505300000,1324500000,20100000,0,598600000,580600000,714400000,-35700000,-35700000,-0.44,-0.44,0.26,128500000,3600000,-151400000,-25400000,129600000,147300000,29.87,32.89,26.84,-0.0523,-0.0248,16.55,1.86,175.71,14.92,None,0.4384,0.4755,None,1,-0.23,2.3875
2015-09-30,82993555,82993555,1,2946600000,1378900000,1595000000,605600000,1334300000,17300000,0,604900000,625900000,707400000,63400000,63400000,0.76,0.76,0.26,140800000,-235500000,18100000,-81800000,155000000,19000000,31.63,36.95,26.31,0.008,0.0039,16.08,1.98,None,14.66,7.65,0.4691,0.4528,0.0039,1,1.47,2.2769
2015-06-30,84538588,84538588,1,2887600000,1436000000,1516500000,594000000,1353700000,17400000,0,482800000,555600000,728000000,36700000,36700000,0.43,0.43,0.26,88500000,-19300000,12500000,82400000,236800000,18200000,39.65,43.06,36.24,-0.0496,-0.025,16.01,2.44,None,14.4,None,0.4104,0.4688,None,1.02,0.83,2.4175
2015-03-31,86393845,86393845,1,2820400000,1363800000,1404200000,519400000,1403000000,13200000,0,486700000,519700000,722500000,-135200000,-135200000,-1.54,-1.54,0.25,17000000,-14000000,-120800000,-124400000,154400000,16900000,40.61,43.56,37.65,-0.0299,-0.0157,16.24,2.27,21.95,14.14,None,0.3704,0.4974,None,0.88,0,2.6257
2014-12-31,88214403,88214403,1,3001400000,1481900000,1412300000,533800000,1576200000,12900000,0,499300000,522100000,762200000,46500000,46500000,0.52,0.52,0.25,111600000,-37600000,-27100000,40600000,278800000,155700000,40.96,44.3,37.62,0.0899,0.0495,17.87,2.23,21.56,13.89,0.5254,0.3312,0.5252,0.0555,0.89,-0.5,2.7761
2014-09-30,88686674,88686674,1,3106700000,1499700000,1462800000,562100000,1629900000,14000000,0,449000000,522000000,788000000,-21900000,-21900000,-0.25,-0.25,0.25,79300000,-37400000,-88500000,-56600000,238200000,34700000,46.15,49.96,42.34,0.0817,0.0463,18.38,2.34,17.16,13.64,0.5032,0.3203,0.5246,0.0524,0.88,0.5,2.668
2014-06-30,90775088,90775088,1,3265200000,1562100000,1461100000,849900000,1790300000,13800000,0,552800000,176200000,421500000,62700000,62700000,0.7,0.68,0.25,75900000,-74700000,44300000,46500000,294800000,-10700000,63.6,69.51,57.69,0.107,0.0614,19.72,2.23,22.16,13.39,0.3558,0.0984,0.5483,0.0688,0.89,0.95,1.838
2014-03-31,91249362,91249362,1,4418000000,1869600000,1803600000,982200000,2601600000,12800000,0,572400000,206400000,1104500000,83500000,83500000,0.9,0.9,0.25,40200000,-45000000,-130900000,-136300000,248300000,48000000,56.94,61.37,52.51,0.1095,0.0631,28.51,2,20.78,13.14,0.3263,0.0793,0.5889,0.0622,1.01,-0.09,1.9035
2013-12-31,92781376,92781376,1,4477900000,1937500000,1829300000,980100000,2636600000,12000000,0,577800000,206600000,1063300000,52600000,52600000,0.57,0.57,0.23,178200000,-109400000,-103500000,-33500000,384600000,435100000,55.89,61.57,50.22,0.1093,0.062,28.42,2.32,18.95,12.89,0.3341,0.0784,0.5888,0.0605,1.02,-2.77,1.9768
2013-09-30,97636674,97636674,1,4192900000,2050000000,1825800000,978400000,2353300000,13800000,0,581700000,205400000,1061500000,52200000,52200000,0.55,0.54,0.23,112300000,-63000000,-30700000,21300000,418100000,65100000,59.67,64.35,55,0.124,0.0683,24.1,2.45,18.42,12.66,0.3101,0.0873,0.5613,0.0655,1.04,0.48,2.0953
2013-06-30,95006238,95006238,1,4106300000,2003100000,1778500000,662900000,2311600000,16200000,0,589200000,455300000,1126500000,82800000,82800000,0.86,0.86,0.23,175400000,-134500000,-95100000,-61100000,396800000,81300000,54.83,59.44,50.22,0.1368,0.0751,24.33,2.28,12.93,12.43,0.2804,0.197,0.5629,0.0708,1.06,0.99,3.0217
2013-03-31,96153921,96153921,1,4165100000,2073200000,1842200000,676600000,2308600000,14300000,0,571000000,455300000,1089900000,75100000,75100000,0.78,0.77,0.23,-35900000,-69100000,-20000000,-128500000,457900000,62800000,53.09,58.5,47.67,0.1809,0.0974,24.01,2.28,10.51,12.2,0.2136,0.1972,0.5543,0.0891,1.09,-1.03,3.0641
