"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2013-09-27,355740338,355740338,1,1518600000,1121900000,523200000,459100000,995400000,0,0,123400000,0,198500000,-9800000,-9800000,-0.03,-0.03,0,14600000,34300000,-100000,49300000,316500000,5200000,2.24,2.5,1.98,-0.0943,-0.062,2.8,0.8,None,1.24,None,0,0.6555,None,0.55,0.03,2.4437
2013-06-28,355656364,355656364,1,1539100000,1139500000,539900000,475800000,999200000,0,0,124400000,0,212100000,-7800000,-7800000,-0.02,-0.02,0,-16800000,-79400000,-4800000,-103100000,267200000,4500000,2.08,2.27,1.9,-0.0791,-0.0539,2.81,0.73,None,1.24,None,0,0.6492,None,0.55,-0.06,2.3949
2013-03-29,355581451,355581451,1,1545200000,1130200000,534000000,467500000,1011200000,0,0,125300000,0,209400000,-55900000,-55900000,-0.16,-0.16,0,-5400000,179100000,-27000000,146600000,370300000,3100000,2.19,2.38,2,-0.0692,-0.0485,2.84,0.71,None,1.24,None,0,0.6544,None,0.55,-0.02,2.4175
2012-12-28,356185970,356185970,1,1638100000,1189700000,536800000,469600000,1101300000,0,0,126500000,0,242200000,-23300000,-23300000,-0.07,-0.07,1.02,40600000,418500000,-375000000,88800000,223700000,14600000,2.96,3.63,2.3,-0.1232,-0.0878,3.09,0.73,None,1.24,None,0,0.6723,None,0.54,0.07,2.5334
2012-09-28,367528886,367528886,1,2023700000,1580300000,538400000,467900000,1485300000,0,0,127500000,0,264400000,-3900000,-3900000,-0.01,-0.01,0.02,10100000,-36800000,-8000000,-31600000,134900000,6900000,3.38,3.86,2.91,-0.1009,-0.0733,4.04,0.84,None,0.22,None,0,0.734,None,0.53,0.01,3.3774
2012-06-29,367361127,367361127,1,2033200000,1580800000,558700000,485700000,1474500000,0,0,128400000,0,288100000,-4700000,-4700000,-0.01,-0.01,0.02,31900000,38000000,-8500000,53700000,166500000,4900000,3.64,4.1,3.19,-0.183,-0.1329,4.01,0.88,None,0.2,None,0,0.7252,None,0.54,0.07,3.2547
2012-03-30,366210835,366210835,1,2126200000,1652800000,612300000,536700000,1513900000,0,0,129700000,0,257900000,-139800000,-139800000,-0.38,-0.38,0.02,-37500000,23300000,-9100000,-19900000,112800000,5000000,4.08,4.41,3.75,-0.1821,-0.1332,4.13,0.91,None,0.18,None,0,0.712,None,0.53,-0.12,3.0796
2011-12-30,365119014,365119014,1,2248000000,1696800000,603300000,530000000,1644700000,0,0,179100000,0,315300000,-6000000,-6000000,-0.01,-0.01,0.02,-17300000,-35000000,-7400000,-61500000,132700000,19100000,4.26,4.75,3.78,-0.1073,-0.0792,4.5,0.93,None,0.16,None,0,0.7316,None,0.54,-0.1,3.2015
2011-09-30,364949291,364949291,1,2279700000,1721300000,602300000,528600000,1677400000,0,0,184200000,0,313800000,-138200000,-138200000,-0.36,-0.38,0.02,21500000,-21300000,-7400000,-19400000,194200000,13700000,4.17,4.68,3.67,-0.1067,-0.0784,4.6,0.83,None,0.14,None,0,0.7358,None,0.56,0.02,3.2563
2011-07-01,364884602,364884602,1,2478300000,1796900000,635200000,559900000,1843100000,0,0,291700000,0,334200000,-20100000,-20100000,-0.08,-0.06,0.02,28200000,2800000,-10000000,22900000,213600000,21700000,4.72,5.47,3.98,0.0007,0.0005,5.05,0.92,23.6,0.12,20.8534,0,0.7437,0.0009,0.58,0.02,3.2093
2011-04-01,363295297,363295297,1,2505900000,1821200000,644700000,567500000,1861200000,0,0,296700000,0,322400000,-24100000,-24100000,-0.07,-0.07,0.02,-81500000,65300000,-8600000,-18100000,190700000,10400000,6.09,7.31,4.87,0.045,0.0329,5.12,1.19,15.62,0.1,0.3449,0,0.7427,0.054,0.61,-0.25,3.2092
2010-12-31,362627751,362627751,1,2602900000,1912800000,741400000,663100000,1861500000,0,0,301600000,0,410700000,-10900000,-10900000,-0.04,-0.04,0.02,41100000,-60200000,-56500000,-77400000,208800000,24400000,7.18,8.08,6.28,0.081,0.0592,5.13,1.37,12.17,0.08,0.1926,0,0.7152,0.0947,0.62,0.05,2.8846
