"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-06-29,400475744,400475744,1,57970000000,11223000000,29241000000,7509000000,28729000000,0,0,40620000000,16663000000,6316000000,1119000000,1119000000,2.8,2.77,0.19,1294000000,-769000000,690000000,1186000000,2314000000,214000000,275.8,298.38,253.22,0.1277,0.063,71.74,3.98,35.22,8,0.0814,0.58,0.4956,0.1424,0.44,2.7,1.4946
2019-03-30,399981140,399981140,1,55596000000,9939000000,27903000000,5898000000,27693000000,0,0,39725000000,16812000000,6125000000,815000000,815000000,2.04,2.02,0.19,649000000,-181000000,-1425000000,-989000000,1128000000,195000000,242,273.94,210.07,0.1169,0.0571,69.24,3.5,33.43,7.81,0.0885,0.6071,0.4981,0.1289,0.44,1.14,1.6851
2018-12-31,399003681,399003681,1,56232000000,10625000000,28646000000,6147000000,27586000000,0,0,40325000000,17719000000,6507000000,898000000,898000000,2.24,2.21,0.17,1801000000,-721000000,-13000000,1006000000,2117000000,240000000,231.13,253.91,208.34,0.1098,0.0526,69.14,3.46,36.57,7.62,0.093,0.6423,0.4906,0.1206,0.44,3.91,1.7285
2018-09-29,402576382,402576382,1,55078000000,9566000000,28188000000,5196000000,26890000000,0,0,40361000000,17760000000,5920000000,709000000,709000000,1.76,1.75,0.17,1220000000,-168000000,-876000000,155000000,1111000000,170000000,224.45,245,203.9,0.098,0.0459,66.79,3.42,37.98,7.45,0.1034,0.6605,0.4882,0.1075,0.43,2.61,1.841
2018-06-30,402796251,402796251,1,55403000000,9474000000,28958000000,5980000000,26445000000,0,0,40800000000,17709000000,6078000000,752000000,752000000,1.87,1.85,0.17,1444000000,-185000000,-1006000000,-19000000,956000000,182000000,210.87,221.88,199.85,0.0932,0.0426,65.65,3.25,37.52,7.28,0.1075,0.6697,0.4773,0.1036,0.41,3.13,1.5843
2018-03-31,402323310,402323310,1,56580000000,9588000000,30457000000,7072000000,26123000000,0,0,41755000000,18122000000,5853000000,579000000,579000000,1.44,1.43,0.17,78000000,-179000000,-342000000,-386000000,975000000,116000000,208.41,226.44,190.38,0.0914,0.0418,64.93,3.3,37.28,7.11,0.1098,0.6937,0.4617,0.1024,0.41,-0.09,1.3558
2017-12-31,401784066,401784066,1,56669000000,9421000000,31256000000,7048000000,25413000000,0,0,41974000000,18873000000,6046800000,528100000,528100000,1.31,1.29,0.15,1866500000,-283400000,-1144300000,602700000,1361000000,212500000,191.35,201.2,181.51,0.0944,0.0433,63.25,3.11,32.49,6.94,0.1068,0.7427,0.4484,0.1064,0.41,4.12,1.3367
2017-09-30,400995357,400995357,1,55985300000,8844000000,31283500000,7031300000,24701800000,0,0,42158500000,19230400000,5116200000,533900000,533900000,1.35,1.34,0.15,928600000,-6968300000,6080600000,128800000,758100000,109400000,182.19,194.3,170.07,0.1029,0.0478,61.6,3.17,31.74,6.79,0.1014,0.7785,0.4412,0.1174,0.41,2.04,1.2578
2017-07-01,390119503,390119503,1,46513700000,7452500000,24122100000,5075800000,22391600000,0,0,35421100000,15255700000,4990000000,611600000,611600000,1.57,1.56,0.15,848400000,-95400000,-963000000,-107600000,629300000,86800000,164.33,176.92,151.74,0.1037,0.0486,57.4,2.95,29.99,6.64,0.1037,0.6813,0.4814,0.118,0.41,1.95,1.4682
2017-04-01,391219918,391219918,1,46213600000,7248100000,24418400000,5302900000,21795200000,0,0,35382000000,15188400000,4765000000,551400000,551400000,1.41,1.4,0.15,361500000,-381900000,-119300000,-73900000,736900000,92300000,150.83,161.66,140,0.1007,0.0476,55.71,2.73,29.63,6.49,0.1085,0.6969,0.4716,0.1158,0.41,0.69,1.3668
2016-12-31,390391061,390391061,1,45907500000,7021000000,24368200000,4865800000,21539300000,0,0,35296800000,15372400000,4953200000,629500000,629500000,1.59,1.59,0.15,1205900000,-88100000,-2191500000,-1183800000,786200000,130300000,149.58,160.1,139.07,0.0947,0.0451,55.17,2.73,29.86,6.34,0.1167,0.7137,0.4692,0.1106,0.41,2.76,1.4429
2016-10-01,395025225,395025225,1,48010700000,8204400000,26352100000,5259900000,21658600000,0,0,36102400000,16940400000,4490900000,473500000,473500000,1.2,1.19,0.15,771800000,-4196000000,4753300000,1306900000,1970000000,79600000,151.84,160.68,143.01,0.0937,0.0458,54.83,2.82,30.37,6.19,0.1187,0.7822,0.4511,0.111,0.41,1.75,1.5598
2016-07-02,394262866,394262866,1,42253400000,6331000000,20989500000,5528200000,21263900000,0,0,32389000000,11631900000,4535200000,516600000,516600000,1.31,1.3,0.15,889500000,-108700000,-889200000,-163700000,663100000,99100000,147.51,154.81,140.21,0.0947,0.0478,53.93,2.77,29.68,6.04,0.1189,0.547,0.5032,0.1135,0.42,2,1.1452
2016-04-02,393512230,393512230,1,42952700000,6539000000,22028300000,6322800000,20924400000,0,0,32870300000,11653000000,4294800000,402200000,402200000,1.02,1.01,0.15,289100000,-1139300000,1188000000,374700000,826800000,109100000,131.37,142.99,119.75,0.0951,0.0478,53.17,2.44,26.7,5.89,0.1195,0.5569,0.4871,0.1149,0.42,0.46,1.0342
2015-12-31,396261928,396261928,1,40889000000,5741200000,19538800000,4147300000,21350200000,0,0,31585900000,11473900000,4652500000,602600000,602600000,1.52,1.51,0.15,1228100000,-511400000,-744200000,-51300000,452100000,118800000,130.38,143.65,117.1,0.0954,0.0477,53.88,2.5,26.61,5.74,0.1209,0.5374,0.5222,0.1164,0.41,2.8,1.3843
2015-09-26,399097699,399097699,1,41147100000,6025900000,20296900000,5735100000,20850200000,0,0,31761400000,10277900000,4123200000,476100000,476100000,1.19,1.18,0.15,743900000,-106700000,-817800000,-265000000,503400000,99700000,129.62,141.25,117.98,0.0963,0.0471,52.24,2.5,26.51,5.59,0.121,0.4929,0.5067,0.1175,0.4,1.61,1.0507
2015-06-27,398487656,398487656,1,41774400000,6236600000,21094600000,6100400000,20679800000,0,0,32190600000,10663700000,4270900000,511600000,511600000,1.28,1.27,0.15,764900000,-75000000,-828900000,-96200000,768400000,89700000,130.75,136.24,125.25,0.0965,0.0466,51.9,2.61,30.34,5.44,0.1214,0.5157,0.495,0.1169,0.4,1.69,1.0223
2015-03-28,398056940,398056940,1,41857300000,6180500000,21942500000,6861000000,19914800000,0,0,32355400000,10696200000,3918800000,385100000,385100000,0.97,0.96,0.15,80000000,-394300000,-100400000,-478900000,864600000,96600000,130.28,139.03,121.54,0.0851,0.0404,50.03,2.52,27.66,5.29,0.1377,0.5371,0.4758,0.1027,0.39,-0.04,0.9008
2014-12-31,396782757,396782757,1,42852100000,6539800000,22304000000,5349800000,20548100000,0,0,32952700000,12351600000,4492800000,601200000,601200000,1.5,1.49,0.15,953700000,-126000000,89300000,809200000,1343500000,127100000,118.55,129.77,107.33,0.0922,0.0431,51.79,2.31,28.57,5.14,0.1263,0.6011,0.4795,0.1122,0.38,2.08,1.2224
2014-09-27,400025475,400025475,1,42690800000,5719900000,22180200000,6222100000,20510600000,0,0,33745100000,11388600000,4171400000,471600000,471600000,1.18,1.17,0.15,676000000,417400000,-1114100000,-50600000,534300000,83700000,121.78,127.21,116.36,0.0834,0.0396,51.27,2.35,31.71,4.99,0.1459,0.5553,0.4804,0.1031,0.38,1.48,0.9193
2014-06-28,399354992,399354992,1,44313400000,5944400000,23654800000,6235600000,20658600000,0,0,35060900000,12502000000,4321900000,278500000,278500000,0.7,0.69,0.15,888700000,-6200000,-1814200000,-912300000,584900000,66200000,117.69,123.37,112.02,0.0797,0.0393,51.73,2.3,30.1,4.84,0.1571,0.6052,0.4662,0.0995,0.4,2.06,0.9533
2014-03-29,398938297,398938297,1,46133700000,7306100000,25703100000,5391500000,20430600000,0,0,35505900000,15196900000,3903500000,543100000,543100000,1.38,1.36,0.15,101200000,-12067900000,7635100000,-4328800000,1497200000,101300000,118.35,127.63,109.08,0.0852,0.0442,51.21,2.75,34.01,4.69,0.1533,0.7438,0.4429,0.1072,0.41,-0,1.3551
2013-12-31,391792194,391792194,1,31863400000,9880700000,15007300000,3126000000,16856100000,0,0,19574600000,9499600000,3466900000,342100000,342100000,0.94,0.93,0.15,728500000,-70000000,3323500000,3980400000,5826000000,89700000,100.57,111.44,89.71,0.0787,0.0442,43.02,2.21,28.01,4.54,0.1735,0.5636,0.529,0.0973,0.45,1.63,3.1608
2013-09-28,361367293,361367293,1,28272500000,6210400000,11835200000,2453000000,16437300000,0,0,19743500000,6717900000,3191800000,317600000,317600000,0.88,0.86,0.15,505500000,-60900000,-15600000,482100000,1845600000,44000000,89.57,94.74,84.41,0.0826,0.0472,45.49,2.04,25.45,4.39,0.165,0.4087,0.5814,0.1018,0.46,1.28,2.5318
2013-06-29,360515888,360515888,1,27629500000,5641500000,11826700000,2362900000,15802800000,0,0,19720400000,6721100000,3240100000,277400000,277400000,0.77,0.76,0.15,478400000,-65300000,29900000,404800000,1408900000,65000000,82.38,89.5,75.27,0.0824,0.0465,43.83,1.9,24.3,4.24,0.1628,0.4253,0.572,0.1006,0.46,1.15,2.3875
2013-03-30,358921241,358921241,1,27410700000,5136100000,11811200000,2302800000,15599500000,0,0,20005000000,6724400000,3191500000,336200000,336200000,0.94,0.93,0.15,298300000,-67100000,-27800000,153100000,1004100000,63000000,71.29,78.04,64.54,0.0805,0.0455,43.46,1.65,22.21,4.09,0.1632,0.4311,0.5691,0.0982,0.46,0.66,2.2304
2012-12-31,357625034,357625034,1,27444600000,4834800000,11979900000,2093300000,15464700000,0,0,20279000000,7031200000,3215800000,376400000,376400000,1.05,1.04,0.15,660100000,-59400000,-607400000,18800000,851000000,103200000,61.38,65.54,57.21,0.0771,0.0435,43.24,1.45,20.88,3.94,0.1662,0.4547,0.5635,0.0942,0.46,1.56,2.3097
2012-09-29,360214897,360214897,1,27578000000,4947300000,12287500000,2522500000,15290500000,0,0,20406000000,7037500000,3085700000,290400000,290400000,0.8,0.79,0.13,479900000,-961700000,558700000,99900000,832200000,72100000,55.31,61,49.63,0.0718,0.0405,42.45,1.34,19.48,3.79,0.1303,0.4603,0.5544,0.0877,0.46,1.13,1.9613
2012-06-30,365551976,365551976,1,26361300000,4667000000,11266900000,2703200000,15094400000,0,0,19546300000,5745900000,3108100000,233800000,233800000,0.64,0.63,0.13,507500000,-238500000,-284000000,-56000000,732300000,62400000,52.52,56.91,48.14,0.0703,0.0398,41.29,1.26,14.71,3.66,0.0894,0.3807,0.5726,0.0865,0.46,1.22,1.7265
2012-03-31,367303351,367303351,1,26822700000,4769500000,11533700000,2845400000,15289000000,0,0,19823600000,5751000000,3100300000,277300000,277300000,0.76,0.75,0.13,392000000,-66200000,-585000000,-228000000,788300000,64600000,52.02,58.37,45.67,0.0886,0.0518,41.62,1.27,15.03,3.53,0.0352,0.3762,0.57,0.1119,0.46,0.89,1.6762
2011-12-31,365853610,365853610,1,26833700000,4821900000,11795600000,3113100000,15038100000,0,0,19803900000,5755200000,3133600000,288900000,288900000,0.77,0.77,0,637000000,-72800000,-446400000,126000000,1016300000,79000000,49.16,55.26,43.06,0.087,0.0525,41.1,1.22,14.29,3.4,0,0.3827,0.5604,0.1134,0.46,1.53,1.5489
2011-10-01,378279984,378279984,1,26991500000,4734600000,11795600000,2792500000,15195900000,0,0,20062400000,6115300000,2973500000,265400000,265400000,0.7,0.69,0,360700000,-3703500000,2871200000,-465800000,890300000,59600000,57.23,65.68,48.78,0.0871,0.0559,40.17,1.4,16.78,3.4,0,0.4024,0.563,0.1177,0.47,0.8,1.6955
2011-07-02,381873011,381873011,1,24073800000,5004700000,8408100000,1816800000,15665700000,0,0,17023400000,4008800000,2897400000,523400000,523400000,1.37,1.36,0,354700000,-1277000000,-525700000,-1432600000,1356100000,56900000,59.99,65.86,54.12,0.087,0.0594,41.02,1.51,22.9,3.4,0,0.2559,0.6507,0.121,0.49,0.78,2.7547
2011-04-02,383259036,383259036,1,23430600000,6189300000,8175900000,4146000000,15254700000,0,0,14895000000,1800800000,2721400000,252200000,252200000,0.65,0.64,0,338600000,-88900000,1651500000,1871600000,2788700000,62800000,55.28,58.16,52.41,0.0688,0.0482,39.8,1.41,21.76,3.4,0,0.118,0.6511,0.0974,0.49,0.72,1.4928
2010-12-31,390607016,390607016,1,21349400000,4135000000,5988400000,1709800000,15361000000,0,0,15311700000,2031300000,2781100000,297500000,297500000,0.75,0.75,0,438200000,-152300000,-322000000,-13100000,917100000,85900000,51.71,56.25,47.17,0.0673,0.0483,39.33,1.33,21.02,3.4,0,0.1322,0.7195,0.096,0.5,0.9,2.4184
2010-10-02,397477634,397477634,1,21537000000,4171000000,6140400000,1770600000,15396600000,0,0,15472500000,2057600000,2683500000,268500000,268500000,0.67,0.66,0,432800000,-316100000,-481300000,-377200000,930200000,62700000,46.55,51.36,41.74,0.0656,0.047,38.74,1.24,19.98,3.4,0,0.1336,0.7149,0.0932,0.5,0.93,2.3557
2010-07-03,407430585,407430585,1,21280900000,4348000000,5935800000,1616000000,15345100000,0,0,15153100000,2027600000,2649000000,237300000,237300000,0.58,0.57,0,283700000,-112600000,-313700000,-124300000,1307400000,57100000,52.3,57.4,47.21,0.0625,0.0449,37.66,1.39,23.24,3.4,0,0.1321,0.7211,0.0901,0.5,0.56,2.6906
2010-04-03,410405951,410405951,1,21624600000,4528600000,6144600000,1775700000,15480000000,0,0,15347300000,1923200000,2675100000,232300000,232300000,0.57,0.56,0,343100000,-277900000,-178100000,-132400000,1431700000,49600000,49.16,52.94,45.37,0.0608,0.0435,37.72,1.3,24.1,3.4,0,0.1242,0.7159,0.0887,0.49,0.72,2.5503
2009-12-31,409461414,409461414,1,21625000000,4530900000,6194100000,1639300000,15430900000,0,0,15319900000,2064000000,2839400000,273300000,273300000,0.66,0.67,0,538600000,-552700000,-152400000,-181600000,1564100000,77900000,46.28,49.7,42.86,0.0558,0.0399,37.69,1.23,22.58,3.4,0,0.1338,0.7136,0.0841,0.47,1.13,2.7639
2009-09-26,408314630,408314630,1,21418500000,4797600000,6019100000,1593800000,15399400000,0,0,14932600000,1952200000,2531100000,221200000,221200000,0.54,0.53,0,386600000,-58200000,-8100000,328300000,1745700000,40800000,42.62,47.74,37.5,0.0574,0.041,37.71,1.15,21,3.4,0,0.1268,0.719,0.0874,0.47,0.85,3.0102
2009-06-27,408152517,408152517,1,21155600000,4467000000,6079200000,1523600000,15076400000,0,0,15029100000,2017000000,2484100000,206900000,206900000,0.5,0.49,0,375300000,-152900000,-406800000,-143700000,1417400000,27600000,36.65,42.47,30.83,0.0577,0.0409,36.94,1.02,17.37,3.4,0,0.1338,0.7126,0.087,0.47,0.85,2.9319
