"Quarter end","Shares","Shares split adjusted","Split factor","Assets","Current Assets","Liabilities","Current Liabilities","Shareholders equity","Non-controlling interest","Preferred equity","Goodwill & intangibles","Long-term debt","Revenue","Earnings","Earnings available for common stockholders","EPS basic","EPS diluted","Dividend per share","Cash from operating activities","Cash from investing activities","Cash from financing activities","Cash change during period","Cash at end of period","Capital expenditures","Price","Price high","Price low","ROE","ROA","Book value of equity per share","P/B ratio","P/E ratio","Cumulative dividends per share","Dividend payout ratio","Long-term debt to equity ratio","Equity to assets ratio","Net margin","Asset turnover","Free cash flow per share","Current ratio"
2019-03-31,139029017,139029017,1,2395000000,1082000000,888000000,530000000,1507000000,0,0,863000000,0,376000000,26000000,26000000,0.19,0.18,0,182000000,-42000000,-24000000,116000000,771000000,17000000,54.88,60.9,48.86,0.0929,0.0592,10.84,5.15,67.75,0,0,0,0.6292,0.0831,0.71,1.19,2.0415
2018-12-31,138136212,138136212,1,2167000000,915000000,696000000,393000000,1471000000,0,0,874000000,83000000,346000000,7000000,7000000,0.05,0.05,0,31000000,-31000000,-4000000,-8000000,655000000,16000000,56.2,69,43.4,0.08,0.0508,10.65,5.37,374.67,0,0,0.0564,0.6788,0.07,0.73,0.11,2.3282
2018-09-30,137666382,137666382,1,2192000000,926000000,750000000,453000000,1442000000,0,0,889000000,0,458000000,69000000,69000000,0.5,0.49,0,14000000,-13000000,-1000000,-3000000,663000000,14000000,55.28,62.36,48.2,0.0159,0.0098,10.47,5.65,None,0,0,0,0.6578,0.0138,0.71,0,2.0442
2018-06-30,137547281,137547281,1,2304000000,1040000000,957000000,631000000,1347000000,0,0,901000000,0,433000000,32000000,32000000,0.23,0.23,0,186000000,-33000000,-107000000,31000000,666000000,16000000,48.44,60.12,36.75,-0.016,-0.0096,9.79,4.79,None,0,None,0,0.5846,None,0.69,1.24,1.6482
2018-03-31,137403605,137403605,1,2240000000,983000000,850000000,534000000,1390000000,0,0,899000000,0,378000000,5000000,5000000,0.04,0.04,0,174000000,28000000,-246000000,-38000000,635000000,15000000,40.55,47.02,34.08,-0.0196,-0.0116,10.12,4.13,None,0,None,0,0.6205,None,0.67,1.16,1.8408
2017-12-31,138983938,138983938,1,2272000000,993000000,909000000,372000000,1363000000,0,0,900000000,314000000,321000000,-84000000,-84000000,-0.61,-0.61,0,18000000,-58000000,-37000000,-77000000,673000000,14000000,36.75,44.01,29.5,-0.0138,-0.0081,9.81,3.6,73.5,0,None,0.2304,0.5999,None,0.66,0.03,2.6694
2017-09-30,138879379,138879379,1,2348000000,1042000000,931000000,422000000,1417000000,0,0,906000000,265000000,439000000,25000000,25000000,0.18,0.18,0,-135000000,-14000000,4000000,-137000000,750000000,15000000,40.76,45.97,35.55,0.0488,0.0296,10.2,4.18,59.07,0,0,0.187,0.6035,0.0445,0.66,-1.08,2.4692
2017-06-30,138752653,138752653,1,2472000000,1180000000,1118000000,621000000,1354000000,0,0,906000000,260000000,424000000,27000000,27000000,0.19,0.19,0,221000000,-20000000,-53000000,156000000,887000000,17000000,43.15,50.95,35.34,0.068,0.0428,9.76,4.4,59.11,0,0,0.192,0.5477,0.0646,0.66,1.47,1.9002
2017-03-31,141226959,141226959,1,2274000000,1003000000,890000000,452000000,1384000000,0,0,902000000,210000000,372000000,13000000,13000000,0.09,0.09,0,134000000,98000000,-114000000,119000000,731000000,18000000,47.02,53.58,40.45,0.071,0.0462,9.8,4.51,57.34,0,0,0.1517,0.6086,0.0707,0.65,0.82,2.219
2016-12-31,144159878,144159878,1,2238000000,950000000,736000000,423000000,1502000000,0,0,903000000,175000000,316000000,4000000,4000000,0.03,0.04,0,44000000,-22000000,-10000000,1000000,612000000,15000000,55.88,66.13,45.63,0.0793,0.0527,10.42,5.15,69.85,0,0,0.1165,0.6711,0.0811,0.65,0.2,2.2459
2016-09-30,145701209,145701209,1,2277000000,966000000,697000000,450000000,1580000000,0,0,922000000,20000000,421000000,55000000,55000000,0.38,0.37,0,-80000000,-65000000,-10000000,-155000000,611000000,21000000,65.7,71.69,59.72,0.0799,0.0529,10.84,6.36,69.89,0,0,0.0127,0.6939,0.0808,0.65,-0.69,2.1467
2016-06-30,145657693,145657693,1,2385000000,1107000000,880000000,575000000,1505000000,0,0,902000000,91000000,391000000,34000000,34000000,0.23,0.23,0,237000000,-87000000,-29000000,113000000,766000000,19000000,65.28,71.61,58.96,0.0967,0.0618,10.33,6.5,58.81,0,0,0.0605,0.631,0.0941,0.66,1.5,1.9252
2016-03-31,145706171,145706171,1,2214000000,964000000,750000000,432000000,1464000000,0,0,909000000,220000000,352000000,27000000,27000000,0.19,0.18,0,120000000,11000000,-94000000,39000000,653000000,17000000,68.72,83.97,53.48,0.1191,0.0735,10.05,7.07,50.53,0,0,0.1503,0.6612,0.1094,0.67,0.71,2.2315
2015-12-31,145265169,145265169,1,2128000000,865000000,716000000,312000000,1412000000,0,0,908000000,200000000,309000000,3000000,3000000,0.03,0.02,0,75000000,66000000,-92000000,47000000,614000000,16000000,75.25,87.5,63,0.1535,0.0911,9.72,8.18,47.33,0,0,0.1416,0.6635,0.1327,0.69,0.41,2.7724
2015-09-30,144186698,144186698,1,2198000000,943000000,872000000,356000000,1326000000,0,0,921000000,287000000,415000000,74000000,74000000,0.51,0.51,0,8000000,-19000000,0,-16000000,567000000,39000000,78.12,94,62.24,0.1897,0.1083,9.2,9.07,53.88,0,0,0.2164,0.6033,0.157,0.69,-0.21,2.6489
2015-06-30,144096363,144096363,1,2277000000,1012000000,1036000000,522000000,1241000000,0,0,942000000,287000000,405000000,58000000,58000000,0.4,0.4,0,200000000,-73000000,-58000000,78000000,583000000,10000000,83.07,92,74.14,0.1823,0.1019,8.61,10.11,55.01,0,0,0.2313,0.545,0.1496,0.68,1.32,1.9387
2015-03-31,143509498,143509498,1,2094000000,894000000,915000000,452000000,1179000000,0,0,916000000,250000000,363000000,63000000,63000000,0.44,0.43,0,99000000,-34000000,-3000000,50000000,505000000,44000000,78.75,91.47,66.04,0.2002,0.1128,8.22,10.01,50.81,0,0,0.212,0.563,0.1664,0.68,0.38,1.9779
2014-12-31,142926682,142926682,1,1959000000,747000000,834000000,381000000,1125000000,0,0,948000000,260000000,288000000,36000000,36000000,0.25,0.25,0,61000000,-89000000,-6000000,-36000000,455000000,26000000,79.11,91.08,67.14,0.2162,0.1228,7.87,10.41,54.94,0,0,0.2311,0.5743,0.1814,0.68,0.24,1.9606
2014-09-30,142924273,142924273,1,1956000000,792000000,870000000,417000000,1086000000,0,0,928000000,270000000,354000000,54000000,54000000,0.38,0.37,0,59000000,-135000000,-11000000,-96000000,491000000,11000000,99.66,110.22,89.1,0.2145,0.1223,7.6,13.86,68.73,0,0,0.2486,0.5552,0.1796,0.68,0.34,1.8993
2014-06-30,142785347,142785347,1,1831000000,855000000,805000000,386000000,1026000000,0,0,720000000,280000000,323000000,68000000,68000000,0.47,0.46,0,158000000,117000000,-10000000,265000000,587000000,23000000,93.19,111.24,75.13,0.2317,0.1333,7.19,14.08,64.27,0,0,0.2729,0.5603,0.1979,0.67,0.95,2.215
2014-03-31,142653197,142653197,1,1615000000,645000000,671000000,293000000,944000000,0,0,552000000,290000000,281000000,68000000,68000000,0.48,0.47,0,109000000,-127000000,-14000000,-32000000,319000000,21000000,91.18,109.79,72.57,0.2421,0.141,6.62,15,64.67,0,0,0.3072,0.5845,0.212,0.66,0.62,2.2014
2013-12-31,142232795,142232795,1,1473014000,630285000,608534000,242889000,864480000,0,0,553826000,300000000,212669000,20274000,20274000,0.15,0.14,0,71200000,19672000,-15449000,74790000,351148000,16137000,79.27,90.43,68.11,0.2456,0.1437,6.08,13.6,52.5,0,0,0.347,0.5869,0.2175,0.66,0.39,2.595
2013-09-30,142062488,142062488,1,1448153000,647752000,619347000,256811000,828806000,0,0,551693000,310000000,255136000,55882000,55882000,0.39,0.38,0,145036000,39969000,-111639000,76300000,276358000,15720000,70.86,82.19,59.54,0.2728,0.1578,5.83,11.89,46.01,0,0,0.374,0.5723,0.2427,0.65,0.91,2.5223
2013-06-30,142985553,142985553,1,1455585000,611472000,603626000,241299000,851959000,0,0,554137000,320000000,246937000,66988000,66988000,0.46,0.46,0,89621000,-77703000,-23758000,-11809000,200058000,14334000,56.8,65.41,48.18,0.2897,0.166,5.96,10.18,39.17,0,0,0.3756,0.5853,0.2587,0.64,0.53,2.5341
